"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/load_vm-adv_net_socket_io_lock_mem.csv --load --vm-adv --net --socket --io --lock --mem 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"load avg",,,"advanced virtual memory",,,,,"net/total",,"sockets",,,,,"io/total",,"file locks",,,,"memory usage",,,
0.560,1.900,2.800,0,0,0,0,0,0,0,1075,18,20,0,0,0,0,56,12,10,58,3249815552,2099924992,194420736,10577104896
0.560,1.900,2.800,0,0,0,0,0,167,187,1075,18,20,0,0,0,0,56,12,10,58,3249803264,2099937280,194420736,10577104896
0.560,1.900,2.800,0,0,0,0,0,0,0,1075,18,20,0,0,0,24,56,12,10,58,3250425856,2099949568,194428928,10576396288
0.560,1.900,2.800,0,0,0,0,0,0,0,1075,18,20,0,0,8,632,56,12,10,58,3267121152,2082217984,194445312,10577481728
0.560,1.900,2.800,0,0,0,0,0,1172,836,1075,18,20,0,0,0,0,56,12,10,58,3263930368,2085388288,194445312,10577506304
0.600,1.880,2.790,0,0,0,0,0,0,0,1075,18,20,0,0,0,0,56,12,10,58,3264401408,2084913152,194445312,10577510400
0.600,1.880,2.790,0,0,0,0,0,82,0,1075,18,20,0,0,0,30,56,12,10,58,3265613824,2083131392,194465792,10578059264
0.600,1.880,2.790,0,0,0,0,0,15817,5118,1075,18,20,0,0,0,0,56,12,10,58,3266027520,2082627584,194465792,10578149376
0.600,1.880,2.790,0,0,0,0,0,1404,884,1075,18,20,0,0,0,0,56,12,10,58,3266011136,2082627584,194465792,10578165760
0.600,1.880,2.790,0,0,0,0,0,0,0,1075,18,20,0,0,0,0,56,12,10,58,3266527232,2082111488,194465792,10578690048
0.630,1.870,2.780,0,0,0,0,0,167,187,1075,18,20,0,0,0,0,56,12,10,58,3279126528,2068692992,194465792,10578984960
0.630,1.870,2.780,0,0,0,0,0,0,0,1075,18,20,0,0,0,16,56,12,10,58,3260391424,2094055424,194473984,10572533760
0.630,1.870,2.780,0,0,0,0,0,0,0,1075,18,20,0,0,0,0,56,12,10,58,3260526592,2094055424,194473984,10572398592
0.630,1.870,2.780,0,0,0,0,0,0,0,1075,18,20,0,0,0,44,56,12,10,58,3252617216,2101641216,194486272,10572709888
0.630,1.870,2.780,0,0,0,0,0,237,259,1075,18,20,0,0,0,36,56,12,10,58,3252523008,2101387264,194502656,10573041664
0.660,1.850,2.770,0,0,0,0,0,229,187,1075,18,20,0,0,0,0,56,12,10,58,3253006336,2100883456,194502656,10573062144
0.660,1.850,2.770,0,0,0,0,0,167,187,1075,18,20,0,0,0,0,56,12,10,58,3253264384,2100625408,194502656,10573062144
0.660,1.850,2.770,0,0,0,0,0,0,0,1075,18,20,0,0,0,0,56,12,10,58,3253981184,2099908608,194502656,10573062144
0.660,1.850,2.770,0,0,0,0,0,15817,5309,1075,18,20,0,0,0,0,56,12,10,58,3267903488,2084958208,194502656,10574356480
0.660,1.850,2.770,0,0,0,0,0,1404,631,1075,18,20,0,0,0,26,56,12,10,58,3269189632,2083667968,194506752,10575413248
0.690,1.840,2.760,0,0,0,0,0,0,0,1075,18,20,0,0,0,0,56,12,10,58,3267547136,2084737024,194506752,10575712256
0.690,1.840,2.760,0,0,0,0,0,0,358,1075,18,20,0,0,0,0,56,12,10,58,3267014656,2085269504,194506752,10574647296
0.690,1.840,2.760,0,0,0,0,0,0,0,1075,18,20,0,0,0,0,56,12,10,58,3267141632,2085052416,194506752,10574753792
0.690,1.840,2.760,0,0,0,0,0,56,74,1075,18,20,0,0,0,0,56,12,10,58,3267366912,2084823040,194506752,10574757888
0.690,1.840,2.760,0,0,0,0,0,0,0,1075,18,20,0,0,0,0,56,12,10,58,3267354624,2084823040,194506752,10574770176
0.790,1.840,2.750,0,0,0,0,0,167,187,1075,18,20,0,0,0,16,56,12,10,58,3233120256,2119045120,194514944,10574774272
0.790,1.840,2.750,0,0,0,0,0,0,0,1075,18,20,0,0,0,0,56,12,10,58,3236691968,2114449408,194514944,10575798272
0.790,1.840,2.750,0,0,0,0,0,0,358,1075,18,20,0,0,0,0,56,12,10,58,3237138432,2113736704,194514944,10576064512
0.790,1.840,2.750,0,0,0,0,0,0,0,1075,18,20,0,0,0,0,56,12,10,58,3229564928,2121003008,194514944,10576961536
0.790,1.840,2.750,0,0,0,0,0,13007,5100,1075,18,20,0,0,0,0,56,12,10,58,3231150080,2119208960,194514944,10576637952
0.810,1.830,2.740,0,0,0,0,0,5031,1631,1075,18,20,0,0,0,40,56,12,10,58,3232944128,2117406720,194523136,10576580608
0.810,1.830,2.740,0,0,0,0,0,0,0,1075,18,20,0,0,0,0,56,12,10,58,3233189888,2117160960,194523136,10576515072
0.810,1.830,2.740,0,0,0,0,0,0,358,1075,18,20,0,0,0,16,56,12,10,58,3228917760,2116902912,194523136,10581110784
0.810,1.830,2.740,0,0,0,0,0,0,0,1075,18,20,0,0,0,0,56,12,10,58,3255812096,2089304064,194523136,10590457856
0.810,1.830,2.740,0,0,0,0,0,334,446,1075,18,20,0,0,0,4,56,12,10,58,3261181952,2083381248,194523136,10592342016
0.740,1.800,2.730,0,0,0,0,0,229,187,1075,18,20,0,0,0,40,56,12,10,58,3258445824,2086105088,194531328,10592587776
0.740,1.800,2.730,0,0,0,0,0,0,0,1075,18,20,0,0,0,0,56,12,10,58,3260178432,2084372480,194531328,10591256576
0.740,1.800,2.730,0,0,0,0,0,0,358,1075,18,20,0,0,0,0,56,12,10,58,3261251584,2083868672,194531328,10590937088
0.740,1.800,2.730,0,0,0,0,0,0,0,1075,18,20,0,0,0,0,56,12,10,58,3261480960,2083639296,194531328,10590937088
0.740,1.800,2.730,0,0,0,0,0,240,0,1075,18,20,0,0,2,636,56,12,10,58,3259912192,2085203968,194535424,10590937088
0.680,1.770,2.710,0,0,0,0,0,1619,4490,1075,18,20,0,0,0,0,56,12,10,58,3258789888,2087403520,194535424,10590380032
0.680,1.770,2.710,0,0,0,0,0,15797,1410,1075,18,20,0,0,0,30,56,12,10,58,3256971264,2087620608,194547712,10592235520
0.680,1.770,2.710,0,0,0,0,0,1328,3550,1075,18,20,0,0,0,0,56,12,10,58,3256930304,2087649280,194547712,10592247808
0.680,1.770,2.710,0,0,0,0,0,30349,3014,1075,18,20,0,0,0,0,56,12,10,58,3257032704,2087534592,194547712,10592260096
0.680,1.770,2.710,0,0,0,0,0,128,106,1075,18,20,0,0,0,0,56,12,10,58,3255865344,2088607744,194547712,10591567872
0.630,1.740,2.700,0,0,0,0,0,82,0,1075,18,20,0,0,0,44,56,12,10,58,3251564544,2092908544,194547712,10591567872
0.630,1.740,2.700,0,0,0,0,0,213,187,1075,18,20,0,0,0,28,56,12,10,58,3241537536,2102906880,194555904,10591588352
0.630,1.740,2.700,0,0,0,0,0,167,187,1075,18,20,0,0,0,0,56,12,10,58,3238150144,2106294272,194555904,10591522816
0.630,1.740,2.700,0,0,0,0,0,0,358,1075,18,20,0,0,0,0,56,12,10,58,3249295360,2093563904,194555904,10593107968
0.630,1.740,2.700,0,0,0,0,0,124,106,1075,18,20,0,0,0,0,56,12,10,58,3251068928,2091786240,194555904,10594947072
0.580,1.710,2.680,0,0,0,0,0,167,187,1075,18,20,0,0,0,32,56,12,10,58,3253121024,2089721856,194555904,10593910784
0.580,1.710,2.680,0,0,0,0,0,1619,4490,1075,18,20,0,0,0,0,56,12,10,58,3253809152,2089013248,194555904,10594455552
0.580,1.710,2.680,0,0,0,0,0,15602,1324,1075,18,20,0,0,0,16,56,12,10,58,3252387840,2090270720,194564096,10594086912
0.580,1.710,2.680,0,0,0,0,0,0,358,1075,18,20,0,0,0,0,56,12,10,58,3251531776,2091118592,194564096,10593308672
0.580,1.710,2.680,0,0,0,0,0,866,446,1075,18,20,0,0,0,0,56,12,10,58,3251220480,2091413504,194564096,10593058816
0.610,1.700,2.670,0,0,0,0,0,0,0,1075,18,20,0,0,0,26,56,12,10,58,3241639936,2100436992,194564096,10593357824
0.610,1.700,2.670,0,0,0,0,0,0,0,1075,18,20,0,0,0,0,56,12,10,58,3255091200,2085949440,194564096,10594394112
0.610,1.700,2.670,0,0,0,0,0,13926,6872,1076,19,20,0,0,0,0,56,12,10,58,3256033280,2084999168,194564096,10594926592
0.610,1.700,2.670,0,0,0,0,0,163,619,1075,18,20,0,0,0,14,56,12,10,58,3253866496,2093813760,194572288,10588270592
0.610,1.700,2.670,0,0,0,0,0,0,0,1075,18,20,0,0,0,0,56,12,10,58,3254726656,2092879872,194572288,10587947008
0.560,1.670,2.660,0,0,0,0,0,0,0,1075,18,20,0,0,0,64,56,12,10,58,3255730176,2091876352,194572288,10587947008
0.560,1.670,2.660,0,0,0,0,0,0,0,1075,18,20,0,0,0,0,56,12,10,58,3255836672,2091769856,194572288,10588213248
0.560,1.670,2.660,0,0,0,0,0,1701,4552,1075,18,20,0,0,0,0,56,12,10,58,3247677440,2099367936,194572288,10590081024
0.560,1.670,2.660,0,0,0,0,0,15602,1768,1075,18,20,0,0,0,0,56,12,10,58,3267665920,2078334976,194580480,10589786112
0.560,1.670,2.660,0,0,0,0,0,0,0,1075,18,20,0,0,0,18,56,12,10,58,3267551232,2078433280,194584576,10589556736
0.520,1.640,2.640,0,0,0,0,0,0,0,1075,18,20,0,0,0,46,56,12,10,58,3268337664,2077642752,194584576,10590019584
0.520,1.640,2.640,0,0,0,0,0,0,0,1075,18,20,0,0,2,0,56,12,10,58,3268190208,2077773824,194584576,10590035968
0.520,1.640,2.640,0,0,0,0,0,0,0,1075,18,20,0,0,0,0,56,12,10,58,3267624960,2078130176,194584576,10589720576
0.520,1.640,2.640,0,0,0,0,0,0,0,1075,18,20,0,0,0,56,56,12,10,58,3267608576,2078130176,194600960,10589720576
0.520,1.640,2.640,0,0,0,0,0,0,358,1075,18,20,0,0,0,0,56,12,10,58,3241644032,2103570432,194600960,10590244864
0.480,1.610,2.630,0,0,0,0,0,167,187,1075,18,20,0,0,0,156,56,12,10,58,3242332160,2102837248,194600960,10590748672
0.480,1.610,2.630,0,0,0,0,0,0,0,1075,18,20,0,0,0,0,56,12,10,58,3238608896,2105516032,194600960,10591793152
0.480,1.610,2.630,0,0,0,0,0,0,0,1075,18,20,0,0,0,0,56,12,10,58,3238920192,2105851904,194600960,10591145984
0.480,1.610,2.630,0,0,0,0,0,1659,4490,1075,18,20,0,0,0,0,56,12,10,58,3239813120,2104958976,194600960,10591412224
0.480,1.610,2.630,0,0,0,0,0,15799,1941,1075,18,20,0,0,0,22,56,12,10,58,3236233216,2108448768,194613248,10591490048
0.440,1.580,2.620,0,0,0,0,0,311,187,1075,18,20,0,0,0,396,56,12,10,58,3234738176,2109927424,194613248,10591698944
0.440,1.580,2.620,0,0,0,0,0,0,0,1075,18,20,0,0,0,0,56,12,10,58,3233153024,2110939136,194613248,10592862208
0.440,1.580,2.620,0,0,0,0,0,0,0,1075,18,20,0,0,0,0,56,12,10,58,3233607680,2110484480,194613248,10592862208
0.440,1.580,2.620,0,0,0,0,0,16045,6010,1076,19,20,0,0,0,0,56,12,10,58,3224748032,2118307840,194613248,10592849920
0.440,1.580,2.620,0,0,0,0,0,2147,2012,1076,19,20,0,0,0,28,56,12,10,58,3224739840,2118307840,194621440,10592849920
0.480,1.580,2.610,0,0,0,0,0,0,0,1076,19,20,0,0,0,300,56,12,10,58,3224489984,2117808128,194621440,10594844672
0.480,1.580,2.610,0,0,0,0,0,0,0,1076,19,20,0,0,0,0,56,12,10,58,3224883200,2117324800,194621440,10594136064
0.480,1.580,2.610,0,0,0,0,0,0,0,1076,19,20,0,0,0,0,56,12,10,58,3225591808,2116616192,194621440,10593886208
0.480,1.580,2.610,0,0,0,0,0,0,920,1079,19,23,0,0,0,0,56,12,10,58,3225702400,2115940352,194621440,10594983936
0.480,1.580,2.610,0,0,0,0,0,16401,7086,1079,19,23,0,0,0,0,56,12,10,58,3225903104,2115719168,194621440,10594996224
0.440,1.550,2.590,0,0,0,0,0,2974,3514,1079,19,23,0,0,0,52,56,12,10,58,3212554240,2129059840,194629632,10594471936
0.440,1.550,2.590,0,0,0,0,0,425,1907,1079,19,23,0,0,0,0,56,12,10,58,3234562048,2105884672,194629632,10595115008
0.440,1.550,2.590,0,0,0,0,0,0,0,1079,19,23,0,0,0,0,56,12,10,58,3230420992,2110025728,194629632,10596163584
0.440,1.550,2.590,0,0,0,0,0,0,0,1076,19,20,0,0,0,0,56,12,10,58,3231920128,2108522496,194629632,10595901440
0.440,1.550,2.590,0,0,0,0,0,326,106,1076,19,20,0,0,0,0,56,12,10,58,3231817728,2108522496,194629632,10595811328
0.410,1.520,2.580,0,0,0,0,0,167,545,1076,19,20,0,0,0,28,56,12,10,58,3231232000,2108534784,194637824,10597158912
0.410,1.520,2.580,0,0,0,0,0,167,187,1076,19,20,0,0,0,52,56,12,10,58,3232194560,2107572224,194637824,10596368384
0.410,1.520,2.580,0,0,0,0,0,0,0,1076,19,20,0,0,0,0,56,12,10,58,3232403456,2107355136,194637824,10596384768
0.410,1.520,2.580,0,0,0,0,0,0,0,1076,19,20,0,0,0,0,56,12,10,58,3246047232,2092658688,194637824,10598219776
0.410,1.520,2.580,0,0,0,0,0,245,365,1076,19,20,0,0,0,0,56,12,10,58,3245989888,2092716032,194637824,10597961728
0.380,1.500,2.560,0,0,0,0,0,16614,6359,1076,19,20,0,0,0,0,56,12,10,58,3246370816,2092335104,194641920,10597359616
0.380,1.500,2.560,0,0,0,0,0,876,126,1076,19,20,0,0,4,116,56,12,10,58,3247824896,2090860544,194654208,10597376000
0.380,1.500,2.560,0,0,0,0,0,194,0,1076,19,20,0,0,0,0,56,12,10,58,3243507712,2094534656,194654208,10598293504
0.380,1.500,2.560,0,0,0,0,0,0,0,1076,19,20,0,0,0,0,56,12,10,58,3244064768,2093944832,194654208,10598572032
0.380,1.500,2.560,0,0,0,0,0,0,0,1076,19,20,0,0,0,0,56,12,10,58,3244228608,2093756416,194654208,10598068224
0.350,1.470,2.550,0,0,0,0,0,167,358,1076,19,20,0,0,0,0,56,12,10,58,3244228608,2093756416,194654208,10598068224
0.350,1.470,2.550,0,0,0,0,0,0,0,1076,19,20,0,0,6,244,56,12,10,58,3249238016,2087657472,194691072,10599587840
0.350,1.470,2.550,0,0,0,0,0,0,0,1076,19,20,0,0,0,0,56,12,10,58,3249737728,2087157760,194691072,10598854656
0.350,1.470,2.550,0,0,0,0,0,1249,3192,1076,19,20,0,0,0,0,56,12,10,58,3252662272,2090889216,194691072,10592722944
0.350,1.470,2.550,0,0,0,0,0,28651,3146,1076,19,20,0,0,0,0,56,12,10,58,3243790336,2099048448,194691072,10593480704
0.320,1.450,2.540,0,0,0,0,0,82,358,1076,19,20,0,0,0,0,56,12,10,58,3243790336,2099048448,194691072,10593480704
0.320,1.450,2.540,0,0,0,0,0,18400,5854,1076,19,20,0,0,0,40,56,12,10,58,3244175360,2098634752,194703360,10593497088
0.320,1.450,2.540,0,0,0,0,0,876,126,1076,19,20,0,0,0,0,56,12,10,58,3245023232,2098446336,194703360,10592837632
0.320,1.450,2.540,0,0,0,0,0,0,0,1076,19,20,0,0,0,0,56,12,10,58,3258961920,2084605952,194703360,10592673792
0.320,1.450,2.540,0,0,0,0,0,167,187,1076,19,20,0,0,0,0,56,12,10,58,3259207680,2084360192,194703360,10592673792
0.290,1.420,2.520,0,0,0,0,0,167,545,1076,19,20,0,0,0,0,56,12,10,58,3259338752,2084216832,194703360,10592620544
0.290,1.420,2.520,0,0,0,0,0,0,0,1076,19,20,0,0,2,466,56,12,10,58,3250331648,2092634112,194719744,10593193984
0.290,1.420,2.520,0,0,0,0,0,0,0,1076,19,20,0,0,0,0,56,12,10,58,3247906816,2094964736,194719744,10593288192
0.290,1.420,2.520,0,0,0,0,0,0,0,1076,19,20,0,0,0,0,56,12,10,58,3248422912,2094448640,194719744,10593222656
0.290,1.420,2.520,0,0,0,0,0,167,259,1076,19,20,0,0,0,0,56,12,10,58,3248140288,2094731264,194719744,10593222656
0.270,1.400,2.510,0,0,0,0,0,229,545,1076,19,20,0,0,0,0,56,12,10,58,3248644096,2094215168,194719744,10593234944
0.270,1.400,2.510,0,0,0,0,0,0,0,1076,19,20,0,0,0,198,56,12,10,58,3255795712,2086023168,194727936,10594267136
0.270,1.400,2.510,0,0,0,0,0,17303,5940,1076,19,20,0,0,0,0,56,12,10,58,3256246272,2085552128,194727936,10594222080
0.270,1.400,2.510,0,0,0,0,0,698,0,1076,19,20,0,0,0,0,56,12,10,58,3255382016,2086146048,194727936,10594492416
0.270,1.400,2.510,0,0,0,0,0,20775,10346,1091,19,20,0,0,0,54,57,12,10,59,3271741440,2069200896,194736128,10602954752
0.250,1.380,2.500,0,0,0,0,0,11906,12523,1094,19,20,0,0,0,256,57,12,10,59,3309948928,2030456832,194899968,10602790912
0.250,1.380,2.500,0,0,0,0,0,1538,3035,1094,19,20,0,0,0,366,57,12,10,59,3321831424,2018947072,194990080,10603741184
0.250,1.380,2.500,0,0,0,0,0,344,345,1094,19,20,0,0,0,0,57,12,10,59,3320983552,2019794944,194990080,10603741184
0.250,1.380,2.500,0,0,0,0,0,44843,2422,1094,19,20,0,0,0,210,57,12,10,59,3331375104,2008068096,195088384,10604171264
0.250,1.380,2.500,0,0,0,0,0,167,187,1094,19,20,0,0,0,0,57,12,10,59,3331219456,2008322048,195088384,10603855872
0.230,1.350,2.480,0,0,0,0,0,78,106,1094,19,20,0,0,0,0,57,12,10,59,3329257472,2009718784,195088384,10604355584
0.230,1.350,2.480,0,0,0,0,0,0,0,1094,19,20,0,0,0,32,57,12,10,59,3328606208,2010361856,195088384,10604429312
0.230,1.350,2.480,0,0,0,0,0,80,956,1096,18,23,0,0,0,0,57,12,10,59,3327647744,2011213824,195088384,10604535808
0.230,1.350,2.480,0,0,0,0,0,17181,4984,1094,19,20,0,0,0,0,57,12,10,59,3327123456,2011738112,195088384,10604535808
0.230,1.350,2.480,0,0,0,0,0,424,0,1094,19,20,0,0,0,46,57,12,10,59,3308449792,2030391296,195104768,10604474368
0.210,1.330,2.470,0,0,0,0,0,167,187,1094,19,20,0,0,0,0,57,12,10,59,3307433984,2031407104,195104768,10604474368
0.210,1.330,2.470,0,0,0,0,0,0,0,1094,19,20,0,0,0,0,57,12,10,59,3321176064,2016608256,195104768,10605596672
0.210,1.330,2.470,0,0,0,0,0,0,0,1094,19,20,0,0,0,70,57,12,10,59,3315085312,2022133760,195104768,10606096384
0.210,1.330,2.470,0,0,0,0,0,70,0,1094,19,20,0,0,0,0,57,12,10,59,3315564544,2021650432,195104768,10606166016
0.210,1.330,2.470,0,0,0,0,0,253,365,1094,19,20,0,0,0,50,57,12,10,59,3312648192,2024546304,195121152,10606170112
0.190,1.310,2.450,0,0,0,0,0,693,430,1094,19,20,0,0,0,0,57,12,10,59,3313029120,2024058880,195121152,10606112768
0.190,1.310,2.450,0,0,0,0,0,0,0,1094,19,20,0,0,0,0,57,12,10,59,3313025024,2024058880,195121152,10606051328
0.190,1.310,2.450,0,0,0,0,0,0,0,1094,19,20,0,0,0,26,57,12,10,59,3311865856,2025213952,195121152,10606055424
0.190,1.310,2.450,0,0,0,0,0,298,1707,1089,20,20,0,0,0,0,57,12,10,59,3309961216,2026278912,195121152,10604662784
0.190,1.310,2.450,0,0,0,0,0,15739,3602,1078,19,20,0,0,0,14,57,12,10,59,3276791808,2058694656,195129344,10601238528
0.180,1.290,2.440,0,0,0,0,0,1549,729,1078,19,20,0,0,0,0,57,12,10,59,3278516224,2056925184,195129344,10600300544
0.180,1.290,2.440,0,0,0,0,0,0,0,1078,19,20,0,0,0,22,57,12,10,59,3278708736,2056724480,195129344,10600472576
0.180,1.290,2.440,0,0,0,0,0,0,0,1078,19,20,0,0,0,54,57,12,10,59,3278934016,2056290304,195129344,10600517632
0.180,1.290,2.440,0,0,0,0,0,0,0,1078,19,20,0,0,0,0,57,12,10,59,3279794176,2056089600,195129344,10599858176
0.180,1.290,2.440,0,0,0,0,0,0,0,1078,19,20,0,0,0,16,57,12,10,59,3280072704,2055811072,195141632,10599845888
0.160,1.260,2.430,0,0,0,0,0,0,0,1078,19,20,0,0,0,0,57,12,10,59,3279781888,2056069120,195141632,10599649280
0.160,1.260,2.430,0,0,0,0,0,56,432,1078,19,20,0,0,0,0,57,12,10,59,3298574336,2035699712,195141632,10601291776
0.160,1.260,2.430,0,0,0,0,0,167,187,1078,19,20,0,0,0,462,57,12,10,59,3293716480,2047410176,195141632,10594631680
0.160,1.260,2.430,0,0,0,0,0,0,0,1078,19,20,0,0,0,0,57,12,10,59,3294474240,2046648320,195141632,10594570240
0.160,1.260,2.430,0,0,0,0,0,0,0,1077,19,20,0,0,0,100,57,12,10,59,3295666176,2045427712,195170304,10594635776
0.150,1.240,2.410,0,0,0,0,0,16634,6001,1077,19,20,0,0,0,30,57,12,10,59,3295559680,2045427712,195186688,10594660352
0.150,1.240,2.410,0,0,0,0,0,876,126,1077,19,20,0,0,0,0,57,12,10,59,3295784960,2045198336,195186688,10594664448
