"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/disk.csv --time --disk 1 600",,,,"Date:","23 Mar 2023 13:54:36 -03"
"system","dsk/total",
23-03 14:01:24,0,2015232
23-03 14:01:25,0,622592
23-03 14:01:26,0,704512
23-03 14:01:27,0,0
23-03 14:01:28,0,0
23-03 14:01:29,0,4112384
23-03 14:01:30,0,0
23-03 14:01:31,0,606208
23-03 14:01:32,0,0
23-03 14:01:33,0,0
23-03 14:01:34,0,7741440
23-03 14:01:35,0,0
23-03 14:01:36,0,737280
23-03 14:01:37,0,0
23-03 14:01:38,0,0
23-03 14:01:39,0,1458176
23-03 14:01:40,0,0
23-03 14:01:41,0,688128
23-03 14:01:42,0,0
23-03 14:01:43,0,0
23-03 14:01:44,0,0
23-03 14:01:45,0,13959168
23-03 14:01:46,0,2449408
23-03 14:01:47,0,0
23-03 14:01:48,0,0
23-03 14:01:49,0,0
23-03 14:01:50,0,3661824
23-03 14:01:51,0,909312
23-03 14:01:52,0,0
23-03 14:01:53,0,0
23-03 14:01:54,0,2195456
23-03 14:01:55,0,3710976
23-03 14:01:56,0,720896
23-03 14:01:57,0,0
23-03 14:01:58,0,0
23-03 14:01:59,0,630784
23-03 14:02:00,0,1540096
23-03 14:02:01,0,0
23-03 14:02:02,0,1212416
23-03 14:02:03,0,311296
23-03 14:02:04,0,204800
23-03 14:02:05,0,3645440
23-03 14:02:06,0,0
23-03 14:02:07,0,0
23-03 14:02:08,0,0
23-03 14:02:09,0,540672
23-03 14:02:10,0,7979008
23-03 14:02:11,0,0
23-03 14:02:12,0,0
23-03 14:02:13,0,0
23-03 14:02:14,0,540672
23-03 14:02:15,0,720896
23-03 14:02:16,0,0
23-03 14:02:17,0,0
23-03 14:02:18,0,589824
23-03 14:02:19,0,0
23-03 14:02:20,0,3629056
23-03 14:02:21,0,1736704
23-03 14:02:22,0,0
23-03 14:02:23,0,0
23-03 14:02:24,0,0
23-03 14:02:25,0,0
23-03 14:02:26,0,15679488
23-03 14:02:27,0,0
23-03 14:02:28,0,0
23-03 14:02:29,0,0
23-03 14:02:30,0,0
23-03 14:02:31,0,2605056
23-03 14:02:32,0,0
23-03 14:02:33,0,671744
23-03 14:02:34,0,0
23-03 14:02:35,0,303104
23-03 14:02:36,0,4726784
23-03 14:02:37,0,0
23-03 14:02:38,0,729088
23-03 14:02:39,0,0
23-03 14:02:40,0,0
23-03 14:02:41,0,4071424
23-03 14:02:42,0,868352
23-03 14:02:43,0,0
23-03 14:02:44,0,0
23-03 14:02:45,0,0
23-03 14:02:46,0,3858432
23-03 14:02:47,0,557056
23-03 14:02:48,0,0
23-03 14:02:49,0,0
23-03 14:02:50,0,0
23-03 14:02:51,0,4218880
23-03 14:02:52,0,466944
23-03 14:02:53,0,0
23-03 14:02:54,0,319488
23-03 14:02:55,0,0
23-03 14:02:56,0,3751936
23-03 14:02:57,0,794624
23-03 14:02:58,0,311296
23-03 14:02:59,0,0
23-03 14:03:00,0,0
23-03 14:03:01,0,10371072
23-03 14:03:02,0,0
23-03 14:03:03,0,2891776
23-03 14:03:04,0,0
23-03 14:03:05,0,0
23-03 14:03:06,0,3833856
23-03 14:03:07,0,0
23-03 14:03:08,0,2457600
23-03 14:03:09,0,0
23-03 14:03:10,0,0
23-03 14:03:11,0,0
23-03 14:03:12,0,8151040
23-03 14:03:13,0,0
23-03 14:03:14,0,0
23-03 14:03:15,0,0
23-03 14:03:16,0,0
23-03 14:03:17,0,606208
23-03 14:03:18,0,0
23-03 14:03:19,0,0
23-03 14:03:20,0,0
23-03 14:03:21,0,0
23-03 14:03:22,0,8962048
23-03 14:03:23,0,0
23-03 14:03:24,0,0
23-03 14:03:25,0,0
23-03 14:03:26,0,0
23-03 14:03:27,0,5185536
23-03 14:03:28,0,0
23-03 14:03:29,0,0
23-03 14:03:30,0,0
23-03 14:03:31,0,622592
23-03 14:03:32,0,622592
23-03 14:03:33,0,770048
23-03 14:03:34,0,0
23-03 14:03:35,0,0
23-03 14:03:36,0,0
23-03 14:03:37,0,3842048
23-03 14:03:38,0,1810432
23-03 14:03:39,0,0
23-03 14:03:40,0,0
23-03 14:03:41,0,0
23-03 14:03:42,0,14008320
23-03 14:03:43,0,1662976
23-03 14:03:44,0,0
23-03 14:03:45,0,0
23-03 14:03:46,0,0
23-03 14:03:47,0,5226496
23-03 14:03:48,0,2768896
23-03 14:03:49,0,0
23-03 14:03:50,0,303104
23-03 14:03:51,0,212992
23-03 14:03:52,0,0
23-03 14:03:53,0,65536
23-03 14:03:54,0,0
23-03 14:03:55,0,0
23-03 14:03:56,0,630784
23-03 14:03:57,0,262144
23-03 14:03:58,0,8290304
23-03 14:03:59,0,540672
23-03 14:04:00,0,0
23-03 14:04:01,0,0
23-03 14:04:02,0,0
23-03 14:04:03,0,3907584
23-03 14:04:04,0,860160
23-03 14:04:05,0,0
23-03 14:04:06,0,0
23-03 14:04:07,0,0
23-03 14:04:08,0,614400
23-03 14:04:09,0,827392
23-03 14:04:10,0,0
23-03 14:04:11,0,0
23-03 14:04:12,0,0
23-03 14:04:13,0,3891200
23-03 14:04:14,0,1826816
23-03 14:04:15,0,0
23-03 14:04:16,0,0
23-03 14:04:17,0,0
23-03 14:04:18,32768,15958016
23-03 14:04:19,0,0
23-03 14:04:20,0,0
23-03 14:04:21,0,344064
23-03 14:04:22,0,0
23-03 14:04:23,0,344064
23-03 14:04:24,0,0
23-03 14:04:25,0,0
23-03 14:04:26,0,2293760
23-03 14:04:27,0,0
23-03 14:04:28,0,5734400
23-03 14:04:29,0,0
23-03 14:04:30,0,630784
23-03 14:04:31,0,0
23-03 14:04:32,0,0
23-03 14:04:33,0,0
23-03 14:04:34,0,7684096
23-03 14:04:35,0,827392
