"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/vm.csv --time --vm 1 600",,,,"Date:","22 Mar 2023 22:03:09 -03"
"system","virtual memory",,,
22-03 22:04:57,0,27,139,16315
22-03 22:04:58,0,1835,1931,1664
22-03 22:04:59,0,5,110,104
22-03 22:05:00,0,312,546,616
22-03 22:05:01,0,1297,1398,1390
22-03 22:05:02,0,2346,1819,1913
22-03 22:05:03,0,1406,1713,1652
22-03 22:05:04,0,91,107,255
22-03 22:05:05,0,5,1215,818
22-03 22:05:06,0,1576,1434,4060
22-03 22:05:07,0,6,243,238
22-03 22:05:08,0,1512,1586,1447
22-03 22:05:09,0,30,487,452
22-03 22:05:10,0,877,855,1804
22-03 22:05:11,0,1317,2418,2169
22-03 22:05:12,0,113,136,131
22-03 22:05:13,0,1274,1458,1828
22-03 22:05:14,0,265,326,306
22-03 22:05:15,0,199,620,499
22-03 22:05:16,0,1388,1541,1428
22-03 22:05:17,0,200,316,551
22-03 22:05:18,0,1552,1838,1545
22-03 22:05:19,0,6,106,357
22-03 22:05:20,0,92,305,316
22-03 22:05:21,0,1328,1886,1861
22-03 22:05:22,0,280,268,251
22-03 22:05:23,0,55149,76630,26878
22-03 22:05:24,0,1065,1774,3998
22-03 22:05:25,0,35,293,178
22-03 22:05:26,0,1226,1417,1692
22-03 22:05:27,0,331,659,612
22-03 22:05:28,0,1359,1386,1408
22-03 22:05:29,0,151,411,390
22-03 22:05:30,0,562,461,9430
22-03 22:05:31,0,115,3089,2711
22-03 22:05:32,0,1387,1415,1417
22-03 22:05:33,0,1301,1411,1757
22-03 22:05:34,0,261,335,3317
22-03 22:05:35,0,455,347,7511
22-03 22:05:36,0,163,359,427
22-03 22:05:37,0,1300,1413,1554
22-03 22:05:38,0,1862,2197,4395
22-03 22:05:39,0,5,114,373
22-03 22:05:40,0,94,252,271
22-03 22:05:41,0,2,103,107
22-03 22:05:42,0,1568,1564,1545
22-03 22:05:43,0,1278,1416,1404
22-03 22:05:44,0,95,515,282
22-03 22:05:45,0,1243,1509,50089
22-03 22:05:46,0,256,116,498
22-03 22:05:47,0,1610,1670,1532
22-03 22:05:48,0,1506,1619,1614
22-03 22:05:49,0,7,252,162
22-03 22:05:50,0,251,163,423
22-03 22:05:51,0,7,521,130
22-03 22:05:52,0,1617,2136,6008
22-03 22:05:53,0,1144,1393,318
22-03 22:05:54,0,1491,1386,1636
22-03 22:05:55,0,9,509,490
22-03 22:05:56,0,19743,19914,7528
22-03 22:05:57,0,4713,5460,7786
22-03 22:05:58,0,73,257,542
22-03 22:05:59,0,3590,5737,4793
22-03 22:06:00,0,364,601,559
22-03 22:06:01,0,3,172,291
22-03 22:06:02,0,2960,2821,3218
22-03 22:06:03,0,10,172,8603
22-03 22:06:04,0,1358,1801,1568
22-03 22:06:05,0,3,112,273
22-03 22:06:06,0,508,789,1159
22-03 22:06:07,0,1294,2158,1947
22-03 22:06:08,0,53717,75544,49184
22-03 22:06:09,0,1307,1569,1406
22-03 22:06:10,0,160,180,303
22-03 22:06:11,0,19,825,445
22-03 22:06:12,0,2105,1733,10306
22-03 22:06:13,0,130,377,166
22-03 22:06:14,0,1576,1568,1994
22-03 22:06:15,0,6,244,242
22-03 22:06:16,0,447,497,469
22-03 22:06:17,0,1319,1861,1618
22-03 22:06:18,0,187,143,172
22-03 22:06:19,0,1668,2067,2192
22-03 22:06:20,0,301,513,507
22-03 22:06:21,0,28,164,553
22-03 22:06:22,0,1451,1582,1449
22-03 22:06:23,0,470,613,669
22-03 22:06:24,0,1694,1978,1588
22-03 22:06:25,0,3,111,509
22-03 22:06:26,0,186,398,1121
22-03 22:06:27,0,1426,1653,19619
22-03 22:06:28,0,28,2327,2357
22-03 22:06:29,0,1343,1418,1504
22-03 22:06:30,0,201,566,673
22-03 22:06:31,0,262,448,398
22-03 22:06:32,0,1311,1635,2036
22-03 22:06:33,0,99,278,119
22-03 22:06:34,0,2301,2767,1753
22-03 22:06:35,0,258,2325,15937
22-03 22:06:36,0,522,392,7822
22-03 22:06:37,0,6647,8084,2474
22-03 22:06:38,0,43,209,1051
22-03 22:06:39,0,1524,1538,1529
22-03 22:06:40,0,23,125,146
22-03 22:06:41,0,180,363,376
22-03 22:06:42,0,1351,1691,1675
22-03 22:06:43,0,249,517,257
22-03 22:06:44,0,1290,1405,1434
22-03 22:06:45,0,99,290,513
22-03 22:06:46,0,596,744,836
22-03 22:06:47,0,1559,1463,1785
22-03 22:06:48,0,534,618,393
22-03 22:06:49,0,1346,2358,2489
22-03 22:06:50,0,8,523,131
22-03 22:06:51,0,266,150,539
22-03 22:06:52,0,1319,1530,1411
22-03 22:06:53,0,47648,68133,57266
22-03 22:06:54,0,10971,12889,29405
22-03 22:06:55,0,422,290,149
22-03 22:06:56,0,27,817,565
22-03 22:06:57,0,1381,1430,1405
22-03 22:06:58,0,5,109,488
22-03 22:06:59,0,1522,1551,1997
22-03 22:07:00,0,162,286,373
22-03 22:07:01,0,914,799,247
22-03 22:07:02,0,2998,2939,5723
22-03 22:07:03,0,249,510,122
22-03 22:07:04,0,1306,3618,4014
22-03 22:07:05,0,72,242,118
22-03 22:07:06,0,31,136,111
22-03 22:07:07,0,702,843,9714
22-03 22:07:08,0,1294,1522,13337
22-03 22:07:09,0,2136,2825,2139
22-03 22:07:10,0,4,254,117
22-03 22:07:11,0,268,113,503
22-03 22:07:12,0,45,283,154
22-03 22:07:13,0,1827,1536,1664
22-03 22:07:14,0,1291,1545,1405
22-03 22:07:15,0,284,245,544
22-03 22:07:16,0,614,1139,721
22-03 22:07:17,0,154,114,107
22-03 22:07:18,0,1320,1565,1793
22-03 22:07:19,0,1519,1396,1385
22-03 22:07:20,0,26,151,301
22-03 22:07:21,0,106,318,5857
22-03 22:07:22,0,4,447,313
22-03 22:07:23,0,1936,1975,2114
22-03 22:07:24,0,1316,1424,1812
22-03 22:07:25,0,529,914,789
22-03 22:07:26,0,4,177,181
22-03 22:07:27,0,261,479,475
22-03 22:07:28,0,1325,1450,1484
22-03 22:07:29,0,1343,1796,1548
22-03 22:07:30,0,254,409,1062
22-03 22:07:31,0,1202,1090,676
22-03 22:07:32,0,24,247,135
22-03 22:07:33,0,1378,1454,1556
22-03 22:07:34,0,1277,1549,1552
22-03 22:07:35,0,308,252,311
22-03 22:07:36,0,48,546,212
22-03 22:07:37,0,618,552,632
22-03 22:07:38,0,1740,2169,7740
22-03 22:07:39,0,53949,75447,23774
22-03 22:07:40,0,1234,1477,1503
22-03 22:07:41,0,73,2744,2684
22-03 22:07:42,0,41,1363,1098
22-03 22:07:43,0,1547,2213,2220
22-03 22:07:44,0,1263,2504,1563
22-03 22:07:45,0,6698,8738,3401
22-03 22:07:46,0,387,1544,1430
22-03 22:07:47,0,255,1074,939
22-03 22:07:48,0,1334,2323,2805
22-03 22:07:49,0,74,1329,936
22-03 22:07:50,0,1734,2366,2366
22-03 22:07:51,0,254,1139,18738
22-03 22:07:52,0,26,953,960
22-03 22:07:53,0,1366,2343,2346
22-03 22:07:54,0,346,1361,1178
22-03 22:07:55,0,1523,2208,2330
22-03 22:07:56,0,27,1325,956
22-03 22:07:57,0,109,998,1351
22-03 22:07:58,0,1333,2509,7236
22-03 22:07:59,0,251,1002,1133
22-03 22:08:00,0,1334,2432,2305
22-03 22:08:01,0,324,1550,1295
22-03 22:08:02,0,2002,1980,1696
22-03 22:08:03,0,1552,1469,1446
22-03 22:08:04,0,22,242,531
22-03 22:08:05,0,1537,1734,36832
22-03 22:08:06,0,28,139,13767
22-03 22:08:07,0,259,288,2432
22-03 22:08:08,0,1322,1415,1545
22-03 22:08:09,0,200,932,505
22-03 22:08:10,0,1275,1416,1955
22-03 22:08:11,0,261,254,138
22-03 22:08:12,0,260,359,208
22-03 22:08:13,0,1366,1515,1534
22-03 22:08:14,0,322,470,467
22-03 22:08:15,0,1514,1812,1541
22-03 22:08:16,0,71,191,753
22-03 22:08:17,0,105,676,1029
22-03 22:08:18,0,1323,1559,1393
22-03 22:08:19,0,1321,1561,885
22-03 22:08:20,0,1332,1634,1550
22-03 22:08:21,0,97,150,264
22-03 22:08:22,0,7,534,685
22-03 22:08:23,0,1544,1411,1403
22-03 22:08:24,0,54864,77081,26223
22-03 22:08:25,0,1339,4698,4876
22-03 22:08:26,0,614,559,392
22-03 22:08:27,0,252,122,116
22-03 22:08:28,0,1317,1874,1630
22-03 22:08:29,0,72,119,128
22-03 22:08:30,0,1379,1622,8443
22-03 22:08:31,0,321,433,17098
22-03 22:08:32,0,23,2503,2680
22-03 22:08:33,0,1552,1733,1578
22-03 22:08:34,0,3,98,94
22-03 22:08:35,0,1530,1797,1531
22-03 22:08:36,0,83,409,395
22-03 22:08:37,0,73,265,518
22-03 22:08:38,0,458,448,355
22-03 22:08:39,0,1676,1388,7410
22-03 22:08:40,0,1496,1781,1666
22-03 22:08:41,0,71,102,226
22-03 22:08:42,0,29,595,187
22-03 22:08:43,0,249,141,518
22-03 22:08:44,0,1315,1541,1583
22-03 22:08:45,0,1365,1443,1653
22-03 22:08:46,0,937,1249,20697
22-03 22:08:47,0,423,302,310
22-03 22:08:48,0,50,549,288
22-03 22:08:49,0,1362,1442,1433
22-03 22:08:50,0,1274,1560,1808
22-03 22:08:51,0,567,267,254
22-03 22:08:52,0,43,141,2097
22-03 22:08:53,0,73,303,180
22-03 22:08:54,0,1978,2801,2359
22-03 22:08:55,0,1659,2236,1600
22-03 22:08:56,0,26,137,542
22-03 22:08:57,0,79,266,136
22-03 22:08:58,0,30,135,104
22-03 22:08:59,0,1301,1527,1524
22-03 22:09:00,0,1545,1453,1473
22-03 22:09:01,0,323,826,697
22-03 22:09:02,0,1561,1419,1391
22-03 22:09:03,0,459,411,671
22-03 22:09:04,0,1576,2045,2110
22-03 22:09:05,0,1333,1405,1530
22-03 22:09:06,0,4,259,133
22-03 22:09:07,0,35,130,229
22-03 22:09:08,0,414,718,611
22-03 22:09:09,0,55760,77536,25871
22-03 22:09:10,0,1309,1890,2110
22-03 22:09:11,0,21,111,113
22-03 22:09:12,0,265,252,272
22-03 22:09:13,0,95,124,105
22-03 22:09:14,0,1346,1526,1662
22-03 22:09:15,0,8536,10389,8180
22-03 22:09:16,0,288,123,575
22-03 22:09:17,0,204,404,275
22-03 22:09:18,0,3,117,119
22-03 22:09:19,0,1321,1954,2394
22-03 22:09:20,0,867,2704,2896
22-03 22:09:21,0,746,1390,1486
22-03 22:09:22,0,161,293,320
22-03 22:09:23,0,31,269,710
22-03 22:09:24,0,1717,1582,1444
22-03 22:09:25,0,233,569,436
22-03 22:09:26,0,1268,1454,1459
22-03 22:09:27,0,5,121,247
22-03 22:09:28,0,760,673,469
22-03 22:09:29,0,2333,2598,2149
22-03 22:09:30,0,86,792,440
22-03 22:09:31,0,1307,1466,1881
22-03 22:09:32,0,790,797,457
22-03 22:09:33,0,72,124,141
22-03 22:09:34,0,1320,1824,1555
22-03 22:09:35,0,5,104,101
22-03 22:09:36,0,1757,1812,2026
22-03 22:09:37,0,97,135,104
22-03 22:09:38,0,4,115,497
22-03 22:09:39,0,1498,1782,6340
22-03 22:09:40,0,570,818,972
22-03 22:09:41,0,1342,1793,1399
22-03 22:09:42,0,3,326,320
22-03 22:09:43,0,163,406,569
22-03 22:09:44,0,1551,1475,1469
22-03 22:09:45,0,74,258,261
22-03 22:09:46,0,1292,1428,1400
22-03 22:09:47,0,356,488,420
22-03 22:09:48,0,269,581,225
22-03 22:09:49,0,1384,1423,1792
22-03 22:09:50,0,125,415,356
22-03 22:09:51,0,1273,1411,1388
22-03 22:09:52,0,730,417,454
22-03 22:09:53,0,72,110,107
22-03 22:09:54,0,2863,5084,3259
22-03 22:09:55,0,29,129,253
22-03 22:09:56,0,1546,2004,2273
22-03 22:09:57,0,75,134,114
22-03 22:09:58,0,64,183,293
22-03 22:09:59,0,1296,1561,1706
22-03 22:10:00,0,280,177,314
22-03 22:10:01,0,1375,1869,1441
22-03 22:10:02,0,1871,1773,1499
22-03 22:10:03,0,5,251,374
22-03 22:10:04,0,1999,1534,1677
22-03 22:10:05,0,920,1429,554
22-03 22:10:06,0,1270,1401,1398
22-03 22:10:07,0,35,586,284
22-03 22:10:08,0,274,137,134
22-03 22:10:09,0,1513,1782,2504
22-03 22:10:10,0,27,687,673
22-03 22:10:11,0,1294,2362,2498
22-03 22:10:12,0,274,335,210
22-03 22:10:13,0,100,202,312
22-03 22:10:14,0,630,1059,473
22-03 22:10:15,0,687,873,1453
22-03 22:10:16,0,1550,1538,1433
22-03 22:10:17,0,680,494,2551
22-03 22:10:18,0,10,271,355
22-03 22:10:19,0,42,192,431
22-03 22:10:20,0,1591,1884,2386
22-03 22:10:21,0,1339,1421,1421
22-03 22:10:22,0,35,276,514
22-03 22:10:23,0,47,213,7118
22-03 22:10:24,0,681,576,584
22-03 22:10:25,0,1387,1735,2284
22-03 22:10:26,0,1269,1434,1543
22-03 22:10:27,0,6,951,558
22-03 22:10:28,0,277,119,265
22-03 22:10:29,0,538,419,694
22-03 22:10:30,0,1300,1410,1391
22-03 22:10:31,0,1304,1699,1679
22-03 22:10:32,0,1191,2549,1661
22-03 22:10:33,0,274,736,503
22-03 22:10:34,0,26,191,166
22-03 22:10:35,0,1295,1398,1787
22-03 22:10:36,0,1539,1551,1437
22-03 22:10:37,0,5514,6603,1079
22-03 22:10:38,0,37,749,994
22-03 22:10:39,0,905,1046,451
22-03 22:10:40,0,2125,2711,2038
22-03 22:10:41,0,1830,1581,1674
22-03 22:10:42,0,4,312,441
22-03 22:10:43,0,27,213,186
22-03 22:10:44,0,266,269,260
22-03 22:10:45,0,6472,7531,2913
22-03 22:10:46,0,1304,1837,5558
22-03 22:10:47,0,171,326,120
22-03 22:10:48,0,258,253,506
22-03 22:10:49,0,37,128,124
22-03 22:10:50,0,1367,1452,1568
22-03 22:10:51,0,1285,1556,1436
22-03 22:10:52,0,5701,6564,1626
22-03 22:10:53,0,479,1609,1244
22-03 22:10:54,0,101,155,244
22-03 22:10:55,0,1371,1713,1731
22-03 22:10:56,0,19486,19978,7786
22-03 22:10:57,0,12481,13431,12837
22-03 22:10:58,0,104,155,269
22-03 22:10:59,0,341,2546,2468
22-03 22:11:00,0,6621,7961,2524
22-03 22:11:01,0,968,1097,2731
22-03 22:11:02,0,2149,2168,2079
22-03 22:11:03,0,3,149,3546
22-03 22:11:04,0,188,368,231
22-03 22:11:05,0,1297,1433,4153
22-03 22:11:06,0,599,1069,734
22-03 22:11:07,0,6616,7729,2153
22-03 22:11:08,0,294,571,51630
22-03 22:11:09,0,13,118,138
22-03 22:11:10,0,2669,4378,4748
22-03 22:11:11,0,21,337,332
22-03 22:11:12,0,1599,1905,12744
22-03 22:11:13,0,36,137,134
22-03 22:11:14,0,87,1580,1831
22-03 22:11:15,0,7711,9164,2991
22-03 22:11:16,0,186,379,367
22-03 22:11:17,0,1458,1588,1469
22-03 22:11:18,0,533,259,381
22-03 22:11:19,0,422,1214,531
22-03 22:11:20,0,1469,1400,1800
22-03 22:11:21,0,14,266,409
22-03 22:11:22,0,6782,7872,2207
22-03 22:11:23,0,20,260,250
22-03 22:11:24,0,15,122,115
22-03 22:11:25,0,1679,2018,1553
22-03 22:11:26,0,75,225,209
22-03 22:11:27,0,1297,1507,2630
22-03 22:11:28,0,14,252,129
22-03 22:11:29,0,195,162,1401
22-03 22:11:30,0,2998,4934,8015
22-03 22:11:31,0,45,140,290
22-03 22:11:32,0,1449,2109,1584
22-03 22:11:33,0,176,121,403
22-03 22:11:34,0,98,269,501
22-03 22:11:35,0,1319,1507,6558
22-03 22:11:36,0,208,723,267
22-03 22:11:37,0,2370,3340,9225
22-03 22:11:38,0,73,316,581
22-03 22:11:39,0,5,386,276
22-03 22:11:40,0,1378,2284,2600
22-03 22:11:41,0,266,254,607
22-03 22:11:42,0,1803,1659,1777
22-03 22:11:43,0,139,384,295
22-03 22:11:44,0,17,119,109
22-03 22:11:45,0,7119,8368,2437
22-03 22:11:46,0,101,128,217
22-03 22:11:47,0,30562,50767,22023
22-03 22:11:48,0,21347,23255,1296
22-03 22:11:49,0,284,192,322
22-03 22:11:50,0,1880,2269,4456
22-03 22:11:51,0,688,957,1267
22-03 22:11:52,0,6766,8325,2537
22-03 22:11:53,0,295,305,2262
22-03 22:11:54,0,74,284,521
22-03 22:11:55,0,506,473,615
22-03 22:11:56,0,1305,4200,4196
22-03 22:11:57,0,1576,1806,7051
22-03 22:11:58,0,101,268,241
22-03 22:11:59,0,10,378,140
22-03 22:12:00,0,56,398,1152
22-03 22:12:01,0,1585,1419,1420
22-03 22:12:02,0,2874,2733,2850
22-03 22:12:03,0,3,248,116
22-03 22:12:04,0,228,365,907
22-03 22:12:05,0,271,516,332
22-03 22:12:06,0,1361,1402,1531
22-03 22:12:07,0,1764,1731,1839
22-03 22:12:08,0,7,119,107
22-03 22:12:09,0,271,262,280
22-03 22:12:10,0,282,395,324
22-03 22:12:11,0,1540,1837,1841
22-03 22:12:12,0,1280,1662,1398
22-03 22:12:13,0,293,132,520
22-03 22:12:14,0,117,293,356
22-03 22:12:15,0,3,125,408
22-03 22:12:16,0,1302,2192,2061
22-03 22:12:17,0,1879,1757,1939
22-03 22:12:18,0,184,671,272
22-03 22:12:19,0,498,282,296
22-03 22:12:20,0,6,261,542
22-03 22:12:21,0,1567,1534,1551
22-03 22:12:22,0,1370,1585,1566
22-03 22:12:23,0,4,105,103
22-03 22:12:24,0,6,251,259
22-03 22:12:25,0,2034,2523,5887
22-03 22:12:26,0,1366,1400,1780
22-03 22:12:27,0,1280,1590,1462
22-03 22:12:28,0,9,116,239
22-03 22:12:29,0,270,235,133
22-03 22:12:30,0,73,159,285
22-03 22:12:31,0,1630,1973,1560
22-03 22:12:32,0,1748,2728,11045
22-03 22:12:33,0,1865,3532,2663
22-03 22:12:34,0,100,194,179
22-03 22:12:35,0,61,363,299
22-03 22:12:36,0,1331,1463,1445
22-03 22:12:37,0,1425,1163,1861
22-03 22:12:38,0,234,818,1844
22-03 22:12:39,0,1305,1759,575
22-03 22:12:40,0,91,536,1191
22-03 22:12:41,0,1570,1716,1733
22-03 22:12:42,0,75,1075,1404
22-03 22:12:43,0,1296,2272,2622
22-03 22:12:44,0,458,1513,1271
22-03 22:12:45,0,274,1001,1442
22-03 22:12:46,0,1557,2695,2766
22-03 22:12:47,0,5,1657,1638
22-03 22:12:48,0,1386,2495,2593
22-03 22:12:49,0,308,969,1482
22-03 22:12:50,0,71,936,1060
22-03 22:12:51,0,1296,2750,2606
22-03 22:12:52,0,6,930,1057
22-03 22:12:53,0,1656,2511,3146
22-03 22:12:54,0,72,949,1074
22-03 22:12:55,0,202,1312,1021
22-03 22:12:56,0,1752,2399,2491
22-03 22:12:57,0,272,1336,991
22-03 22:12:58,0,1356,2226,2193
22-03 22:12:59,0,5,1061,1319
22-03 22:13:00,0,199,1179,1231
22-03 22:13:01,0,1599,1732,1742
22-03 22:13:02,0,1612,1728,1698
22-03 22:13:03,0,1384,1597,1656
22-03 22:13:04,0,15,560,159
22-03 22:13:05,0,273,109,258
22-03 22:13:06,0,1369,1600,1731
22-03 22:13:07,0,65,204,140
22-03 22:13:08,0,1768,1728,11189
