"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/proc_int_net_udp_aio_lock_io.csv --proc --int --net --udp --aio --lock --io 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"procs",,,"interrupts",,,"net/total",,"udp",,"async","file locks",,,,"io/total",
0,0,0,0,18,0,229,187,17,7,0,56,12,10,58,0,0
1,0,0,0,16,0,0,358,17,7,0,56,12,10,58,0,0
1,2,8,0,15,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,15,0,298,1707,17,7,0,56,12,10,58,0,40
0,0,8,0,51,0,17163,4193,17,7,0,56,12,10,58,6,114
0,0,0,0,22,0,523,206,17,7,0,56,12,10,58,0,0
1,0,0,0,18,0,175,358,17,7,0,56,12,10,58,0,0
1,0,8,0,15,0,0,0,17,7,0,56,12,10,58,0,0
1,0,0,0,14,0,0,0,17,7,0,56,12,10,58,0,26
1,0,8,0,16,0,0,0,17,7,0,56,12,10,58,4,98
1,0,1,0,33,0,0,0,17,7,0,56,12,10,58,0,0
0,0,8,0,16,0,0,358,17,7,0,56,12,10,58,0,0
0,0,8,0,14,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,17,0,298,1707,17,7,0,56,12,10,58,0,16
1,0,8,0,45,0,18138,8191,17,7,0,56,12,10,58,0,324
0,0,0,0,34,0,16139,2855,17,7,0,56,12,10,58,0,0
1,0,0,0,37,0,0,0,17,7,0,56,12,10,58,0,0
0,0,8,0,16,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,17,0,70,0,17,7,0,56,12,10,58,0,0
0,0,8,0,24,0,817,743,17,7,0,56,12,10,58,0,126
1,0,0,0,20,0,311,187,17,7,0,56,12,10,58,0,0
0,0,0,0,16,0,0,0,17,7,0,56,12,10,58,0,0
1,0,8,0,39,0,548,559,17,7,0,56,12,10,58,0,0
1,0,1,0,22,0,512,445,17,7,0,56,12,10,58,0,0
0,0,8,0,14,0,0,0,17,7,0,56,12,10,58,0,0
1,0,0,0,20,0,1249,3192,17,7,0,56,12,10,58,0,128
2,0,0,0,28,0,15972,2668,17,7,0,56,12,10,58,0,0
0,0,8,0,15,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,44,0,167,187,17,7,0,56,12,10,58,0,0
0,0,8,0,13,0,0,0,17,7,0,56,12,10,58,0,0
2,0,1,0,24,0,2148,2380,17,7,0,56,12,10,58,0,318
0,0,0,0,17,0,0,0,17,7,0,56,12,10,58,0,0
0,0,8,0,13,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,13,0,0,0,17,7,0,56,12,10,58,0,0
0,0,8,0,47,0,56,74,17,7,0,56,12,10,58,0,0
0,0,1,0,18,0,315,625,17,7,0,56,12,10,58,0,160
1,0,0,0,27,0,1502,3485,17,7,0,56,12,10,58,0,0
1,0,8,0,28,0,16012,2748,17,7,0,56,12,10,58,0,0
1,0,0,0,16,0,0,358,17,7,0,56,12,10,58,0,0
1,0,8,0,17,0,167,259,17,7,0,56,12,10,58,0,0
1,0,0,0,53,0,229,187,17,7,0,56,12,10,58,0,146
0,0,0,0,23,0,586,603,17,7,0,56,12,10,58,0,0
1,0,7,0,14,0,80,40,17,7,0,56,12,10,58,0,0
0,0,1,0,14,0,0,0,17,7,0,56,12,10,58,0,0
1,0,8,0,18,0,424,358,17,7,0,56,12,10,58,0,0
0,0,0,0,14,0,0,0,17,7,0,56,12,10,58,0,142
0,0,0,0,33,0,0,0,17,7,0,56,12,10,58,0,0
1,0,1,0,21,0,1249,3192,17,7,0,56,12,10,58,0,0
0,0,8,0,29,0,15972,2668,17,7,0,56,12,10,58,0,0
1,0,8,0,16,0,0,358,17,7,0,56,12,10,58,0,0
0,0,0,0,13,0,82,0,17,7,0,56,12,10,58,0,370
1,0,0,0,14,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,34,0,0,0,17,7,0,56,12,10,58,0,0
0,0,8,0,14,0,0,0,17,7,0,56,12,10,58,0,0
0,0,8,0,35,0,16625,5754,17,7,0,56,12,10,58,0,0
0,0,0,0,22,0,15353,1169,17,7,0,56,12,10,58,0,98
0,0,0,0,15,0,0,0,17,7,0,56,12,10,58,0,0
1,0,0,0,15,0,0,0,17,7,0,56,12,10,58,0,0
1,0,8,0,54,0,1786,4677,17,7,0,56,12,10,58,0,0
2,0,9,0,26,0,15811,1669,17,7,0,56,12,10,58,0,0
1,0,0,0,18,0,229,545,17,7,0,56,12,10,58,0,38
0,0,0,0,15,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,14,0,0,0,17,7,0,56,12,10,58,0,0
0,0,8,0,14,0,46,0,17,7,0,56,12,10,58,0,0
1,0,8,0,49,0,46,0,17,7,0,56,12,10,58,0,0
1,0,0,0,16,0,0,358,17,7,0,56,12,10,58,0,24
1,0,0,0,19,0,569,0,17,7,0,56,12,10,58,0,352
0,0,0,0,15,0,175,0,17,7,0,56,12,10,58,0,0
1,0,8,0,13,0,0,0,17,7,0,56,12,10,58,0,0
1,0,8,0,31,0,2043,4490,17,7,0,56,12,10,58,0,0
0,0,0,0,47,0,10964,610,17,7,0,56,12,10,58,0,0
0,0,10,0,22,0,7158,1318,17,7,0,56,12,10,58,0,202
1,0,1,0,13,0,0,0,17,7,0,56,12,10,58,0,14
1,0,8,0,16,0,167,187,17,7,0,56,12,10,58,0,46
3,0,8,0,16,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,18,0,167,545,17,7,0,56,12,10,58,0,0
1,0,0,0,34,0,0,0,17,7,0,56,12,10,58,0,42
1,0,0,0,14,0,0,0,17,7,0,56,12,10,58,0,0
1,0,8,0,15,0,70,0,17,7,0,56,12,10,58,0,0
1,0,8,0,19,0,427,511,17,7,0,56,12,10,58,0,12
0,0,0,0,19,0,759,430,17,7,0,56,12,10,58,0,0
1,0,0,0,31,0,1417,3656,17,7,0,56,12,10,58,0,116
0,0,0,0,48,0,16012,2748,17,7,0,56,12,10,58,0,0
2,0,8,0,15,0,0,0,17,7,0,56,12,10,58,0,0
0,0,9,0,12,0,0,0,17,7,0,56,12,10,58,0,40
0,0,0,0,13,0,0,0,17,7,0,56,12,10,58,0,0
2,0,0,0,15,0,0,358,17,7,0,56,12,10,58,4,316
0,0,0,0,17,0,78,106,17,7,0,56,12,10,58,0,0
0,0,8,0,36,0,0,920,20,7,0,56,12,10,58,0,0
0,0,8,0,15,0,0,920,20,7,0,56,12,10,58,0,20
0,0,0,0,15,0,0,920,20,7,0,56,12,10,58,0,0
1,0,0,0,19,0,0,1278,20,7,0,56,12,10,58,4,76
1,0,0,0,22,0,1249,3192,20,7,0,56,12,10,58,0,0
0,0,8,0,30,0,16012,2748,17,7,0,56,12,10,58,0,0
0,0,8,0,39,0,424,0,17,7,0,56,12,10,58,0,0
1,0,0,0,20,0,223,261,17,7,0,56,12,10,58,0,16
0,0,1,0,14,0,0,358,17,7,0,56,12,10,58,0,28
0,0,0,0,14,0,0,0,17,7,0,56,12,10,58,0,0
0,0,8,0,14,0,0,0,17,7,0,56,12,10,58,0,0
0,0,8,0,14,0,167,259,17,7,0,56,12,10,58,0,0
0,0,0,0,35,0,229,187,17,7,0,56,12,10,58,0,10
2,0,0,0,14,0,0,0,17,7,0,56,12,10,58,0,278
2,0,0,0,21,0,194,358,17,7,0,56,12,10,58,0,0
0,0,8,0,21,0,1249,3192,17,7,0,56,12,10,58,0,0
4,0,1,0,32,0,16252,2748,17,7,0,56,12,10,58,0,0
0,0,7,0,16,0,167,0,17,7,0,56,12,10,58,0,0
0,0,0,0,42,0,0,0,17,7,0,56,12,10,58,0,172
0,0,0,0,16,0,0,358,17,7,0,56,12,10,58,0,0
1,0,9,0,11,0,0,0,17,7,0,56,12,10,58,0,0
0,0,0,0,12,0,0,0,17,7,0,56,12,10,58,0,0
0,0,8,0,15,0,82,0,17,7,0,56,12,10,58,0,0
0,1,0,0,15,0,0,0,17,7,0,56,12,10,58,0,0
1,0,0,0,27,0,0,358,17,7,0,56,12,10,58,0,70
