"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/int_raw_aio_net_cpu.csv --int --raw --aio --net --cpu 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"interrupts",,,"raw","async","net/total",,"total cpu usage",,,,
0,117,0,0,0,5750,6850,9.677,3.474,86.725,0.124,0
0,117,0,0,0,6616,7952,9.530,3.218,87.252,0,0
0,112,0,0,0,5880,7316,9.340,2.864,87.671,0.125,0
0,145,0,0,0,23415,13278,8.955,3.731,87.313,0,0
0,155,0,0,0,6241,7793,9.926,2.854,86.973,0.248,0
0,119,0,0,0,5750,6850,9.383,2.963,86.914,0.741,0
0,118,0,0,0,5860,7681,10.012,2.719,87.268,0,0
0,118,0,0,0,5880,7227,8.511,2.753,88.611,0.125,0
0,119,0,0,0,6146,6969,9.340,3.362,87.298,0,0
0,122,0,0,0,5934,7318,8.794,2.513,88.568,0.126,0
0,152,0,0,0,5880,6576,10.571,2.795,85.905,0.729,0
0,140,0,0,0,9477,18550,9.630,3.210,87.037,0.123,0
0,120,0,0,0,6008,7262,8.375,3.250,88.375,0,0
0,135,0,0,0,21952,13735,10.864,3.457,85.556,0.123,0
0,149,0,0,0,24595,13409,9.248,3.206,87.300,0.247,0
0,116,0,0,0,5995,6968,9.057,3.226,86.973,0.744,0
0,156,0,0,0,5750,7414,10.074,2.948,86.855,0.123,0
0,118,0,0,0,5860,7044,9.394,2.967,87.639,0,0
0,133,0,0,0,8322,11850,8.990,3.695,87.192,0.123,0
0,136,0,0,0,17811,12372,12.500,3.676,83.578,0.245,0
0,117,0,0,0,5957,7179,9.804,4.167,86.029,0,0
0,115,0,0,0,5880,6968,10.662,3.431,85.784,0.123,0
0,183,0,0,0,23007,14046,10.062,3.602,86.211,0.124,0
0,119,0,0,0,5917,7174,11.179,4.010,84.812,0,0
0,138,0,0,0,21766,12211,10.370,3.457,86.049,0.123,0
0,128,0,0,0,7344,8145,8.437,3.970,87.221,0.372,0
0,120,0,0,0,6052,6925,9.926,3.431,86.520,0.123,0
0,123,0,0,0,5860,7921,9.756,3.415,86.829,0,0
0,156,0,0,0,6313,7224,9.975,3.571,86.330,0.123,0
0,116,0,0,0,5750,6850,10.710,3.362,85.928,0,0
0,118,0,0,0,5860,7186,10.404,3.550,85.924,0.122,0
0,115,0,0,0,5750,6968,9.383,3.457,87.037,0.123,0
0,115,0,0,0,5954,7208,9.542,3.594,86.865,0,0
0,118,0,0,0,5860,7044,9.180,3.794,86.903,0.122,0
0,166,0,0,0,6706,9599,10.012,3.337,86.650,0,0
0,165,0,0,0,39850,18047,9.901,3.218,86.757,0.124,0
0,115,0,0,0,5836,7098,9.360,3.325,86.946,0.369,0
0,118,0,0,0,5750,6987,9.606,3.695,86.700,0,0
0,122,0,0,0,5966,7623,9.524,4.640,85.714,0.122,0
0,129,0,0,0,7032,7991,11.605,3.580,84.815,0,0
0,154,0,0,0,5856,6987,9.951,2.826,87.101,0.123,0
0,131,0,0,0,7871,14268,9.889,2.967,86.774,0.371,0
0,131,0,0,0,7403,10279,8.712,3.804,87.362,0.123,0
0,137,0,0,0,36399,10585,9.642,3.708,86.527,0.124,0
0,117,0,0,0,6029,7332,9.670,3.672,86.659,0,0
0,155,0,0,0,17858,100064,10.111,3.946,85.820,0.123,0
0,198,0,0,0,29395,17437,13.129,5.644,80.982,0.245,0
0,156,0,0,0,17860,18901,17.343,4.182,77.860,0.615,0
0,131,0,0,0,6689,10395,9.046,4.213,86.617,0.124,0
0,125,0,0,0,6094,7337,9.804,3.676,86.275,0.245,0
0,149,0,0,0,51343,9876,14.024,3.902,81.829,0.244,0
0,115,0,0,0,5860,7025,10.571,3.402,85.905,0.122,0
0,158,0,0,0,5750,6850,10.231,4.629,85.018,0.122,0
0,113,0,0,0,5750,6992,9.594,4.182,86.224,0,0
0,124,0,0,0,6343,8587,9.756,4.634,85.488,0.122,0
0,115,0,0,0,5750,7774,8.416,3.465,88.119,0,0
0,131,0,0,0,7653,12600,10.468,3.941,85.222,0.369,0
0,129,0,0,0,22108,9309,8.856,3.567,87.577,0,0
0,150,0,0,0,5750,6850,9.046,4.890,85.941,0.122,0
0,120,0,0,0,6027,7349,9.214,3.317,87.469,0,0
0,118,0,0,0,5880,6850,9.914,3.060,86.903,0.122,0
0,114,0,0,0,5750,6850,8.979,4.182,86.716,0.123,0
0,115,0,0,0,5860,7044,9.902,3.790,86.308,0,0
0,121,0,0,0,6023,7155,9.180,4.774,85.924,0.122,0
0,169,0,0,0,6966,8110,9.337,3.317,87.346,0,0
0,123,0,0,0,6852,8017,10.269,4.034,85.575,0.122,0
0,122,0,0,0,8590,9534,10.159,4.162,85.190,0.490,0
0,142,0,0,0,23081,13159,10.370,4.568,85.062,0,0
0,121,0,0,0,6146,7296,10.488,4.634,84.756,0.122,0
0,117,0,0,0,5828,6956,9.705,4.177,85.995,0.123,0
0,146,0,0,0,5860,7186,9.257,3.898,86.724,0.122,0
0,139,0,0,0,10350,17929,9.756,4.024,86.098,0.122,0
0,115,0,0,0,5860,6907,8.458,2.736,88.806,0,0
0,112,0,0,0,5750,6850,9.035,4.518,86.325,0.122,0
0,116,0,0,0,6103,7450,10.194,3.762,86.044,0,0
0,116,0,0,0,5860,7402,9.717,3.321,86.839,0.123,0
0,143,0,0,0,5750,6850,11.288,3.558,84.908,0.245,0
0,124,0,0,0,6178,8699,11.152,4.242,84.485,0.121,0
0,141,0,0,0,22825,11529,9.877,3.580,86.543,0,0
0,118,0,0,0,7207,12154,9.248,3.822,86.806,0.123,0
0,119,0,0,0,5946,7402,10,4.390,85.610,0,0
0,118,0,0,0,5922,6956,10.391,3.178,86.064,0.367,0
0,158,0,0,0,5750,6850,10.391,3.056,86.430,0.122,0
0,119,0,0,0,6157,7368,9.681,4.289,86.029,0,0
0,116,0,0,0,6029,7592,9.271,3.461,87.145,0.124,0
0,118,0,0,0,7913,7077,9.113,3.079,87.808,0,0
0,120,0,0,0,5990,7402,9.459,2.948,87.346,0.246,0
0,117,0,0,0,5917,6900,8.813,3.794,87.271,0.122,0
0,184,0,0,0,10167,14331,10.282,3.672,85.924,0.122,0
0,132,0,0,0,22114,8546,8.845,3.931,87.101,0.123,0
0,116,0,0,0,5750,7110,8.911,3.218,87.871,0,0
0,120,0,0,0,5860,7589,10.074,3.194,86.609,0.123,0
0,114,0,0,0,5917,6850,9.594,3.813,86.470,0.123,0
0,112,0,0,0,5750,6850,9.170,3.717,87.113,0,0
0,163,0,0,0,6481,7899,9.170,3.841,86.865,0.124,0
0,116,0,0,0,5750,6850,9.547,3.305,87.026,0.122,0
0,119,0,0,0,5860,7402,9.506,2.840,87.654,0,0
0,117,0,0,0,5824,6850,10.136,3.956,85.785,0.124,0
0,118,0,0,0,5880,7110,10.111,3.699,86.067,0.123,0
0,139,0,0,0,23263,13128,9.753,4.074,86.173,0,0
0,161,0,0,0,6116,7239,10.319,3.071,86.486,0.123,0
0,146,0,0,0,19409,21084,9.601,2.743,87.656,0,0
0,130,0,0,0,8895,9404,15.148,2.833,81.897,0.123,0
0,146,0,0,0,22206,14967,9.530,3.342,87.005,0.124,0
0,121,0,0,0,8581,8578,10.617,3.951,85.309,0.123,0
0,129,0,0,0,24101,10574,9.741,3.083,87.176,0,0
0,163,0,0,0,13127,94255,9.618,3.329,87.053,0,0
0,123,0,0,0,5990,7402,9.035,3.094,87.624,0.248,0
0,122,0,0,0,6146,7296,9.693,3.804,86.380,0.123,0
0,118,0,0,0,6048,8260,9.901,3.589,86.386,0.124,0
0,137,0,0,0,22783,11794,10.391,2.934,86.553,0.122,0
0,115,0,0,0,5750,6850,8.250,2.875,88.750,0.125,0
0,158,0,0,0,5860,7402,10.714,3.448,85.714,0.123,0
0,118,0,0,0,5986,6850,10.197,3.563,86.241,0,0
0,121,0,0,0,6347,7337,9.864,3.576,86.190,0.370,0
0,133,0,0,0,7373,11676,9.889,3.090,86.897,0.124,0
0,129,0,0,0,21454,9162,10.012,2.719,87.268,0,0
0,114,0,0,0,5924,7071,8.426,2.850,88.600,0.124,0
0,167,0,0,0,8005,8775,9.001,4.192,86.683,0.123,0
0,114,0,0,0,5750,6850,8.593,2.615,88.667,0.125,0
0,128,0,0,0,7646,11839,9.852,3.202,86.823,0.123,0
0,128,0,0,0,21426,8402,10.086,3.321,86.593,0,0
0,116,0,0,0,5880,7208,9.448,3.436,86.994,0.123,0
0,116,0,0,0,6027,7231,8.831,3.607,87.562,0,0
0,142,0,0,0,6241,7587,9.494,3.206,87.176,0.123,0
0,115,0,0,0,5880,6992,9.677,2.978,87.221,0.124,0
0,120,0,0,0,6113,7592,9.565,3.106,87.329,0,0
0,115,0,0,0,5750,6850,9.500,2.500,87.875,0.125,0
0,125,0,0,0,6256,7711,9.250,3.250,87.375,0.125,0
0,116,0,0,0,5880,7129,9.113,3.818,86.946,0.123,0
0,140,0,0,0,5750,6850,9.113,2.956,87.931,0,0
0,163,0,0,0,27776,23940,10.172,3.799,85.907,0.123,0
0,118,0,0,0,5917,7042,8.614,2.747,88.514,0.125,0
0,118,0,0,0,5860,7402,9.080,4.353,86.318,0.249,0
0,112,0,0,0,6029,7332,8.614,3.995,87.391,0,0
0,119,0,0,0,5880,6992,9.102,3.198,87.577,0.123,0
0,147,0,0,0,5860,7044,9.282,3.342,87.376,0,0
0,117,0,0,0,5750,6968,9.181,2.730,87.965,0.124,0
0,117,0,0,0,5856,7208,9.114,2.497,88.390,0,0
0,128,0,0,0,7358,10235,8.647,3.759,87.469,0.125,0
0,116,0,0,0,5880,6968,9.001,3.576,87.423,0,0
0,120,0,0,0,6158,8194,9.677,2.978,87.221,0.124,0
0,174,0,0,0,22843,11737,8.966,4.608,86.301,0.125,0
0,120,0,0,0,5917,7258,9.406,3.465,87.129,0,0
0,120,0,0,0,6139,7805,9.429,4.094,86.352,0.124,0
0,116,0,0,0,5864,6753,9.542,2.850,87.485,0.124,0
0,116,0,0,0,5750,7247,9.877,3.210,86.914,0,0
0,116,0,0,0,5860,6907,9.057,2.978,87.841,0.124,0
0,158,0,0,0,6276,7296,8.831,3.234,87.687,0.249,0
0,117,0,0,0,6027,7589,7.538,4.020,88.317,0.126,0
0,115,0,0,0,5750,6992,7.731,3.367,88.903,0,0
0,117,0,0,0,5917,7037,8.820,3.354,87.702,0.124,0
0,135,0,0,0,7439,11534,8.955,3.483,87.313,0.249,0
0,126,0,0,0,21482,8338,8.603,3.242,87.905,0.249,0
0,166,0,0,0,6241,8082,9.512,3.379,87.109,0,0
0,114,0,0,0,5860,6907,8.540,3.342,87.995,0.124,0
0,115,0,0,0,5750,6992,7.789,3.015,89.196,0,0
0,116,0,0,0,6265,7368,9.726,2.494,87.656,0.125,0
0,120,0,0,0,5892,7235,8.447,3.602,87.453,0.497,0
0,122,0,0,0,5972,7510,8.864,3.496,87.516,0.125,0
0,157,0,0,0,6030,7181,8.614,3.620,87.640,0.125,0
0,128,0,0,0,7489,13554,8.989,3.121,87.890,0,0
0,116,0,0,0,5820,6831,9.035,3.218,87.624,0.124,0
0,152,0,0,0,23607,13464,9.023,2.632,87.719,0.627,0
0,120,0,0,0,6347,7690,9.215,3.113,87.547,0.125,0
0,123,0,0,0,5934,7304,7.945,3.026,88.903,0.126,0
0,204,0,0,0,42804,100100,9.938,3.478,86.584,0,0
0,116,0,0,0,5750,6850,9.057,2.978,87.841,0.124,0
0,120,0,0,0,6256,7490,9.689,2.857,87.205,0.248,0
0,114,0,0,0,5750,6850,9.777,3.713,86.262,0.248,0
0,116,0,0,0,5750,7326,8.365,3.870,87.640,0.125,0
0,116,0,0,0,5946,7150,7.779,3.137,88.959,0.125,0
0,151,0,0,0,5880,6992,9.446,2.771,87.783,0,0
0,121,0,0,0,6110,8060,8.922,3.717,87.237,0.124,0
0,136,0,0,0,21516,12559,7.935,2.771,89.295,0,0
0,125,0,0,0,7154,9362,8.922,3.346,87.361,0.372,0
0,115,0,0,0,5860,7968,9.136,3.004,87.735,0.125,0
0,116,0,0,0,6262,7880,8.250,2.875,88.875,0,0
0,148,0,0,0,5924,6850,9.363,2.747,87.765,0.125,0
0,118,0,0,0,6384,9922,8.105,4.489,87.282,0.125,0
0,148,0,0,0,15666,16364,10.520,4.084,85.272,0.124,0
0,121,0,0,0,6186,7296,9.387,3.129,87.484,0,0
0,115,0,0,0,5880,6968,9.328,2.488,88.060,0.124,0
0,118,0,0,0,5917,7179,9.080,2.736,88.184,0,0
0,166,0,0,0,6351,7781,8.375,3.750,87.375,0.500,0
0,135,0,0,0,22931,12710,9.398,3.258,87.093,0.251,0
0,129,0,0,0,6815,7972,9.689,2.733,87.453,0.124,0
0,128,0,0,0,8889,9659,9.114,2.871,88.015,0,0
0,122,0,0,0,6419,7620,8.156,2.635,89.084,0.125,0
0,119,0,0,0,6308,7044,8.543,3.643,87.563,0.251,0
0,155,0,0,0,5750,6850,8.060,3.149,88.539,0.252,0
0,129,0,0,0,9204,17855,9.488,2.996,87.391,0.125,0
0,117,0,0,0,5860,7167,8.944,2.609,88.323,0.124,0
0,140,0,0,0,14049,17917,8.511,3.379,88.110,0,0
0,116,0,0,0,6029,7332,8.761,3.755,87.359,0.125,0
0,127,0,0,0,7069,10378,8.564,4.660,86.650,0.126,0
0,165,0,0,0,21892,9598,9.476,3.117,87.282,0.125,0
0,120,0,0,0,5860,7044,9.714,3.362,86.924,0,0
0,115,0,0,0,5750,6850,7.925,2.642,89.308,0.126,0
0,116,0,0,0,5750,6968,8.291,3.266,88.442,0,0
0,126,0,0,0,7361,12588,8.312,3.778,87.783,0.126,0
0,117,0,0,0,5750,6992,8.761,2.753,88.235,0.250,0
0,158,0,0,0,5750,6968,9.215,2.989,87.671,0.125,0
0,121,0,0,0,6199,7231,7.576,3.283,89.141,0,0
0,123,0,0,0,6029,7611,7.547,3.522,88.805,0.126,0
0,116,0,0,0,8023,7629,9.057,3.722,87.097,0.124,0
0,141,0,0,0,21573,11972,9.285,3.011,87.704,0,0
0,119,0,0,0,7194,7637,8.199,3.851,87.826,0.124,0
0,141,0,0,0,6342,7596,8.145,2.882,88.722,0.251,0
0,116,0,0,0,5824,6850,8.354,2.658,88.481,0.506,0
0,131,0,0,0,11033,12052,8.636,3.129,88.110,0.125,0
0,112,0,0,0,5860,7402,8.125,2.875,89,0,0
0,116,0,0,0,5917,7179,7.673,3.019,89.182,0.126,0
0,118,0,0,0,5966,7402,8.312,2.897,88.791,0,0
0,171,0,0,0,7111,8693,8.798,3.346,87.608,0.248,0
0,117,0,0,0,5876,6956,7.286,3.518,89.070,0.126,0
0,121,0,0,0,5990,7539,8.010,3.004,88.986,0,0
0,138,0,0,0,22931,12710,9.262,3.254,87.359,0.125,0
0,114,0,0,0,5860,7186,8.500,4.250,87.125,0.125,0
0,119,0,0,0,6014,7017,8.647,2.757,88.596,0,0
0,139,0,0,0,5750,6850,8.020,3.634,88.221,0.125,0
0,132,0,0,0,7591,14235,9.148,2.757,87.970,0.125,0
0,113,0,0,0,5820,6831,9.328,2.861,87.811,0,0
0,120,0,0,0,6214,7224,8.020,2.757,89.098,0.125,0
0,128,0,0,0,7099,8485,9.011,3.379,87.484,0.125,0
0,117,0,0,0,6121,7037,8.312,3.275,87.909,0.504,0
0,157,0,0,0,8848,14094,8.636,3.254,87.985,0.125,0
0,160,0,0,0,47443,16436,9.925,2.513,87.563,0,0
0,141,0,0,0,25139,12619,14.604,3.342,81.931,0.124,0
0,137,0,0,0,10039,94240,8.438,2.897,88.665,0,0
0,114,0,0,0,5880,6850,8.166,3.643,88.065,0.126,0
0,114,0,0,0,5750,6968,8.571,3.106,88.199,0.124,0
0,160,0,0,0,6231,7589,8.636,3.504,87.735,0.125,0
0,116,0,0,0,5750,6850,8.853,2.993,88.155,0,0
0,119,0,0,0,6139,7531,8.772,2.632,88.471,0.125,0
0,117,0,0,0,5750,7124,8.166,3.141,88.442,0.251,0
0,120,0,0,0,5880,6968,8.438,4.282,86.902,0.378,0
0,119,0,0,0,6231,7452,8.385,3.129,88.360,0.125,0
0,182,0,0,0,21633,12008,9.273,3.634,87.093,0,0
0,127,0,0,0,7853,7961,8.922,3.346,87.608,0.124,0
0,141,0,0,0,23515,14076,8.040,3.392,88.442,0.126,0
0,113,0,0,0,5750,6968,8.750,2.250,89,0,0
0,120,0,0,0,6231,7589,8.663,2.970,88.243,0.124,0
0,119,0,0,0,6580,7224,8.728,3.117,88.030,0.125,0
0,151,0,0,0,6816,7519,8.511,2.628,88.736,0.125,0
0,116,0,0,0,6072,7441,8.603,4.239,87.032,0.125,0
0,118,0,0,0,5750,6987,8.521,2.882,88.596,0,0
0,118,0,0,0,5750,7071,7.895,3.383,88.596,0.125,0
0,122,0,0,0,6256,7608,9.429,2.730,87.717,0.124,0
0,146,0,0,0,23543,13221,8.908,3.011,87.453,0.627,0
0,157,0,0,0,5860,7049,7.557,3.275,89.169,0,0
0,137,0,0,0,9572,18090,8.091,3.287,88.496,0.126,0
0,117,0,0,0,5750,7189,8.020,3.133,88.847,0,0
0,120,0,0,0,5946,7292,8.561,3.598,87.717,0.124,0
0,118,0,0,0,6400,7519,8.291,3.015,88.442,0.251,0
0,115,0,0,0,5836,7074,8.281,5.772,85.822,0.125,0
0,151,0,0,0,5860,7044,9.080,3.358,87.438,0.124,0
0,120,0,0,0,5880,7350,7.935,4.030,87.909,0.126,0
0,119,0,0,0,6342,7601,7.925,2.767,89.308,0,0
0,120,0,0,0,7276,9540,10,2.875,87,0.125,0
0,137,0,0,0,21796,10389,8.156,2.886,88.833,0.125,0
0,126,0,0,0,8073,12230,8.081,3.157,88.636,0.126,0
0,158,0,0,0,6251,7037,8.550,2.974,88.476,0,0
0,120,0,0,0,6023,7395,8.166,3.392,88.317,0.126,0
0,126,0,0,0,6828,7968,7.925,2.390,89.686,0,0
0,115,0,0,0,5790,6890,7.286,3.518,89.070,0.126,0
0,119,0,0,0,5990,7186,9.114,2.622,87.640,0.624,0
0,119,0,0,0,6915,8107,8.240,3.246,88.514,0,0
0,167,0,0,0,6634,8100,8.219,2.864,88.792,0.125,0
0,116,0,0,0,5934,7044,8.750,2.375,88.875,0,0
0,132,0,0,0,19984,11865,9,3.375,87.500,0.125,0
0,116,0,0,0,5750,6850,8.385,3.254,87.860,0.501,0
0,123,0,0,0,10588,8510,7.421,2.893,89.686,0,0
0,117,0,0,0,6411,7037,8.603,2.369,88.903,0.125,0
0,164,0,0,0,6306,8071,7.519,3.133,89.348,0,0
0,119,0,0,0,5962,7223,8.447,3.478,87.950,0.124,0
0,119,0,0,0,6167,8053,8.489,4.120,87.141,0.250,0
0,140,0,0,0,22797,14060,8.564,2.771,88.539,0.126,0
0,116,0,0,0,5750,6992,9.422,2.764,87.688,0.126,0
0,123,0,0,0,6144,7531,8.010,3.755,88.110,0.125,0
0,159,0,0,0,5860,6907,8.521,3.509,87.970,0,0
0,126,0,0,0,7395,13703,8.886,3.254,87.610,0.250,0
0,145,0,0,0,23151,12847,9.273,2.757,87.845,0.125,0
0,131,0,0,0,8085,10517,8.156,3.388,88.457,0,0
0,118,0,0,0,6029,7690,8.365,2.871,88.639,0.125,0
0,116,0,0,0,5990,7044,8.864,3.496,87.391,0.250,0
0,152,0,0,0,5750,6850,7.915,3.141,88.693,0.251,0
0,129,0,0,0,7369,11482,9.649,2.757,87.594,0,0
0,137,0,0,0,36349,9471,8.532,3.137,88.206,0.125,0
0,141,0,0,0,10980,94822,9,2.750,88.250,0,0
0,122,0,0,0,5860,7402,7.683,3.401,88.791,0.126,0
0,114,0,0,0,5750,6850,8.020,3.634,88.221,0.125,0
0,158,0,0,0,6048,8255,8.417,4.146,87.437,0,0
0,138,0,0,0,22913,11936,10.025,4.511,85.338,0.125,0
0,118,0,0,0,6029,8256,7.931,3.841,88.104,0.124,0
0,113,0,0,0,5750,8132,8.050,3.270,88.553,0.126,0
0,119,0,0,0,5946,8192,8.030,4.141,87.829,0,0
0,128,0,0,0,6246,8622,8.344,2.615,88.917,0.125,0
0,164,0,0,0,5946,7013,8,3,89,0,0
0,118,0,0,0,5880,6850,8.575,2.522,88.777,0.126,0
0,119,0,0,0,6177,7643,8.075,3.851,88.075,0,0
0,122,0,0,0,7140,7712,9.661,3.137,86.575,0.627,0
0,123,0,0,0,6889,8036,8.794,2.513,88.568,0.126,0
0,146,0,0,0,10649,14280,9.476,2.993,87.406,0.125,0
0,177,0,0,0,23234,9135,8.690,2.645,88.539,0.126,0
0,121,0,0,0,5962,7105,8.458,3.234,88.308,0,0
0,119,0,0,0,5860,7186,7.779,3.137,88.959,0.125,0
0,116,0,0,0,5750,6850,7.673,2.264,90.063,0,0
0,122,0,0,0,6146,7757,9.429,2.605,87.841,0.124,0
0,118,0,0,0,5990,7044,9.046,3.841,86.989,0.124,0
0,153,0,0,0,5750,6992,13.350,3.023,83.627,0,0
0,142,0,0,0,9712,20771,8.156,3.764,87.829,0.251,0
0,118,0,0,0,5880,6850,8.625,2.625,88.750,0,0
0,116,0,0,0,6023,6900,8.500,2.750,88.625,0.125,0
0,150,0,0,0,23678,13466,9.398,2.882,87.719,0,0
0,114,0,0,0,5750,6968,8.944,3.354,87.453,0.248,0
0,156,0,0,0,5880,7056,8.081,3.409,88.131,0.379,0
0,118,0,0,0,5860,7186,8.500,3.375,88.125,0,0
0,113,0,0,0,7080,7224,9.273,2.130,88.471,0.125,0
0,131,0,0,0,9566,11481,12.020,3.594,84.263,0.124,0
0,126,0,0,0,16127,9390,8.428,2.264,89.182,0.126,0
0,135,0,0,0,8422,11915,8.966,4.359,86.550,0.125,0
0,181,0,0,0,23334,13208,8.354,2.532,89.114,0,0
0,119,0,0,0,5917,7037,7.935,2.645,89.295,0.126,0
0,124,0,0,0,6534,8801,8.511,3.254,88.235,0,0
0,140,0,0,0,24866,11981,8.447,3.354,87.950,0.248,0
0,113,0,0,0,5750,6850,7.990,4.619,87.141,0.250,0
0,125,0,0,0,6823,8231,8.281,2.886,88.708,0.125,0
0,163,0,0,0,6318,7414,9.204,2.861,87.935,0,0
0,110,0,0,0,5750,6850,8.428,2.390,89.182,0,0
0,119,0,0,0,5860,7044,8.809,3.598,87.469,0.124,0
0,113,0,0,0,5824,6992,7.975,4.177,87.722,0.127,0
0,120,0,0,0,5880,7326,7.915,2.764,89.196,0.126,0
0,115,0,0,0,5860,7044,8.040,3.266,88.568,0.126,0
0,186,0,0,0,22870,14209,7.595,2.785,89.620,0,0
0,152,0,0,0,19697,16017,9.500,3.250,87.125,0.125,0
0,136,0,0,0,24206,11086,8.060,3.778,87.909,0.252,0
0,116,0,0,0,5750,6850,7.500,3.250,89,0.250,0
0,121,0,0,0,5966,7520,7.538,3.015,89.447,0,0
0,122,0,0,0,6462,7173,9.726,4.364,85.786,0.125,0
0,154,0,0,0,5750,6850,7.206,3.540,89.128,0.126,0
0,130,0,0,0,7599,13748,8.166,4.397,87.312,0.126,0
0,116,0,0,0,5820,6968,7.865,3.496,88.514,0.125,0
0,125,0,0,0,6113,7700,8.271,2.757,88.847,0.125,0
0,121,0,0,0,6159,7332,7.692,2.900,89.407,0,0
0,132,0,0,0,11712,12686,8.922,3.470,87.485,0.124,0
0,195,0,0,0,28777,18141,11.995,4.293,83.586,0.126,0
0,119,0,0,0,6626,6976,7.683,3.149,89.043,0.126,0
0,146,0,0,0,22621,13118,9.068,2.771,88.035,0.126,0
0,124,0,0,0,21046,7786,8.761,3.004,88.235,0,0
0,147,0,0,0,10521,94599,9.363,3.246,87.266,0.125,0
0,114,0,0,0,5860,7186,8.020,3.258,88.596,0.125,0
0,157,0,0,0,5880,6850,9.238,3.995,86.642,0.125,0
0,116,0,0,0,5750,7326,8.978,2.743,88.155,0.125,0
0,122,0,0,0,6213,7668,9.250,2.750,88,0,0
0,119,0,0,0,5750,6987,8.228,1.772,89.873,0.127,0
0,119,0,0,0,5880,6968,8.186,3.023,88.665,0.126,0
0,149,0,0,0,24838,14834,8.575,3.153,88.272,0,0
0,150,0,0,0,5750,7071,7.750,2.875,89.250,0.125,0
0,112,0,0,0,5860,7044,8.166,3.015,88.819,0,0
0,112,0,0,0,5750,6992,8.706,2.985,87.935,0.373,0
0,117,0,0,0,5750,6850,8.850,2.655,88.496,0,0
0,123,0,0,0,6688,7162,8.125,3.375,88.375,0.125,0
0,120,0,0,0,6023,7037,8.020,3.008,88.972,0,0
0,148,0,0,0,6347,7690,8.176,2.767,88.805,0.252,0
0,118,0,0,0,6072,7441,8.260,3.254,87.985,0.501,0
0,111,0,0,0,5750,6987,14.393,3.254,82.353,0,0
0,130,0,0,0,7439,11515,9.901,3.837,86.139,0.124,0
0,129,0,0,0,21838,8848,9.398,3.509,87.093,0,0
0,124,0,0,0,7355,13103,7.566,3.657,88.525,0.252,0
0,170,0,0,0,13356,10781,8.010,3.004,88.986,0,0
0,133,0,0,0,10070,18112,8.783,3.262,87.829,0.125,0
0,120,0,0,0,5917,7037,8.302,3.145,88.553,0,0
0,117,0,0,0,5860,7167,7.673,2.767,89.434,0.126,0
0,118,0,0,0,6029,7690,8.344,2.276,88.748,0.632,0
0,117,0,0,0,5860,7044,8.260,2.879,88.736,0.125,0
