"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/net.csv --time --net 1 600",,,,"Date:","22 Mar 2023 22:03:08 -03"
"system","net/total",
22-03 22:04:37,0,0
22-03 22:04:38,0,0
22-03 22:04:39,0,358
22-03 22:04:40,15899,5016
22-03 22:04:41,1404,884
22-03 22:04:42,348,0
22-03 22:04:43,392,62
22-03 22:04:44,119,0
22-03 22:04:45,167,545
22-03 22:04:46,194,0
22-03 22:04:47,0,0
22-03 22:04:48,0,0
22-03 22:04:49,167,0
22-03 22:04:50,9320,5768
22-03 22:04:51,20337,6989
22-03 22:04:52,1653,998
22-03 22:04:53,0,0
22-03 22:04:54,0,0
22-03 22:04:55,0,358
22-03 22:04:56,167,187
22-03 22:04:57,78,106
22-03 22:04:58,0,0
22-03 22:04:59,0,0
22-03 22:05:00,0,0
22-03 22:05:01,0,358
22-03 22:05:02,16345,5734
22-03 22:05:03,876,166
22-03 22:05:04,119,0
22-03 22:05:05,167,187
22-03 22:05:06,0,358
22-03 22:05:07,0,0
22-03 22:05:08,0,0
22-03 22:05:09,0,0
22-03 22:05:10,548,446
22-03 22:05:11,0,358
22-03 22:05:12,167,187
22-03 22:05:13,32183,11737
22-03 22:05:14,2246,757
22-03 22:05:15,650,484
22-03 22:05:16,0,358
22-03 22:05:17,0,0
22-03 22:05:18,0,0
22-03 22:05:19,0,920
22-03 22:05:20,0,920
22-03 22:05:21,0,920
22-03 22:05:22,0,1278
22-03 22:05:23,0,0
22-03 22:05:24,16664,5648
22-03 22:05:25,2198,3301
22-03 22:05:26,30336,3430
22-03 22:05:27,0,358
22-03 22:05:28,0,0
22-03 22:05:29,0,0
22-03 22:05:30,563,633
22-03 22:05:31,0,0
22-03 22:05:32,0,0
22-03 22:05:33,0,0
22-03 22:05:34,0,0
22-03 22:05:35,12623,4742
22-03 22:05:36,5754,474
22-03 22:05:37,1490,990
22-03 22:05:38,0,0
22-03 22:05:39,0,0
22-03 22:05:40,732,484
22-03 22:05:41,167,187
22-03 22:05:42,78,106
22-03 22:05:43,348,0
22-03 22:05:44,469,0
22-03 22:05:45,167,187
22-03 22:05:46,0,0
22-03 22:05:47,15939,5309
22-03 22:05:48,1404,631
22-03 22:05:49,0,0
22-03 22:05:50,396,446
22-03 22:05:51,0,0
22-03 22:05:52,0,0
22-03 22:05:53,0,0
22-03 22:05:54,0,358
22-03 22:05:55,5887,5605
22-03 22:05:56,0,0
22-03 22:05:57,0,0
22-03 22:05:58,16345,5734
22-03 22:05:59,876,524
22-03 22:06:00,0,0
22-03 22:06:01,0,0
22-03 22:06:02,0,0
22-03 22:06:03,0,0
22-03 22:06:04,119,358
22-03 22:06:05,591,187
22-03 22:06:06,0,0
22-03 22:06:07,0,0
22-03 22:06:08,0,0
22-03 22:06:09,17331,6298
22-03 22:06:10,478,446
22-03 22:06:11,0,0
22-03 22:06:12,0,0
22-03 22:06:13,167,187
22-03 22:06:14,240,358
22-03 22:06:15,0,0
22-03 22:06:16,0,0
22-03 22:06:17,0,0
22-03 22:06:18,260,252
22-03 22:06:19,364,2065
22-03 22:06:20,17855,5757
22-03 22:06:21,892,601
22-03 22:06:22,86,106
22-03 22:06:23,0,0
22-03 22:06:24,165,358
22-03 22:06:25,213,187
22-03 22:06:26,1786,4677
22-03 22:06:27,30030,2120
22-03 22:06:28,0,0
22-03 22:06:29,0,0
22-03 22:06:30,2201,4150
22-03 22:06:31,16233,3225
22-03 22:06:32,0,0
22-03 22:06:33,0,0
22-03 22:06:34,0,0
22-03 22:06:35,0,358
22-03 22:06:36,0,0
22-03 22:06:37,616,619
22-03 22:06:38,499,617
22-03 22:06:39,0,0
22-03 22:06:40,82,358
22-03 22:06:41,1451,3382
22-03 22:06:42,15972,2748
22-03 22:06:43,0,0
22-03 22:06:44,467,0
22-03 22:06:45,517,187
22-03 22:06:46,194,358
22-03 22:06:47,0,0
22-03 22:06:48,0,0
22-03 22:06:49,167,0
22-03 22:06:50,396,446
22-03 22:06:51,0,358
22-03 22:06:52,1249,3192
22-03 22:06:53,16012,2748
22-03 22:06:54,0,0
22-03 22:06:55,424,0
22-03 22:06:56,0,358
22-03 22:06:57,0,0
22-03 22:06:58,0,0
22-03 22:06:59,0,0
22-03 22:07:00,0,0
22-03 22:07:01,0,0
22-03 22:07:02,0,358
22-03 22:07:03,1619,4490
22-03 22:07:04,15961,1450
22-03 22:07:05,167,187
22-03 22:07:06,0,0
22-03 22:07:07,86,464
22-03 22:07:08,0,0
22-03 22:07:09,0,0
22-03 22:07:10,763,689
22-03 22:07:11,167,0
22-03 22:07:12,78,464
22-03 22:07:13,0,0
22-03 22:07:14,15817,5309
22-03 22:07:15,1404,631
22-03 22:07:16,0,0
22-03 22:07:17,0,358
22-03 22:07:18,0,0
22-03 22:07:19,0,920
22-03 22:07:20,868,1166
22-03 22:07:21,0,920
22-03 22:07:22,17168,8146
22-03 22:07:23,0,0
22-03 22:07:24,119,0
22-03 22:07:25,15984,5117
22-03 22:07:26,9743,11991
22-03 22:07:27,15817,5374
22-03 22:07:28,12019,1202
22-03 22:07:29,6215,200
22-03 22:07:30,396,446
22-03 22:07:31,0,0
22-03 22:07:32,0,0
22-03 22:07:33,167,545
22-03 22:07:34,0,0
22-03 22:07:35,0,0
22-03 22:07:36,16266,5648
22-03 22:07:37,995,292
22-03 22:07:38,0,0
22-03 22:07:39,0,0
22-03 22:07:40,838,550
22-03 22:07:41,0,206
22-03 22:07:42,0,0
22-03 22:07:43,0,206
22-03 22:07:44,119,0
22-03 22:07:45,939,187
22-03 22:07:46,350,0
22-03 22:07:47,17261,6146
22-03 22:07:48,0,0
22-03 22:07:49,42,62
22-03 22:07:50,396,446
22-03 22:07:51,0,0
22-03 22:07:52,86,106
22-03 22:07:53,0,0
22-03 22:07:54,240,0
22-03 22:07:55,0,206
22-03 22:07:56,167,187
22-03 22:07:57,376,1813
22-03 22:07:58,18132,7743
22-03 22:07:59,15858,3436
22-03 22:08:00,0,0
22-03 22:08:01,0,0
22-03 22:08:02,0,0
22-03 22:08:03,0,0
22-03 22:08:04,119,358
22-03 22:08:05,167,187
22-03 22:08:06,0,0
22-03 22:08:07,0,0
22-03 22:08:08,298,1707
22-03 22:08:09,16993,4551
22-03 22:08:10,1128,930
22-03 22:08:11,0,0
22-03 22:08:12,167,187
22-03 22:08:13,960,817
22-03 22:08:14,0,358
22-03 22:08:15,0,0
22-03 22:08:16,0,0
22-03 22:08:17,0,0
22-03 22:08:18,0,0
22-03 22:08:19,1249,3550
22-03 22:08:20,16012,2748
22-03 22:08:21,0,0
22-03 22:08:22,0,0
22-03 22:08:23,0,0
22-03 22:08:24,119,0
22-03 22:08:25,209,545
22-03 22:08:26,0,0
22-03 22:08:27,1619,4490
22-03 22:08:28,15568,2148
22-03 22:08:29,1705,4490
22-03 22:08:30,31603,5924
22-03 22:08:31,16454,3058
22-03 22:08:32,0,0
22-03 22:08:33,80,40
22-03 22:08:34,167,187
22-03 22:08:35,696,842
22-03 22:08:36,0,0
22-03 22:08:37,86,106
22-03 22:08:38,0,0
22-03 22:08:39,0,0
22-03 22:08:40,82,358
22-03 22:08:41,1746,4677
22-03 22:08:42,15720,1556
22-03 22:08:43,142,340
22-03 22:08:44,359,0
22-03 22:08:45,167,187
22-03 22:08:46,542,358
22-03 22:08:47,350,0
22-03 22:08:48,0,0
22-03 22:08:49,167,0
22-03 22:08:50,396,446
22-03 22:08:51,0,358
22-03 22:08:52,1659,4490
22-03 22:08:53,15602,1450
22-03 22:08:54,0,0
22-03 22:08:55,0,0
22-03 22:08:56,0,0
22-03 22:08:57,0,358
22-03 22:08:58,0,0
22-03 22:08:59,0,0
22-03 22:09:00,424,0
22-03 22:09:01,0,0
22-03 22:09:02,0,358
22-03 22:09:03,1619,4490
22-03 22:09:04,15721,1450
22-03 22:09:05,167,187
22-03 22:09:06,0,0
22-03 22:09:07,0,358
22-03 22:09:08,0,0
22-03 22:09:09,70,0
22-03 22:09:10,478,446
22-03 22:09:11,0,0
22-03 22:09:12,0,358
22-03 22:09:13,15024,12156
22-03 22:09:14,21088,4680
22-03 22:09:15,1444,924
22-03 22:09:16,0,0
22-03 22:09:17,0,0
22-03 22:09:18,0,358
22-03 22:09:19,0,920
22-03 22:09:20,0,920
22-03 22:09:21,1608,2971
22-03 22:09:22,0,920
22-03 22:09:23,0,358
22-03 22:09:24,119,106
22-03 22:09:25,17208,6359
22-03 22:09:26,876,126
22-03 22:09:27,167,187
22-03 22:09:28,0,358
22-03 22:09:29,0,0
22-03 22:09:30,12137,5294
22-03 22:09:31,0,0
22-03 22:09:32,7994,554
22-03 22:09:33,16028,1800
22-03 22:09:34,240,0
22-03 22:09:35,0,0
22-03 22:09:36,16512,5921
22-03 22:09:37,876,126
22-03 22:09:38,0,0
22-03 22:09:39,0,358
22-03 22:09:40,82,0
22-03 22:09:41,0,0
22-03 22:09:42,0,0
22-03 22:09:43,258,294
22-03 22:09:44,119,0
22-03 22:09:45,167,187
22-03 22:09:46,0,0
22-03 22:09:47,17569,5940
22-03 22:09:48,428,106
22-03 22:09:49,0,0
22-03 22:09:50,820,446
22-03 22:09:51,2363,3963
22-03 22:09:52,10905,2909
22-03 22:09:53,163,261
22-03 22:09:54,0,0
22-03 22:09:55,0,0
22-03 22:09:56,0,0
22-03 22:09:57,338,1707
22-03 22:09:58,16883,4107
22-03 22:09:59,167,187
22-03 22:10:00,0,0
22-03 22:10:01,0,0
22-03 22:10:02,0,0
22-03 22:10:03,0,0
22-03 22:10:04,119,0
22-03 22:10:05,167,545
22-03 22:10:06,0,0
22-03 22:10:07,0,0
22-03 22:10:08,338,1707
22-03 22:10:09,16913,4193
22-03 22:10:10,946,795
22-03 22:10:11,0,358
22-03 22:10:12,1473,4358
22-03 22:10:13,15528,2154
22-03 22:10:14,0,0
22-03 22:10:15,669,293
22-03 22:10:16,0,358
22-03 22:10:17,0,0
22-03 22:10:18,0,0
22-03 22:10:19,1209,3192
22-03 22:10:20,16012,2708
22-03 22:10:21,0,358
22-03 22:10:22,0,0
22-03 22:10:23,0,0
22-03 22:10:24,119,0
22-03 22:10:25,407,187
22-03 22:10:26,0,358
22-03 22:10:27,0,0
22-03 22:10:28,0,0
22-03 22:10:29,0,0
22-03 22:10:30,1528,3258
22-03 22:10:31,16131,3486
22-03 22:10:32,46,0
22-03 22:10:33,1659,4490
22-03 22:10:34,29860,1802
22-03 22:10:35,0,0
22-03 22:10:36,0,0
22-03 22:10:37,259,545
22-03 22:10:38,0,0
22-03 22:10:39,0,0
22-03 22:10:40,950,246
22-03 22:10:41,1249,3192
22-03 22:10:42,16012,3106
22-03 22:10:43,0,0
22-03 22:10:44,286,187
22-03 22:10:45,167,187
22-03 22:10:46,194,0
22-03 22:10:47,0,358
22-03 22:10:48,174,0
22-03 22:10:49,691,0
22-03 22:10:50,396,446
22-03 22:10:51,0,0
22-03 22:10:52,1619,4490
22-03 22:10:53,15602,1808
22-03 22:10:54,0,0
22-03 22:10:55,6057,5825
22-03 22:10:56,0,0
22-03 22:10:57,167,187
22-03 22:10:58,0,358
22-03 22:10:59,0,0
22-03 22:11:00,78,106
22-03 22:11:01,0,0
22-03 22:11:02,0,0
22-03 22:11:03,15817,5374
22-03 22:11:04,1523,844
22-03 22:11:05,817,671
22-03 22:11:06,0,0
22-03 22:11:07,0,0
22-03 22:11:08,0,0
22-03 22:11:09,70,358
22-03 22:11:10,478,446
22-03 22:11:11,0,0
22-03 22:11:12,167,187
22-03 22:11:13,0,0
22-03 22:11:14,12863,5100
22-03 22:11:15,0,0
22-03 22:11:16,7365,1838
22-03 22:11:17,0,0
22-03 22:11:18,326,252
22-03 22:11:19,0,1278
22-03 22:11:20,0,920
22-03 22:11:21,2422,920
22-03 22:11:22,0,920
22-03 22:11:23,0,0
22-03 22:11:24,119,358
22-03 22:11:25,167,187
22-03 22:11:26,19120,4702
22-03 22:11:27,8461,1198
22-03 22:11:28,0,0
22-03 22:11:29,167,187
22-03 22:11:30,1046,1288
22-03 22:11:31,0,0
22-03 22:11:32,0,0
22-03 22:11:33,0,0
22-03 22:11:34,15777,5016
22-03 22:11:35,15674,1508
22-03 22:11:36,0,0
22-03 22:11:37,16339,5629
22-03 22:11:38,1817,1374
22-03 22:11:39,253,187
22-03 22:11:40,168,464
22-03 22:11:41,0,0
22-03 22:11:42,167,187
22-03 22:11:43,0,0
22-03 22:11:44,119,0
22-03 22:11:45,167,187
22-03 22:11:46,0,358
22-03 22:11:47,0,0
22-03 22:11:48,16345,5648
22-03 22:11:49,1050,252
22-03 22:11:50,920,446
22-03 22:11:51,0,0
22-03 22:11:52,0,0
22-03 22:11:53,0,0
22-03 22:11:54,0,0
22-03 22:11:55,424,0
22-03 22:11:56,0,0
22-03 22:11:57,0,0
22-03 22:11:58,0,0
22-03 22:11:59,16385,5814
22-03 22:12:00,876,126
22-03 22:12:01,0,0
22-03 22:12:02,0,0
22-03 22:12:03,0,0
22-03 22:12:04,359,0
22-03 22:12:05,167,187
22-03 22:12:06,0,0
22-03 22:12:07,0,0
22-03 22:12:08,0,0
22-03 22:12:09,70,0
22-03 22:12:10,17699,6306
22-03 22:12:11,0,0
22-03 22:12:12,0,358
22-03 22:12:13,167,187
22-03 22:12:14,167,187
22-03 22:12:15,0,0
22-03 22:12:16,0,0
22-03 22:12:17,9059,4135
22-03 22:12:18,167,545
22-03 22:12:19,0,0
22-03 22:12:20,1899,3676
22-03 22:12:21,13490,4738
22-03 22:12:22,6282,1192
22-03 22:12:23,876,524
22-03 22:12:24,119,0
22-03 22:12:25,86,293
22-03 22:12:26,8466,11067
22-03 22:12:27,167,187
22-03 22:12:28,0,358
22-03 22:12:29,0,0
22-03 22:12:30,396,446
22-03 22:12:31,0,0
22-03 22:12:32,0,0
22-03 22:12:33,16345,6006
22-03 22:12:34,876,126
22-03 22:12:35,15899,5299
22-03 22:12:36,12379,999
22-03 22:12:37,5895,200
22-03 22:12:38,46,0
22-03 22:12:39,0,358
22-03 22:12:40,1005,737
22-03 22:12:41,46,206
22-03 22:12:42,0,0
22-03 22:12:43,0,206
22-03 22:12:44,17340,6298
22-03 22:12:45,16475,6041
22-03 22:12:46,1524,1014
22-03 22:12:47,0,206
22-03 22:12:48,0,0
22-03 22:12:49,167,358
22-03 22:12:50,570,446
22-03 22:12:51,524,0
22-03 22:12:52,0,0
22-03 22:12:53,0,0
22-03 22:12:54,298,2065
22-03 22:12:55,17203,4439
22-03 22:12:56,0,0
22-03 22:12:57,0,0
22-03 22:12:58,0,0
22-03 22:12:59,0,398
22-03 22:13:00,167,147
22-03 22:13:01,0,0
22-03 22:13:02,0,0
22-03 22:13:03,0,0
22-03 22:13:04,119,358
22-03 22:13:05,338,1707
22-03 22:13:06,14052,3222
22-03 22:13:07,4278,1198
