"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --time --cpu --disk --page --int --load --mem --net --proc --io --swap --sys --aio --fs --ipc --lock --raw --socket --tcp --udp --unix --vm --vm-adv --zones --output dstat/data/csv/dstat/all.csv 1 600",,,,"Date:","22 Mar 2023 22:03:09 -03"
"system","total cpu usage",,,,,"dsk/total",,"paging",,"interrupts",,,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"io/total",,"swap",,"system",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"raw","sockets",,,,,"tcp sockets",,,,,"udp",,"unix sockets",,,,"virtual memory",,,,"advanced virtual memory",,,,,"zones memory",,,
"time","usr","sys","idl","wai","stl","read","writ","in","out","138","139","140","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","int","csw","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","raw","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","steal","scanK","scanD","pgoru","astll","d32F","d32H","normF","normH"
22-03 22:03:19,81.369,16.223,2.408,0,0,0,0,0,0,0,62,0,51.190,13.550,5.300,3647369216,1694474240,192917504,10587684864,0,0,8,0,514,0,0,1835008,1021571072,32761,133455,0,14976,350095,0,0,6,56,12,10,58,0,1075,17,20,0,0,7,10,0,6,1,17,7,56,874,54,820,0,130739,127051,168933,0,0,0,0,0,247856,3141,164391,22176,
22-03 22:03:20,32.600,10.091,57.309,0,0,0,0,0,0,0,19,0,51.190,13.550,5.300,3561947136,1780285440,192917504,10586771456,0,920,2,0,178,0,0,1835008,1021571072,16532,263878,0,13760,350014,0,0,6,56,12,10,58,0,1078,17,23,0,0,7,10,0,6,1,20,7,56,874,54,820,0,54246,64331,85350,0,0,0,0,0,275938,3141,155374,22176,
22-03 22:03:21,5.646,1.129,93.099,0.125,0,0,0,0,0,0,25,0,47.090,13.320,5.270,3464056832,1878876160,192917504,10585567232,1760,2926,0,0,2,0,0,1835008,1021571072,1431,2314,0,13120,349980,0,0,6,56,12,10,58,0,1078,17,23,0,0,7,10,0,6,1,20,7,56,874,54,820,0,859,551,26870,0,0,0,0,0,275938,3141,179444,22176,
22-03 22:03:22,3.518,2.261,94.221,0,0,0,0,0,0,0,20,0,47.090,13.320,5.270,3434995712,1907810304,192917504,10585702400,298,2985,0,0,8,0,0,1835008,1021571072,1420,4016,0,13088,350002,0,0,6,56,12,10,58,0,1079,18,23,0,0,7,9,1,6,2,20,7,56,874,54,820,0,1529,2056,9632,0,0,0,0,0,281482,3141,180964,22176,
22-03 22:03:23,3.287,1.391,94.943,0.379,0,0,8323072,0,0,0,31,0,47.090,13.320,5.270,3432521728,1910267904,192917504,10585452544,12411,4061,0,0,0,0,58,1835008,1021571072,1355,2221,0,13088,349996,0,0,6,56,12,10,58,0,1077,17,23,0,0,7,10,0,6,1,20,7,56,874,54,820,0,520,1562,2007,0,0,0,0,0,281482,3141,181564,22176,
22-03 22:03:24,3.042,1.394,95.437,0.127,0,0,950272,0,0,0,19,0,47.090,13.320,5.270,3432751104,1909776384,192929792,10585972736,3651,1827,1,0,0,0,30,1835008,1021571072,1204,2380,0,13088,349997,0,0,6,56,12,10,58,0,1078,18,23,0,0,7,9,1,6,2,20,7,56,874,54,820,0,5,421,288,0,0,0,0,0,281482,3141,181382,22176,
22-03 22:03:25,4.912,1.637,93.451,0,0,0,0,0,0,0,56,0,47.090,13.320,5.270,3432370176,1910349824,192929792,10585513984,32557,5829,0,0,9,0,0,1835008,1021571072,1775,4153,0,13088,350007,0,0,6,56,12,10,58,0,1075,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,2032,1849,1837,0,0,0,0,0,281671,3141,181395,22176,
22-03 22:03:26,3.769,1.256,94.849,0.126,0,0,0,0,0,0,16,0,43.400,13.120,5.250,3433906176,1908813824,192929792,10587086848,167,187,1,0,0,0,0,1835008,1021571072,1131,1866,0,13088,350009,0,0,6,56,12,10,58,0,1075,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,10,517,135,0,0,0,0,0,281671,3141,181020,22176,
22-03 22:03:27,3.914,1.768,94.318,0,0,0,0,0,0,0,18,0,43.400,13.120,5.250,3432808448,1909911552,192929792,10585755648,167,187,0,0,8,0,0,1835008,1021571072,1378,3098,0,13088,350007,0,0,6,56,12,10,58,0,1075,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,1362,1409,1808,0,0,0,0,0,281671,3141,181288,22176,
22-03 22:03:28,3.522,1.258,95.094,0.126,0,0,4087808,0,0,0,19,0,43.400,13.120,5.250,3433349120,1909915648,192929792,10585235456,245,293,0,0,0,0,34,1835008,1021571072,1155,2011,0,13088,349943,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,403,1142,1431,0,0,0,0,0,281671,3141,181289,22176,
22-03 22:03:29,3.783,1.135,94.956,0.126,0,0,663552,0,0,0,15,0,43.400,13.120,5.250,3434491904,1909686272,192937984,10584571904,0,0,1,0,0,0,34,1835008,1021571072,1132,1919,0,13088,349877,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,338,306,446,0,0,0,0,0,281671,3141,181296,22176,
22-03 22:03:30,4.266,1.757,93.852,0.125,0,0,0,0,0,0,17,0,43.400,13.120,5.250,3433623552,1910464512,192937984,10584137728,167,259,0,0,8,0,0,1835008,1021571072,1397,3298,0,13088,349886,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,1466,1592,1527,0,0,0,0,0,281671,3141,181423,22176,
22-03 22:03:31,3.648,1.509,94.843,0,0,0,0,0,0,0,54,0,39.930,12.900,5.220,3434541056,1909547008,192937984,10584662016,229,187,0,0,0,0,0,1835008,1021571072,1239,1996,0,13088,349887,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,6,1,17,7,56,874,54,820,0,92,254,139,0,0,0,0,0,281671,3141,181137,22176,
22-03 22:03:32,4.161,2.144,93.569,0.126,0,0,0,0,0,0,19,0,39.930,12.900,5.220,3433910272,1909911552,192937984,10585460736,442,310,0,0,9,0,0,1835008,1021571072,1470,3285,0,13088,349896,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,9,0,6,1,17,7,56,874,54,820,0,1613,1880,1711,0,0,0,0,0,281671,3141,181346,22176,
22-03 22:03:33,3.526,1.889,94.458,0.126,0,32768,10575872,0,0,0,15,0,39.930,12.900,5.220,3429691392,1914331136,192954368,10585759744,80,40,0,0,0,8,112,1835008,1021571072,1231,2098,0,13088,349897,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,257,1551,1423,0,0,0,0,0,281671,3141,182367,22176,
22-03 22:03:34,3.149,1.511,95.340,0,0,0,0,0,0,0,14,0,39.930,12.900,5.220,3429433344,1914589184,192954368,10584186880,0,0,0,0,0,0,0,1835008,1021571072,1114,1826,0,13088,349896,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,6,138,503,0,0,0,0,0,281671,3141,182430,22176,
22-03 22:03:35,4.660,2.519,92.695,0.126,0,0,450560,0,0,0,18,0,39.930,12.900,5.220,3430445056,1913561088,192958464,10584788992,298,1707,2,0,8,0,20,1835008,1021571072,1585,4295,0,13088,349898,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,7,1,6,3,17,7,56,874,54,820,0,1421,1691,1557,0,0,0,0,0,281671,3141,182117,22176,
22-03 22:03:36,4.271,1.884,93.719,0.126,0,0,0,0,0,0,47,0,36.810,12.700,5.200,3210711040,2139942912,192958464,10577883136,17573,4637,0,0,0,0,0,1835008,1021571072,1235,2005,0,13088,348777,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,9,277,55475,0,0,0,0,0,283783,3141,235394,22176,
22-03 22:03:37,4.403,2.013,93.585,0,0,0,0,0,0,0,39,0,36.810,12.700,5.200,3210985472,2139578368,192958464,10578239488,0,0,0,0,8,0,0,1835008,1021571072,1479,3197,0,13088,348787,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,1718,1758,1558,0,0,0,0,0,283783,3141,235247,22176,
22-03 22:03:38,3.401,2.393,93.955,0.252,0,0,22667264,0,0,0,15,0,36.810,12.700,5.200,3210518528,2140033024,192958464,10577715200,0,0,0,0,0,0,2250,1835008,1021571072,2585,7260,0,13088,348786,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,6,2920,3043,0,0,0,0,0,283783,3141,235358,22176,
22-03 22:03:39,4.798,1.010,94.192,0,0,0,0,0,0,0,14,0,36.810,12.700,5.200,3209801728,2140319744,192958464,10579476480,0,0,0,0,0,0,0,1835008,1021571072,1320,2418,0,13088,348816,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,1522,2268,609,0,0,0,0,0,283783,3141,235306,22176,
22-03 22:03:40,3.648,1.384,94.843,0.126,0,0,0,0,0,0,17,0,36.810,12.700,5.200,3210514432,2139566080,192958464,10578427904,82,0,1,0,8,0,0,1835008,1021571072,1290,3243,0,13088,348814,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,1291,1689,2058,0,0,0,0,0,283783,3141,235244,22176,
22-03 22:03:41,4.146,1.382,94.347,0.126,0,0,2277376,0,0,0,15,0,33.940,12.510,5.170,3211276288,2138791936,192970752,10578452480,0,0,0,0,0,0,26,1835008,1021571072,1072,1848,0,13088,348815,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,280,276,117,0,0,0,0,0,283783,3141,234866,22176,
22-03 22:03:42,3.919,1.896,94.185,0,0,0,0,0,0,0,20,0,33.940,12.510,5.170,3212038144,2138017792,192970752,10578722816,698,0,0,0,8,0,0,1835008,1021571072,1378,3137,0,13120,348815,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,1270,1407,1400,0,0,0,0,0,283783,3141,234866,22176,
22-03 22:03:43,3.396,1.635,94.843,0.126,0,32768,7921664,0,0,0,30,0,33.940,12.510,5.170,3210338304,2139684864,192995328,10578464768,0,0,3,0,0,8,72,1835008,1021571072,1154,1926,0,13120,348814,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,95,1085,1225,0,0,0,0,0,283783,3141,235188,22176,
22-03 22:03:44,4.523,1.382,93.970,0.126,0,0,0,0,0,0,16,0,33.940,12.510,5.170,3210891264,2139095040,192995328,10578509824,119,0,0,0,1,0,0,1835008,1021571072,1100,1961,0,13120,348825,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,498,430,423,0,0,0,0,0,283783,3141,235193,22176,
22-03 22:03:45,4.030,1.511,94.458,0,0,0,0,0,0,0,18,0,33.940,12.510,5.170,3210752000,2139140096,192995328,10578337792,240,0,0,0,8,0,0,1835008,1021571072,1357,3144,0,13120,348834,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,1701,1574,1516,0,0,0,0,0,283783,3141,235140,22176,
22-03 22:03:46,4.282,1.385,94.207,0.126,0,0,0,0,0,0,27,0,31.300,12.320,5.150,3211218944,2138664960,192995328,10579660800,1376,3379,1,0,0,0,0,1835008,1021571072,1274,2749,0,13120,348847,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,119,695,286,0,0,0,0,0,283783,3141,234843,22176,
22-03 22:03:47,4.177,1.646,93.924,0.253,0,0,0,0,0,0,33,0,31.300,12.320,5.150,3211657216,2138181632,192999424,10578628608,15972,2980,0,1,8,0,16,1835008,1021571072,1393,3239,0,13120,348844,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,1316,1476,1867,0,0,0,0,0,283783,3141,234843,22176,
22-03 22:03:48,3.522,1.887,94.465,0.126,0,57344,9723904,0,0,0,15,0,31.300,12.320,5.150,3210055680,2139746304,193032192,10578657280,0,0,0,0,0,14,166,1835008,1021571072,1262,2198,0,13120,348845,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,73,1396,1255,0,0,0,0,0,283783,3141,235230,22176,
22-03 22:03:49,3.270,1.258,95.346,0.126,0,0,0,0,0,0,45,0,31.300,12.320,5.150,3209719808,2140078080,193032192,10578395136,0,0,0,0,0,0,0,1835008,1021571072,1109,1832,0,13120,348844,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,252,119,239,0,0,0,0,0,283783,3141,235369,22176,
22-03 22:03:50,4.046,1.896,94.058,0,0,0,0,0,0,0,17,0,31.300,12.320,5.150,3209965568,2139832320,193032192,10578919424,167,259,0,0,8,0,0,1835008,1021571072,1463,3470,0,13120,348845,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,1293,1556,1423,0,0,0,0,0,283783,3141,235316,22176,
22-03 22:03:51,3.153,2.648,93.821,0.378,0,0,1515520,0,0,0,16,0,29.120,12.180,5.150,3210391552,2139389952,193048576,10578653184,229,187,0,0,2,0,278,1835008,1021571072,1285,2224,0,13120,348844,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,28,304,29134,0,0,0,0,0,283783,3141,235137,22176,
22-03 22:03:52,5.443,3.418,91.139,0,0,0,0,0,0,0,15,0,29.120,12.180,5.150,3424153600,1919393792,193048576,10585960448,0,0,0,0,8,0,0,1835008,1021571072,2305,36428,0,13120,349916,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,54125,76248,22180,0,0,0,0,0,283783,3141,181491,22176,
22-03 22:03:53,3.526,1.511,94.836,0.126,0,0,12255232,0,0,0,18,0,29.120,12.180,5.150,3423805440,1919680512,193052672,10585210880,0,358,0,0,1,0,126,1835008,1021571072,1145,1959,0,13152,349925,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,396,1779,1881,0,0,0,0,0,283783,3141,181561,22176,
22-03 22:03:54,3.030,1.263,95.581,0.126,0,0,0,0,0,0,16,0,29.120,12.180,5.150,3424317440,1919168512,193052672,10584944640,0,0,0,0,0,0,0,1835008,1021571072,1064,1775,0,13152,349924,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,6,103,242,0,0,0,0,0,283783,3141,181436,22176,
22-03 22:03:55,3.774,1.761,94.465,0,0,0,0,0,0,0,44,0,29.120,12.180,5.150,3425280000,1918205952,193052672,10585210880,0,0,0,0,8,0,0,1835008,1021571072,1363,3285,0,13152,349928,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,1317,1542,1422,0,0,0,0,0,283783,3141,181201,22176,
22-03 22:03:56,3.388,1.380,95.107,0.125,0,0,0,0,0,0,14,0,26.860,11.990,5.120,3424870400,1918615552,193052672,10584686592,0,0,0,0,0,0,0,1835008,1021571072,1062,1853,0,13152,349927,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,95,151,419,0,0,0,0,0,283783,3141,181238,22176,
22-03 22:03:57,3.914,2.273,93.687,0.126,0,0,2285568,0,0,0,21,0,26.860,11.990,5.120,3426414592,1917071360,193069056,10585194496,1249,3192,0,0,9,0,44,1835008,1021571072,1431,4164,0,13152,349928,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,2007,2033,1906,0,0,0,0,0,283783,3141,180743,22176,
22-03 22:03:58,3.914,1.263,94.823,0,0,0,81920,0,0,0,32,0,26.860,11.990,5.120,3427381248,1916084224,193069056,10584690688,15972,3066,0,0,0,0,14,1835008,1021571072,1140,1990,0,13152,349927,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,3,124,262,0,0,0,0,0,283783,3141,180683,22176,
22-03 22:03:59,3.764,1.380,94.730,0.125,0,0,0,0,0,0,16,0,26.860,11.990,5.120,3428663296,1914802176,193069056,10586021888,0,0,0,0,0,0,0,1835008,1021571072,1132,1859,0,13152,349939,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,111,614,441,0,0,0,0,0,283783,3141,180370,22176,
22-03 22:04:00,4.408,1.889,93.577,0.126,0,0,0,0,0,0,14,0,26.860,11.990,5.120,3426074624,1917194240,193069056,10584920064,0,0,0,0,8,0,0,1835008,1021571072,1436,3332,0,13152,349959,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,1782,1922,2523,0,0,0,0,0,283783,3141,180958,22176,
22-03 22:04:01,4,1.375,94.625,0,0,0,0,0,0,0,53,0,24.710,11.790,5.100,3426537472,1916727296,193069056,10585448448,868,246,1,0,0,0,0,1835008,1021571072,1187,1864,0,13152,349960,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,345,318,168,0,0,0,0,0,283783,3141,180840,22176,
22-03 22:04:02,4.304,2.658,92.785,0.253,0,0,499712,0,0,0,17,0,24.710,11.790,5.100,3427004416,1916239872,193093632,10585178112,0,0,0,0,16,0,50,1835008,1021571072,1723,5755,0,13152,349959,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,2738,2687,2801,0,0,0,0,0,283783,3141,180721,22176,
22-03 22:04:03,3.291,0.886,95.696,0.127,0,0,0,0,0,0,16,0,24.710,11.790,5.100,3427241984,1916530688,193093632,10584915968,0,358,1,0,0,0,0,1835008,1021571072,1045,1810,0,13152,349900,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,29,249,511,0,0,0,0,0,283783,3141,180792,22176,
22-03 22:04:04,3.283,1.010,95.707,0,0,0,393216,0,0,0,14,0,24.710,11.790,5.100,3426484224,1917304832,193093632,10584375296,0,0,0,0,0,0,58,1835008,1021571072,1057,1912,0,13152,349899,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,73,159,285,0,0,0,0,0,283783,3141,180981,22176,
22-03 22:04:05,3.396,1.635,94.843,0.126,0,0,0,0,0,0,16,0,24.710,11.790,5.100,3428032512,1915756544,193093632,10585948160,119,0,0,0,8,0,0,1835008,1021571072,1342,3285,0,13152,349901,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,1583,1832,1408,0,0,0,0,0,283783,3141,180603,22176,
22-03 22:04:06,3.275,1.134,95.592,0,0,0,0,0,0,0,17,0,22.730,11.600,5.070,3427770368,1916018688,193093632,10584899584,167,187,0,0,0,0,0,1835008,1021571072,1025,1754,0,13152,349900,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,3,106,363,0,0,0,0,0,283783,3141,180667,22176,
22-03 22:04:07,3.405,1.009,95.460,0.126,0,0,0,0,0,0,43,0,22.730,11.600,5.070,3428839424,1914904576,193093632,10584420352,0,0,0,0,8,0,0,1835008,1021571072,1224,3024,0,13152,349919,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,1653,1807,1800,0,0,0,0,0,283783,3141,180332,22176,
22-03 22:04:08,4.255,1.877,93.617,0.250,0,0,0,0,0,0,30,0,22.730,11.600,5.070,3429195776,1914441728,193093632,10585051136,1705,4596,0,0,0,0,0,1835008,1021571072,1199,2743,0,13152,349921,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,96,333,278,0,0,0,0,0,283783,3141,180282,22176,
22-03 22:04:09,4.660,1.385,93.577,0.378,0,0,753664,0,0,0,26,0,22.730,11.600,5.070,3428896768,1914728448,193105920,10584526848,15602,1808,0,0,1,0,62,1835008,1021571072,1271,2174,0,13120,349920,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,555,359,495,0,0,0,0,0,283783,3141,180352,22176,
22-03 22:04:10,3.666,1.391,94.943,0,0,0,0,0,0,0,19,0,22.730,11.600,5.070,3429924864,1913700352,193105920,10585051136,237,259,0,0,8,0,0,1835008,1021571072,1263,3313,0,13120,349920,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,1305,1512,1389,0,0,0,0,0,283783,3141,180101,22176,
22-03 22:04:11,3.270,1.006,95.597,0.126,0,0,0,0,0,0,22,0,20.910,11.410,5.040,3429892096,1913733120,193105920,10584784896,693,430,1,0,0,0,0,1835008,1021571072,1044,1704,0,13120,349919,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,54,132,267,0,0,0,0,0,283783,3141,180109,22176,
22-03 22:04:12,3.657,1.387,94.956,0,0,0,0,0,0,0,15,0,20.910,11.410,5.040,3431411712,1912213504,193105920,10586099712,0,0,0,0,8,0,0,1835008,1021571072,1224,3040,0,13120,349921,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,1347,1819,1381,0,0,0,0,0,283783,3141,179738,22176,
22-03 22:04:13,3.899,1.006,94.843,0.252,0,0,0,0,0,0,46,0,20.910,11.410,5.040,3428622336,1914994688,193105920,10584535040,78,106,0,0,0,0,0,1835008,1021571072,1143,1903,0,13120,349919,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,255,120,648,0,0,0,0,0,283783,3141,180417,22176,
22-03 22:04:14,5.290,1.008,93.073,0.630,0,0,4325376,0,0,0,16,0,20.910,11.410,5.040,3430432768,1912709120,193114112,10585268224,0,358,0,0,0,0,332,1835008,1021571072,1453,2932,0,13120,349958,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,1698,2823,1715,0,0,0,0,0,283783,3141,179740,22176,
