"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/time_lock_aio_int_vm_vm-adv_mem.csv --time --lock --aio --int --vm --vm-adv --mem 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"system","file locks",,,,"async","interrupts",,,"virtual memory",,,,"advanced virtual memory",,,,,"memory usage",,,
22-03 22:13:26,56,12,10,58,0,0,17,0,0,1288,1594,1713,0,0,0,0,0,3232468992,2124742656,194371584,10569940992
22-03 22:13:27,56,12,10,58,0,0,14,0,0,1702,2136,3090,0,0,0,0,0,3231870976,2125033472,194371584,10569990144
22-03 22:13:28,56,12,10,58,0,0,17,0,0,24,142,418,0,0,0,0,0,3230842880,2125824000,194371584,10570227712
22-03 22:13:29,56,12,10,58,0,0,33,0,0,5198,5988,1253,0,0,0,0,0,3244503040,2111127552,194371584,10571264000
22-03 22:13:30,56,12,10,58,0,0,17,0,0,4,64,98,0,0,0,0,0,3244244992,2111385600,194371584,10571264000
22-03 22:13:31,56,12,10,58,0,0,33,0,0,1338,1411,1377,0,0,0,0,0,3244466176,2111164416,194371584,10571329536
22-03 22:13:32,56,12,10,58,0,0,22,0,0,2002,1843,1812,0,0,0,0,0,3244355584,2111176704,194379776,10571419648
22-03 22:13:33,56,12,10,58,0,0,14,0,0,324,69,111,0,0,0,0,0,3244601344,2110918656,194379776,10571366400
22-03 22:13:34,56,12,10,58,0,0,15,0,0,1112,1511,424,0,0,0,0,0,3244285952,2110918656,194379776,10571681792
22-03 22:13:35,56,12,10,58,0,0,21,0,0,7,205,71,0,0,0,0,0,3244277760,2110689280,194379776,10572443648
22-03 22:13:36,57,12,10,59,0,0,16,0,0,5930,6746,2253,0,0,0,0,0,3258204160,2096758784,194379776,10572181504
22-03 22:13:37,56,12,10,58,0,0,38,0,0,2324,2441,3841,0,0,0,0,0,3258630144,2095292416,194396160,10572947456
22-03 22:13:38,56,12,10,58,0,0,30,0,0,4,1298,1641,0,0,0,0,0,3258261504,2095648768,194396160,10572959744
22-03 22:13:39,56,12,10,58,0,0,21,0,0,7,192,1381,0,0,0,0,0,3258507264,2095403008,194396160,10572959744
22-03 22:13:40,56,12,10,58,0,0,33,0,0,130,195,178,0,0,0,0,0,3258417152,2095403008,194396160,10573049856
22-03 22:13:41,56,12,10,58,0,0,15,0,0,2328,2404,1601,0,0,0,0,0,3259392000,2093879296,194396160,10573598720
22-03 22:13:42,56,12,10,58,0,0,17,0,0,1271,1452,1579,0,0,0,0,0,3259371520,2093879296,194404352,10573611008
22-03 22:13:43,56,12,10,58,0,0,34,0,0,31,104,251,0,0,0,0,0,3260112896,2093137920,194404352,10573611008
22-03 22:13:44,56,12,10,58,0,0,15,0,0,3392,4110,2995,0,0,0,0,0,3263209472,2089017344,194404352,10574635008
22-03 22:13:45,56,12,10,58,0,0,18,0,0,325,220,116,0,0,0,0,0,3263184896,2089033728,194404352,10575101952
22-03 22:13:46,56,12,10,58,0,0,17,0,0,1322,1706,1512,0,0,0,0,0,3263942656,2088259584,194404352,10576031744
22-03 22:13:47,56,12,10,58,0,0,17,0,0,3222,4898,4560,0,0,0,0,0,3265363968,2086735872,194412544,10574802944
22-03 22:13:48,56,12,10,58,0,0,14,0,0,482,868,843,0,0,0,0,0,3264450560,2086993920,194412544,10575409152
22-03 22:13:49,56,12,10,58,0,0,39,0,0,347,116,85,0,0,0,0,0,3264450560,2086993920,194412544,10575409152
22-03 22:13:50,56,12,10,58,0,0,19,0,0,22,150,344,0,0,0,0,0,3264450560,2086993920,194412544,10575409152
22-03 22:13:51,56,12,10,58,0,0,28,0,0,1310,1832,4292,0,0,0,0,0,3251499008,2099929088,194412544,10575425536
22-03 22:13:52,56,12,10,58,0,0,20,0,0,2036,2670,3217,0,0,0,0,0,3250614272,2099793920,194412544,10576445440
22-03 22:13:53,56,12,10,58,0,0,23,0,0,321,185,161,0,0,0,0,0,3250847744,2099552256,194420736,10576445440
22-03 22:13:54,56,12,10,58,0,0,14,0,0,3,74,69,0,0,0,0,0,3250843648,2099552256,194420736,10576449536
22-03 22:13:55,56,12,10,58,0,0,42,0,0,2250,2837,1900,0,0,0,0,0,3250421760,2099322880,194420736,10577559552
22-03 22:13:56,56,12,10,58,0,0,14,0,0,1316,1388,1503,0,0,0,0,0,3250094080,2099646464,194420736,10577104896
22-03 22:13:57,56,12,10,58,0,0,17,0,0,1902,1499,1497,0,0,0,0,0,3249803264,2099937280,194420736,10577104896
22-03 22:13:58,56,12,10,58,0,0,14,0,0,28,122,262,0,0,0,0,0,3250425856,2099949568,194428928,10576396288
22-03 22:13:59,56,12,10,58,0,0,12,0,0,5010,7656,2696,0,0,0,0,0,3267121152,2082217984,194445312,10577481728
22-03 22:14:00,56,12,10,58,0,0,25,0,0,25,134,1354,0,0,0,0,0,3263954944,2085367808,194445312,10577502208
22-03 22:14:01,56,12,10,58,0,0,35,0,0,1678,1456,1408,0,0,0,0,0,3264401408,2084913152,194445312,10577510400
22-03 22:14:02,56,12,10,58,0,0,15,0,0,4221,4500,2079,0,0,0,0,0,3265613824,2083131392,194465792,10578059264
22-03 22:14:03,56,12,10,58,0,0,28,0,0,680,769,990,0,0,0,0,0,3266027520,2082627584,194465792,10578149376
22-03 22:14:04,56,12,10,58,0,0,26,0,0,23,82,99,0,0,0,0,0,3266011136,2082627584,194465792,10578165760
22-03 22:14:05,56,12,10,58,0,0,14,0,0,252,217,99,0,0,0,0,0,3266527232,2082111488,194465792,10578690048
22-03 22:14:06,56,12,10,58,0,0,17,0,0,1369,1340,1462,0,0,0,0,0,3266527232,2082111488,194465792,10578423808
22-03 22:14:07,56,12,10,58,0,0,35,0,0,3683,4871,8704,0,0,0,0,0,3259891712,2094555136,194473984,10572533760
22-03 22:14:08,56,12,10,58,0,0,13,0,0,1298,1382,1423,0,0,0,0,0,3260526592,2094055424,194473984,10572398592
22-03 22:14:09,56,12,10,58,0,0,13,0,0,1206,1235,2986,0,0,0,0,0,3252617216,2101641216,194486272,10572709888
22-03 22:14:10,56,12,10,58,0,0,18,0,0,302,362,128,0,0,0,0,0,3252523008,2101387264,194502656,10573041664
22-03 22:14:11,56,12,10,58,0,0,16,0,0,1297,1363,1360,0,0,0,0,0,3253018624,2100883456,194502656,10573049856
22-03 22:14:12,56,12,10,58,0,0,16,0,0,21,86,102,0,0,0,0,0,3253264384,2100625408,194502656,10573062144
22-03 22:14:13,56,12,10,58,0,0,43,0,0,1564,1383,1349,0,0,0,0,0,3253981184,2099908608,194502656,10573062144
22-03 22:14:14,56,12,10,58,0,0,34,0,0,5336,6426,3380,0,0,0,0,0,3267657728,2085203968,194502656,10574090240
22-03 22:14:15,56,12,10,58,0,0,21,0,0,10,264,137,0,0,0,0,0,3268157440,2084700160,194506752,10574614528
22-03 22:14:16,56,12,10,58,0,0,14,0,0,1950,2598,2685,0,0,0,0,0,3267551232,2084737024,194506752,10575708160
22-03 22:14:17,56,12,10,58,0,0,14,0,0,451,297,343,0,0,0,0,0,3267014656,2085269504,194506752,10574647296
22-03 22:14:18,56,12,10,58,0,0,14,0,0,1342,1388,1362,0,0,0,0,0,3267141632,2085052416,194506752,10574753792
22-03 22:14:19,56,12,10,58,0,0,40,0,0,30,112,81,0,0,0,0,0,3267371008,2084823040,194506752,10574753792
22-03 22:14:20,56,12,10,58,0,0,13,0,0,24,87,101,0,0,0,0,0,3267354624,2084823040,194506752,10574770176
22-03 22:14:21,56,12,10,58,0,0,20,0,0,1857,1566,5886,0,0,0,0,0,3248201728,2103967744,194514944,10574770176
22-03 22:14:22,56,12,10,58,0,0,14,0,0,4692,5736,6447,0,0,0,0,0,3236691968,2114449408,194514944,10575798272
22-03 22:14:23,56,12,10,58,0,0,15,0,0,1626,2042,2034,0,0,0,0,0,3237138432,2113736704,194514944,10576064512
22-03 22:14:24,56,12,10,58,0,0,12,0,0,25,239,1774,0,0,0,0,0,3229581312,2121003008,194514944,10576945152
22-03 22:14:25,56,12,10,58,0,0,62,0,0,691,2084,1739,0,0,0,0,0,3231150080,2119208960,194514944,10576637952
22-03 22:14:26,56,12,10,58,0,0,28,0,0,1367,1430,2178,0,0,0,0,0,3232944128,2117406720,194523136,10576580608
22-03 22:14:27,56,12,10,58,0,0,15,0,0,4,57,74,0,0,0,0,0,3232944128,2117406720,194523136,10576515072
22-03 22:14:28,56,12,10,58,0,0,16,0,0,1300,2371,1659,0,0,0,0,0,3230515200,2116902912,194523136,10579513344
22-03 22:14:29,56,12,10,58,0,0,15,0,0,5458,9300,1619,0,0,0,0,0,3255812096,2089304064,194523136,10590457856
22-03 22:14:30,56,12,10,58,0,0,18,0,0,1072,1595,440,0,0,0,0,0,3260149760,2084413440,194523136,10591277056
22-03 22:14:31,56,12,10,58,0,0,38,0,0,1323,1748,2501,0,0,0,0,0,3258454016,2086096896,194531328,10592587776
22-03 22:14:32,56,12,10,58,0,0,13,0,0,4315,3643,3942,0,0,0,0,0,3260178432,2084372480,194531328,10591256576
22-03 22:14:33,56,12,10,58,0,0,14,0,0,1985,1670,1715,0,0,0,0,0,3261251584,2083868672,194531328,10590937088
22-03 22:14:34,56,12,10,58,0,0,16,0,0,96,93,85,0,0,0,0,0,3261480960,2083639296,194531328,10590937088
22-03 22:14:35,56,12,10,58,0,0,17,0,0,631,1195,1174,0,0,0,0,0,3259912192,2085203968,194535424,10590937088
22-03 22:14:36,56,12,10,58,0,0,19,0,0,2953,2498,2706,0,0,0,0,0,3262074880,2084118528,194535424,10590380032
22-03 22:14:37,56,12,10,58,0,0,60,0,0,5311,6785,8433,0,0,0,0,0,3256750080,2087841792,194547712,10592235520
22-03 22:14:38,56,12,10,58,0,0,24,0,0,2385,1984,1982,0,0,0,0,0,3256930304,2087649280,194547712,10592247808
22-03 22:14:39,56,12,10,58,0,0,31,0,0,2624,2127,2129,0,0,0,0,0,3257036800,2087534592,194547712,10592256000
22-03 22:14:40,56,12,10,58,0,0,18,0,0,63,245,761,0,0,0,0,0,3256131584,2088341504,194547712,10591567872
22-03 22:14:41,56,12,10,58,0,0,14,0,0,1547,1822,2784,0,0,0,0,0,3251617792,2092855296,194547712,10591567872
22-03 22:14:42,56,12,10,58,0,0,19,0,0,80,453,4482,0,0,0,0,0,3241861120,2102583296,194555904,10591588352
22-03 22:14:43,56,12,10,58,0,0,39,0,0,1505,1591,2055,0,0,0,0,0,3238150144,2106294272,194555904,10591522816
22-03 22:14:44,56,12,10,58,0,0,15,0,0,7554,8456,4859,0,0,0,0,0,3249332224,2093527040,194555904,10593107968
22-03 22:14:45,56,12,10,58,0,0,17,0,0,855,905,444,0,0,0,0,0,3251073024,2091786240,194555904,10594942976
22-03 22:14:46,56,12,10,58,0,0,19,0,0,2434,2447,2401,0,0,0,0,0,3253121024,2089721856,194555904,10593910784
22-03 22:14:47,56,12,10,58,0,0,29,0,0,3316,2767,2780,0,0,0,0,0,3253809152,2089013248,194555904,10594455552
22-03 22:14:48,56,12,10,58,0,0,27,0,0,1303,1516,2099,0,0,0,0,0,3252445184,2090270720,194564096,10594029568
22-03 22:14:49,56,12,10,58,0,0,36,0,0,291,232,386,0,0,0,0,0,3251531776,2091118592,194564096,10593308672
22-03 22:14:50,56,12,10,58,0,0,22,0,0,81,176,290,0,0,0,0,0,3251220480,2091413504,194564096,10593058816
22-03 22:14:51,56,12,10,58,0,0,18,0,0,2009,2605,3025,0,0,0,0,0,3246727168,2095349760,194564096,10593357824
22-03 22:14:52,56,12,10,58,0,0,16,0,0,6032,7131,3069,0,0,0,0,0,3254894592,2086154240,194564096,10594385920
22-03 22:14:53,56,12,10,58,0,0,45,0,0,1530,1562,1442,0,0,0,0,0,3255779328,2085257216,194564096,10594664448
22-03 22:14:54,56,12,10,58,0,0,19,0,0,71,228,2633,0,0,0,0,0,3253866496,2093813760,194572288,10588270592
22-03 22:14:55,56,12,10,58,0,0,34,0,0,558,779,560,0,0,0,0,0,3254730752,2092879872,194572288,10587942912
22-03 22:14:56,56,12,10,58,0,0,15,0,0,23,592,1331,0,0,0,0,0,3255730176,2091876352,194572288,10587947008
22-03 22:14:57,56,12,10,58,0,0,14,0,0,1550,1541,1400,0,0,0,0,0,3255369728,2092236800,194572288,10588213248
22-03 22:14:58,56,12,10,58,0,0,30,0,0,2111,2726,4005,0,0,0,0,0,3247431680,2099613696,194572288,10590081024
22-03 22:14:59,56,12,10,58,0,0,34,0,0,5291,6451,1301,0,0,0,0,0,3266641920,2079358976,194572288,10589794304
22-03 22:15:00,56,12,10,58,0,0,16,0,0,45,450,654,0,0,0,0,0,3267555328,2078433280,194584576,10589552640
22-03 22:15:01,56,12,10,58,0,0,34,0,0,384,616,584,0,0,0,0,0,3267825664,2078158848,194584576,10589491200
22-03 22:15:02,56,12,10,58,0,0,13,0,1,4090,4039,3269,0,0,0,0,0,3268190208,2077773824,194584576,10590035968
22-03 22:15:03,56,12,10,58,0,0,16,0,0,1487,3044,2967,0,0,0,0,0,3267440640,2078318592,194584576,10589716480
22-03 22:15:04,56,12,10,58,0,0,15,0,0,27,169,195,0,0,0,0,0,3267608576,2078130176,194600960,10589720576
22-03 22:15:05,56,12,10,58,0,0,16,0,0,1173,1384,7268,0,0,0,0,0,3241938944,2103283712,194600960,10590236672
22-03 22:15:06,56,12,10,58,0,0,18,0,0,182,445,331,0,0,0,0,0,3242389504,2102779904,194600960,10590748672
22-03 22:15:07,56,12,10,58,0,0,32,0,0,6870,7855,10352,0,0,0,0,0,3238367232,2105761792,194600960,10591789056
22-03 22:15:08,56,12,10,58,0,0,15,0,0,2244,1812,1990,0,0,0,0,0,3238920192,2105851904,194600960,10591145984
22-03 22:15:09,56,12,10,58,0,0,28,0,0,402,316,318,0,0,0,0,0,3239297024,2105475072,194600960,10591145984
22-03 22:15:10,56,12,10,58,0,0,32,0,0,1277,2312,2062,0,0,0,0,0,3236274176,2108407808,194613248,10591490048
22-03 22:15:11,56,12,10,58,0,0,18,0,0,194,1198,1183,0,0,0,0,0,3234738176,2109927424,194613248,10591764480
22-03 22:15:12,56,12,10,58,0,0,18,0,0,4988,5138,5535,0,0,0,0,0,3233153024,2110939136,194613248,10592862208
22-03 22:15:13,56,12,10,58,0,0,36,0,0,1569,1381,1369,0,0,0,0,0,3233607680,2110484480,194613248,10592862208
22-03 22:15:14,56,12,10,58,0,0,35,0,0,5136,6232,6610,0,0,0,0,0,3224752128,2118307840,194613248,10592845824
22-03 22:15:15,56,12,10,58,0,0,31,0,0,9,184,209,0,0,0,0,0,3224739840,2118307840,194621440,10592849920
22-03 22:15:16,56,12,10,58,0,0,15,0,0,26,1654,1179,0,0,0,0,0,3224489984,2117808128,194621440,10594844672
22-03 22:15:17,56,12,10,58,0,0,16,0,0,1796,1655,1762,0,0,0,0,0,3224469504,2117828608,194621440,10594045952
22-03 22:15:18,56,12,10,58,0,0,15,0,0,1345,1349,1344,0,0,0,0,0,3225591808,2116616192,194621440,10593886208
22-03 22:15:19,56,12,10,58,0,0,29,0,0,811,1518,1070,0,0,0,0,0,3225456640,2116186112,194621440,10594983936
22-03 22:15:20,56,12,10,58,0,0,36,0,0,56,155,177,0,0,0,0,0,3225903104,2115719168,194621440,10594996224
22-03 22:15:21,56,12,10,58,0,0,32,0,0,253,341,5094,0,0,0,0,0,3212296192,2129317888,194629632,10594721792
22-03 22:15:22,56,12,10,58,0,0,18,0,0,7141,8021,2549,0,0,0,0,0,3234308096,2106138624,194629632,10595373056
22-03 22:15:23,56,12,10,58,0,0,15,0,0,1274,1654,2346,0,0,0,0,0,3230420992,2110025728,194629632,10596163584
22-03 22:15:24,56,12,10,58,0,0,14,0,0,24,325,1603,0,0,0,0,0,3231920128,2108522496,194629632,10595901440
22-03 22:15:25,56,12,10,58,0,0,41,0,0,639,512,434,0,0,0,0,0,3231817728,2108522496,194629632,10595811328
22-03 22:15:26,56,12,10,58,0,0,18,0,0,1061,1729,866,0,0,0,0,0,3231232000,2108534784,194637824,10597158912
22-03 22:15:27,56,12,10,58,0,0,17,0,0,1299,1790,1900,0,0,0,0,0,3232194560,2107572224,194637824,10596368384
22-03 22:15:28,56,12,10,58,0,0,15,0,0,1291,1365,1384,0,0,0,0,0,3232432128,2107330560,194637824,10596380672
22-03 22:15:29,56,12,10,58,0,0,15,0,0,5886,7003,1367,0,0,0,0,0,3246047232,2092658688,194637824,10598219776
22-03 22:15:30,56,12,10,58,0,0,18,0,0,72,101,463,0,0,0,0,0,3245989888,2092716032,194637824,10597961728
22-03 22:15:31,56,12,10,58,0,0,60,0,0,34,324,429,0,0,0,0,0,3246395392,2092310528,194637824,10597363712
22-03 22:15:32,56,12,10,58,0,0,19,0,0,1315,1847,2217,0,0,0,0,0,3247824896,2090860544,194654208,10597376000
22-03 22:15:33,56,12,10,58,0,0,17,0,0,3180,3663,3689,0,0,0,0,0,3243507712,2094534656,194654208,10598293504
22-03 22:15:34,56,12,10,58,0,0,15,0,0,96,104,72,0,0,0,0,0,3243560960,2094448640,194654208,10598576128
22-03 22:15:35,56,12,10,58,0,0,14,0,0,305,366,495,0,0,0,0,0,3244228608,2093756416,194654208,10598068224
22-03 22:15:36,56,12,10,58,0,0,14,0,0,23,79,97,0,0,0,0,0,3244228608,2093756416,194654208,10598068224
22-03 22:15:37,56,12,10,58,0,0,53,0,0,2042,3993,2849,0,0,0,0,0,3249291264,2087616512,194691072,10599575552
22-03 22:15:38,56,12,10,58,0,0,15,0,0,1597,1450,1648,0,0,0,0,0,3249737728,2087157760,194691072,10598789120
22-03 22:15:39,56,12,10,58,0,0,22,0,0,4332,3812,5491,0,0,0,0,0,3252928512,2090622976,194691072,10592722944
22-03 22:15:40,56,12,10,58,0,0,37,0,0,2702,4337,5070,0,0,0,0,0,3243298816,2099539968,194691072,10593480704
22-03 22:15:41,56,12,10,58,0,0,15,0,0,6,85,78,0,0,0,0,0,3243790336,2099048448,194691072,10593480704
22-03 22:15:42,56,12,10,58,0,0,35,0,0,1608,1690,1685,0,0,0,0,0,3244179456,2098634752,194703360,10593492992
22-03 22:15:43,56,12,10,58,0,0,36,0,0,1378,1468,1601,0,0,0,0,0,3245023232,2098446336,194703360,10592837632
22-03 22:15:44,56,12,10,58,0,0,15,0,0,5972,7134,4397,0,0,0,0,0,3258204160,2085363712,194703360,10592673792
22-03 22:15:45,56,12,10,58,0,0,15,0,0,281,379,407,0,0,0,0,0,3259207680,2084360192,194703360,10592673792
22-03 22:15:46,56,12,10,58,0,0,18,0,0,467,245,214,0,0,0,0,0,3259338752,2084216832,194703360,10592620544
22-03 22:15:47,56,12,10,58,0,0,15,0,0,2094,3269,4889,0,0,0,0,0,3250339840,2092634112,194719744,10593185792
22-03 22:15:48,56,12,10,58,0,0,14,0,0,2069,2236,2655,0,0,0,0,0,3247906816,2094964736,194719744,10593288192
22-03 22:15:49,56,12,10,58,0,0,49,0,0,396,530,513,0,0,0,0,0,3248422912,2094448640,194719744,10593222656
22-03 22:15:50,56,12,10,58,0,0,14,0,0,3485,2743,2732,0,0,0,0,0,3248156672,2094714880,194719744,10593222656
22-03 22:15:51,56,12,10,58,0,0,18,0,0,3,78,73,0,0,0,0,0,3248644096,2094215168,194719744,10593234944
22-03 22:15:52,56,12,10,58,0,0,16,0,0,6598,8301,6020,0,0,0,0,0,3255795712,2086023168,194727936,10594267136
22-03 22:15:53,56,12,10,58,0,0,36,0,0,604,778,595,0,0,0,0,0,3256512512,2085285888,194727936,10594222080
22-03 22:15:54,56,12,10,58,0,0,22,0,0,2445,1940,3404,0,0,0,0,0,3255382016,2086146048,194727936,10594492416
22-03 22:15:55,57,12,10,59,0,0,79,0,0,12978,12725,3788,0,0,0,0,0,3271495680,2069458944,194736128,10602811392
22-03 22:15:56,57,12,10,59,0,0,73,0,0,36439,40560,32502,0,0,0,0,0,3309948928,2030456832,194899968,10602790912
22-03 22:15:57,57,12,10,59,0,0,31,0,0,12079,16530,15867,0,0,0,0,0,3321143296,2019639296,194990080,10603687936
22-03 22:15:58,57,12,10,59,0,0,23,0,0,134,110,487,0,0,0,0,0,3320487936,2020290560,194990080,10603741184
22-03 22:15:59,57,12,10,59,0,0,41,0,0,32153,35098,33659,0,0,0,0,0,3331653632,2007789568,195088384,10604171264
22-03 22:16:00,57,12,10,59,0,0,19,0,0,28,151,199,0,0,0,0,0,3331522560,2008018944,195088384,10603855872
22-03 22:16:01,57,12,10,59,0,0,42,0,0,1465,1865,2169,0,0,0,0,0,3329277952,2009698304,195088384,10604355584
22-03 22:16:02,57,12,10,59,0,0,14,0,0,2858,2863,3312,0,0,0,0,0,3328872448,2010095616,195088384,10604429312
22-03 22:16:03,57,12,10,59,0,0,15,0,0,205,308,333,0,0,0,0,0,3327647744,2011213824,195088384,10604535808
22-03 22:16:04,57,12,10,59,0,0,43,0,0,1298,1444,1468,0,0,0,0,0,3327123456,2011738112,195088384,10604535808
22-03 22:16:05,57,12,10,59,0,0,20,0,0,225,553,4955,0,0,0,0,0,3308453888,2030391296,195104768,10604470272
22-03 22:16:06,57,12,10,59,0,0,16,0,0,247,101,287,0,0,0,0,0,3307433984,2031407104,195104768,10604474368
22-03 22:16:07,57,12,10,59,0,0,38,0,0,6824,8017,5243,0,0,0,0,0,3321180160,2016608256,195104768,10605592576
22-03 22:16:08,57,12,10,59,0,0,16,0,0,287,1131,1766,0,0,0,0,0,3314089984,2023129088,195104768,10606096384
22-03 22:16:09,57,12,10,59,0,0,17,0,0,1278,1389,1370,0,0,0,0,0,3315564544,2021650432,195104768,10606166016
22-03 22:16:10,57,12,10,59,0,0,21,0,0,2866,2299,2730,0,0,0,0,0,3312648192,2024546304,195121152,10606170112
22-03 22:16:11,57,12,10,59,0,0,17,0,0,349,301,544,0,0,0,0,0,3313041408,2024058880,195121152,10606100480
22-03 22:16:12,57,12,10,59,0,0,15,0,0,1485,1641,1677,0,0,0,0,0,3313025024,2024058880,195121152,10606051328
22-03 22:16:13,57,12,10,59,0,0,48,0,0,185,501,469,0,0,0,0,0,3312128000,2024951808,195121152,10606055424
22-03 22:16:14,57,12,10,59,0,0,16,0,0,7602,8197,5356,0,0,0,0,0,3309965312,2026278912,195121152,10604658688
22-03 22:16:15,57,12,10,59,0,0,28,0,0,2159,2937,10594,0,0,0,0,0,3276791808,2058694656,195129344,10601238528
22-03 22:16:16,57,12,10,59,0,0,19,0,0,2331,1871,2858,0,0,0,0,0,3278516224,2056925184,195129344,10600300544
22-03 22:16:17,57,12,10,59,0,0,12,0,0,2960,3368,2399,0,0,0,0,0,3278708736,2056724480,195129344,10600472576
22-03 22:16:18,57,12,10,59,0,0,16,0,0,1005,2806,2134,0,0,0,0,0,3278934016,2056290304,195129344,10600517632
22-03 22:16:19,57,12,10,59,0,0,39,0,0,3597,3140,3983,0,0,0,0,0,3279794176,2056089600,195129344,10599858176
22-03 22:16:20,57,12,10,59,0,0,14,0,0,21,77,364,0,0,0,0,0,3279794176,2056089600,195129344,10599858176
22-03 22:16:21,57,12,10,59,0,0,14,0,0,104,286,298,0,0,0,0,0,3279781888,2056069120,195141632,10599649280
22-03 22:16:22,57,12,10,59,0,0,19,0,0,7182,8410,3561,0,0,0,0,0,3298574336,2035699712,195141632,10601291776
22-03 22:16:23,57,12,10,59,0,0,14,0,0,88,972,4899,0,0,0,0,0,3293491200,2047635456,195141632,10594631680
22-03 22:16:24,57,12,10,59,0,0,18,0,0,2468,1867,1899,0,0,0,0,0,3294478336,2046648320,195141632,10594566144
22-03 22:16:25,57,12,10,59,0,0,46,0,0,1171,1056,1414,0,0,0,0,0,3295670272,2045427712,195170304,10594631680
22-03 22:16:26,57,12,10,59,0,0,40,0,0,318,335,347,0,0,0,0,0,3295559680,2045427712,195186688,10594660352
22-03 22:16:27,57,12,10,59,0,0,17,0,0,1336,1439,1440,0,0,0,0,0,3295784960,2045198336,195186688,10594664448
22-03 22:16:28,57,12,10,59,0,0,16,0,0,24,423,428,0,0,0,0,0,3296780288,2044194816,195186688,10594738176
22-03 22:16:29,57,12,10,59,0,0,15,0,0,5612,6817,9833,0,0,0,0,0,3278274560,2061074432,195186688,10596364288
22-03 22:16:30,57,12,10,59,0,0,20,0,0,307,197,206,0,0,0,0,0,3278237696,2061103104,195186688,10596372480
22-03 22:16:31,56,12,10,58,0,0,37,0,0,160,354,331,0,0,0,0,0,3279114240,2060214272,195194880,10596376576
22-03 22:16:32,56,12,10,58,0,0,14,0,0,6821,5392,4877,0,0,0,0,0,3280650240,2058674176,195194880,10596646912
22-03 22:16:33,56,12,10,58,0,0,15,0,0,2049,2723,1754,0,0,0,0,0,3280646144,2058575872,195194880,10596519936
22-03 22:16:34,56,12,10,58,0,0,15,0,0,1523,1381,1655,0,0,0,0,0,3280662528,2058559488,195194880,10596519936
22-03 22:16:35,56,12,10,58,0,0,13,0,0,6,493,104,0,0,0,0,0,3282108416,2057113600,195194880,10598092800
22-03 22:16:36,56,12,10,58,0,0,13,0,0,1661,1876,2185,0,0,0,0,0,3279466496,2059436032,195203072,10596896768
22-03 22:16:37,56,12,10,58,0,0,92,0,0,5733,6890,7387,0,0,0,0,0,3270848512,2066755584,195203072,10598195200
22-03 22:16:38,56,12,10,58,0,0,18,0,0,318,384,375,0,0,0,0,0,3271585792,2065993728,195211264,10598146048
