"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/cpu.csv --time --cpu 1 600",,,,"Date:","22 Mar 2023 22:03:09 -03"
"system","total cpu usage",,,,
22-03 22:04:39,3.764,1.380,94.730,0.125,0
22-03 22:04:40,4.408,1.259,94.207,0.126,0
22-03 22:04:41,4.025,1.635,94.214,0.126,0
22-03 22:04:42,3.657,1.135,95.208,0,0
22-03 22:04:43,3.405,1.261,95.208,0.126,0
22-03 22:04:44,3.924,2.532,93.418,0.127,0
22-03 22:04:45,4.288,0.883,94.830,0,0
22-03 22:04:46,4.167,1.641,94.066,0.126,0
22-03 22:04:47,4.146,2.010,93.719,0.126,0
22-03 22:04:48,3.657,1.261,95.082,0,0
22-03 22:04:49,5.177,1.263,93.434,0.126,0
22-03 22:04:50,3.894,1.508,94.598,0,0
22-03 22:04:51,4.030,1.763,94.081,0.126,0
22-03 22:04:52,5.025,1.633,93.090,0.251,0
22-03 22:04:53,4.282,1.385,94.081,0.252,0
22-03 22:04:54,3.652,1.134,94.962,0.252,0
22-03 22:04:55,3.643,1.633,94.598,0.126,0
22-03 22:04:56,4.436,1.774,93.790,0,0
22-03 22:04:57,4.146,1.884,93.844,0.126,0
22-03 22:04:58,3.797,1.519,94.684,0,0
22-03 22:04:59,3.909,0.883,94.578,0.631,0
22-03 22:05:00,4.167,1.010,94.823,0,0
22-03 22:05:01,4.511,1.880,93.484,0.125,0
22-03 22:05:02,4.672,2.146,93.182,0,0
22-03 22:05:03,4.282,1.763,93.829,0.126,0
22-03 22:05:04,3.657,1.261,94.830,0.252,0
22-03 22:05:05,3.648,2.264,93.208,0.881,0
22-03 22:05:06,4.266,2.008,93.726,0,0
22-03 22:05:07,3.283,0.758,95.833,0.126,0
22-03 22:05:08,4.293,1.894,93.687,0.126,0
22-03 22:05:09,3.648,1.509,94.717,0.126,0
22-03 22:05:10,6.289,1.509,92.201,0,0
22-03 22:05:11,5.276,1.884,92.714,0.126,0
22-03 22:05:12,3.418,1.013,95.570,0,0
22-03 22:05:13,5.528,2.889,91.206,0.377,0
22-03 22:05:14,4.277,1.258,93.836,0.629,0
22-03 22:05:15,3.890,1.129,94.856,0.125,0
22-03 22:05:16,3.540,2.023,94.437,0,0
22-03 22:05:17,3.899,1.258,94.717,0.126,0
22-03 22:05:18,4.156,2.015,93.829,0,0
22-03 22:05:19,3.023,1.134,95.214,0.630,0
22-03 22:05:20,3.783,1.513,94.578,0.126,0
22-03 22:05:21,4.245,1.873,93.883,0,0
22-03 22:05:22,4.943,2.155,92.776,0.127,0
22-03 22:05:23,5.290,1.889,92.821,0,0
22-03 22:05:24,5.151,1.759,92.965,0.126,0
22-03 22:05:25,3.904,1.385,94.458,0.252,0
22-03 22:05:26,4.798,2.146,92.551,0.505,0
22-03 22:05:27,3.270,1.384,95.220,0.126,0
22-03 22:05:28,3.793,1.391,94.817,0,0
22-03 22:05:29,3.396,1.761,94.717,0.126,0
22-03 22:05:30,4.277,1.258,94.214,0.252,0
22-03 22:05:31,3.662,2.273,93.561,0.505,0
22-03 22:05:32,3.413,1.138,95.449,0,0
22-03 22:05:33,3.270,2.013,94.591,0.126,0
22-03 22:05:34,4.156,1.385,94.458,0,0
22-03 22:05:35,4.288,1.639,93.821,0.252,0
22-03 22:05:36,3.657,2.270,93.821,0.252,0
22-03 22:05:37,3.657,1.387,94.325,0.631,0
22-03 22:05:38,4.167,1.515,94.318,0,0
22-03 22:05:39,3.270,1.258,95.346,0.126,0
22-03 22:05:40,3.643,1.256,95.101,0,0
22-03 22:05:41,3.634,2.256,93.985,0.125,0
22-03 22:05:42,3.890,1.506,94.103,0.502,0
22-03 22:05:43,4.025,1.384,94.465,0.126,0
22-03 22:05:44,3.540,1.011,95.449,0,0
22-03 22:05:45,3.657,1.387,94.830,0.126,0
22-03 22:05:46,3.401,1.511,95.088,0,0
22-03 22:05:47,4.271,2.010,93.467,0.251,0
22-03 22:05:48,4.288,1.639,93.821,0.252,0
22-03 22:05:49,2.658,1.139,95.443,0.759,0
22-03 22:05:50,3.283,1.263,95.455,0,0
22-03 22:05:51,4.025,1.887,93.962,0.126,0
22-03 22:05:52,4.282,1.763,93.829,0.126,0
22-03 22:05:53,4.517,1.882,93.601,0,0
22-03 22:05:54,3.531,1.135,95.082,0.252,0
22-03 22:05:55,3.914,1.389,94.697,0,0
22-03 22:05:56,9.637,3.379,86.859,0.125,0
22-03 22:05:57,3.526,1.385,94.962,0.126,0
22-03 22:05:58,3.914,2.146,93.939,0,0
22-03 22:05:59,5.316,1.646,92.911,0.127,0
22-03 22:06:00,4.156,1.008,94.836,0,0
22-03 22:06:01,3.774,2.138,93.711,0.377,0
22-03 22:06:02,3.652,2.141,94.081,0.126,0
22-03 22:06:03,3.671,1.772,94.430,0.127,0
22-03 22:06:04,3.413,1.264,95.196,0.126,0
22-03 22:06:05,3.774,1.132,95.094,0,0
22-03 22:06:06,4.786,1.385,93.703,0.126,0
22-03 22:06:07,3.535,1.894,94.444,0.126,0
22-03 22:06:08,7.215,3.038,89.620,0.127,0
22-03 22:06:09,3.535,1.389,94.949,0.126,0
22-03 22:06:10,4.020,1.131,94.849,0,0
22-03 22:06:11,4.261,2.381,93.233,0.125,0
22-03 22:06:12,4.172,1.770,93.932,0.126,0
22-03 22:06:13,3.287,1.391,95.322,0,0
22-03 22:06:14,3.769,1.382,94.724,0.126,0
22-03 22:06:15,3.904,0.882,94.962,0.252,0
22-03 22:06:16,3.266,1.508,94.724,0.503,0
22-03 22:06:17,4.030,1.889,93.955,0.126,0
22-03 22:06:18,3.778,1.511,94.710,0,0
22-03 22:06:19,3.531,1.513,94.830,0.126,0
22-03 22:06:20,4.666,1.261,93.947,0.126,0
22-03 22:06:21,3.909,1.513,94.578,0,0
22-03 22:06:22,3.914,2.146,93.813,0.126,0
22-03 22:06:23,3.774,1.761,94.340,0.126,0
22-03 22:06:24,3.405,1.387,95.208,0,0
22-03 22:06:25,3.279,1.261,95.334,0.126,0
22-03 22:06:26,4.172,1.264,94.311,0.253,0
22-03 22:06:27,5.170,2.396,92.308,0.126,0
22-03 22:06:28,4.298,3.161,92.415,0.126,0
22-03 22:06:29,3.165,1.139,95.696,0,0
22-03 22:06:30,3.531,1.135,95.208,0.126,0
22-03 22:06:31,4.156,1.763,93.955,0.126,0
22-03 22:06:32,3.914,1.894,94.192,0,0
22-03 22:06:33,4.266,1.380,94.228,0.125,0
22-03 22:06:34,5.303,1.768,92.803,0.126,0
22-03 22:06:35,3.526,2.015,94.458,0,0
22-03 22:06:36,4.035,2.018,93.569,0.378,0
22-03 22:06:37,4.798,1.768,93.434,0,0
22-03 22:06:38,4.156,1.259,94.458,0.126,0
22-03 22:06:39,4.271,1.633,94.095,0,0
22-03 22:06:40,3.657,0.883,95.082,0.378,0
22-03 22:06:41,4.141,1.631,93.726,0.502,0
22-03 22:06:42,4.574,2.287,93.139,0,0
22-03 22:06:43,3.522,1.384,94.969,0.126,0
22-03 22:06:44,3.914,2.020,94.066,0,0
22-03 22:06:45,4.146,0.754,94.975,0.126,0
22-03 22:06:46,3.657,1.261,94.830,0.252,0
22-03 22:06:47,3.405,2.144,94.199,0.252,0
22-03 22:06:48,4.040,1.389,94.444,0.126,0
22-03 22:06:49,4.293,2.146,93.434,0.126,0
22-03 22:06:50,4.266,1.255,94.479,0,0
22-03 22:06:51,4.151,1.635,94.088,0.126,0
22-03 22:06:52,4.046,1.643,94.311,0,0
22-03 22:06:53,6.582,3.418,89.747,0.253,0
22-03 22:06:54,4.167,1.768,93.939,0.126,0
22-03 22:06:55,3.275,1.134,95.466,0.126,0
22-03 22:06:56,3.685,1.017,95.299,0,0
22-03 22:06:57,3.769,1.508,94.598,0.126,0
22-03 22:06:58,3.890,1.380,94.605,0.125,0
22-03 22:06:59,4.425,1.517,94.058,0,0
22-03 22:07:00,4.386,1.128,94.361,0.125,0
22-03 22:07:01,3.652,1.385,94.458,0.504,0
22-03 22:07:02,3.914,2.146,93.939,0,0
22-03 22:07:03,3.405,1.639,94.830,0.126,0
22-03 22:07:04,4.924,3.157,91.793,0.126,0
22-03 22:07:05,3.531,1.387,94.956,0.126,0
22-03 22:07:06,4.899,1.508,93.593,0,0
22-03 22:07:07,3.639,2.008,94.228,0.125,0
22-03 22:07:08,3.639,2.635,93.601,0.125,0
22-03 22:07:09,4.540,1.639,93.695,0.126,0
22-03 22:07:10,3.788,1.010,95.076,0.126,0
22-03 22:07:11,3.401,1.385,95.214,0,0
22-03 22:07:12,4.397,1.633,93.844,0.126,0
22-03 22:07:13,4.172,1.391,94.185,0.253,0
22-03 22:07:14,5.263,2.632,91.479,0.627,0
22-03 22:07:15,4.654,1.258,93.962,0.126,0
22-03 22:07:16,4.282,1.259,94.458,0,0
22-03 22:07:17,4.277,1.761,93.836,0.126,0
22-03 22:07:18,3.401,1.889,94.710,0,0
22-03 22:07:19,4.151,1.887,93.459,0.503,0
22-03 22:07:20,4.167,1.389,94.318,0.126,0
22-03 22:07:21,4.637,2.130,93.108,0.125,0
22-03 22:07:22,4.666,2.018,93.317,0,0
22-03 22:07:23,4.893,1.004,93.977,0.125,0
22-03 22:07:24,3.279,1.639,94.830,0.252,0
22-03 22:07:25,4.046,1.770,93.679,0.506,0
22-03 22:07:26,5.772,1.506,92.597,0.125,0
22-03 22:07:27,4.030,2.015,93.829,0.126,0
22-03 22:07:28,4.277,1.509,94.214,0,0
22-03 22:07:29,4.146,1.508,94.221,0.126,0
22-03 22:07:30,4.419,1.263,94.318,0,0
22-03 22:07:31,3.161,1.138,95.449,0.253,0
22-03 22:07:32,3.797,1.392,94.304,0.506,0
22-03 22:07:33,4.271,1.131,94.598,0,0
22-03 22:07:34,4.030,1.259,94.584,0.126,0
22-03 22:07:35,3.531,0.883,95.460,0.126,0
22-03 22:07:36,4.282,1.889,93.829,0,0
22-03 22:07:37,4.304,1.772,93.797,0.127,0
22-03 22:07:38,5.316,2.532,92.152,0,0
22-03 22:07:39,3.919,1.264,94.817,0,0
22-03 22:07:40,3.778,2.267,93.199,0.756,0
22-03 22:07:41,4.309,1.141,94.423,0.127,0
22-03 22:07:42,3.949,1.911,94.013,0.127,0
22-03 22:07:43,4.918,1.765,93.317,0,0
22-03 22:07:44,5.542,2.015,92.317,0.126,0
22-03 22:07:45,4.051,1.899,93.544,0.506,0
22-03 22:07:46,4.035,1.639,94.199,0.126,0
22-03 22:07:47,5.031,2.516,92.453,0,0
22-03 22:07:48,5.402,2.261,92.211,0.126,0
22-03 22:07:49,4.447,1.779,93.774,0,0
22-03 22:07:50,4.320,1.271,94.155,0.254,0
22-03 22:07:51,4.551,1.896,93.173,0.379,0
22-03 22:07:52,4.315,1.650,94.036,0,0
22-03 22:07:53,4.419,1.894,93.561,0.126,0
22-03 22:07:54,4.156,3.023,92.821,0,0
22-03 22:07:55,4.293,1.894,93.561,0.253,0
22-03 22:07:56,4.282,1.637,93.703,0.378,0
22-03 22:07:57,4.574,1.398,93.901,0.127,0
22-03 22:07:58,5.151,2.764,92.085,0,0
22-03 22:07:59,5.038,2.519,92.317,0.126,0
22-03 22:08:00,4.035,2.144,93.821,0,0
22-03 22:08:01,4.282,1.637,93.451,0.630,0
22-03 22:08:02,4.660,2.141,93.073,0.126,0
22-03 22:08:03,4.523,2.387,92.839,0.251,0
22-03 22:08:04,3.413,2.023,94.564,0,0
22-03 22:08:05,3.383,2.256,94.236,0.125,0
22-03 22:08:06,4.271,1.508,94.221,0,0
22-03 22:08:07,3.904,1.637,94.332,0.126,0
22-03 22:08:08,5.290,1.637,92.695,0.378,0
22-03 22:08:09,4.528,2.390,92.956,0.126,0
22-03 22:08:10,3.894,1.382,94.724,0,0
22-03 22:08:11,4.391,1.506,93.977,0.125,0
22-03 22:08:12,3.759,1.629,94.486,0.125,0
22-03 22:08:13,3.914,2.146,93.687,0.253,0
22-03 22:08:14,4.277,2.264,93.208,0.252,0
22-03 22:08:15,4.030,1.259,94.584,0.126,0
22-03 22:08:16,4.534,1.637,93.703,0.126,0
22-03 22:08:17,3.783,1.261,94.956,0,0
22-03 22:08:18,4.271,1.759,93.844,0.126,0
22-03 22:08:19,4.899,1.508,93.467,0.126,0
22-03 22:08:20,5.044,1.639,93.190,0.126,0
22-03 22:08:21,3.392,1.633,94.975,0,0
22-03 22:08:22,3.657,1.639,94.578,0.126,0
22-03 22:08:23,4.924,3.157,91.667,0.253,0
22-03 22:08:24,4.786,1.259,93.199,0.756,0
22-03 22:08:25,4.271,2.261,93.467,0,0
22-03 22:08:26,3.388,2.008,94.479,0.125,0
22-03 22:08:27,4.403,0.881,94.717,0,0
22-03 22:08:28,4.282,2.519,93.073,0.126,0
22-03 22:08:29,4.293,1.515,93.939,0.253,0
22-03 22:08:30,4.282,2.267,93.199,0.252,0
22-03 22:08:31,4.912,1.889,93.073,0.126,0
22-03 22:08:32,3.405,2.144,94.199,0.252,0
22-03 22:08:33,3.026,1.639,95.334,0,0
22-03 22:08:34,4.010,1.378,94.486,0.125,0
22-03 22:08:35,4.146,2.010,93.719,0.126,0
22-03 22:08:36,3.662,1.263,94.949,0.126,0
22-03 22:08:37,4.025,1.509,94.465,0,0
22-03 22:08:38,3.880,1.877,94.118,0.125,0
22-03 22:08:39,3.769,1.382,94.849,0,0
22-03 22:08:40,4.025,1.887,93.962,0.126,0
22-03 22:08:41,3.899,1.384,94.465,0.252,0
22-03 22:08:42,4.534,1.511,93.451,0.504,0
22-03 22:08:43,3.914,2.020,93.939,0.126,0
22-03 22:08:44,4.386,1.128,94.486,0,0
22-03 22:08:45,4.288,2.144,93.443,0.126,0
22-03 22:08:46,3.401,1.385,95.214,0,0
22-03 22:08:47,4.277,1.132,94.340,0.252,0
22-03 22:08:48,4.030,2.015,93.451,0.504,0
22-03 22:08:49,3.396,1.509,94.969,0.126,0
22-03 22:08:50,3.914,1.641,94.318,0.126,0
22-03 22:08:51,3.662,1.389,94.949,0,0
22-03 22:08:52,4.161,1.513,94.199,0.126,0
22-03 22:08:53,5.038,2.015,92.191,0.756,0
22-03 22:08:54,4.517,1.506,93.852,0.125,0
22-03 22:08:55,3.666,2.023,94.311,0,0
22-03 22:08:56,4.146,1.005,94.849,0,0
22-03 22:08:57,3.535,1.010,95.202,0.253,0
22-03 22:08:58,3.890,1.506,94.605,0,0
22-03 22:08:59,4.020,0.879,94.849,0.251,0
22-03 22:09:00,3.788,1.515,94.697,0,0
22-03 22:09:01,4.167,1.010,94.697,0.126,0
22-03 22:09:02,3.899,2.138,93.836,0.126,0
22-03 22:09:03,4.261,2.005,93.609,0.125,0
22-03 22:09:04,4.774,1.508,93.719,0,0
22-03 22:09:05,3.509,2.130,94.236,0.125,0
22-03 22:09:06,4.125,1.125,94.750,0,0
22-03 22:09:07,4.025,1.258,94.591,0.126,0
22-03 22:09:08,4.277,1.887,93.333,0.503,0
22-03 22:09:09,6.642,2.882,90.351,0.125,0
22-03 22:09:10,3.388,1.757,94.856,0,0
22-03 22:09:11,4.130,1.502,94.243,0.125,0
22-03 22:09:12,3.401,1.259,95.340,0,0
22-03 22:09:13,3.904,1.763,94.207,0.126,0
22-03 22:09:14,4.924,2.146,92.677,0.253,0
22-03 22:09:15,4.534,1.763,93.325,0.378,0
22-03 22:09:16,4.046,1.138,94.817,0,0
22-03 22:09:17,3.880,1.252,94.743,0.125,0
22-03 22:09:18,4.046,1.011,94.943,0,0
22-03 22:09:19,4.414,2.774,92.182,0.631,0
22-03 22:09:20,4.780,1.509,93.585,0.126,0
22-03 22:09:21,3.409,1.263,95.328,0,0
22-03 22:09:22,4.380,1.001,94.493,0.125,0
22-03 22:09:23,3.531,1.261,95.208,0,0
22-03 22:09:24,4.660,1.511,93.451,0.378,0
22-03 22:09:25,4.161,1.765,94.073,0,0
22-03 22:09:26,3.526,1.259,95.088,0.126,0
22-03 22:09:27,3.396,1.132,95.472,0,0
22-03 22:09:28,4.277,1.006,94.591,0.126,0
22-03 22:09:29,5.395,1.255,93.099,0.251,0
22-03 22:09:30,4.156,2.141,93.451,0.252,0
22-03 22:09:31,4.625,1.375,93.875,0.125,0
22-03 22:09:32,3.652,1.259,95.088,0,0
22-03 22:09:33,3.513,1.255,95.107,0.125,0
22-03 22:09:34,4.271,1.884,93.593,0.251,0
22-03 22:09:35,4.020,1.508,93.970,0.503,0
22-03 22:09:36,4.161,1.135,94.704,0,0
22-03 22:09:37,3.899,1.258,94.717,0.126,0
22-03 22:09:38,3.880,1.502,94.618,0,0
22-03 22:09:39,4.899,1.256,93.719,0.126,0
22-03 22:09:40,3.769,2.136,93.593,0.503,0
22-03 22:09:41,3.909,1.135,94.830,0.126,0
22-03 22:09:42,3.526,1.385,94.962,0.126,0
22-03 22:09:43,4.282,1.511,94.207,0,0
22-03 22:09:44,4.141,2.133,93.476,0.251,0
22-03 22:09:45,3.914,1.263,94.823,0,0
22-03 22:09:46,3.648,1.258,94.969,0.126,0
22-03 22:09:47,4.141,1.380,94.479,0,0
22-03 22:09:48,4.035,1.261,94.451,0.252,0
22-03 22:09:49,3.885,2.256,93.233,0.627,0
22-03 22:09:50,4.030,1.511,94.458,0,0
22-03 22:09:51,4.025,0.881,94.969,0.126,0
22-03 22:09:52,4.151,2.013,93.836,0,0
22-03 22:09:53,3.643,1.508,94.724,0.126,0
22-03 22:09:54,5.164,1.763,92.821,0.252,0
22-03 22:09:55,5.270,1.631,92.095,1.004,0
22-03 22:09:56,3.769,1.256,94.849,0.126,0
22-03 22:09:57,4.015,1.506,94.479,0,0
22-03 22:09:58,4.261,2.005,93.609,0.125,0
22-03 22:09:59,3.875,2.375,93.625,0.125,0
22-03 22:10:00,3.894,1.508,94.347,0.251,0
22-03 22:10:01,3.894,2.010,93.844,0.251,0
22-03 22:10:02,4.528,1.887,93.459,0.126,0
22-03 22:10:03,3.522,1.509,94.969,0,0
22-03 22:10:04,5.270,1.506,93.099,0.125,0
22-03 22:10:05,3.401,1.134,95.214,0.252,0
22-03 22:10:06,4.010,1.880,93.609,0.501,0
22-03 22:10:07,3.401,1.637,94.836,0.126,0
22-03 22:10:08,3.639,1.506,94.856,0,0
22-03 22:10:09,4.517,1.757,93.726,0,0
22-03 22:10:10,5.757,1.877,92.115,0.250,0
22-03 22:10:11,4.534,1.385,94.081,0,0
22-03 22:10:12,3.788,1.641,94.444,0.126,0
22-03 22:10:13,4.930,1.264,93.679,0.126,0
22-03 22:10:14,3.652,1.763,94.584,0,0
22-03 22:10:15,3.275,0.882,95.718,0.126,0
22-03 22:10:16,4.678,2.023,93.173,0.126,0
22-03 22:10:17,3.769,1.633,94.221,0.377,0
22-03 22:10:18,3.275,1.511,95.088,0.126,0
22-03 22:10:19,3.919,1.264,94.690,0.126,0
22-03 22:10:20,4.792,1.387,93.821,0,0
22-03 22:10:21,4.151,1.887,93.836,0.126,0
22-03 22:10:22,3.008,1.253,95.739,0,0
22-03 22:10:23,3.904,2.015,93.829,0.252,0
22-03 22:10:24,4.534,1.763,93.325,0.378,0
22-03 22:10:25,4.015,1.506,94.354,0.125,0
22-03 22:10:26,3.676,2.155,94.043,0.127,0
22-03 22:10:27,4.141,1.004,94.856,0,0
22-03 22:10:28,3.648,1.384,94.843,0.126,0
22-03 22:10:29,3.778,1.763,94.332,0.126,0
22-03 22:10:30,3.396,1.258,95.094,0.252,0
22-03 22:10:31,5.436,2.276,92.288,0,0
22-03 22:10:32,3.643,1.633,94.598,0.126,0
22-03 22:10:33,3.783,1.135,95.082,0,0
22-03 22:10:34,3.759,1.504,94.612,0.125,0
22-03 22:10:35,3.904,1.134,94.710,0.252,0
22-03 22:10:36,4.414,1.639,93.443,0.504,0
22-03 22:10:37,4.684,1.392,93.797,0.127,0
22-03 22:10:38,3.630,1.877,94.493,0,0
22-03 22:10:39,4.786,1.259,93.829,0.126,0
22-03 22:10:40,3.783,1.513,94.704,0,0
22-03 22:10:41,4.005,2.378,93.492,0.125,0
22-03 22:10:42,4.528,1.258,93.836,0.377,0
22-03 22:10:43,3.652,1.385,94.710,0.252,0
22-03 22:10:44,4.046,1.896,94.058,0,0
22-03 22:10:45,3.885,1.504,94.486,0.125,0
22-03 22:10:46,4.156,1.637,94.207,0,0
22-03 22:10:47,4.020,1.256,94.472,0.251,0
22-03 22:10:48,4.030,1.134,94.458,0.378,0
22-03 22:10:49,3.652,1.889,94.081,0.378,0
22-03 22:10:50,3.522,1.509,94.843,0.126,0
22-03 22:10:51,3.904,1.637,94.458,0,0
22-03 22:10:52,4.146,1.759,93.970,0.126,0
22-03 22:10:53,4.545,2.146,93.182,0.126,0
22-03 22:10:54,3.774,1.509,94.591,0.126,0
22-03 22:10:55,3.774,1.635,94.465,0.126,0
22-03 22:10:56,10.163,3.890,85.822,0.125,0
22-03 22:10:57,3.540,1.138,95.322,0,0
22-03 22:10:58,3.875,1.375,94.625,0.125,0
22-03 22:10:59,5.144,2.008,92.848,0,0
22-03 22:11:00,4.397,1.884,93.593,0.126,0
22-03 22:11:01,3.774,1.887,93.585,0.755,0
22-03 22:11:02,5.514,1.880,92.607,0,0
22-03 22:11:03,3.413,1.391,94.943,0.253,0
22-03 22:11:04,4.156,1.385,94.458,0,0
22-03 22:11:05,4.135,2.381,93.358,0.125,0
22-03 22:11:06,4.774,1.759,93.342,0.126,0
22-03 22:11:07,3.793,2.023,94.185,0,0
22-03 22:11:08,3.885,1.504,94.486,0.125,0
22-03 22:11:09,4.557,1.266,94.177,0,0
22-03 22:11:10,4.167,1.768,93.813,0.253,0
22-03 22:11:11,4.020,2.513,92.839,0.628,0
22-03 22:11:12,4.040,1.010,94.949,0,0
22-03 22:11:13,3.778,1.637,94.458,0.126,0
22-03 22:11:14,5.409,1.384,93.082,0.126,0
22-03 22:11:15,4.151,2.013,93.836,0,0
22-03 22:11:16,4.141,2.008,93.726,0.125,0
22-03 22:11:17,4.271,1.508,94.221,0,0
22-03 22:11:18,3.894,1.256,94.724,0.126,0
22-03 22:11:19,3.648,1.509,94.717,0.126,0
22-03 22:11:20,4.436,1.267,94.297,0,0
22-03 22:11:21,3.652,1.763,94.332,0.252,0
22-03 22:11:22,3.899,1.887,94.214,0,0
22-03 22:11:23,3.643,1.508,94.724,0.126,0
22-03 22:11:24,3.526,1.134,95.340,0,0
22-03 22:11:25,4.156,1.889,93.829,0.126,0
22-03 22:11:26,3.662,1.894,94.192,0.253,0
