"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/raw_fs_page_time_sys_proc_zones.csv --raw --fs --page --time --sys --proc --zones 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"raw","filesystem",,"paging",,"system","system",,"procs",,,"zones memory",,,
0,14080,181426,0,0,23-03 14:06:12,2519,5554,1,0,0,159767,3141,516723,22688
0,14112,181442,0,0,23-03 14:06:13,2665,7654,1,0,15,159767,3141,516368,22688
0,14080,181436,0,0,23-03 14:06:14,2490,5818,0,0,1,159767,3141,516157,22688
0,14048,181366,0,0,23-03 14:06:15,2649,6586,2,0,0,159767,3141,520217,22688
0,14016,181366,0,0,23-03 14:06:16,2635,6104,0,0,0,159767,3141,520761,22688
0,14016,182438,0,0,23-03 14:06:17,3470,36739,0,0,0,159767,3141,486201,22688
0,14016,182437,0,0,23-03 14:06:18,2637,7092,0,0,8,159767,3141,492120,22688
0,14048,182380,0,0,23-03 14:06:19,2709,6998,0,0,8,159767,3141,492915,22688
0,14048,182390,0,0,23-03 14:06:20,2574,5727,0,0,0,159767,3141,492707,22688
0,14048,182389,0,0,23-03 14:06:21,2713,6653,0,2,1,159767,3141,487135,22688
0,14048,182389,0,0,23-03 14:06:22,2569,5692,2,0,0,159767,3141,487229,22688
0,14080,182390,0,0,23-03 14:06:23,2573,6782,0,0,8,159767,3141,491600,22688
0,14080,182340,0,0,23-03 14:06:24,2546,6915,0,0,8,159767,3141,491309,22688
0,14080,182337,0,0,23-03 14:06:25,2496,6033,0,0,0,159767,3141,486668,22688
0,14080,182337,0,0,23-03 14:06:26,3491,6365,0,0,1,159767,3141,489293,22688
0,14048,182347,0,0,23-03 14:06:27,3202,7352,3,0,0,159767,3141,497490,22688
0,14048,182346,0,0,23-03 14:06:28,2607,7005,0,0,8,159767,3141,497168,22688
0,14016,182348,0,0,23-03 14:06:29,2556,6960,0,0,8,159767,3141,497352,22688
0,14016,182260,0,0,23-03 14:06:30,2580,5859,4,0,0,159767,3141,502156,22688
0,14016,182260,0,0,23-03 14:06:31,2516,5673,2,0,0,159767,3141,502228,22688
0,13984,182224,0,0,23-03 14:06:32,2472,5892,1,0,0,159767,3141,503946,22688
0,14048,182270,0,0,23-03 14:06:33,2604,7264,2,0,9,159767,3141,502003,22688
0,14048,182292,0,0,23-03 14:06:34,2632,7304,0,0,8,159767,3141,504458,22688
0,13984,182291,0,0,23-03 14:06:35,2380,5689,0,0,0,159767,3141,504275,22688
0,13984,182290,0,0,23-03 14:06:36,2554,5774,0,0,0,159767,3141,504497,22688
0,13984,182291,0,0,23-03 14:06:37,2465,5697,2,0,0,159767,3141,504400,22688
0,14016,182293,0,0,23-03 14:06:38,2759,7964,0,0,8,159767,3141,504220,22688
0,13984,182302,0,0,23-03 14:06:39,2451,6948,2,0,8,159767,3141,504034,22688
0,14016,182302,0,0,23-03 14:06:40,2467,6097,4,0,0,159767,3141,531598,22688
0,14016,182311,0,0,23-03 14:06:41,2502,5604,4,0,0,159767,3141,531774,22688
0,13984,182310,0,0,23-03 14:06:42,2501,5738,1,0,0,159767,3141,531247,22688
0,13984,182311,0,0,23-03 14:06:43,2670,6922,1,0,8,159767,3141,531268,22688
0,13984,181201,0,0,23-03 14:06:44,2667,6905,0,0,8,159767,3141,534269,22688
0,13984,181200,0,0,23-03 14:06:45,2466,5533,0,0,0,159767,3141,534073,22688
0,13984,181201,0,0,23-03 14:06:46,2510,5759,3,0,1,159767,3141,534120,22688
0,13952,181210,0,0,23-03 14:06:47,3777,10270,1,0,0,159767,3141,543236,22688
0,14016,181221,0,0,23-03 14:06:48,2633,7419,3,0,8,159767,3141,539394,22688
0,14048,181221,0,0,23-03 14:06:49,2678,7639,3,0,8,159767,3141,539454,22688
0,13984,181219,0,0,23-03 14:06:50,2523,5742,1,0,0,159767,3141,539438,22688
0,13984,181220,0,0,23-03 14:06:51,2651,6284,0,0,0,159767,3141,534001,22688
0,13984,181220,0,0,23-03 14:06:52,2939,6224,0,0,0,159767,3141,535306,22688
0,14016,181220,0,0,23-03 14:06:53,2761,7724,1,0,8,159767,3141,535013,22688
0,15040,182285,0,0,23-03 14:06:54,3649,37310,2,0,8,159767,3141,503309,22688
0,14016,182346,0,0,23-03 14:06:55,2628,6154,0,0,0,159767,3141,498028,22688
0,14016,182301,0,0,23-03 14:06:56,2561,5877,0,0,0,159767,3141,497740,22688
0,13984,182291,0,0,23-03 14:06:57,2576,5810,1,0,0,159767,3141,496831,22688
0,13952,182242,0,0,23-03 14:06:58,2706,6973,0,0,9,159767,3141,496986,22688
0,13952,182242,0,0,23-03 14:06:59,2709,7768,0,0,8,159767,3141,500041,22688
0,13952,182241,0,0,23-03 14:07:00,2578,5932,0,0,0,159767,3141,499827,22688
0,13952,182241,0,0,23-03 14:07:01,2441,5685,1,0,0,159767,3141,499994,22688
0,14016,182263,0,0,23-03 14:07:02,2598,8005,0,0,8,159767,3141,499970,22688
0,13984,182308,0,0,23-03 14:07:03,2786,7291,2,0,8,159767,3141,501121,22688
0,13984,182261,0,0,23-03 14:07:04,2808,7378,1,0,10,159767,3141,501014,22688
0,13984,182262,0,0,23-03 14:07:05,2500,6494,1,0,0,159767,3141,500723,22688
0,13984,182251,0,0,23-03 14:07:06,2586,5882,0,0,0,159767,3141,500625,22688
0,14048,182252,0,0,23-03 14:07:07,2442,5522,1,0,0,159767,3141,500516,22688
0,14016,182252,0,0,23-03 14:07:08,2771,7253,0,0,8,159767,3141,500237,22688
0,14016,182282,0,0,23-03 14:07:09,2609,7196,1,0,8,159767,3141,499952,22688
0,14048,182281,0,0,23-03 14:07:10,2559,7106,2,0,1,159767,3141,495845,22688
0,14016,182281,0,0,23-03 14:07:11,2562,5658,1,0,0,159767,3141,495557,22688
0,13984,182281,0,0,23-03 14:07:12,2456,5530,0,0,0,159767,3141,495389,22688
0,14048,182281,0,0,23-03 14:07:13,2681,6775,0,0,8,159767,3141,495235,22688
0,14048,182282,0,0,23-03 14:07:14,2585,6883,2,0,8,159767,3141,494960,22688
0,14016,182281,0,0,23-03 14:07:15,2494,5700,0,0,0,159767,3141,494845,22688
0,14016,182290,0,0,23-03 14:07:16,2458,5599,4,0,0,159767,3141,495151,22688
0,14016,182304,0,0,23-03 14:07:17,2468,5659,1,0,0,159767,3141,495103,22688
0,14048,182306,0,0,23-03 14:07:18,2663,6831,1,0,4,159767,3141,492166,22688
0,14016,182300,0,0,23-03 14:07:19,2540,7377,0,0,12,159767,3141,493947,22688
0,14016,182301,0,0,23-03 14:07:20,2523,5649,2,0,0,159767,3141,493725,22688
0,13984,182301,0,0,23-03 14:07:21,2635,6960,1,0,0,159767,3141,489745,22688
0,14016,182301,0,0,23-03 14:07:22,2393,5566,0,0,1,159767,3141,489759,22688
0,14016,182312,0,0,23-03 14:07:23,4330,12104,0,0,0,159767,3141,492111,22688
0,13984,181209,0,0,23-03 14:07:24,2675,8085,0,0,16,159767,3141,541090,22688
0,13984,181210,0,0,23-03 14:07:25,2684,6124,0,0,0,159767,3141,540268,22688
0,14016,181210,0,0,23-03 14:07:26,2558,5674,0,0,0,159767,3141,539913,22688
0,13984,181209,0,0,23-03 14:07:27,2399,5557,2,0,0,159767,3141,539430,22688
0,14016,181210,0,0,23-03 14:07:28,2509,5603,3,0,0,159767,3141,541662,22688
0,14048,181209,0,0,23-03 14:07:29,2778,8177,0,0,16,159767,3141,541063,22688
0,14016,181221,0,0,23-03 14:07:30,2526,5686,2,0,0,159767,3141,540770,22688
0,14016,181222,0,0,23-03 14:07:31,2564,6398,0,0,0,159767,3141,540532,22688
0,14048,182292,0,0,23-03 14:07:32,3427,34693,1,0,0,159767,3141,504449,22688
0,14048,182206,0,0,23-03 14:07:33,2478,6096,7,0,0,159767,3141,504164,22688
0,14016,182203,0,0,23-03 14:07:34,2691,8131,2,0,16,159767,3141,503611,22688
0,14016,182203,0,0,23-03 14:07:35,2449,5763,3,0,1,159767,3141,503429,22688
0,14016,182203,0,0,23-03 14:07:36,2491,5627,0,0,0,159767,3141,503205,22688
0,14016,182216,0,0,23-03 14:07:37,2447,5561,2,0,0,159767,3141,502708,22688
0,14016,182216,0,0,23-03 14:07:38,2620,5841,0,0,0,159767,3141,502610,22688
0,14048,182213,0,0,23-03 14:07:39,2709,7977,0,0,16,159767,3141,502512,22688
0,14048,182187,0,0,23-03 14:07:40,2518,5655,1,0,0,159767,3141,503596,22688
0,14016,182187,0,0,23-03 14:07:41,2460,5536,0,0,0,159767,3141,503567,22688
0,14016,182189,0,0,23-03 14:07:42,2586,6513,1,0,0,159767,3141,503531,22688
0,13984,182190,0,0,23-03 14:07:43,2537,5741,2,0,0,159767,3141,503502,22688
0,14016,182207,0,0,23-03 14:07:44,2777,8369,1,0,16,159767,3141,505048,22688
0,14048,182207,0,0,23-03 14:07:45,2451,5690,0,0,0,159767,3141,504899,22688
0,14016,182208,0,0,23-03 14:07:46,2496,5742,2,0,0,159767,3141,504624,22688
0,14016,182218,0,0,23-03 14:07:47,2515,5783,1,0,1,159767,3141,504761,22688
0,14016,182229,0,0,23-03 14:07:48,2415,5628,1,0,0,159767,3141,504431,22688
0,14048,182183,0,0,23-03 14:07:49,4324,12615,3,0,8,159767,3141,503291,22688
0,14016,182181,0,0,23-03 14:07:50,2700,6818,0,0,8,159767,3141,508125,22688
0,14016,182191,0,0,23-03 14:07:51,2543,5825,0,0,0,159767,3141,502888,22688
0,14016,182192,0,0,23-03 14:07:52,2354,5566,0,0,0,159767,3141,503005,22688
0,14016,182193,0,0,23-03 14:07:53,2581,6443,1,0,0,159767,3141,502785,22688
0,13984,182192,0,0,23-03 14:07:54,2580,6737,1,0,8,159767,3141,508427,22688
0,13984,182202,0,0,23-03 14:07:55,2609,6904,0,0,8,159767,3141,508444,22688
0,14016,182157,0,0,23-03 14:07:56,2761,6721,3,0,0,159767,3141,508023,22688
0,14016,182157,0,0,23-03 14:07:57,2546,5570,2,0,0,159767,3141,507682,22688
0,14016,182167,0,0,23-03 14:07:58,2609,5946,1,0,0,159767,3141,507640,22688
0,14016,182165,0,0,23-03 14:07:59,2555,6874,1,0,9,159767,3141,507614,22688
0,14048,182166,0,0,23-03 14:08:00,2684,6874,0,0,9,159767,3141,507685,22688
0,14048,181056,0,0,23-03 14:08:01,2320,5624,3,0,0,159767,3141,509778,22688
0,14016,181072,0,0,23-03 14:08:02,2676,7671,2,0,8,159767,3141,509895,22688
0,14016,181072,0,0,23-03 14:08:03,2726,6759,1,0,0,159767,3141,510005,22688
0,14080,181025,0,0,23-03 14:08:04,2580,6864,2,0,8,159767,3141,510389,22688
0,14048,181035,0,0,23-03 14:08:05,2525,6888,3,0,8,159767,3141,510266,22688
0,13984,181037,0,0,23-03 14:08:06,2464,5837,1,0,0,159767,3141,510398,22688
0,13984,181036,0,0,23-03 14:08:07,2455,5572,1,0,0,159767,3141,510387,22688
0,13984,180976,0,0,23-03 14:08:08,2574,5734,0,0,0,159767,3141,519412,22688
0,13984,180929,0,0,23-03 14:08:09,2701,7553,0,0,9,159767,3141,520081,22688
0,14048,182009,0,0,23-03 14:08:10,3766,36737,3,0,8,159767,3141,490471,22688
0,14048,182009,0,0,23-03 14:08:11,2530,5611,2,0,1,159767,3141,489812,22688
0,14048,182020,0,0,23-03 14:08:12,2485,5594,1,0,0,159767,3141,489654,22688
0,14048,182019,0,0,23-03 14:08:13,2456,5608,2,0,0,159767,3141,489598,22688
0,14048,182018,0,0,23-03 14:08:14,2587,6797,2,0,8,159767,3141,490781,22688
0,14016,182018,0,0,23-03 14:08:15,2686,7656,2,0,8,159767,3141,490364,22688
0,14016,182019,0,0,23-03 14:08:16,2531,5852,2,0,0,159767,3141,490322,22688
0,13984,182030,0,0,23-03 14:08:17,2516,5863,0,0,0,159767,3141,489468,22688
0,13984,182030,0,0,23-03 14:08:18,2571,5805,4,0,0,159767,3141,489349,22688
0,14016,182002,0,0,23-03 14:08:19,2605,7118,2,0,8,159767,3141,489404,22688
0,13984,182002,0,0,23-03 14:08:20,2670,6869,2,0,8,159767,3141,489415,22688
0,13984,182002,0,0,23-03 14:08:21,2602,6023,2,0,0,159767,3141,483770,22688
0,13984,182003,0,0,23-03 14:08:22,2498,5559,2,0,0,159767,3141,483605,22688
0,13984,182006,0,0,23-03 14:08:23,2674,6574,2,0,1,159767,3141,483570,22688
0,14016,182004,0,0,23-03 14:08:24,2546,6973,2,0,9,159767,3141,487593,22688
0,14016,181989,0,0,23-03 14:08:25,4786,13523,1,0,8,159767,3141,514208,22688
0,14016,181999,0,0,23-03 14:08:26,2573,5842,2,0,0,159767,3141,514340,22688
0,13984,181999,0,0,23-03 14:08:27,2508,5668,2,0,0,159767,3141,513988,22688
0,13984,182000,0,0,23-03 14:08:28,2429,5577,2,0,0,159767,3141,515905,22688
0,13984,181998,0,0,23-03 14:08:29,2526,6770,3,0,8,159767,3141,515536,22688
0,14016,181997,0,0,23-03 14:08:30,2596,6879,2,0,8,159767,3141,515067,22688
0,14016,181997,0,0,23-03 14:08:31,2499,5621,2,0,0,159767,3141,514849,22688
0,14016,182008,0,0,23-03 14:08:32,2468,5582,2,0,0,159767,3141,514681,22688
0,13984,181982,0,0,23-03 14:08:33,2439,5758,2,0,0,159767,3141,514770,22688
0,14048,181982,0,0,23-03 14:08:34,2520,6797,5,0,8,159767,3141,514803,22688
0,14016,181983,0,0,23-03 14:08:35,2576,6964,0,0,8,159767,3141,515035,22688
0,14016,181983,0,0,23-03 14:08:36,2665,6619,0,0,1,159767,3141,515007,22688
0,14048,180873,0,0,23-03 14:08:37,2449,5600,0,0,0,159767,3141,517009,22688
0,14016,180874,0,0,23-03 14:08:38,2559,5615,1,0,0,159767,3141,516836,22688
0,13952,180869,0,0,23-03 14:08:39,2580,7002,1,0,8,159767,3141,516664,22688
0,13984,180846,0,0,23-03 14:08:40,2794,7239,0,0,9,159767,3141,516983,22688
0,14016,180847,0,0,23-03 14:08:41,2466,5655,2,0,0,159767,3141,516925,22688
0,14016,180846,0,0,23-03 14:08:42,2445,5583,1,0,0,159767,3141,516813,22688
0,13984,180846,0,0,23-03 14:08:43,2535,5644,1,0,0,159767,3141,516655,22688
0,13952,180817,0,0,23-03 14:08:44,2682,6844,1,0,8,159767,3141,517516,22688
0,13984,180817,0,0,23-03 14:08:45,2861,7714,1,0,8,159767,3141,523496,22688
0,13952,180818,0,0,23-03 14:08:46,2410,5628,0,0,0,159767,3141,525238,22688
0,15360,181894,0,0,23-03 14:08:47,3688,15194,1,0,0,159767,3141,519595,22688
0,13952,181862,0,0,23-03 14:08:48,2658,26335,1,0,1,159767,3141,515804,22688
0,13984,181868,0,0,23-03 14:08:49,2494,6516,3,0,7,159767,3141,515446,22688
0,13984,181861,0,0,23-03 14:08:50,2635,7147,5,0,9,159767,3141,515107,22688
0,13984,181802,0,0,23-03 14:08:51,2508,5888,1,0,0,159767,3141,509791,22688
0,13984,181803,0,0,23-03 14:08:52,2342,5669,1,0,0,159767,3141,509569,22688
0,13984,181801,0,0,23-03 14:08:53,2436,5579,1,0,0,159767,3141,509640,22688
0,13952,181821,0,0,23-03 14:08:54,2514,6051,1,0,0,159767,3141,514852,22688
0,14016,181796,0,0,23-03 14:08:55,2740,8232,1,0,16,159767,3141,514749,22688
0,14016,181796,0,0,23-03 14:08:56,2605,6657,1,0,0,159767,3141,513761,22688
0,14016,181798,0,0,23-03 14:08:57,2679,6885,2,0,0,159767,3141,514206,22688
0,14016,181797,0,0,23-03 14:08:58,3145,6065,3,0,0,159767,3141,517434,22688
0,14048,181797,0,0,23-03 14:08:59,2508,5741,3,0,0,159767,3141,517143,22688
0,14016,181795,0,0,23-03 14:09:00,2687,8302,0,0,17,159767,3141,525402,22688
0,14016,181805,0,0,23-03 14:09:01,2571,5662,2,0,0,159767,3141,525470,22688
0,14048,181773,0,0,23-03 14:09:02,2727,7936,0,0,8,159767,3141,526206,22688
0,14016,181773,0,0,23-03 14:09:03,2420,5857,2,0,0,159767,3141,526304,22688
0,14016,181774,0,0,23-03 14:09:04,2590,5539,0,0,0,159767,3141,526146,22688
0,14016,181770,0,0,23-03 14:09:05,2739,8151,0,0,16,159767,3141,525692,22688
0,14016,181769,0,0,23-03 14:09:06,4221,11843,2,0,0,159767,3141,525255,22688
0,14016,181770,0,0,23-03 14:09:07,2458,5627,4,0,0,159767,3141,525334,22688
0,13984,181780,0,0,23-03 14:09:08,2568,6636,2,0,0,159767,3141,525379,22688
0,13984,181780,0,0,23-03 14:09:09,2565,5789,0,0,0,159767,3141,525533,22688
0,14016,181787,0,0,23-03 14:09:10,2803,9244,0,0,16,159767,3141,525500,22688
0,14016,181741,0,0,23-03 14:09:11,2504,5634,1,0,0,159767,3141,525788,22688
0,14016,181742,0,0,23-03 14:09:12,2333,5679,1,0,0,159767,3141,525633,22688
0,13984,181741,0,0,23-03 14:09:13,2547,5710,0,0,1,159767,3141,525931,22688
0,14016,181743,0,0,23-03 14:09:14,2537,5841,2,0,0,159767,3141,525718,22688
0,13984,180643,0,0,23-03 14:09:15,2667,8044,0,0,16,159767,3141,527607,22688
0,13984,180642,0,0,23-03 14:09:16,2434,5614,3,0,0,159767,3141,527899,22688
0,13984,180642,0,0,23-03 14:09:17,2491,5484,1,0,0,159767,3141,527764,22688
0,14016,180605,0,0,23-03 14:09:18,2573,5875,2,0,0,159767,3141,528071,22688
0,13984,180606,0,0,23-03 14:09:19,2591,6530,1,0,0,159767,3141,528058,22688
0,13984,180611,0,0,23-03 14:09:20,2706,7402,3,0,12,159767,3141,527801,22688
0,13984,180607,0,0,23-03 14:09:21,2533,6539,2,0,4,159767,3141,522939,22688
0,13984,180616,0,0,23-03 14:09:22,2445,5540,2,0,0,159767,3141,522792,22688
0,14016,180615,0,0,23-03 14:09:23,2428,5595,0,0,0,159767,3141,526981,22688
0,14016,180615,0,0,23-03 14:09:24,2497,5651,1,0,0,159767,3141,557964,22688
0,14048,181620,0,0,23-03 14:09:25,3579,37396,1,0,9,159767,3141,516698,22688
0,14016,181627,0,0,23-03 14:09:26,2649,6796,0,0,8,159767,3141,515153,22688
0,14016,181627,0,0,23-03 14:09:27,3969,10130,0,0,0,159767,3141,516416,22688
0,14048,181624,0,0,23-03 14:09:28,2490,5621,3,0,0,159767,3141,516125,22688
0,14048,181655,0,0,23-03 14:09:29,2746,7097,0,0,0,159767,3141,509033,22688
0,14016,181651,0,0,23-03 14:09:30,2682,7010,0,0,8,159767,3141,508487,22688
0,13984,181647,0,0,23-03 14:09:31,2535,7043,0,0,8,159767,3141,512073,22688
0,14016,181648,0,0,23-03 14:09:32,2381,5694,1,0,0,159767,3141,511709,22688
0,13984,181630,0,0,23-03 14:09:33,2456,6186,1,0,0,159767,3141,512057,22688
