"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --cpu --disk --page --int --load --mem --net --proc --io --swap --sys --aio --fs --ipc --lock --raw --socket --tcp --udp --unix --vm --vm-adv --zones --output dstat/data/csv/dstat/all_with_default_time.csv 1 600",,,,"Date:","22 Mar 2023 22:03:09 -03"
"total cpu usage",,,,,"dsk/total",,"paging",,"interrupts",,,"load avg",,,"memory usage",,,,"net/total",,"procs",,,"io/total",,"swap",,"system",,"async","filesystem",,"sysv ipc",,,"file locks",,,,"raw","sockets",,,,,"tcp sockets",,,,,"udp",,"unix sockets",,,,"virtual memory",,,,"advanced virtual memory",,,,,"zones memory",,,
"usr","sys","idl","wai","stl","read","writ","in","out","138","139","140","1m","5m","15m","used","free","buff","cach","recv","send","run","blk","new","read","writ","used","free","int","csw","#aio","files","inodes","msg","sem","shm","pos","lck","rea","wri","raw","tot","tcp","udp","raw","frg","lis","act","syn","tim","clo","lis","act","dgm","str","lis","act","majpf","minpf","alloc","free","steal","scanK","scanD","pgoru","astll","d32F","d32H","normF","normH"
80.506,17.468,2.025,0,0,0,0,0,0,0,17,0,51.190,13.550,5.300,3667394560,1674547200,192917504,10587598848,0,0,11,0,492,0,0,1835008,1021571072,36334,141409,0,15264,350099,0,0,6,56,12,10,58,0,1077,17,20,0,0,7,10,0,6,1,17,7,56,874,54,820,0,127880,125864,160836,0,0,0,0,0,246661,3141,158431,22176,
36.411,10.663,52.926,0,0,0,0,0,0,0,63,0,51.190,13.550,5.300,3561644032,1780715520,192917504,10587439104,0,920,2,0,227,0,0,1835008,1021571072,17692,270361,0,13760,350015,0,0,6,56,12,10,58,0,1078,17,23,0,0,7,10,0,6,1,20,7,56,874,54,820,0,59417,67760,95291,0,0,0,0,0,275920,3141,155437,22176,
7.250,1.125,91.500,0.125,0,0,0,0,0,0,26,0,47.090,13.320,5.270,3464056832,1878876160,192917504,10585833472,1760,2926,0,0,2,0,0,1835008,1021571072,1556,2350,0,13120,349981,0,0,6,56,12,10,58,0,1078,17,23,0,0,7,10,0,6,1,20,7,56,874,54,820,0,857,593,27133,0,0,0,0,0,275938,3141,179444,22176,
3.522,2.138,94.340,0,0,0,0,0,0,0,17,0,47.090,13.320,5.270,3434995712,1907810304,192917504,10585702400,0,1278,0,0,8,0,0,1835008,1021571072,1374,3181,0,13088,350001,0,0,6,56,12,10,58,0,1080,16,26,0,0,7,8,0,6,2,20,10,56,874,54,820,0,1497,2002,9578,0,0,0,0,0,281482,3141,180964,22176,
3.161,1.264,95.196,0.379,0,0,8323072,0,0,0,33,0,47.090,13.320,5.270,3433070592,1909719040,192917504,10585976832,12709,5768,1,0,0,0,58,1835008,1021571072,1378,3019,0,13088,349997,0,0,6,56,12,10,58,0,1077,17,23,0,0,7,10,0,6,1,20,7,56,874,54,820,0,553,1611,2055,0,0,0,0,0,281482,3141,181564,22176,
3.030,1.136,95.707,0.126,0,0,950272,0,0,0,15,0,47.090,13.320,5.270,3432775680,1909751808,192929792,10585972736,0,0,2,0,0,0,30,1835008,1021571072,1168,1949,0,13088,349997,0,0,6,56,12,10,58,0,1079,16,26,0,0,7,9,0,6,2,20,7,56,874,54,820,0,6,394,257,0,0,0,0,0,281482,3141,181444,22176,
4.918,1.892,93.190,0,0,0,0,0,0,0,44,0,47.090,13.320,5.270,3432685568,1910046720,192929792,10586025984,36208,7656,0,0,9,0,0,1835008,1021571072,1759,4561,0,13088,350008,0,0,6,56,12,10,58,0,1075,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,2032,1882,1873,0,0,0,0,0,281671,3141,181451,22176,
3.652,1.259,94.962,0.126,0,0,0,0,0,0,33,0,43.400,13.120,5.250,3433906176,1908813824,192929792,10587086848,167,187,0,0,0,0,0,1835008,1021571072,1181,1939,0,13088,350009,0,0,6,56,12,10,58,0,1075,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,9,519,138,0,0,0,0,0,281671,3141,181020,22176,
4.030,1.763,94.207,0,0,0,0,0,0,0,17,0,43.400,13.120,5.250,3434139648,1908580352,192929792,10587086848,167,187,0,0,8,0,0,1835008,1021571072,1363,3057,0,13088,350009,0,0,6,56,12,10,58,0,1075,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,1295,1408,1806,0,0,0,0,0,281671,3141,181288,22176,
3.531,1.261,95.082,0.126,0,0,4087808,0,0,0,19,0,43.400,13.120,5.250,3432042496,1910677504,192929792,10585513984,245,293,0,0,0,0,34,1835008,1021571072,1169,1991,0,13088,350002,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,471,1142,1298,0,0,0,0,0,281671,3141,181289,22176,
3.774,1.132,94.969,0.126,0,0,0,0,0,0,15,0,43.400,13.120,5.250,3434147840,1909915648,192929792,10584694784,0,0,0,0,0,0,0,1835008,1021571072,1110,1885,0,13088,349877,0,0,6,56,12,10,58,0,1076,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,275,159,497,0,0,0,0,0,281671,3141,181352,22176,
4.408,1.889,93.577,0.126,0,0,663552,0,0,0,18,0,43.400,13.120,5.250,3434397696,1909690368,192937984,10584662016,167,259,0,0,8,0,34,1835008,1021571072,1436,3370,0,13088,349887,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,7,1,17,7,56,874,54,820,0,1527,1738,1609,0,0,0,0,0,281671,3141,181423,22176,
3.518,1.382,95.101,0,0,0,0,0,0,0,18,0,39.930,12.900,5.220,3434340352,1909747712,192937984,10584662016,229,187,0,0,0,0,0,1835008,1021571072,1226,1980,0,13088,349887,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,10,0,6,1,17,7,56,874,54,820,0,26,254,139,0,0,0,0,0,281671,3141,181192,22176,
4.167,2.146,93.561,0.126,0,0,0,0,0,0,54,0,39.930,12.900,5.220,3433693184,1910394880,192937984,10584662016,442,310,2,0,9,0,0,1835008,1021571072,1470,3275,0,13088,349896,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,9,0,6,1,17,7,56,874,54,820,0,1681,1879,1711,0,0,0,0,0,281671,3141,181288,22176,
3.522,2.013,94.340,0.126,0,32768,10575872,0,0,0,15,0,39.930,12.900,5.220,3429457920,1914564608,192954368,10585759744,80,40,2,0,0,8,112,1835008,1021571072,1242,2112,0,13088,349897,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,257,1552,1423,0,0,0,0,0,281671,3141,182424,22176,
3.145,1.509,95.346,0,0,0,0,0,0,0,15,0,39.930,12.900,5.220,3429691392,1914331136,192954368,10585759744,0,0,2,0,0,0,0,1835008,1021571072,1102,1831,0,13088,349898,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,4,132,496,0,0,0,0,0,281671,3141,182430,22176,
4.660,2.519,92.695,0.126,0,0,450560,0,0,0,18,0,39.930,12.900,5.220,3430445056,1913561088,192958464,10584788992,298,1150,1,0,8,0,20,1835008,1021571072,1580,4256,0,13088,349898,0,0,6,56,12,10,58,0,1074,17,20,0,0,7,7,1,6,3,17,7,56,874,54,820,0,1355,1694,1560,0,0,0,0,0,281671,3141,182179,22176,
4.277,1.887,93.711,0.126,0,0,0,0,0,0,46,0,36.810,12.700,5.200,3211247616,2139406336,192958464,10578149376,17573,5194,2,0,0,0,0,1835008,1021571072,1261,2068,0,13088,348778,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,76,275,55475,0,0,0,0,0,283783,3141,235336,22176,
4.403,1.887,93.711,0,0,0,0,0,0,0,25,0,36.810,12.700,5.200,3210731520,2139922432,192958464,10577891328,0,0,0,0,8,0,0,1835008,1021571072,1479,3178,0,13088,348787,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,1719,1759,1557,0,0,0,0,0,283783,3141,235331,22176,
3.522,2.390,93.836,0.252,0,0,22667264,0,0,0,29,0,36.810,12.700,5.200,3210518528,2140033024,192958464,10578239488,0,0,0,0,0,0,2250,1835008,1021571072,2564,7251,0,13088,348787,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,3,2919,3043,0,0,0,0,0,283783,3141,235358,22176,
4.672,1.136,94.192,0,0,0,0,0,0,0,15,0,36.810,12.700,5.200,3209801728,2140319744,192958464,10579476480,0,0,0,0,0,0,0,1835008,1021571072,1321,2428,0,13088,348816,0,0,6,56,12,10,58,0,1075,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,1457,2264,605,0,0,0,0,0,283783,3141,235428,22176,
3.783,1.261,94.830,0.126,0,0,0,0,0,0,15,0,36.810,12.700,5.200,3210514432,2139566080,192958464,10579759104,0,0,0,0,8,0,0,1835008,1021571072,1314,3289,0,13088,348816,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,1359,1408,1787,0,0,0,0,0,283783,3141,235244,22176,
4.015,1.380,94.479,0.125,0,0,2277376,0,0,0,16,0,33.940,12.510,5.170,3210760192,2139308032,192970752,10578186240,82,0,0,0,0,0,26,1835008,1021571072,1062,1813,0,13088,348814,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,279,428,388,0,0,0,0,0,283783,3141,235181,22176,
3.919,1.896,94.185,0,0,0,0,0,0,0,20,0,33.940,12.510,5.170,3212050432,2138017792,192970752,10578710528,698,0,0,0,8,0,0,1835008,1021571072,1380,3133,0,13120,348815,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,1269,1547,1410,0,0,0,0,0,283783,3141,234866,22176,
3.392,1.759,94.724,0.126,0,32768,7921664,0,0,0,15,0,33.940,12.510,5.170,3210338304,2139684864,192995328,10578731008,0,0,0,0,0,8,72,1835008,1021571072,1148,1936,0,13120,348815,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,29,1081,1221,0,0,0,0,0,283783,3141,235273,22176,
4.523,1.256,94.095,0.126,0,0,0,0,0,0,30,0,33.940,12.510,5.170,3210899456,2139086848,192995328,10578509824,0,0,0,0,0,0,0,1835008,1021571072,1080,1881,0,13120,348825,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,566,434,427,0,0,0,0,0,283783,3141,235129,22176,
3.909,1.639,94.451,0,0,0,0,0,0,0,19,0,33.940,12.510,5.170,3210629120,2139357184,192995328,10578767872,359,0,0,0,9,0,0,1835008,1021571072,1346,3187,0,13120,348835,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,1701,1572,1515,0,0,0,0,0,283783,3141,235263,22176,
4.528,1.384,93.962,0.126,0,0,0,0,0,0,27,0,31.300,12.320,5.150,3211218944,2138664960,192995328,10579660800,1376,3379,1,0,0,0,0,1835008,1021571072,1325,2817,0,13120,348847,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,116,692,283,0,0,0,0,0,283783,3141,235024,22176,
4.172,1.643,94.185,0,0,0,0,0,0,0,34,0,31.300,12.320,5.150,3211657216,2138181632,192995328,10579963904,15972,2980,0,0,8,0,0,1835008,1021571072,1352,3149,0,13120,348846,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,1319,1422,1815,0,0,0,0,0,283783,3141,234906,22176,
3.531,1.765,94.325,0.378,0,57344,9723904,0,0,0,14,0,31.300,12.320,5.150,3210313728,2139488256,193032192,10578657280,0,0,2,0,0,14,182,1835008,1021571072,1287,2245,0,13120,348845,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,73,1454,1310,0,0,0,0,0,283783,3141,235225,22176,
3.141,1.256,95.477,0.126,0,0,0,0,0,0,16,0,31.300,12.320,5.150,3210543104,2139254784,193032192,10578919424,0,0,2,0,0,0,0,1835008,1021571072,1076,1794,0,13120,348845,0,0,6,56,12,10,58,0,1075,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,252,118,238,0,0,0,0,0,283783,3141,235311,22176,
4.046,2.023,93.932,0,0,0,0,0,0,0,46,0,31.300,12.320,5.150,3209719808,2140078080,193032192,10578661376,167,259,0,0,8,0,0,1835008,1021571072,1487,3492,0,13120,348845,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,1291,1547,1414,0,0,0,0,0,283783,3141,235309,22176,
3.279,2.648,93.695,0.378,0,0,1515520,0,0,0,17,0,29.120,12.180,5.150,3210391552,2139389952,193048576,10578919424,229,187,0,0,2,0,278,1835008,1021571072,1298,2243,0,13120,348845,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,30,313,29015,0,0,0,0,0,283783,3141,235201,22176,
5.203,3.426,91.371,0,0,0,0,0,0,0,15,0,29.120,12.180,5.150,3422019584,1927651328,193048576,10579304448,0,0,1,0,8,0,0,1835008,1021571072,2291,36387,0,14176,349910,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,53790,74516,22297,0,0,0,0,0,283783,3141,183003,22176,
3.522,1.509,94.843,0.126,0,0,12255232,0,0,0,17,0,29.120,12.180,5.150,3424210944,1919275008,193052672,10586259456,0,358,1,0,1,0,126,1835008,1021571072,1142,1976,0,13152,349926,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,731,3508,1890,0,0,0,0,0,283783,3141,181651,22176,
3.157,1.136,95.581,0.126,0,0,0,0,0,0,16,0,29.120,12.180,5.150,3424317440,1919168512,193052672,10585210880,0,0,0,0,0,0,0,1835008,1021571072,1075,1773,0,13152,349925,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,4,105,243,0,0,0,0,0,283783,3141,181436,22176,
3.894,1.884,94.221,0,0,0,0,0,0,0,15,0,29.120,12.180,5.150,3424833536,1918652416,193052672,10585210880,0,0,0,0,8,0,0,1835008,1021571072,1352,3290,0,13152,349928,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,1318,1544,1425,0,0,0,0,0,283783,3141,181201,22176,
3.266,1.382,95.226,0.126,0,0,0,0,0,0,44,0,26.860,11.990,5.120,3425648640,1917837312,193052672,10585210880,0,0,0,0,0,0,0,1835008,1021571072,1090,1879,0,13152,349928,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,96,146,414,0,0,0,0,0,283783,3141,181241,22176,
3.909,2.270,93.695,0.126,0,0,2285568,0,0,0,20,0,26.860,11.990,5.120,3426414592,1917071360,193069056,10585194496,1249,3192,0,0,9,0,44,1835008,1021571072,1413,4138,0,13152,349928,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,2007,2037,1910,0,0,0,0,0,283783,3141,180924,22176,
3.919,1.264,94.817,0,0,0,81920,0,0,0,32,0,26.860,11.990,5.120,3427135488,1916329984,193069056,10585214976,15972,3066,0,0,0,0,14,1835008,1021571072,1132,1998,0,13152,349928,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,3,125,262,0,0,0,0,0,283783,3141,180743,22176,
3.764,1.255,94.856,0.125,0,0,0,0,0,0,16,0,26.860,11.990,5.120,3428663296,1914802176,193069056,10586021888,0,0,0,0,0,0,0,1835008,1021571072,1138,1874,0,13152,349939,0,0,6,56,12,10,58,0,1075,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,111,614,441,0,0,0,0,0,283783,3141,180370,22176,
4.523,2.010,93.342,0.126,0,0,0,0,0,0,15,0,26.860,11.990,5.120,3428147200,1915121664,193069056,10586492928,0,0,0,0,8,0,0,1835008,1021571072,1425,3337,0,13152,349961,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,1782,1916,2517,0,0,0,0,0,283783,3141,180954,22176,
3.764,1.255,94.981,0,0,0,0,0,0,0,22,0,24.710,11.790,5.100,3426058240,1917210624,193069056,10585444352,868,246,0,0,0,0,0,1835008,1021571072,1160,1832,0,13152,349960,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,345,318,170,0,0,0,0,0,283783,3141,180902,22176,
4.425,2.781,92.541,0.253,0,0,499712,0,0,0,47,0,24.710,11.790,5.100,3426983936,1916239872,193093632,10585464832,0,0,1,0,16,0,50,1835008,1021571072,1756,5757,0,13152,349960,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,2734,2691,2804,0,0,0,0,0,283783,3141,180721,22176,
3.413,0.885,95.575,0.126,0,0,0,0,0,0,16,0,24.710,11.790,5.100,3427241984,1916530688,193093632,10584915968,0,358,0,0,0,0,0,1835008,1021571072,1073,1843,0,13152,349900,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,33,244,504,0,0,0,0,0,283783,3141,180792,22176,
3.291,0.886,95.823,0,0,0,393216,0,0,0,15,0,24.710,11.790,5.100,3427258368,1916530688,193093632,10584899584,0,0,0,0,0,0,58,1835008,1021571072,1059,1906,0,13152,349900,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,73,166,294,0,0,0,0,0,283783,3141,180981,22176,
3.522,1.761,94.591,0.126,0,0,0,0,0,0,16,0,24.710,11.790,5.100,3427516416,1916272640,193093632,10585423872,119,0,1,0,7,0,0,1835008,1021571072,1274,3095,0,13152,349907,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,1583,1826,1402,0,0,0,0,0,283783,3141,180603,22176,
3.011,1.255,95.734,0,0,0,0,0,0,0,16,0,22.730,11.600,5.070,3428544512,1915244544,193093632,10585948160,167,187,0,0,1,0,0,1835008,1021571072,1091,1947,0,13152,349901,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,3,112,369,0,0,0,0,0,283783,3141,180609,22176,
3.413,0.759,95.702,0.126,0,0,0,0,0,0,15,0,22.730,11.600,5.070,3428212736,1915531264,193093632,10584944640,0,0,0,0,8,0,0,1835008,1021571072,1184,2974,0,13152,349920,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,1653,1804,1795,0,0,0,0,0,283783,3141,180395,22176,
4.130,2.003,93.617,0.250,0,0,0,0,0,0,59,0,22.730,11.600,5.070,3429220352,1914417152,193093632,10585051136,1705,4596,0,0,0,0,0,1835008,1021571072,1220,2776,0,13152,349921,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,96,329,276,0,0,0,0,0,283783,3141,180282,22176,
4.780,1.258,93.585,0.377,0,0,753664,0,0,0,26,0,22.730,11.600,5.070,3428896768,1914728448,193105920,10585051136,15602,1808,0,0,1,0,62,1835008,1021571072,1256,2165,0,13152,349921,0,0,6,56,12,10,58,0,1075,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,555,360,495,0,0,0,0,0,283783,3141,180352,22176,
3.666,1.264,95.070,0,0,0,0,0,0,0,18,0,22.730,11.600,5.070,3429666816,1913958400,193105920,10585051136,237,259,0,0,0,0,0,1835008,1021571072,1208,2055,0,13120,349921,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,624,772,445,0,0,0,0,0,283783,3141,180164,22176,
3.401,1.259,95.214,0.126,0,0,0,0,0,0,22,0,20.910,11.410,5.040,3429892096,1913733120,193105920,10585051136,693,430,1,0,8,0,0,1835008,1021571072,1138,3002,0,13120,349920,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,735,882,1220,0,0,0,0,0,283783,3141,180109,22176,
3.648,1.384,94.969,0,0,0,0,0,0,0,15,0,20.910,11.410,5.040,3431411712,1912213504,193105920,10586099712,0,0,0,0,8,0,0,1835008,1021571072,1222,3024,0,13120,349921,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,1347,1810,1374,0,0,0,0,0,283783,3141,179738,22176,
3.662,1.010,95.076,0.253,0,0,0,0,0,0,17,0,20.910,11.410,5.040,3430629376,1912987648,193105920,10586107904,78,106,1,0,0,0,0,1835008,1021571072,1078,1841,0,13120,349921,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,7,2,17,7,56,874,54,820,0,255,124,267,0,0,0,0,0,283783,3141,180366,22176,
5.409,1.132,92.830,0.629,0,0,4325376,0,0,0,45,0,20.910,11.410,5.040,3430432768,1912709120,193114112,10585268224,0,358,0,0,0,0,332,1835008,1021571072,1493,2944,0,13120,349958,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,1698,2825,2101,0,0,0,0,0,283783,3141,179859,22176,
4.135,1.128,94.737,0,0,0,0,0,0,0,15,0,20.910,11.410,5.040,3430207488,1912795136,193114112,10585665536,0,0,2,0,0,0,0,1835008,1021571072,1142,1938,0,13120,349968,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,443,554,582,0,0,0,0,0,283783,3141,179880,22176,
3.894,1.633,94.347,0.126,0,0,0,0,0,0,16,0,19.240,11.220,5.010,3430465536,1912537088,193114112,10585141248,42,0,0,0,8,0,0,1835008,1021571072,1347,3126,0,13120,349967,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,1390,1419,1394,0,0,0,0,0,283783,3141,179817,22176,
3.549,1.394,95.057,0,0,0,0,0,0,0,15,0,19.240,11.220,5.010,3430961152,1912025088,193114112,10585423872,0,0,1,0,8,0,0,1835008,1021571072,1317,3084,0,13120,349968,0,0,6,56,12,10,58,0,1073,16,20,0,0,7,8,0,6,2,17,7,56,874,54,820,0,1521,1544,1402,0,0,0,0,0,283783,3141,179692,22176,
