"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/net_unix_sys_int_vm-adv_io_mem_lock_load_proc_page_aio.csv --net --unix --sys --int --vm-adv --io --mem --lock --load --proc --page --aio 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"net/total",,"unix sockets",,,,"system",,"interrupts",,,"advanced virtual memory",,,,,"io/total",,"memory usage",,,,"file locks",,,,"load avg",,,"procs",,,"paging",,"async"
6029,7474,56,981,55,926,2489,5648,0,118,0,0,0,0,0,0,0,0,4982108160,2734428160,798179328,7882932224,83,12,13,82,1.430,1.110,1.090,0,0,0,0,0,0
6034,7044,56,981,55,926,2687,6219,0,120,0,0,0,0,0,0,0,306,4984557568,2731974656,798179328,7882735616,83,12,13,82,1.430,1.110,1.090,0,0,0,0,0,0
6404,7208,56,981,55,926,2639,5752,0,122,0,0,0,0,0,0,0,22,4985278464,2731249664,798195712,7882465280,83,12,13,82,1.430,1.110,1.090,2,0,0,0,0,0
6132,7353,56,981,55,926,2621,6832,0,114,0,0,0,0,0,0,0,0,4986978304,2729529344,798195712,7882420224,83,12,13,82,1.390,1.100,1.090,1,0,8,0,0,0
5860,6907,56,981,55,926,2529,6836,0,159,0,0,0,0,0,0,0,0,4988452864,2728050688,798195712,7882424320,83,12,13,82,1.390,1.100,1.090,1,0,9,0,0,0
5750,6850,56,981,55,926,2451,5587,0,113,0,0,0,0,0,0,0,0,4988588032,2727821312,798195712,7883042816,83,12,13,82,1.390,1.100,1.090,2,0,0,0,0,0
5750,7194,56,981,55,926,2828,6656,0,119,0,0,0,0,0,0,0,538,5003702272,2712707072,798203904,7882833920,83,12,13,82,1.390,1.100,1.090,1,0,0,0,0,0
6616,7608,56,983,55,928,2453,5660,0,116,0,0,0,0,0,0,0,0,5004472320,2711744512,798203904,7882768384,83,12,13,82,1.390,1.100,1.090,2,0,0,0,0,0
5880,7316,56,983,55,928,2601,6810,0,113,0,0,0,0,0,0,0,0,5005443072,2710769664,798203904,7882772480,83,12,13,82,1.440,1.120,1.100,1,0,8,0,0,0
23415,13427,56,983,55,928,2630,7794,0,146,0,0,0,0,0,0,0,0,5006327808,2709884928,798203904,7882772480,83,12,13,82,1.440,1.120,1.100,1,0,8,0,0,0
6241,7644,56,983,55,928,2570,5769,0,153,0,0,0,0,0,0,0,0,5007228928,2709241856,798203904,7883018240,83,12,13,82,1.440,1.120,1.100,2,0,0,0,0,0
5750,6850,56,983,55,928,2514,5883,0,120,0,0,0,0,0,0,0,108,5007347712,2709114880,798216192,7883071488,83,12,13,82,1.440,1.120,1.100,1,0,0,0,0,0
5860,7544,56,983,55,928,2500,5636,0,119,0,0,0,0,0,0,0,0,5007765504,2708426752,798216192,7882809344,83,12,13,82,1.440,1.120,1.100,1,0,0,0,0,0
5880,7364,56,983,55,928,2596,7049,0,116,0,0,0,0,0,0,0,0,5003460608,2712866816,798216192,7882616832,83,12,13,82,1.400,1.120,1.100,1,0,8,0,0,0
6146,7243,56,983,55,928,2622,7243,0,121,0,0,0,0,0,0,0,0,5001904128,2714423296,798216192,7882616832,83,12,13,82,1.400,1.120,1.100,1,0,8,0,0,0
5934,7044,56,983,55,928,2411,5592,0,120,0,0,0,0,0,0,0,0,5002391552,2713784320,798216192,7882768384,83,12,13,82,1.400,1.120,1.100,1,0,0,0,0,0
5880,6850,56,983,55,928,2681,6110,0,154,0,0,0,0,0,0,0,116,5005127680,2711048192,798228480,7883087872,83,12,13,82,1.400,1.120,1.100,1,0,1,0,0,0
9477,18413,56,983,55,928,2555,6093,0,138,0,0,0,0,0,0,0,0,5029027840,2687135744,798228480,7883358208,83,12,13,82,1.400,1.120,1.100,1,0,0,0,0,0
6008,7262,56,983,55,928,2580,6715,0,120,0,0,0,0,0,0,0,0,5029183488,2686980096,798228480,7882825728,83,12,13,82,1.290,1.100,1.090,1,0,8,0,0,0
22789,14394,56,985,55,929,2857,8613,0,141,0,0,0,0,0,0,0,0,5029289984,2686861312,798228480,7882780672,83,12,13,82,1.290,1.100,1.090,1,0,8,0,0,0
23873,12613,56,983,55,928,2604,6142,0,144,0,0,0,0,0,0,0,0,5014474752,2701672448,798228480,7882784768,83,12,13,82,1.290,1.100,1.090,1,0,0,0,0,0
5880,6968,56,983,55,928,2651,6263,0,116,0,0,0,0,0,0,0,34,4997697536,2718109696,798228480,7883190272,83,12,13,82,1.290,1.100,1.090,1,0,0,0,0,0
5750,7414,56,983,55,928,2586,5686,0,156,0,0,0,0,0,0,0,0,4999077888,2716692480,798228480,7883751424,83,12,13,82,1.290,1.100,1.090,1,0,0,0,0,0
5938,7150,56,983,55,928,2493,6802,0,119,0,0,0,0,0,0,0,0,4997332992,2718420992,798228480,7883436032,83,12,13,82,1.270,1.100,1.090,1,0,8,0,0,0
8244,11744,56,985,55,930,2665,7127,0,131,0,0,0,0,0,0,0,0,4998152192,2717601792,798228480,7883177984,83,12,13,82,1.270,1.100,1.090,2,0,8,0,0,0
17811,12509,56,983,55,928,2664,6021,0,137,0,0,0,0,0,0,0,66,4995784704,2719940608,798240768,7883427840,83,12,13,82,1.270,1.100,1.090,0,0,0,0,0,0
5957,7042,56,983,55,928,2553,5936,0,116,0,0,0,0,0,0,0,84,4965249024,2755813376,798240768,7877922816,83,12,13,82,1.270,1.100,1.090,1,0,0,0,0,0
5880,6968,56,981,55,926,2570,5654,0,115,0,0,0,0,0,0,0,40,4966817792,2754273280,798248960,7877873664,83,12,13,82,1.270,1.100,1.090,1,0,0,0,0,0
23007,14046,56,981,55,926,2819,8147,0,183,0,0,0,0,0,0,0,0,4951576576,2769469440,798248960,7878443008,83,12,13,82,1.250,1.090,1.090,2,0,9,0,0,0
5917,7174,56,981,55,926,2668,7234,0,121,0,0,0,0,0,0,0,0,4955529216,2765406208,798248960,7878221824,83,12,13,82,1.250,1.090,1.090,1,0,8,0,0,0
21766,12348,56,981,55,926,2576,6487,0,138,0,0,0,0,0,0,0,0,4956078080,2764816384,798248960,7878004736,83,12,13,82,1.250,1.090,1.090,1,0,0,0,0,0
7344,8008,56,981,55,926,2945,9105,0,126,0,0,0,0,0,0,0,440,4957917184,2763190272,798248960,7878070272,83,12,13,82,1.250,1.090,1.090,1,0,0,0,0,0
6052,7062,56,981,55,926,2471,5688,0,120,0,0,0,0,0,0,0,30,4957462528,2763599872,798253056,7878074368,83,12,13,82,1.250,1.090,1.090,1,0,0,0,0,0
5860,7921,56,981,55,926,2654,6870,0,124,0,0,0,0,0,0,0,0,4958171136,2762883072,798253056,7878283264,83,12,13,82,1.710,1.190,1.120,1,0,8,0,0,0
6313,7087,56,981,55,926,2602,6764,0,156,0,0,0,0,0,0,0,0,4960055296,2760990720,798253056,7878549504,83,12,13,82,1.710,1.190,1.120,2,0,8,0,0,0
5750,6850,56,981,55,926,3295,35388,0,115,0,0,0,0,0,0,0,0,4974907392,2740948992,798253056,7883472896,83,12,13,82,1.710,1.190,1.120,1,0,0,0,0,0
5860,7186,56,981,55,926,2611,6355,0,118,0,0,0,0,0,0,0,0,4979384320,2736472064,798253056,7883280384,83,12,13,82,1.710,1.190,1.120,1,0,0,0,0,0
5750,6968,56,981,55,926,2626,5948,0,115,0,0,0,0,0,0,0,296,4982124544,2733584384,798261248,7883419648,83,12,13,82,1.710,1.190,1.120,1,0,0,0,0,0
5954,7208,56,981,55,926,2685,6684,0,116,0,0,0,0,0,0,0,0,4983054336,2732642304,798261248,7883431936,83,12,13,82,1.570,1.170,1.110,0,0,8,0,0,0
5860,7044,56,981,55,926,2618,6849,0,117,0,0,0,0,0,0,0,0,4984311808,2731384832,798261248,7883632640,83,12,13,82,1.570,1.170,1.110,2,0,8,0,0,0
6706,9599,56,981,55,926,2619,6608,0,166,0,0,0,0,0,0,0,0,4985106432,2730582016,798261248,7883898880,83,12,13,82,1.570,1.170,1.110,0,0,1,0,0,0
39850,18047,56,981,55,926,2618,6636,0,166,0,0,0,0,0,0,0,0,4985978880,2729705472,798261248,7883702272,83,12,13,82,1.570,1.170,1.110,1,0,0,0,0,0
5836,7235,56,981,55,926,2583,6341,0,116,0,0,0,0,0,0,0,422,4986028032,2729611264,798265344,7883485184,83,12,13,82,1.570,1.170,1.110,1,0,0,0,0,0
5750,6850,56,981,55,926,2487,6271,0,116,0,0,0,0,0,0,0,0,4985909248,2729631744,798265344,7883583488,83,12,13,82,1.440,1.150,1.110,2,0,4,0,0,0
5966,7623,56,981,55,926,2700,7873,0,125,0,0,0,0,0,0,0,0,5007511552,2708172800,798265344,7883440128,83,12,13,82,1.440,1.150,1.110,1,0,12,0,0,0
7098,8128,56,985,55,930,2979,7662,0,128,0,0,0,0,0,0,0,0,5025714176,2689957888,798265344,7902478336,83,12,13,82,1.440,1.150,1.110,0,0,18,0,0,0
5900,7181,56,985,55,930,2601,5931,0,156,0,0,0,0,0,0,0,0,5026402304,2689269760,798265344,7902248960,83,12,13,82,1.440,1.150,1.110,1,0,0,0,0,0
7761,13937,56,985,55,930,2703,6252,0,127,0,0,0,0,0,0,0,88,5053079552,2662588416,798269440,7899230208,83,12,13,82,1.440,1.150,1.110,0,0,0,0,0,0
7403,10416,56,985,55,930,2510,6530,0,132,0,0,0,0,0,0,0,16,5048455168,2667204608,798273536,7895945216,83,12,13,82,1.330,1.130,1.100,1,0,0,0,0,0
36399,10448,56,985,55,930,2647,8079,0,136,0,0,0,0,0,0,0,0,5047750656,2667864064,798273536,7895990272,83,12,13,82,1.330,1.130,1.100,0,0,16,0,0,0
6029,7332,56,985,55,930,2500,5600,0,118,0,0,0,0,0,0,0,0,5008121856,2707390464,798273536,7887306752,83,12,13,82,1.330,1.130,1.100,3,0,0,0,0,0
17858,100064,56,985,55,930,2715,7170,0,155,0,0,0,0,0,0,0,0,5025230848,2690355200,798273536,7887298560,83,12,13,82,1.330,1.130,1.100,1,0,0,0,0,0
29395,17437,56,999,55,944,3853,16407,0,197,0,0,0,0,0,0,0,58,5059371008,2655961088,798285824,7893524480,84,12,13,83,1.330,1.130,1.100,1,0,40,0,0,0
17949,21014,56,999,55,944,9813,12417,0,158,0,0,0,0,0,0,0,378,5079146496,2635354112,798511104,7893270528,84,12,13,83,1.300,1.130,1.100,0,0,3,0,0,0
6686,8282,56,999,55,944,2837,8621,0,130,0,0,0,0,0,0,0,0,5075451904,2639577088,798511104,7894142976,84,12,13,83,1.300,1.130,1.100,1,0,16,0,0,0
6008,7337,56,999,55,944,2709,6262,0,126,0,0,0,0,0,0,0,122,5073104896,2641801216,798539776,7894020096,84,12,13,83,1.300,1.130,1.100,1,0,0,0,0,0
51343,9876,56,999,55,944,4192,9315,0,148,0,0,0,0,0,0,0,170,5082320896,2632364032,798625792,7892615168,84,12,13,83,1.300,1.130,1.100,1,0,1,0,0,0
5860,7025,56,999,55,944,2450,5780,0,114,0,0,0,0,0,0,0,44,5061496832,2653188096,798633984,7892869120,84,12,13,83,1.300,1.130,1.100,0,0,0,0,0,0
5750,6850,56,999,55,944,2762,8109,0,159,0,0,0,0,0,0,0,0,5062402048,2652176384,798633984,7892385792,84,12,13,83,1.440,1.160,1.110,1,0,8,0,0,0
5750,6992,56,999,55,944,2938,8717,0,114,0,0,0,0,0,0,0,0,5065322496,2649124864,798633984,7892516864,84,12,13,83,1.440,1.160,1.110,1,0,16,0,0,0
6343,8450,56,999,55,944,2506,5685,0,121,0,0,0,0,0,0,0,0,5065977856,2648469504,798633984,7892516864,84,12,13,83,1.440,1.160,1.110,1,0,0,0,0,0
5750,7911,56,999,55,944,2560,5681,0,116,0,0,0,0,0,0,0,0,5066928128,2647511040,798633984,7892656128,84,12,13,83,1.440,1.160,1.110,1,0,0,0,0,0
21811,13126,56,999,55,944,2758,6975,0,138,0,0,0,0,0,0,2,264,4934094848,2785665024,798650368,7887843328,84,12,13,83,1.440,1.160,1.110,1,0,0,0,0,0
7950,8920,56,999,55,944,2451,5566,0,123,0,0,0,0,0,0,0,0,4935249920,2784600064,798650368,7887355904,84,12,13,83,1.320,1.140,1.100,1,0,0,0,0,0
5750,6831,56,999,55,944,2691,8094,0,150,0,0,0,0,0,0,0,0,4935102464,2784743424,798650368,7887101952,84,12,13,83,1.320,1.140,1.100,1,0,16,0,0,0
6027,7231,56,999,55,944,2508,5750,0,119,0,0,0,0,0,0,4,0,4933672960,2787766272,798650368,7885574144,84,12,13,83,1.320,1.140,1.100,1,0,1,0,0,0
5880,6850,56,999,55,944,2649,6184,0,118,0,0,0,0,0,0,0,0,4932759552,2786844672,798650368,7887409152,84,12,13,83,1.320,1.140,1.100,1,0,0,0,0,0
5750,6850,56,999,55,944,3907,10936,0,114,0,0,0,0,0,0,0,1946,4933812224,2785792000,798662656,7887396864,84,12,13,83,1.320,1.140,1.100,2,0,0,0,0,0
5860,7044,56,999,55,944,2500,5540,0,116,0,0,0,0,0,0,0,0,4935057408,2784534528,798662656,7887867904,84,12,13,83,1.220,1.120,1.100,4,0,0,0,0,0
6023,7155,56,999,55,944,2676,7851,0,122,0,0,0,0,0,0,0,0,4936491008,2783080448,798662656,7887605760,84,12,13,83,1.220,1.120,1.100,1,0,16,0,0,0
6966,8110,56,999,55,944,2484,5652,0,167,0,0,0,0,0,0,0,0,4937306112,2782216192,798662656,7887462400,84,12,13,83,1.220,1.120,1.100,3,0,0,0,0,0
6852,8017,56,993,55,938,2655,6580,0,123,0,0,0,0,0,0,0,0,4920668160,2798845952,798662656,7885475840,84,12,13,83,1.220,1.120,1.100,3,0,0,0,0,0
8590,9671,56,993,55,938,2630,6081,0,124,0,0,0,0,0,0,0,290,4918431744,2801074176,798670848,7884910592,84,12,13,83,1.220,1.120,1.100,0,0,0,0,0,0
23081,13281,56,993,55,938,3464,36732,0,142,0,0,0,0,0,0,0,0,5054816256,2659516416,798670848,7890350080,84,12,13,83,1.120,1.100,1.090,0,0,0,0,0,0
6146,6900,56,993,55,938,2659,7289,0,119,0,0,0,0,0,0,0,8,5030862848,2683469824,798670848,7890608128,84,12,13,83,1.120,1.100,1.090,2,0,12,0,0,0
5828,6956,56,989,55,934,2688,6841,0,119,0,0,0,0,0,0,0,54,5027168256,2687016960,798683136,7888281600,84,12,13,83,1.120,1.100,1.090,1,0,4,0,0,0
5860,7323,56,989,55,934,2574,5697,0,146,0,0,0,0,0,0,0,0,5028020224,2686164992,798683136,7887925248,84,12,13,83,1.120,1.100,1.090,1,0,0,0,0,0
10350,17929,56,989,55,934,2754,6780,0,138,0,0,0,0,0,0,2,590,5049139200,2664738816,798703616,7888146432,84,12,13,83,1.120,1.100,1.090,0,0,1,0,0,0
5860,7044,56,989,55,934,2528,5574,0,115,0,0,0,0,0,0,0,0,5050372096,2663727104,798703616,7887908864,84,12,13,83,1.110,1.100,1.090,1,0,0,0,0,0
5750,6713,56,989,55,934,2572,6758,0,111,0,0,0,0,0,0,0,0,5032456192,2681630720,798703616,7888187392,84,12,13,83,1.110,1.100,1.090,0,0,8,0,0,0
6103,7450,56,989,55,934,2545,6935,0,116,0,0,0,0,0,0,0,0,5033816064,2680438784,798703616,7888343040,84,12,13,83,1.110,1.100,1.090,2,0,8,0,0,0
5860,7402,56,989,55,934,2497,6030,0,116,0,0,0,0,0,0,0,0,5052919808,2661429248,798703616,7887716352,84,12,13,83,1.110,1.100,1.090,3,0,0,0,0,0
5750,6850,56,989,55,934,3489,6353,0,143,0,0,0,0,0,0,0,94,5041930240,2672181248,798744576,7887855616,84,12,13,83,1.110,1.100,1.090,1,0,1,0,0,0
6178,8699,56,989,55,934,3225,7398,0,124,0,0,0,0,0,0,0,232,5008347136,2705756160,798744576,7887147008,84,12,13,83,1.020,1.080,1.080,1,0,0,0,0,0
22825,11529,56,989,55,934,2584,6959,0,141,0,0,0,0,0,0,0,0,5009616896,2704437248,798744576,7887196160,84,12,13,83,1.020,1.080,1.080,0,0,8,0,0,0
7207,12154,56,989,55,934,2562,6968,0,119,0,0,0,0,0,0,0,0,5008863232,2705190912,798744576,7887851520,84,12,13,83,1.020,1.080,1.080,2,0,8,0,0,0
5946,7402,56,981,55,926,2591,5898,0,119,0,0,0,0,0,0,0,0,4989173760,2724868096,798744576,7885205504,84,12,13,83,1.020,1.080,1.080,1,0,0,0,0,0
5922,7093,56,981,55,926,2507,5647,0,118,0,0,0,0,0,0,0,14,4988874752,2725163008,798752768,7884582912,84,12,13,83,1.020,1.080,1.080,1,0,0,0,0,0
5750,6713,56,981,55,926,2466,5919,0,157,0,0,0,0,0,0,0,26,4983689216,2731954176,798752768,7882977280,83,12,13,82,0.940,1.070,1.080,1,0,0,0,0,0
6157,7368,56,981,55,926,2613,7256,0,120,0,0,0,0,0,0,0,0,4989587456,2724241408,798752768,7884791808,83,12,13,82,0.940,1.070,1.080,0,0,9,0,0,0
6029,7455,56,981,55,926,2629,7302,0,115,0,0,0,0,0,0,0,0,4979359744,2734051328,798752768,7885541376,83,12,13,82,0.940,1.070,1.080,2,0,8,0,0,0
7913,7214,56,981,55,926,2376,5661,0,119,0,0,0,0,0,0,0,0,4980088832,2733547520,798752768,7885574144,83,12,13,82,0.940,1.070,1.080,3,0,0,0,0,0
5990,7402,56,981,55,926,2552,5776,0,119,0,0,0,0,0,0,0,32,4979179520,2734456832,798760960,7885234176,83,12,13,82,0.940,1.070,1.080,0,0,0,0,0,0
5917,7502,56,981,55,926,2470,5707,0,120,0,0,0,0,0,0,0,174,4979552256,2734059520,798760960,7885000704,83,12,13,82,0.860,1.050,1.070,2,0,0,0,0,0
24325,14255,56,981,55,926,2756,7940,0,189,0,0,0,0,0,0,0,0,4980289536,2733322240,798760960,7884767232,83,12,13,82,0.860,1.050,1.070,1,0,8,0,0,0
7956,8020,56,981,55,926,2454,6979,0,124,0,0,0,0,0,0,0,30,4980953088,2732560384,798765056,7885225984,83,12,13,82,0.860,1.050,1.070,1,0,8,0,0,0
5750,7110,56,981,55,926,2475,6099,0,116,0,0,0,0,0,0,0,0,4868136960,2845462528,798765056,7885340672,83,12,13,82,0.860,1.050,1.070,2,0,0,0,0,0
5860,7589,56,981,55,926,2507,5662,0,121,0,0,0,0,0,0,0,0,4867198976,2846183424,798765056,7885815808,83,12,13,82,0.860,1.050,1.070,1,0,0,0,0,0
5917,6850,56,981,55,926,2491,5673,0,114,0,0,0,0,0,0,0,38,4869308416,2844024832,798765056,7885533184,83,12,13,82,0.790,1.030,1.070,1,0,0,0,0,0
5750,6850,56,981,55,926,2677,6914,0,111,0,0,0,0,0,0,0,0,4869222400,2844110848,798765056,7885275136,83,12,13,82,0.790,1.030,1.070,1,0,8,0,0,0
6481,7899,56,981,55,926,2656,6898,0,163,0,0,0,0,0,0,0,22,4862242816,2856402944,798773248,7880019968,83,12,13,82,0.790,1.030,1.070,2,0,8,0,0,0
5750,6850,56,981,55,926,2465,5532,0,116,0,0,0,0,0,0,0,0,4863205376,2855600128,798773248,7879864320,83,12,13,82,0.790,1.030,1.070,1,0,0,0,0,0
5860,7539,56,981,55,926,2522,5783,0,121,0,0,0,0,0,0,0,0,4862877696,2855792640,798773248,7880458240,83,12,13,82,0.790,1.030,1.070,1,0,1,0,0,0
5824,6713,56,981,55,926,3767,10288,0,115,0,0,0,0,0,0,0,1546,4825694208,2892886016,798773248,7880282112,83,12,13,82,0.970,1.060,1.080,4,0,0,0,0,0
5880,7247,56,981,55,926,2645,7433,0,119,0,0,0,0,0,0,0,28,4840906752,2877394944,798789632,7880282112,83,12,13,82,0.970,1.060,1.080,1,0,8,0,0,0
23263,13128,56,981,55,926,2685,7621,0,139,0,0,0,0,0,0,0,0,4840726528,2877640704,798789632,7880282112,83,12,13,82,0.970,1.060,1.080,1,0,8,0,0,0
6116,7102,56,981,55,926,2498,5700,0,161,0,0,0,0,0,0,0,0,4840779776,2877575168,798789632,7880294400,83,12,13,82,0.970,1.060,1.080,2,0,0,0,0,0
19409,21084,56,981,55,926,2653,6286,0,145,0,0,0,0,0,0,0,0,4863045632,2855305216,798789632,7880499200,83,12,13,82,0.970,1.060,1.080,1,0,0,0,0,0
8895,9541,56,981,55,926,2938,6239,0,130,0,0,0,0,0,0,0,310,4857696256,2860650496,798789632,7880994816,83,12,13,82,0.970,1.060,1.080,1,0,0,0,0,0
22206,14830,56,981,55,926,2761,7712,0,146,0,0,0,0,0,0,0,18,4858896384,2859450368,798793728,7880491008,83,12,13,82,0.970,1.060,1.080,0,0,8,0,0,0
8581,8618,56,981,55,926,3650,37318,0,122,0,0,0,0,0,0,0,0,4988739584,2729590784,798793728,7880314880,83,12,13,82,0.970,1.060,1.080,1,0,8,0,0,0
24101,10534,56,981,55,926,2627,6151,0,128,0,0,0,0,0,0,0,0,5003309056,2707959808,798793728,7887376384,83,12,13,82,0.970,1.060,1.080,2,0,0,0,0,0
13257,94255,56,981,55,926,2560,5859,0,164,0,0,0,0,0,0,0,0,5006209024,2706780160,798793728,7885590528,83,12,13,82,0.970,1.060,1.080,1,0,0,0,0,0
5860,7402,56,981,55,926,2578,5839,0,122,0,0,0,0,0,0,0,286,5009924096,2703056896,798793728,7885930496,83,12,13,82,0.980,1.060,1.080,0,0,0,0,0,0
6146,7296,56,981,55,926,2705,6951,0,123,0,0,0,0,0,0,0,36,5009584128,2703691776,798806016,7885881344,83,12,13,82,0.980,1.060,1.080,6,0,9,0,0,0
6048,8817,56,981,55,926,2710,7766,0,118,0,0,0,0,0,0,0,32,4997042176,2716205056,798822400,7885627392,83,12,13,82,0.980,1.060,1.080,4,0,8,0,0,0
22783,11237,56,981,55,926,2576,5925,0,136,0,0,0,0,0,0,0,40,4997914624,2715328512,798838784,7885357056,83,12,13,82,0.980,1.060,1.080,0,0,0,0,0,0
5750,6987,56,981,55,926,2442,5695,0,116,0,0,0,0,0,0,0,14,4997201920,2716012544,798846976,7885312000,83,12,13,82,0.980,1.060,1.080,0,0,0,0,0,0
5860,7265,56,981,55,926,2598,8031,0,157,0,0,0,0,0,0,0,4,4997177344,2715914240,798846976,7885434880,83,12,13,82,0.980,1.060,1.080,0,0,8,0,0,0
5986,6850,56,981,55,926,2802,7316,0,120,0,0,0,0,0,0,0,0,4990824448,2720628736,798846976,7887597568,83,12,13,82,0.980,1.060,1.080,1,0,8,0,0,0
6347,7611,56,981,55,926,2798,7336,0,121,0,0,0,0,0,0,0,350,4992651264,2720190464,798883840,7885971456,83,12,13,82,0.980,1.060,1.080,1,0,10,0,0,0
7373,11402,56,981,55,926,2494,6484,0,131,0,0,0,0,0,0,0,0,4993863680,2718998528,798883840,7885692928,83,12,13,82,0.980,1.060,1.080,1,0,0,0,0,0
