"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/udp_cpu_int.csv --udp --cpu --int 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"udp",,"total cpu usage",,,,,"interrupts",,
25,14,7.779,3.011,89.084,0.125,0,0,116,0
25,14,9.560,2.893,87.547,0,0,0,152,0
25,14,8.831,3.607,87.438,0.124,0,0,121,0
28,14,8.010,3.004,88.986,0,0,0,135,0
28,14,8.955,3.234,87.438,0.373,0,0,124,0
28,14,9.102,2.993,87.781,0.125,0,0,115,0
28,14,8.407,2.886,88.708,0,0,0,117,0
28,14,9.238,2.622,88.015,0.125,0,0,148,0
25,23,7.970,4.483,87.422,0.125,0,0,118,0
25,15,10.781,4.213,84.882,0.124,0,0,148,0
25,15,9.387,3.004,87.610,0,0,0,121,0
25,15,9.080,2.612,88.184,0.124,0,0,115,0
25,15,8.955,2.736,88.308,0,0,0,118,0
25,15,8.739,3.745,86.767,0.749,0,0,166,0
25,15,9.045,3.141,87.814,0,0,0,136,0
25,15,9.789,2.850,87.237,0.124,0,0,128,0
25,15,9.238,2.747,88.015,0,0,0,128,0
25,15,8.145,2.757,88.972,0.125,0,0,121,0
25,15,8.668,3.643,87.312,0.377,0,0,120,0
25,15,7.935,3.149,88.791,0.126,0,0,154,0
25,15,9.512,3.004,87.359,0.125,0,0,130,0
25,15,8.933,2.605,88.337,0.124,0,0,116,0
25,15,8.521,3.383,88.095,0,0,0,140,0
25,15,8.886,3.630,87.359,0.125,0,0,117,0
25,15,8.323,4.792,86.759,0.126,0,0,127,0
25,15,9.601,3.117,87.157,0.125,0,0,164,0
25,15,9.689,3.354,86.957,0,0,0,121,0
25,15,8.060,2.645,89.169,0.126,0,0,116,0
25,15,8.156,3.388,88.457,0,0,0,116,0
25,15,8.323,3.657,87.894,0.126,0,0,125,0
25,15,8.761,2.753,88.235,0.250,0,0,117,0
25,15,9.204,2.985,87.687,0.124,0,0,159,0
25,15,7.566,3.279,89.155,0,0,0,121,0
25,15,7.547,3.648,88.679,0.126,0,0,122,0
25,15,8.831,3.483,87.562,0.124,0,0,116,0
25,15,9.387,3.254,87.359,0,0,0,140,0
25,15,8.447,3.851,87.578,0.124,0,0,120,0
25,15,8.010,2.879,88.861,0.250,0,0,141,0
25,14,8.122,2.538,88.832,0.508,0,0,115,0
25,15,8.772,3.008,88.095,0.125,0,0,132,0
25,15,8.115,2.996,88.889,0,0,0,111,0
25,15,7.915,3.015,88.945,0.126,0,0,117,0
25,15,8.302,3.019,88.679,0,0,0,118,0
25,15,8.571,3.106,88.075,0.248,0,0,171,0
25,15,7.412,3.518,88.945,0.126,0,0,118,0
25,15,7.885,3.004,89.111,0,0,0,119,0
25,15,9.136,3.630,87.109,0.125,0,0,138,0
25,15,8.875,4,87,0.125,0,0,115,0
25,15,8.521,2.882,88.596,0,0,0,119,0
25,15,8.145,3.509,88.221,0.125,0,0,140,0
25,15,9.034,2.760,88.080,0.125,0,0,130,0
25,15,9.317,2.857,87.826,0,0,0,113,0
25,15,7.905,2.760,89.210,0.125,0,0,121,0
25,15,9.262,3.254,87.359,0.125,0,0,128,0
25,15,8.176,3.270,88.050,0.503,0,0,117,0
25,15,8.636,3.254,87.985,0.125,0,0,160,0
25,15,10.038,2.635,87.327,0,0,0,157,0
25,15,14.498,3.346,82.032,0.124,0,0,142,0
25,15,8.438,3.023,88.539,0,0,0,136,0
25,15,7.925,3.396,88.553,0.126,0,0,114,0
25,15,8.809,3.350,87.717,0.124,0,0,114,0
25,15,8.761,3.254,87.860,0.125,0,0,161,0
25,15,8.739,3.121,88.140,0,0,0,115,0
25,15,8.521,2.506,88.847,0.125,0,0,119,0
25,15,8.647,3.258,87.845,0.251,0,0,118,0
25,15,8.312,4.282,87.028,0.378,0,0,119,0
25,15,8.050,3.145,88.679,0.126,0,0,118,0
25,15,9.363,3.496,87.141,0,0,0,182,0
25,14,8.922,3.346,87.608,0.124,0,0,128,0
25,14,7.925,3.396,88.553,0.126,0,0,140,0
25,14,8.978,2.369,88.653,0,0,0,114,0
25,14,8.809,2.978,88.089,0.124,0,0,119,0
25,14,8.354,3.117,88.404,0.125,0,0,120,0
25,14,8.739,2.622,88.514,0.125,0,0,151,0
25,14,8.479,4.364,87.032,0.125,0,0,117,0
25,14,8.668,2.764,88.568,0,0,0,117,0
25,14,7.769,3.258,88.847,0.125,0,0,118,0
25,14,9.553,2.854,87.469,0.124,0,0,122,0
25,14,8.761,3.004,87.610,0.626,0,0,146,0
25,14,7.692,3.405,88.903,0,0,0,158,0
25,14,8.091,3.161,88.622,0.126,0,0,137,0
25,14,7.895,3.008,89.098,0,0,0,115,0
25,14,8.571,3.727,87.578,0.124,0,0,120,0
25,14,8.511,3.129,87.985,0.375,0,0,118,0
25,14,8.166,5.653,86.181,0,0,0,116,0
25,14,9.102,3.367,87.406,0.125,0,0,152,0
25,14,7.925,3.899,88.050,0.126,0,0,119,0
25,14,8.050,2.893,89.057,0,0,0,118,0
25,14,9.762,2.753,87.359,0.125,0,0,124,0
25,14,8.156,2.886,88.833,0.125,0,0,134,0
25,14,8.176,3.270,88.428,0.126,0,0,126,0
25,14,8.625,2.875,88.500,0,0,0,159,0
25,14,8.105,3.491,88.279,0.125,0,0,119,0
25,14,7.799,2.390,89.811,0,0,0,126,0
25,14,7.296,3.396,89.182,0.126,0,0,115,0
25,14,9.125,2.750,87.500,0.625,0,0,119,0
25,14,8.344,3.238,88.418,0,0,0,119,0
25,14,8.240,2.747,88.889,0.125,0,0,167,0
25,14,8.625,2.500,88.875,0,0,0,115,0
25,14,9.227,3.491,87.157,0.125,0,0,132,0
25,14,8.260,3.129,88.110,0.501,0,0,117,0
25,14,7.421,2.767,89.811,0,0,0,123,0
25,14,8.614,2.372,88.889,0.125,0,0,118,0
25,14,7.509,3.254,89.237,0,0,0,163,0
25,14,8.571,3.602,87.702,0.124,0,0,118,0
25,14,8.396,4.135,87.218,0.251,0,0,121,0
25,14,8.668,2.638,88.568,0.126,0,0,139,0
25,14,9.434,2.642,87.799,0.126,0,0,116,0
25,14,7.875,3.750,88.250,0.125,0,0,124,0
25,14,8.532,3.639,87.829,0,0,0,159,0
25,14,8.989,3.371,87.391,0.250,0,0,125,0
25,14,9.159,2.509,88.206,0.125,0,0,145,0
25,14,8.040,3.392,88.568,0,0,0,131,0
25,14,8.728,2.868,88.279,0.125,0,0,117,0
25,14,8.614,3.496,87.640,0.250,0,0,116,0
25,14,7.905,3.137,88.708,0.251,0,0,153,0
25,14,9.787,2.886,87.327,0,0,0,129,0
25,14,8.543,3.015,88.317,0.126,0,0,136,0
25,14,8.875,2.875,88.250,0,0,0,142,0
25,14,7.799,3.396,88.679,0.126,0,0,122,0
25,14,7.905,3.639,88.331,0.125,0,0,114,0
25,14,8.312,4.030,87.657,0,0,0,158,0
25,14,9.988,4.494,85.393,0.125,0,0,137,0
28,14,7.921,3.960,87.995,0.124,0,0,118,0
28,14,8.186,3.275,88.413,0.126,0,0,115,0
28,14,7.895,4.135,87.970,0,0,0,119,0
28,14,8.479,2.494,88.903,0.125,0,0,127,0
28,14,8.135,3.004,88.861,0,0,0,163,0
25,14,8.438,2.645,88.791,0.126,0,0,118,0
25,15,7.950,3.851,88.199,0,0,0,121,0
25,14,9.787,3.137,86.449,0.627,0,0,120,0
25,14,8.931,2.390,88.553,0.126,0,0,124,0
25,14,9.215,2.989,87.671,0.125,0,0,146,0
25,14,8.816,2.645,88.413,0.126,0,0,177,0
25,14,8.219,3.238,88.543,0,0,0,121,0
25,14,7.769,3.258,88.847,0.125,0,0,119,0
25,14,8.166,2.136,89.698,0,0,0,116,0
25,14,9.068,2.733,88.075,0.124,0,0,122,0
25,14,9.057,3.722,87.097,0.124,0,0,119,0
25,14,13.367,3.026,83.607,0,0,0,151,0
25,14,8.500,3.875,87.375,0.250,0,0,142,0
25,14,8.375,2.500,89.125,0,0,0,118,0
25,14,8.521,2.882,88.471,0.125,0,0,118,0
25,14,9.273,2.757,87.970,0,0,0,149,0
25,14,8.933,3.474,87.345,0.248,0,0,114,0
25,14,8.333,3.409,87.879,0.379,0,0,156,0
25,14,8.375,3.250,88.375,0,0,0,118,0
25,14,9.250,2.375,88.250,0.125,0,0,113,0
25,14,12.050,3.354,84.472,0.124,0,0,131,0
25,14,8.428,2.264,89.182,0.126,0,0,126,0
25,14,8.853,4.364,86.658,0.125,0,0,135,0
25,14,8.492,2.535,88.973,0,0,0,181,0
25,14,8.040,2.638,89.196,0.126,0,0,119,0
25,14,8.396,3.258,88.346,0,0,0,123,0
25,14,8.323,3.354,88.075,0.248,0,0,140,0
25,14,8.115,4.619,87.016,0.250,0,0,115,0
25,14,8.396,3.008,88.471,0.125,0,0,125,0
25,14,8.955,2.861,88.184,0,0,0,161,0
25,14,8.428,2.264,89.308,0,0,0,111,0
25,14,8.696,3.602,87.578,0.124,0,0,119,0
25,14,8.101,4.177,87.595,0.127,0,0,112,0
25,14,7.915,2.764,89.196,0.126,0,0,121,0
25,14,8.040,3.266,88.568,0.126,0,0,115,0
25,14,7.585,2.781,89.633,0,0,0,186,0
25,14,9.625,3.250,87,0.125,0,0,152,0
25,14,7.818,3.783,88.146,0.252,0,0,136,0
25,14,7.615,3.246,88.889,0.250,0,0,117,0
25,14,7.538,3.141,89.322,0,0,0,120,0
25,14,9.726,4.364,85.786,0.125,0,0,122,0
25,14,7.215,3.418,89.241,0.127,0,0,153,0
25,14,8.407,4.642,86.826,0.125,0,0,130,0
25,14,7.615,3.496,88.764,0.125,0,0,118,0
25,14,8.145,2.632,89.098,0.125,0,0,124,0
25,14,8.060,2.897,89.043,0,0,0,120,0
25,15,8.944,3.478,87.453,0.124,0,0,132,0
25,16,11.728,4.288,83.859,0.126,0,0,195,0
25,16,7.809,3.149,88.917,0.126,0,0,121,0
25,16,9.308,2.642,87.925,0.126,0,0,145,0
25,16,8.636,3.129,88.235,0,0,0,126,0
25,16,9.125,3.250,87.500,0.125,0,0,145,0
25,16,8.375,3.375,88.125,0.125,0,0,116,0
25,16,9.136,3.880,86.859,0.125,0,0,156,0
25,16,8.875,2.625,88.375,0.125,0,0,118,0
25,16,9.227,2.743,88.030,0,0,0,122,0
25,16,8.217,1.896,89.760,0.126,0,0,119,0
25,16,8.186,3.023,88.665,0.126,0,0,119,0
25,16,8.333,3.157,88.510,0,0,0,148,0
25,16,8.125,2.875,88.875,0.125,0,0,150,0
25,16,7.799,3.019,89.182,0,0,0,111,0
25,16,8.831,2.861,87.935,0.373,0,0,114,0
25,16,8.838,2.652,88.510,0,0,0,117,0
25,16,8.250,3.500,88.125,0.125,0,0,124,0
25,16,8.135,2.879,88.986,0,0,0,119,0
25,16,8.060,2.771,88.917,0.252,0,0,150,0
25,16,8.145,3.258,88.095,0.501,0,0,115,0
25,16,14.500,3.250,82.250,0,0,0,112,0
25,16,9.777,3.960,86.139,0.124,0,0,129,0
25,16,9.398,3.509,87.093,0,0,0,131,0
25,17,7.566,3.531,88.651,0.252,0,0,122,0
25,17,8.135,3.004,88.861,0,0,0,170,0
25,17,8.783,3.388,87.704,0.125,0,0,133,0
25,17,8.291,3.141,88.568,0,0,0,121,0
25,17,7.925,2.767,89.182,0.126,0,0,116,0
25,16,8.112,2.281,88.973,0.634,0,0,118,0
25,15,8.375,2.750,88.750,0.125,0,0,114,0
25,15,9.091,3.362,87.298,0.249,0,0,149,0
25,15,8.105,3.616,88.279,0,0,0,115,0
25,15,9.250,2.750,87.875,0.125,0,0,144,0
25,15,7.990,3.121,88.889,0,0,0,120,0
25,15,8.438,2.771,88.665,0.126,0,0,120,0
25,15,8.176,3.648,88.050,0.126,0,0,116,0
25,15,8.897,3.383,87.594,0.125,0,0,147,0
25,16,8.323,2.396,89.281,0,0,0,154,0
25,16,8.156,3.262,88.457,0.125,0,0,117,0
25,16,8.281,3.011,88.582,0.125,0,0,116,0
25,16,8.060,4.282,87.154,0.504,0,0,118,0
25,16,9,3.250,87.500,0.250,0,0,122,0
25,16,8.449,2.774,88.777,0,0,0,163,0
25,16,8.145,2.757,88.972,0.125,0,0,159,0
25,16,7.722,2.278,90,0,0,0,116,0
25,16,7.828,3.157,88.763,0.253,0,0,115,0
25,16,8.886,3.004,87.735,0.375,0,0,116,0
25,16,7.412,2.889,89.573,0.126,0,0,115,0
25,16,8.176,2.516,89.308,0,0,0,145,0
25,16,7.673,2.767,89.434,0.126,0,0,120,0
25,16,8.095,3.861,88.045,0,0,0,117,0
25,16,8.115,3.496,88.140,0.250,0,0,118,0
25,16,8.931,2.264,88.553,0.252,0,0,118,0
25,15,8.625,3.625,87.625,0.125,0,0,134,0
25,15,8.564,2.393,89.043,0,0,0,156,0
25,15,8.920,2.764,88.191,0.126,0,0,127,0
25,15,6.667,3.774,89.560,0,0,0,117,0
25,15,7.855,2.868,88.903,0.374,0,0,121,0
25,15,8.125,3,88.875,0,0,0,120,0
25,16,8.375,3.250,88.250,0.125,0,0,122,0
25,16,10.100,3.491,86.160,0.249,0,0,140,0
25,16,8.050,3.019,88.931,0,0,0,119,0
25,16,8.344,3.113,88.418,0.125,0,0,115,0
25,16,8.312,2.771,88.917,0,0,0,145,0
25,16,8.816,2.771,88.161,0.252,0,0,144,0
25,16,7.370,2.922,89.327,0.381,0,0,123,0
25,15,8.396,4.135,87.343,0.125,0,0,149,0
25,15,8.908,3.011,88.080,0,0,0,149,0
28,15,8.186,3.023,88.665,0.126,0,0,126,0
28,15,8.586,2.525,88.763,0.126,0,0,123,0
28,15,7.585,3.034,89.001,0.379,0,0,116,0
28,15,8.798,3.965,87.113,0.124,0,0,114,0
28,15,7.828,2.273,89.899,0,0,0,155,0
25,15,8.479,2.743,88.653,0.125,0,0,118,0
25,15,8.045,3.837,87.871,0.248,0,0,120,0
25,15,9.673,3.141,87.060,0.126,0,0,138,0
25,15,8.521,3.258,88.221,0,0,0,114,0
25,15,8.407,2.635,88.833,0.125,0,0,121,0
25,15,7.595,2.658,89.620,0.127,0,0,148,0
25,15,8.135,3.004,88.861,0,0,0,120,0
25,15,7.895,3.258,88.596,0.251,0,0,117,0
25,15,6.827,2.908,90.265,0,0,0,117,0
25,15,8.931,1.761,89.308,0,0,0,130,0
25,15,7.750,2.875,89.250,0.125,0,0,112,0
25,15,6.918,3.145,89.811,0.126,0,0,154,0
25,15,9.465,3.113,87.173,0.249,0,0,145,0
25,15,7.875,4,88,0.125,0,0,133,0
25,15,7.915,2.889,89.196,0,0,0,120,0
25,14,8.105,3.616,88.155,0.125,0,0,119,0
25,14,9.340,2.491,88.045,0.125,0,0,116,0
25,14,8.085,3.234,88.682,0,0,0,153,0
25,14,7.197,4.672,88.005,0.126,0,0,113,0
25,14,7.945,2.522,89.407,0.126,0,0,119,0
25,14,8.125,3.250,88.500,0.125,0,0,122,0
25,14,6.760,2.679,90.561,0,0,0,118,0
25,14,8.020,2.882,88.972,0.125,0,0,115,0
25,14,9.548,2.889,87.437,0.126,0,0,168,0
25,14,7.296,3.396,89.308,0,0,0,121,0
25,14,9.080,4.975,85.821,0.124,0,0,129,0
25,14,8.647,2.882,88.346,0.125,0,0,120,0
25,14,8.260,3.004,88.611,0.125,0,0,114,0
25,14,8.375,3.125,88.375,0.125,0,0,117,0
25,14,8.761,3.254,87.985,0,0,0,160,0
25,14,7.305,3.275,89.295,0.126,0,0,115,0
25,14,8.010,2.879,89.111,0,0,0,115,0
25,14,8.761,3.129,87.985,0.125,0,0,112,0
25,14,8.156,2.886,88.833,0.125,0,0,118,0
25,14,8.864,3.121,88.015,0,0,0,136,0
25,14,7.779,3.011,89.084,0.125,0,0,139,0
25,14,8.145,2.632,89.098,0.125,0,0,120,0
25,14,9.080,3.109,87.811,0,0,0,118,0
25,14,7.500,4.375,88,0.125,0,0,116,0
25,14,7.789,3.266,88.945,0,0,0,118,0
25,14,7.375,3.875,88.625,0.125,0,0,119,0
25,14,8.933,3.474,87.593,0,0,0,146,0
25,14,8.827,2.396,88.651,0.126,0,0,130,0
25,14,8.260,3.379,88.360,0,0,0,117,0
25,14,9.215,3.362,87.298,0.125,0,0,142,0
25,14,8.561,3.846,87.345,0.248,0,0,135,0
25,14,8.966,2.615,88.294,0.125,0,0,115,0
25,14,8.500,3.125,88.375,0,0,0,155,0
