"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/unix_page_time_io_aio_raw.csv --unix --page --time --io --aio --raw 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"unix sockets",,,,"paging",,"system","io/total",,"async","raw"
56,874,54,820,0,0,22-03 22:14:13,0,0,0,0
56,874,54,820,0,0,22-03 22:14:14,0,0,0,0
56,874,54,820,0,0,22-03 22:14:15,0,26,0,0
56,874,54,820,0,0,22-03 22:14:16,0,0,0,0
56,874,54,820,0,0,22-03 22:14:17,0,0,0,0
56,874,54,820,0,0,22-03 22:14:18,0,0,0,0
56,874,54,820,0,0,22-03 22:14:19,0,0,0,0
56,874,54,820,0,0,22-03 22:14:20,0,0,0,0
56,874,54,820,0,0,22-03 22:14:21,0,16,0,0
56,874,54,820,0,0,22-03 22:14:22,0,0,0,0
56,874,54,820,0,0,22-03 22:14:23,0,0,0,0
56,874,54,820,0,0,22-03 22:14:24,0,0,0,0
56,874,54,820,0,0,22-03 22:14:25,0,0,0,0
56,874,54,820,0,0,22-03 22:14:26,0,40,0,0
56,874,54,820,0,0,22-03 22:14:27,0,0,0,0
56,874,54,820,0,0,22-03 22:14:28,0,16,0,0
56,874,54,820,0,0,22-03 22:14:29,0,0,0,0
56,874,54,820,0,0,22-03 22:14:30,0,4,0,0
56,874,54,820,0,0,22-03 22:14:31,0,40,0,0
56,874,54,820,0,0,22-03 22:14:32,0,0,0,0
56,874,54,820,0,0,22-03 22:14:33,0,0,0,0
56,874,54,820,0,0,22-03 22:14:34,0,0,0,0
56,874,54,820,0,0,22-03 22:14:35,2,636,0,0
56,874,54,820,0,0,22-03 22:14:36,0,0,0,0
56,874,54,820,0,0,22-03 22:14:37,0,30,0,0
56,874,54,820,0,0,22-03 22:14:38,0,0,0,0
56,874,54,820,0,0,22-03 22:14:39,0,0,0,0
56,874,54,820,0,0,22-03 22:14:40,0,0,0,0
56,874,54,820,0,0,22-03 22:14:41,0,44,0,0
56,874,54,820,0,0,22-03 22:14:42,0,28,0,0
56,874,54,820,0,0,22-03 22:14:43,0,0,0,0
56,874,54,820,0,0,22-03 22:14:44,0,0,0,0
56,874,54,820,0,0,22-03 22:14:45,0,0,0,0
56,874,54,820,0,0,22-03 22:14:46,0,32,0,0
56,874,54,820,0,0,22-03 22:14:47,0,0,0,0
56,874,54,820,0,0,22-03 22:14:48,0,16,0,0
56,874,54,820,0,0,22-03 22:14:49,0,0,0,0
56,874,54,820,0,0,22-03 22:14:50,0,0,0,0
56,874,54,820,0,0,22-03 22:14:51,0,26,0,0
56,874,54,820,0,0,22-03 22:14:52,0,0,0,0
56,874,54,820,0,0,22-03 22:14:53,0,0,0,0
56,874,54,820,0,0,22-03 22:14:54,0,14,0,0
56,874,54,820,0,0,22-03 22:14:55,0,0,0,0
56,874,54,820,0,0,22-03 22:14:56,0,64,0,0
56,874,54,820,0,0,22-03 22:14:57,0,0,0,0
56,874,54,820,0,0,22-03 22:14:58,0,0,0,0
56,874,54,820,0,0,22-03 22:14:59,0,0,0,0
56,874,54,820,0,0,22-03 22:15:00,0,18,0,0
56,874,54,820,0,0,22-03 22:15:01,0,46,0,0
56,874,54,820,0,0,22-03 22:15:02,2,0,0,0
56,874,54,820,0,0,22-03 22:15:03,0,0,0,0
56,874,54,820,0,0,22-03 22:15:04,0,56,0,0
56,874,54,820,0,0,22-03 22:15:05,0,0,0,0
56,874,54,820,0,0,22-03 22:15:06,0,156,0,0
56,874,54,820,0,0,22-03 22:15:07,0,0,0,0
56,874,54,820,0,0,22-03 22:15:08,0,0,0,0
56,874,54,820,0,0,22-03 22:15:09,0,0,0,0
56,874,54,820,0,0,22-03 22:15:10,0,22,0,0
56,874,54,820,0,0,22-03 22:15:11,0,396,0,0
56,874,54,820,0,0,22-03 22:15:12,0,0,0,0
56,874,54,820,0,0,22-03 22:15:13,0,0,0,0
56,874,54,820,0,0,22-03 22:15:14,0,0,0,0
56,874,54,820,0,0,22-03 22:15:15,0,28,0,0
56,874,54,820,0,0,22-03 22:15:16,0,300,0,0
56,874,54,820,0,0,22-03 22:15:17,0,0,0,0
56,874,54,820,0,0,22-03 22:15:18,0,0,0,0
56,874,54,820,0,0,22-03 22:15:19,0,0,0,0
56,874,54,820,0,0,22-03 22:15:20,0,0,0,0
56,874,54,820,0,0,22-03 22:15:21,0,26,0,0
56,874,54,820,0,0,22-03 22:15:22,0,26,0,0
56,874,54,820,0,0,22-03 22:15:23,0,0,0,0
56,874,54,820,0,0,22-03 22:15:24,0,0,0,0
56,874,54,820,0,0,22-03 22:15:25,0,0,0,0
56,874,54,820,0,0,22-03 22:15:26,0,28,0,0
56,874,54,820,0,0,22-03 22:15:27,0,52,0,0
56,874,54,820,0,0,22-03 22:15:28,0,0,0,0
56,874,54,820,0,0,22-03 22:15:29,0,0,0,0
56,874,54,820,0,0,22-03 22:15:30,0,0,0,0
56,874,54,820,0,0,22-03 22:15:31,0,0,0,0
56,874,54,820,0,0,22-03 22:15:32,4,116,0,0
56,874,54,820,0,0,22-03 22:15:33,0,0,0,0
56,874,54,820,0,0,22-03 22:15:34,0,0,0,0
56,874,54,820,0,0,22-03 22:15:35,0,0,0,0
56,874,54,820,0,0,22-03 22:15:36,0,0,0,0
56,874,54,820,0,0,22-03 22:15:37,6,244,0,0
56,874,54,820,0,0,22-03 22:15:38,0,0,0,0
56,874,54,820,0,0,22-03 22:15:39,0,0,0,0
56,874,54,820,0,0,22-03 22:15:40,0,0,0,0
56,874,54,820,0,0,22-03 22:15:41,0,0,0,0
56,874,54,820,0,0,22-03 22:15:42,0,40,0,0
56,874,54,820,0,0,22-03 22:15:43,0,0,0,0
56,874,54,820,0,0,22-03 22:15:44,0,0,0,0
56,876,54,822,0,0,22-03 22:15:45,0,0,0,0
56,874,54,820,0,0,22-03 22:15:46,0,0,0,0
56,874,54,820,0,0,22-03 22:15:47,2,466,0,0
56,874,54,820,0,0,22-03 22:15:48,0,0,0,0
56,874,54,820,0,0,22-03 22:15:49,0,0,0,0
56,874,54,820,0,0,22-03 22:15:50,0,0,0,0
56,874,54,820,0,0,22-03 22:15:51,0,0,0,0
56,874,54,820,0,0,22-03 22:15:52,0,198,0,0
56,874,54,820,0,0,22-03 22:15:53,0,0,0,0
56,874,54,820,0,0,22-03 22:15:54,0,0,0,0
56,888,54,834,0,0,22-03 22:15:55,0,54,0,0
56,890,54,836,0,0,22-03 22:15:56,0,238,0,0
56,890,54,836,0,0,22-03 22:15:57,0,384,0,0
56,890,54,836,0,0,22-03 22:15:58,0,0,0,0
56,890,54,836,0,0,22-03 22:15:59,0,210,0,0
56,890,54,836,0,0,22-03 22:16:00,0,0,0,0
56,890,54,836,0,0,22-03 22:16:01,0,0,0,0
56,890,54,836,0,0,22-03 22:16:02,0,0,0,0
56,890,54,836,0,0,22-03 22:16:03,0,32,0,0
56,890,54,836,0,0,22-03 22:16:04,0,0,0,0
56,890,54,836,0,0,22-03 22:16:05,0,46,0,0
56,890,54,836,0,0,22-03 22:16:06,0,0,0,0
56,890,54,836,0,0,22-03 22:16:07,0,0,0,0
56,890,54,836,0,0,22-03 22:16:08,0,70,0,0
56,890,54,836,0,0,22-03 22:16:09,0,0,0,0
56,890,54,836,0,0,22-03 22:16:10,0,50,0,0
56,890,54,836,0,0,22-03 22:16:11,0,0,0,0
56,890,54,836,0,0,22-03 22:16:12,0,0,0,0
56,890,54,836,0,0,22-03 22:16:13,0,26,0,0
56,884,54,830,0,0,22-03 22:16:14,0,0,0,0
56,874,54,820,0,0,22-03 22:16:15,0,14,0,0
56,874,54,820,0,0,22-03 22:16:16,0,0,0,0
56,874,54,820,0,0,22-03 22:16:17,0,22,0,0
56,874,54,820,0,0,22-03 22:16:18,0,54,0,0
56,874,54,820,0,0,22-03 22:16:19,0,0,0,0
56,874,54,820,0,0,22-03 22:16:20,0,0,0,0
56,874,54,820,0,0,22-03 22:16:21,0,16,0,0
56,874,54,820,0,0,22-03 22:16:22,0,0,0,0
56,874,54,820,0,0,22-03 22:16:23,0,462,0,0
56,874,54,820,0,0,22-03 22:16:24,0,0,0,0
56,874,54,820,0,0,22-03 22:16:25,0,100,0,0
56,874,54,820,0,0,22-03 22:16:26,0,30,0,0
56,874,54,820,0,0,22-03 22:16:27,0,0,0,0
56,874,54,820,0,0,22-03 22:16:28,0,142,0,0
56,874,54,820,0,0,22-03 22:16:29,0,0,0,0
56,874,54,820,0,0,22-03 22:16:30,0,0,0,0
56,874,54,820,0,0,22-03 22:16:31,0,44,0,0
56,874,54,820,0,0,22-03 22:16:32,0,0,0,0
56,874,54,820,0,0,22-03 22:16:33,0,268,0,0
56,874,54,820,0,0,22-03 22:16:34,0,0,0,0
56,874,54,820,0,0,22-03 22:16:35,0,0,0,0
56,874,54,820,0,0,22-03 22:16:36,0,22,0,0
56,874,54,820,0,0,22-03 22:16:37,0,0,0,0
56,874,54,820,0,0,22-03 22:16:38,0,32,0,0
56,874,54,820,0,0,22-03 22:16:39,0,0,0,0
56,874,54,820,0,0,22-03 22:16:40,0,0,0,0
56,874,54,820,0,0,22-03 22:16:41,0,34,0,0
56,874,54,820,0,0,22-03 22:16:42,0,0,0,0
56,874,54,820,0,0,22-03 22:16:43,0,42,0,0
56,874,54,820,0,0,22-03 22:16:44,0,0,0,0
56,874,54,820,0,0,22-03 22:16:45,0,0,0,0
56,874,54,820,0,0,22-03 22:16:46,0,0,0,0
56,874,54,820,0,0,22-03 22:16:47,0,20,0,0
56,874,54,820,0,0,22-03 22:16:48,0,0,0,0
56,874,54,820,0,0,22-03 22:16:49,0,44,0,0
56,874,54,820,0,0,22-03 22:16:50,0,0,0,0
56,874,54,820,0,0,22-03 22:16:51,0,0,0,0
56,874,54,820,0,0,22-03 22:16:52,0,0,0,0
56,874,54,820,0,0,22-03 22:16:53,0,40,0,0
56,874,54,820,0,0,22-03 22:16:54,0,54,0,0
56,874,54,820,0,0,22-03 22:16:55,0,0,0,0
56,874,54,820,0,0,22-03 22:16:56,0,0,0,0
56,874,54,820,0,0,22-03 22:16:57,0,0,0,0
56,874,54,820,0,0,22-03 22:16:58,0,0,0,0
56,874,54,820,0,0,22-03 22:16:59,0,436,0,0
56,874,54,820,0,0,22-03 22:17:00,0,0,0,0
56,874,54,820,0,0,22-03 22:17:01,0,0,0,0
56,874,54,820,0,0,22-03 22:17:02,0,0,0,0
56,876,54,822,0,0,22-03 22:17:03,0,0,0,0
56,874,54,820,0,0,22-03 22:17:04,0,92,0,0
56,874,54,820,0,0,22-03 22:17:05,0,0,0,0
56,874,54,820,0,0,22-03 22:17:06,0,0,0,0
56,874,54,820,0,0,22-03 22:17:07,0,0,0,0
56,874,54,820,0,0,22-03 22:17:08,0,0,0,0
56,874,54,820,0,0,22-03 22:17:09,0,392,0,0
56,874,54,820,0,0,22-03 22:17:10,0,30,0,0
56,874,54,820,0,0,22-03 22:17:11,0,0,0,0
56,874,54,820,0,0,22-03 22:17:12,0,0,0,0
56,874,54,820,0,0,22-03 22:17:13,0,0,0,0
56,874,54,820,0,0,22-03 22:17:14,0,36,0,0
56,874,54,820,0,0,22-03 22:17:15,0,0,0,0
56,874,54,820,0,0,22-03 22:17:16,0,40,0,0
56,874,54,820,0,0,22-03 22:17:17,0,0,0,0
56,874,54,820,0,0,22-03 22:17:18,0,0,0,0
56,874,54,820,0,0,22-03 22:17:19,0,24,0,0
56,874,54,820,0,0,22-03 22:17:20,0,0,0,0
56,874,54,820,0,0,22-03 22:17:21,0,0,0,0
56,874,54,820,0,0,22-03 22:17:22,0,18,0,0
56,874,54,820,0,0,22-03 22:17:23,0,0,0,0
56,874,54,820,0,0,22-03 22:17:24,6,64,0,0
56,874,54,820,0,0,22-03 22:17:25,0,0,0,0
56,874,54,820,0,0,22-03 22:17:26,0,0,0,0
56,874,54,820,0,0,22-03 22:17:27,0,0,0,0
56,874,54,820,0,0,22-03 22:17:28,0,40,0,0
56,874,54,820,0,0,22-03 22:17:29,0,0,0,0
56,874,54,820,0,0,22-03 22:17:30,4,386,0,0
56,874,54,820,0,0,22-03 22:17:31,0,0,0,0
56,874,54,820,0,0,22-03 22:17:32,0,0,0,0
56,874,54,820,0,0,22-03 22:17:33,0,40,0,0
56,874,54,820,0,0,22-03 22:17:34,0,0,0,0
56,874,54,820,0,0,22-03 22:17:35,2,82,0,0
56,874,54,820,0,0,22-03 22:17:36,0,0,0,0
56,874,54,820,0,0,22-03 22:17:37,0,48,0,0
56,874,54,820,0,0,22-03 22:17:38,0,0,0,0
56,874,54,820,0,0,22-03 22:17:39,0,0,0,0
56,876,54,822,0,0,22-03 22:17:40,0,30,0,0
56,876,54,822,0,0,22-03 22:17:41,0,0,0,0
56,876,54,822,0,0,22-03 22:17:42,0,0,0,0
56,876,54,822,0,0,22-03 22:17:43,0,38,0,0
56,876,54,822,0,0,22-03 22:17:44,0,0,0,0
56,876,54,822,0,0,22-03 22:17:45,0,284,0,0
56,876,54,822,0,0,22-03 22:17:46,0,0,0,0
56,876,54,822,0,0,22-03 22:17:47,0,0,0,0
56,876,54,822,0,0,22-03 22:17:48,0,0,0,0
56,876,54,822,0,0,22-03 22:17:49,0,26,0,0
56,876,54,822,0,0,22-03 22:17:50,2,42,0,0
56,876,54,822,0,0,22-03 22:17:51,0,0,0,0
56,876,54,822,0,0,22-03 22:17:52,0,0,0,0
56,876,54,822,0,0,22-03 22:17:53,0,0,0,0
56,876,54,822,0,0,22-03 22:17:54,0,40,0,0
56,876,54,822,0,0,22-03 22:17:55,6,114,0,0
56,876,54,822,0,0,22-03 22:17:56,0,0,0,0
56,876,54,822,0,0,22-03 22:17:57,0,0,0,0
56,876,54,822,0,0,22-03 22:17:58,0,0,0,0
56,876,54,822,0,0,22-03 22:17:59,0,26,0,0
56,874,54,820,0,0,22-03 22:18:00,4,98,0,0
56,874,54,820,0,0,22-03 22:18:01,0,0,0,0
56,874,54,820,0,0,22-03 22:18:02,0,0,0,0
56,874,54,820,0,0,22-03 22:18:03,0,0,0,0
56,874,54,820,0,0,22-03 22:18:04,0,16,0,0
56,874,54,820,0,0,22-03 22:18:05,0,324,0,0
56,874,54,820,0,0,22-03 22:18:06,0,0,0,0
56,874,54,820,0,0,22-03 22:18:07,0,0,0,0
56,874,54,820,0,0,22-03 22:18:08,0,0,0,0
56,874,54,820,0,0,22-03 22:18:09,0,0,0,0
56,874,54,820,0,0,22-03 22:18:10,0,64,0,0
56,874,54,820,0,0,22-03 22:18:11,0,62,0,0
56,874,54,820,0,0,22-03 22:18:12,0,0,0,0
56,876,54,822,0,0,22-03 22:18:13,0,0,0,0
56,874,54,820,0,0,22-03 22:18:14,0,0,0,0
56,874,54,820,0,0,22-03 22:18:15,0,0,0,0
56,874,54,820,0,0,22-03 22:18:16,0,128,0,0
56,874,54,820,0,0,22-03 22:18:17,0,0,0,0
56,874,54,820,0,0,22-03 22:18:18,0,0,0,0
56,874,54,820,0,0,22-03 22:18:19,0,0,0,0
56,874,54,820,0,0,22-03 22:18:20,0,0,0,0
56,874,54,820,0,0,22-03 22:18:21,0,318,0,0
56,874,54,820,0,0,22-03 22:18:22,0,0,0,0
56,874,54,820,0,0,22-03 22:18:23,0,0,0,0
56,874,54,820,0,0,22-03 22:18:24,0,0,0,0
56,874,54,820,0,0,22-03 22:18:25,0,0,0,0
56,874,54,820,0,0,22-03 22:18:26,0,160,0,0
56,874,54,820,0,0,22-03 22:18:27,0,0,0,0
56,874,54,820,0,0,22-03 22:18:28,0,0,0,0
56,874,54,820,0,0,22-03 22:18:29,0,0,0,0
56,874,54,820,0,0,22-03 22:18:30,0,0,0,0
56,874,54,820,0,0,22-03 22:18:31,0,146,0,0
56,874,54,820,0,0,22-03 22:18:32,0,0,0,0
56,874,54,820,0,0,22-03 22:18:33,0,0,0,0
56,874,54,820,0,0,22-03 22:18:34,0,0,0,0
56,874,54,820,0,0,22-03 22:18:35,0,0,0,0
56,874,54,820,0,0,22-03 22:18:36,0,142,0,0
56,874,54,820,0,0,22-03 22:18:37,0,0,0,0
56,874,54,820,0,0,22-03 22:18:38,0,0,0,0
56,874,54,820,0,0,22-03 22:18:39,0,0,0,0
56,874,54,820,0,0,22-03 22:18:40,0,0,0,0
56,874,54,820,0,0,22-03 22:18:41,0,370,0,0
56,874,54,820,0,0,22-03 22:18:42,0,0,0,0
56,874,54,820,0,0,22-03 22:18:43,0,0,0,0
56,874,54,820,0,0,22-03 22:18:44,0,0,0,0
56,874,54,820,0,0,22-03 22:18:45,0,0,0,0
56,874,54,820,0,0,22-03 22:18:46,0,98,0,0
56,874,54,820,0,0,22-03 22:18:47,0,0,0,0
56,874,54,820,0,0,22-03 22:18:48,0,0,0,0
56,874,54,820,0,0,22-03 22:18:49,0,0,0,0
56,874,54,820,0,0,22-03 22:18:50,0,0,0,0
56,874,54,820,0,0,22-03 22:18:51,0,38,0,0
56,874,54,820,0,0,22-03 22:18:52,0,0,0,0
56,874,54,820,0,0,22-03 22:18:53,0,0,0,0
56,874,54,820,0,0,22-03 22:18:54,0,0,0,0
56,874,54,820,0,0,22-03 22:18:55,0,0,0,0
56,874,54,820,0,0,22-03 22:18:56,0,0,0,0
56,874,54,820,0,0,22-03 22:18:57,0,376,0,0
56,874,54,820,0,0,22-03 22:18:58,0,0,0,0
56,874,54,820,0,0,22-03 22:18:59,0,0,0,0
56,874,54,820,0,0,22-03 22:19:00,0,0,0,0
56,874,54,820,0,0,22-03 22:19:01,0,0,0,0
56,874,54,820,0,0,22-03 22:19:02,0,202,0,0
56,874,54,820,0,0,22-03 22:19:03,0,14,0,0
56,874,54,820,0,0,22-03 22:19:04,0,46,0,0
56,874,54,820,0,0,22-03 22:19:05,0,0,0,0
56,874,54,820,0,0,22-03 22:19:06,0,0,0,0
56,874,54,820,0,0,22-03 22:19:07,0,42,0,0
56,874,54,820,0,0,22-03 22:19:08,0,0,0,0
56,874,54,820,0,0,22-03 22:19:09,0,0,0,0
56,874,54,820,0,0,22-03 22:19:10,0,12,0,0
56,874,54,820,0,0,22-03 22:19:11,0,0,0,0
56,874,54,820,0,0,22-03 22:19:12,0,116,0,0
56,874,54,820,0,0,22-03 22:19:13,0,0,0,0
56,874,54,820,0,0,22-03 22:19:14,0,0,0,0
56,874,54,820,0,0,22-03 22:19:15,0,40,0,0
56,874,54,820,0,0,22-03 22:19:16,0,0,0,0
56,874,54,820,0,0,22-03 22:19:17,4,316,0,0
56,874,54,820,0,0,22-03 22:19:18,0,0,0,0
56,874,54,820,0,0,22-03 22:19:19,0,0,0,0
56,874,54,820,0,0,22-03 22:19:20,0,0,0,0
56,874,54,820,0,0,22-03 22:19:21,0,20,0,0
56,874,54,820,0,0,22-03 22:19:22,4,76,0,0
56,874,54,820,0,0,22-03 22:19:23,0,0,0,0
56,874,54,820,0,0,22-03 22:19:24,0,0,0,0
56,874,54,820,0,0,22-03 22:19:25,0,0,0,0
56,874,54,820,0,0,22-03 22:19:26,0,16,0,0
56,874,54,820,0,0,22-03 22:19:27,0,28,0,0
56,874,54,820,0,0,22-03 22:19:28,0,0,0,0
56,874,54,820,0,0,22-03 22:19:29,0,0,0,0
56,874,54,820,0,0,22-03 22:19:30,0,0,0,0
56,874,54,820,0,0,22-03 22:19:31,0,0,0,0
56,874,54,820,0,0,22-03 22:19:32,0,288,0,0
56,874,54,820,0,0,22-03 22:19:33,0,0,0,0
56,874,54,820,0,0,22-03 22:19:34,0,0,0,0
56,874,54,820,0,0,22-03 22:19:35,0,0,0,0
56,874,54,820,0,0,22-03 22:19:36,0,0,0,0
56,874,54,820,0,0,22-03 22:19:37,0,22,0,0
56,874,54,820,0,0,22-03 22:19:38,0,150,0,0
56,874,54,820,0,0,22-03 22:19:39,0,0,0,0
56,874,54,820,0,0,22-03 22:19:40,0,0,0,0
56,874,54,820,0,0,22-03 22:19:41,0,0,0,0
56,874,54,820,0,0,22-03 22:19:42,0,0,0,0
56,874,54,820,0,0,22-03 22:19:43,0,70,0,0
56,874,54,820,0,0,22-03 22:19:44,0,0,0,0
56,874,54,820,0,0,22-03 22:19:45,0,0,0,0
56,874,54,820,0,0,22-03 22:19:46,0,0,0,0
56,874,54,820,0,0,22-03 22:19:47,0,0,0,0
56,874,54,820,0,0,22-03 22:19:48,0,152,0,0
56,874,54,820,0,0,22-03 22:19:49,0,0,0,0
56,874,54,820,0,0,22-03 22:19:50,0,0,0,0
56,874,54,820,0,0,22-03 22:19:51,0,0,0,0
56,874,54,820,0,0,22-03 22:19:52,0,0,0,0
56,876,54,822,0,0,22-03 22:19:53,0,362,0,0
56,876,54,822,0,0,22-03 22:19:54,0,0,0,0
56,876,54,822,0,0,22-03 22:19:55,0,0,0,0
56,874,54,820,0,0,22-03 22:19:56,0,0,0,0
56,874,54,820,0,0,22-03 22:19:57,0,0,0,0
56,874,54,820,0,0,22-03 22:19:58,2,96,0,0
56,874,54,820,0,0,22-03 22:19:59,0,0,0,0
56,874,54,820,0,0,22-03 22:20:00,0,0,0,0
56,874,54,820,0,0,22-03 22:20:01,0,0,0,0
56,874,54,820,0,0,22-03 22:20:02,0,0,0,0
56,874,54,820,0,0,22-03 22:20:03,6,134,0,0
56,876,54,822,0,0,22-03 22:20:04,0,0,0,0
56,874,54,820,0,0,22-03 22:20:05,0,0,0,0
56,874,54,820,0,0,22-03 22:20:06,0,0,0,0
56,874,54,820,0,0,22-03 22:20:07,0,0,0,0
56,874,54,820,0,0,22-03 22:20:08,2,82,0,0
56,874,54,820,0,0,22-03 22:20:09,0,0,0,0
56,874,54,820,0,0,22-03 22:20:10,0,0,0,0
56,874,54,820,0,0,22-03 22:20:11,0,44,0,0
56,874,54,820,0,0,22-03 22:20:12,0,0,0,0
56,874,54,820,0,0,22-03 22:20:13,0,294,0,0
56,874,54,820,0,0,22-03 22:20:14,0,0,0,0
56,874,54,820,0,0,22-03 22:20:15,0,0,0,0
56,874,54,820,0,0,22-03 22:20:16,0,32,0,0
56,874,54,820,0,0,22-03 22:20:17,0,0,0,0
56,874,54,820,0,0,22-03 22:20:18,0,0,0,0
56,874,54,820,0,0,22-03 22:20:19,0,48,0,0
56,874,54,820,0,0,22-03 22:20:20,0,0,0,0
56,874,54,820,0,0,22-03 22:20:21,0,0,0,0
56,874,54,820,0,0,22-03 22:20:22,0,18,0,0
56,874,54,820,0,0,22-03 22:20:23,0,0,0,0
56,874,54,820,0,0,22-03 22:20:24,0,80,0,0
56,874,54,820,0,0,22-03 22:20:25,0,0,0,0
56,874,54,820,0,0,22-03 22:20:26,0,0,0,0
56,874,54,820,0,0,22-03 22:20:27,0,22,0,0
56,874,54,820,0,0,22-03 22:20:28,0,0,0,0
56,874,54,820,0,0,22-03 22:20:29,0,252,0,0
56,874,54,820,0,0,22-03 22:20:30,0,0,0,0
56,874,54,820,0,0,22-03 22:20:31,0,0,0,0
56,874,54,820,0,0,22-03 22:20:32,0,0,0,0
56,874,54,820,0,0,22-03 22:20:33,0,40,0,0
56,874,54,820,0,0,22-03 22:20:34,0,152,0,0
56,874,54,820,0,0,22-03 22:20:35,0,0,0,0
56,874,54,820,0,0,22-03 22:20:36,0,0,0,0
56,874,54,820,0,0,22-03 22:20:37,0,0,0,0
56,874,54,820,0,0,22-03 22:20:38,0,18,0,0
56,874,54,820,0,0,22-03 22:20:39,4,68,0,0
56,874,54,820,0,0,22-03 22:20:40,0,0,0,0
56,874,54,820,0,0,22-03 22:20:41,0,0,0,0
56,874,54,820,0,0,22-03 22:20:42,0,0,0,0
