"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/tpc.csv --time --tcp 1 600",,,,"Date:","22 Mar 2023 22:03:09 -03"
"system","tcp sockets",,,,
22-03 22:04:28,7,8,0,6,2
22-03 22:04:29,7,8,0,6,2
22-03 22:04:30,7,8,0,7,2
22-03 22:04:31,7,8,0,7,2
22-03 22:04:32,7,8,0,7,2
22-03 22:04:33,7,8,0,7,2
22-03 22:04:34,7,8,0,7,2
22-03 22:04:35,7,8,0,7,2
22-03 22:04:36,7,8,0,7,2
22-03 22:04:37,7,8,0,6,2
22-03 22:04:38,7,8,0,6,2
22-03 22:04:39,7,8,0,6,2
22-03 22:04:40,7,8,0,6,2
22-03 22:04:41,7,8,0,7,2
22-03 22:04:42,7,8,0,7,2
22-03 22:04:43,7,8,0,7,2
22-03 22:04:44,7,8,0,7,2
22-03 22:04:45,7,8,0,7,2
22-03 22:04:46,7,8,0,7,2
22-03 22:04:47,7,8,0,6,2
22-03 22:04:48,7,8,0,6,2
22-03 22:04:49,7,8,0,6,2
22-03 22:04:50,7,9,1,6,2
22-03 22:04:51,7,10,0,6,2
22-03 22:04:52,7,8,0,7,2
22-03 22:04:53,7,8,0,7,2
22-03 22:04:54,7,8,0,7,2
22-03 22:04:55,7,8,0,7,2
22-03 22:04:56,7,8,0,7,2
22-03 22:04:57,7,8,0,7,2
22-03 22:04:58,7,8,0,7,2
22-03 22:04:59,7,8,0,6,2
22-03 22:05:00,7,8,0,6,2
22-03 22:05:01,7,8,0,6,2
22-03 22:05:02,7,7,1,6,3
22-03 22:05:03,7,8,0,7,2
22-03 22:05:04,7,8,0,7,2
22-03 22:05:05,7,8,0,7,2
22-03 22:05:06,7,8,0,7,2
22-03 22:05:07,7,8,0,7,2
22-03 22:05:08,7,8,0,7,2
22-03 22:05:09,7,8,0,6,2
22-03 22:05:10,7,8,0,6,2
22-03 22:05:11,7,8,0,6,2
22-03 22:05:12,7,8,0,6,2
22-03 22:05:13,7,9,1,6,1
22-03 22:05:14,7,10,0,7,1
22-03 22:05:15,7,10,0,7,1
22-03 22:05:16,7,10,0,7,1
22-03 22:05:17,7,10,0,7,1
22-03 22:05:18,7,10,0,7,1
22-03 22:05:19,7,10,0,7,1
22-03 22:05:20,7,10,0,6,1
22-03 22:05:21,7,10,0,6,1
22-03 22:05:22,7,10,0,6,1
22-03 22:05:23,7,10,0,6,1
22-03 22:05:24,7,8,0,6,2
22-03 22:05:25,7,10,0,7,1
22-03 22:05:26,7,10,0,7,1
22-03 22:05:27,7,10,0,7,1
22-03 22:05:28,7,10,0,7,1
22-03 22:05:29,7,10,0,7,1
22-03 22:05:30,7,10,0,7,1
22-03 22:05:31,7,10,0,7,1
22-03 22:05:32,7,10,0,6,1
22-03 22:05:33,7,10,0,6,1
22-03 22:05:34,7,10,0,6,1
22-03 22:05:35,7,9,1,6,2
22-03 22:05:36,7,10,0,7,1
22-03 22:05:37,7,10,0,7,1
22-03 22:05:38,7,10,0,7,1
22-03 22:05:39,7,10,0,7,1
22-03 22:05:40,7,10,0,7,1
22-03 22:05:41,7,10,0,7,1
22-03 22:05:42,7,10,0,6,1
22-03 22:05:43,7,10,0,6,1
22-03 22:05:44,7,10,0,6,1
22-03 22:05:45,7,10,0,6,1
22-03 22:05:46,7,10,0,6,1
22-03 22:05:47,7,10,0,6,1
22-03 22:05:48,7,10,0,7,1
22-03 22:05:49,7,10,0,7,1
22-03 22:05:50,7,10,0,7,1
22-03 22:05:51,7,10,0,7,1
22-03 22:05:52,7,10,0,6,1
22-03 22:05:53,7,10,0,6,1
22-03 22:05:54,7,10,0,6,1
22-03 22:05:55,7,10,0,6,1
22-03 22:05:56,7,10,0,6,1
22-03 22:05:57,7,10,0,6,1
22-03 22:05:58,7,8,1,6,2
22-03 22:05:59,7,10,0,7,1
22-03 22:06:00,7,10,0,7,1
22-03 22:06:01,7,10,0,7,1
22-03 22:06:02,7,10,0,7,1
22-03 22:06:03,7,10,0,7,1
22-03 22:06:04,7,10,0,7,1
22-03 22:06:05,7,10,0,6,1
22-03 22:06:06,7,10,0,6,1
22-03 22:06:07,7,10,0,6,1
22-03 22:06:08,7,10,0,6,1
22-03 22:06:09,7,8,1,6,2
22-03 22:06:10,7,10,0,7,1
22-03 22:06:11,7,10,0,7,1
22-03 22:06:12,7,10,0,7,1
22-03 22:06:13,7,10,0,7,1
22-03 22:06:14,7,10,0,7,1
22-03 22:06:15,7,10,0,6,1
22-03 22:06:16,7,10,0,6,1
22-03 22:06:17,7,10,0,6,1
22-03 22:06:18,7,10,0,6,1
22-03 22:06:19,7,8,0,6,2
22-03 22:06:20,7,8,0,7,2
22-03 22:06:21,7,8,0,7,2
22-03 22:06:22,7,8,0,7,2
22-03 22:06:23,7,8,0,7,2
22-03 22:06:24,7,8,0,7,2
22-03 22:06:25,7,8,0,6,2
22-03 22:06:26,7,8,0,6,2
22-03 22:06:27,7,8,0,6,2
22-03 22:06:28,7,8,0,6,2
22-03 22:06:29,7,8,0,6,2
22-03 22:06:30,7,8,0,6,2
22-03 22:06:31,7,8,0,7,2
22-03 22:06:32,7,8,0,7,2
22-03 22:06:33,7,8,0,7,2
22-03 22:06:34,7,8,0,7,2
22-03 22:06:35,7,8,0,7,2
22-03 22:06:36,7,8,0,7,2
22-03 22:06:37,7,8,0,6,2
22-03 22:06:38,7,9,0,6,2
22-03 22:06:39,7,8,0,7,2
22-03 22:06:40,7,8,0,7,2
22-03 22:06:41,7,8,0,7,2
22-03 22:06:42,7,8,0,8,2
22-03 22:06:43,7,8,0,8,2
22-03 22:06:44,7,8,0,8,2
22-03 22:06:45,7,8,0,8,2
22-03 22:06:46,7,8,0,8,2
22-03 22:06:47,7,8,0,8,2
22-03 22:06:48,7,8,0,8,2
22-03 22:06:49,7,8,0,8,2
22-03 22:06:50,7,8,0,7,2
22-03 22:06:51,7,8,0,7,2
22-03 22:06:52,7,8,0,7,2
22-03 22:06:53,7,8,0,8,2
22-03 22:06:54,7,8,0,8,2
22-03 22:06:55,7,8,0,8,2
22-03 22:06:56,7,8,0,8,2
22-03 22:06:57,7,8,0,8,2
22-03 22:06:58,7,8,0,8,2
22-03 22:06:59,7,8,0,8,2
22-03 22:07:00,7,8,0,7,2
22-03 22:07:01,7,8,0,7,2
22-03 22:07:02,7,8,0,7,2
22-03 22:07:03,7,8,0,7,2
22-03 22:07:04,7,8,0,8,2
22-03 22:07:05,7,8,0,8,2
22-03 22:07:06,7,8,0,8,2
22-03 22:07:07,7,8,0,8,2
22-03 22:07:08,7,8,0,8,2
22-03 22:07:09,7,8,0,8,2
22-03 22:07:10,7,8,0,7,2
22-03 22:07:11,7,8,0,7,2
22-03 22:07:12,7,8,0,7,2
22-03 22:07:13,7,8,0,7,2
22-03 22:07:14,7,8,0,7,2
22-03 22:07:15,7,8,0,8,2
22-03 22:07:16,7,8,0,8,2
22-03 22:07:17,7,8,0,8,2
22-03 22:07:18,7,8,0,8,2
22-03 22:07:19,7,8,0,8,2
22-03 22:07:20,7,8,0,8,2
22-03 22:07:21,7,8,0,8,2
22-03 22:07:22,7,9,1,7,1
22-03 22:07:23,7,10,0,7,1
22-03 22:07:24,7,10,0,7,1
22-03 22:07:25,7,10,0,7,1
22-03 22:07:26,7,10,0,8,1
22-03 22:07:27,7,12,0,8,0
22-03 22:07:28,7,12,0,9,0
22-03 22:07:29,7,12,0,8,0
22-03 22:07:30,7,12,0,8,0
22-03 22:07:31,7,12,0,8,0
22-03 22:07:32,7,12,0,8,0
22-03 22:07:33,7,12,0,7,0
22-03 22:07:34,7,12,0,7,0
22-03 22:07:35,7,12,0,7,0
22-03 22:07:36,7,10,1,7,1
22-03 22:07:37,7,12,0,8,0
22-03 22:07:38,7,12,0,8,0
22-03 22:07:39,7,12,0,8,0
22-03 22:07:40,7,12,0,8,0
22-03 22:07:41,7,12,1,7,0
22-03 22:07:42,7,12,1,7,0
22-03 22:07:43,7,12,1,6,0
22-03 22:07:44,7,12,1,6,0
22-03 22:07:45,7,12,1,6,0
22-03 22:07:46,7,12,1,6,0
22-03 22:07:47,7,11,2,6,1
22-03 22:07:48,7,12,1,7,0
22-03 22:07:49,7,12,1,7,0
22-03 22:07:50,7,12,1,7,0
22-03 22:07:51,7,12,1,7,0
22-03 22:07:52,7,12,1,7,0
22-03 22:07:53,7,12,1,7,0
22-03 22:07:54,7,12,1,7,0
22-03 22:07:55,7,12,1,6,0
22-03 22:07:56,7,12,1,6,0
22-03 22:07:57,7,12,1,6,0
22-03 22:07:58,7,11,2,6,1
22-03 22:07:59,7,12,1,8,0
22-03 22:08:00,7,12,1,8,0
22-03 22:08:01,7,12,0,8,0
22-03 22:08:02,7,12,0,8,0
22-03 22:08:03,7,12,0,8,0
22-03 22:08:04,7,12,0,8,0
22-03 22:08:05,7,12,0,7,0
22-03 22:08:06,7,12,0,7,0
22-03 22:08:07,7,12,0,7,0
22-03 22:08:08,7,12,0,7,0
22-03 22:08:09,7,12,0,8,0
22-03 22:08:10,7,12,0,8,0
22-03 22:08:11,7,12,0,8,0
22-03 22:08:12,7,12,0,8,0
22-03 22:08:13,7,12,0,8,0
22-03 22:08:14,7,12,0,9,0
22-03 22:08:15,7,12,0,9,0
22-03 22:08:16,7,12,0,8,0
22-03 22:08:17,7,12,0,8,0
22-03 22:08:18,7,12,0,8,0
22-03 22:08:19,7,12,0,8,0
22-03 22:08:20,7,12,0,9,0
22-03 22:08:21,7,12,0,9,0
22-03 22:08:22,7,12,0,9,0
22-03 22:08:23,7,12,0,9,0
22-03 22:08:24,7,12,0,9,0
22-03 22:08:25,7,12,0,9,0
22-03 22:08:26,7,12,0,8,0
22-03 22:08:27,7,12,0,8,0
22-03 22:08:28,7,12,0,8,0
22-03 22:08:29,7,12,0,8,0
22-03 22:08:30,7,12,0,9,0
22-03 22:08:31,7,12,0,10,0
22-03 22:08:32,7,11,0,10,0
22-03 22:08:33,7,10,0,10,1
22-03 22:08:34,7,10,0,10,1
22-03 22:08:35,7,10,0,10,1
22-03 22:08:36,7,10,0,10,1
22-03 22:08:37,7,10,0,10,1
22-03 22:08:38,7,10,0,9,1
22-03 22:08:39,7,10,0,9,1
22-03 22:08:40,7,10,0,9,1
22-03 22:08:41,7,10,0,9,1
22-03 22:08:42,7,10,0,10,1
22-03 22:08:43,7,10,0,10,1
22-03 22:08:44,7,10,0,10,1
22-03 22:08:45,7,10,0,10,1
22-03 22:08:46,7,10,0,10,1
22-03 22:08:47,7,10,0,10,1
22-03 22:08:48,7,10,0,9,1
22-03 22:08:49,7,10,0,9,1
22-03 22:08:50,7,10,0,9,1
22-03 22:08:51,7,10,0,9,1
22-03 22:08:52,7,10,0,9,1
22-03 22:08:53,7,10,0,10,1
22-03 22:08:54,7,10,0,10,1
22-03 22:08:55,7,10,0,10,1
22-03 22:08:56,7,10,0,10,1
22-03 22:08:57,7,10,0,10,1
22-03 22:08:58,7,10,0,10,1
22-03 22:08:59,7,10,0,9,1
22-03 22:09:00,7,10,0,9,1
22-03 22:09:01,7,10,0,8,1
22-03 22:09:02,7,10,0,8,1
22-03 22:09:03,7,10,0,8,1
22-03 22:09:04,7,10,0,9,1
22-03 22:09:05,7,10,0,9,1
22-03 22:09:06,7,10,0,9,1
22-03 22:09:07,7,10,0,9,1
22-03 22:09:08,7,10,0,9,1
22-03 22:09:09,7,10,0,9,1
22-03 22:09:10,7,10,0,9,1
22-03 22:09:11,7,10,0,8,1
22-03 22:09:12,7,10,0,8,1
22-03 22:09:13,7,10,0,8,1
22-03 22:09:14,7,11,0,8,1
22-03 22:09:15,7,11,0,8,1
22-03 22:09:16,7,11,0,8,1
22-03 22:09:17,7,11,0,8,1
22-03 22:09:18,7,11,0,8,1
22-03 22:09:19,7,11,0,8,1
22-03 22:09:20,7,11,0,8,1
22-03 22:09:21,7,11,0,7,1
22-03 22:09:22,7,11,0,7,1
22-03 22:09:23,7,11,0,7,1
22-03 22:09:24,7,11,0,7,1
22-03 22:09:25,7,11,0,7,1
22-03 22:09:26,7,11,0,8,1
22-03 22:09:27,7,11,0,8,1
22-03 22:09:28,7,11,0,8,1
22-03 22:09:29,7,11,0,7,1
22-03 22:09:30,7,11,0,7,1
22-03 22:09:31,7,11,0,6,1
22-03 22:09:32,7,11,0,6,1
22-03 22:09:33,7,11,0,6,1
22-03 22:09:34,7,9,0,6,2
22-03 22:09:35,7,9,0,6,2
22-03 22:09:36,7,8,1,6,3
22-03 22:09:37,7,9,0,7,2
22-03 22:09:38,7,9,0,7,2
22-03 22:09:39,7,9,0,7,2
22-03 22:09:40,7,9,0,7,2
22-03 22:09:41,7,9,0,7,2
22-03 22:09:42,7,9,0,7,2
22-03 22:09:43,7,9,0,7,2
22-03 22:09:44,7,9,0,6,2
22-03 22:09:45,7,9,0,6,2
22-03 22:09:46,7,9,0,6,2
22-03 22:09:47,7,8,1,6,3
22-03 22:09:48,7,9,0,7,2
22-03 22:09:49,7,9,0,7,2
22-03 22:09:50,7,9,0,7,2
22-03 22:09:51,7,9,0,7,2
22-03 22:09:52,7,11,0,7,2
22-03 22:09:53,7,9,0,7,2
22-03 22:09:54,7,9,0,6,2
22-03 22:09:55,7,9,0,6,2
22-03 22:09:56,7,9,0,6,2
22-03 22:09:57,7,9,0,6,2
22-03 22:09:58,7,9,0,7,2
22-03 22:09:59,7,9,0,7,2
22-03 22:10:00,7,9,0,7,2
22-03 22:10:01,7,9,0,7,2
22-03 22:10:02,7,9,0,7,2
22-03 22:10:03,7,9,0,7,2
22-03 22:10:04,7,9,0,6,2
22-03 22:10:05,7,9,0,6,2
22-03 22:10:06,7,9,0,6,2
22-03 22:10:07,7,9,0,6,2
22-03 22:10:08,7,9,0,6,2
22-03 22:10:09,7,9,0,7,2
22-03 22:10:10,7,9,0,7,2
22-03 22:10:11,7,9,0,7,2
22-03 22:10:12,7,9,0,7,2
22-03 22:10:13,7,11,0,7,1
22-03 22:10:14,7,11,0,7,1
22-03 22:10:15,7,11,0,7,1
22-03 22:10:16,7,11,0,7,1
22-03 22:10:17,7,11,0,6,1
22-03 22:10:18,7,11,0,6,1
22-03 22:10:19,7,11,0,6,1
22-03 22:10:20,7,11,0,7,1
22-03 22:10:21,7,11,0,7,1
22-03 22:10:22,7,11,0,7,1
22-03 22:10:23,7,11,0,7,1
22-03 22:10:24,7,11,0,7,1
22-03 22:10:25,7,11,0,7,1
22-03 22:10:26,7,11,0,7,1
22-03 22:10:27,7,11,0,6,1
22-03 22:10:28,7,11,0,6,1
22-03 22:10:29,7,11,0,6,1
22-03 22:10:30,7,11,0,6,1
22-03 22:10:31,7,11,0,7,1
22-03 22:10:32,7,11,0,7,1
22-03 22:10:33,7,11,0,6,1
22-03 22:10:34,7,11,0,7,1
22-03 22:10:35,7,11,0,7,1
22-03 22:10:36,7,11,0,7,1
22-03 22:10:37,7,11,0,6,1
22-03 22:10:38,7,11,0,6,1
22-03 22:10:39,7,11,0,6,1
22-03 22:10:40,7,11,0,6,1
22-03 22:10:41,7,11,0,6,1
22-03 22:10:42,7,11,0,7,1
22-03 22:10:43,7,11,0,7,1
22-03 22:10:44,7,11,0,7,1
22-03 22:10:45,7,11,0,7,1
22-03 22:10:46,7,11,0,7,1
22-03 22:10:47,7,11,0,7,1
22-03 22:10:48,7,11,0,7,1
22-03 22:10:49,7,11,0,6,1
22-03 22:10:50,7,11,0,6,1
22-03 22:10:51,7,11,0,6,1
22-03 22:10:52,7,11,0,6,1
22-03 22:10:53,7,11,0,7,1
22-03 22:10:54,7,11,0,7,1
22-03 22:10:55,7,11,0,7,1
22-03 22:10:56,7,11,0,7,1
22-03 22:10:57,7,11,0,7,1
22-03 22:10:58,7,11,0,7,1
22-03 22:10:59,7,11,0,7,1
22-03 22:11:00,7,11,0,6,1
22-03 22:11:01,7,11,0,6,1
22-03 22:11:02,7,11,0,6,1
22-03 22:11:03,7,11,0,6,1
22-03 22:11:04,7,11,0,7,1
22-03 22:11:05,7,11,0,7,1
22-03 22:11:06,7,11,0,7,1
22-03 22:11:07,7,11,0,7,1
22-03 22:11:08,7,11,0,7,1
22-03 22:11:09,7,11,0,7,1
22-03 22:11:10,7,11,0,6,1
22-03 22:11:11,7,11,0,6,1
22-03 22:11:12,7,11,0,6,1
22-03 22:11:13,7,11,0,6,1
22-03 22:11:14,7,11,0,6,1
22-03 22:11:15,7,11,0,7,1
22-03 22:11:16,7,11,0,7,1
22-03 22:11:17,7,11,0,7,1
22-03 22:11:18,7,11,0,7,1
22-03 22:11:19,7,9,0,7,2
22-03 22:11:20,7,9,0,7,2
22-03 22:11:21,7,9,0,7,2
22-03 22:11:22,7,9,0,6,2
22-03 22:11:23,7,9,0,6,2
22-03 22:11:24,7,9,0,6,2
22-03 22:11:25,7,9,0,6,2
22-03 22:11:26,7,9,0,6,2
22-03 22:11:27,7,9,0,7,2
22-03 22:11:28,7,9,0,7,2
22-03 22:11:29,7,9,0,7,2
22-03 22:11:30,7,9,0,7,2
22-03 22:11:31,7,9,0,7,2
22-03 22:11:32,7,9,0,6,2
22-03 22:11:33,7,9,0,6,2
22-03 22:11:34,7,9,0,5,2
22-03 22:11:35,7,9,0,6,2
22-03 22:11:36,7,9,0,6,2
22-03 22:11:37,7,9,0,6,2
22-03 22:11:38,7,9,1,7,2
22-03 22:11:39,7,9,0,7,2
22-03 22:11:40,7,9,0,7,2
22-03 22:11:41,7,9,0,7,2
22-03 22:11:42,7,9,0,7,2
22-03 22:11:43,7,9,0,6,2
22-03 22:11:44,7,9,0,6,2
22-03 22:11:45,7,9,0,6,2
22-03 22:11:46,7,9,0,6,2
22-03 22:11:47,7,9,0,6,2
22-03 22:11:48,7,7,0,7,3
22-03 22:11:49,7,9,0,7,2
22-03 22:11:50,7,9,0,7,2
22-03 22:11:51,7,9,0,7,2
22-03 22:11:52,7,9,0,7,2
22-03 22:11:53,7,9,0,7,2
22-03 22:11:54,7,9,0,7,2
22-03 22:11:55,7,9,0,6,2
22-03 22:11:56,7,9,0,6,2
22-03 22:11:57,7,9,0,6,2
22-03 22:11:58,7,9,0,6,2
22-03 22:11:59,7,8,1,6,3
22-03 22:12:00,7,9,0,7,2
22-03 22:12:01,7,9,0,7,2
22-03 22:12:02,7,9,0,7,2
22-03 22:12:03,7,9,0,7,2
22-03 22:12:04,7,9,0,7,2
22-03 22:12:05,7,9,0,6,2
22-03 22:12:06,7,9,0,6,2
22-03 22:12:07,7,9,0,6,2
22-03 22:12:08,7,9,0,6,2
22-03 22:12:09,7,9,0,6,2
22-03 22:12:10,7,8,1,6,3
22-03 22:12:11,7,9,0,7,2
22-03 22:12:12,7,9,0,7,2
22-03 22:12:13,7,9,0,7,2
22-03 22:12:14,7,9,0,7,2
22-03 22:12:15,7,9,0,6,2
22-03 22:12:16,7,9,0,6,2
22-03 22:12:17,7,11,0,6,2
22-03 22:12:18,7,10,0,7,2
22-03 22:12:19,7,10,0,7,2
22-03 22:12:20,7,10,0,7,2
22-03 22:12:21,7,10,0,8,2
22-03 22:12:22,7,10,0,8,2
22-03 22:12:23,7,10,0,8,2
22-03 22:12:24,7,10,0,8,2
22-03 22:12:25,7,10,0,8,2
22-03 22:12:26,7,10,0,8,2
22-03 22:12:27,7,12,0,8,1
22-03 22:12:28,7,12,0,7,1
22-03 22:12:29,7,12,0,7,1
22-03 22:12:30,7,12,0,7,1
22-03 22:12:31,7,12,0,7,1
22-03 22:12:32,7,12,0,7,1
22-03 22:12:33,7,10,1,7,2
22-03 22:12:34,7,12,0,8,1
22-03 22:12:35,7,12,0,8,1
22-03 22:12:36,7,12,0,8,1
22-03 22:12:37,7,12,0,8,1
22-03 22:12:38,7,12,0,7,1
22-03 22:12:39,7,12,0,7,1
22-03 22:12:40,7,12,0,7,1
22-03 22:12:41,7,12,1,7,1
22-03 22:12:42,7,12,1,7,1
22-03 22:12:43,7,12,1,7,1
22-03 22:12:44,7,11,2,7,2
22-03 22:12:45,7,12,1,8,1
22-03 22:12:46,7,14,1,8,0
22-03 22:12:47,7,14,1,8,0
22-03 22:12:48,7,14,1,8,0
22-03 22:12:49,7,14,1,8,0
22-03 22:12:50,7,14,1,7,0
22-03 22:12:51,7,14,1,7,0
22-03 22:12:52,7,14,1,7,0
22-03 22:12:53,7,14,1,7,0
22-03 22:12:54,7,14,1,7,0
22-03 22:12:55,7,14,1,8,0
22-03 22:12:56,7,14,1,8,0
22-03 22:12:57,7,14,1,8,0
22-03 22:12:58,7,14,1,8,0
22-03 22:12:59,7,14,1,8,0
22-03 22:13:00,7,14,1,7,0
22-03 22:13:01,7,14,0,7,0
22-03 22:13:02,7,14,0,7,0
22-03 22:13:03,7,14,0,7,0
22-03 22:13:04,7,14,0,7,0
22-03 22:13:05,7,14,0,7,0
22-03 22:13:06,7,14,0,8,0
22-03 22:13:07,7,14,0,8,0
22-03 22:13:08,7,14,0,8,0
