"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/proc_lock_net_time_int_page_mem_tcp_cpu_udp.csv --proc --lock --net --time --int --page --mem --tcp --cpu --udp 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"procs",,,"file locks",,,,"net/total",,"system","interrupts",,,"paging",,"memory usage",,,,"tcp sockets",,,,,"total cpu usage",,,,,"udp",
1,0,0,83,12,13,82,6029,7332,23-03 14:04:54,0,118,0,0,0,4990128128,2732072960,798146560,7876763648,7,18,0,7,2,9.387,2.879,87.610,0.125,0,25,14
1,0,1,83,12,13,82,5860,7402,23-03 14:04:55,0,120,0,0,0,4981465088,2740527104,798146560,7877033984,7,18,0,7,2,9.080,3.358,87.562,0,0,25,14
2,0,0,83,12,13,82,5750,7110,23-03 14:04:56,0,159,0,0,0,4970885120,2751123456,798158848,7877025792,7,18,0,7,2,8.260,3.254,88.360,0.125,0,25,14
3,0,8,83,12,13,82,6027,7303,23-03 14:04:57,0,120,0,0,0,4972007424,2749988864,798158848,7877238784,7,18,0,6,2,9.045,2.638,88.317,0,0,25,14
6,0,8,83,12,13,82,6289,7174,23-03 14:04:58,0,121,0,0,0,4972421120,2749571072,798162944,7877496832,7,18,0,6,2,8.955,3.731,87.065,0.249,0,25,14
3,0,1,83,12,13,82,8668,10919,23-03 14:04:59,0,126,0,0,0,4965289984,2756694016,798171136,7877492736,7,18,0,6,2,8.105,3.367,88.404,0.125,0,25,15
4,0,0,83,12,13,82,12875,14439,23-03 14:05:00,0,151,0,0,0,4971536384,2750427136,798171136,7877054464,7,18,0,7,2,9.227,2.993,87.656,0.125,0,25,15
5,0,0,83,12,13,82,5750,6855,23-03 14:05:01,0,113,0,0,0,4980572160,2736336896,798179328,7882035200,7,18,0,7,2,9.789,4.213,85.874,0.124,0,25,15
3,0,19,83,12,13,82,21527,11866,23-03 14:05:02,0,176,0,0,0,4985212928,2731540480,798179328,7882256384,7,18,0,8,2,10.260,3.956,85.661,0.124,0,25,15
1,0,8,83,12,13,82,7264,8065,23-03 14:05:03,0,121,0,0,0,4989542400,2726957056,798179328,7882776576,7,18,0,8,2,9.159,3.011,87.829,0,0,25,15
2,0,0,83,12,13,82,6029,7474,23-03 14:05:04,0,117,0,0,0,4982112256,2734428160,798179328,7882928128,7,18,0,8,2,8.468,2.740,88.667,0.125,0,25,15
1,0,0,83,12,13,82,6034,7044,23-03 14:05:05,0,121,0,0,0,4984557568,2731974656,798179328,7882735616,7,18,0,8,2,9.068,2.733,88.199,0,0,25,15
4,0,0,83,12,13,82,6404,7208,23-03 14:05:06,0,122,0,0,0,4985278464,2731249664,798195712,7882465280,7,18,0,8,2,9.530,2.970,87.376,0.124,0,25,15
5,0,8,83,12,13,82,6132,7353,23-03 14:05:07,0,114,0,0,0,4986978304,2729529344,798195712,7882420224,7,18,0,8,2,8.933,3.350,87.593,0.124,0,25,15
1,0,9,83,12,13,82,5860,6907,23-03 14:05:08,0,159,0,0,0,4988452864,2728050688,798195712,7882424320,7,18,0,8,2,9.125,2.375,88.500,0,0,25,15
1,0,0,83,12,13,82,5750,6850,23-03 14:05:09,0,113,0,0,0,4988588032,2727821312,798195712,7883042816,7,18,0,7,2,9.506,2.469,87.901,0.123,0,25,15
5,0,0,83,12,13,82,5750,7194,23-03 14:05:10,0,119,0,0,0,5003702272,2712707072,798203904,7882833920,7,18,0,7,2,10.260,3.585,86.032,0.124,0,25,16
1,0,0,83,12,13,82,6616,7608,23-03 14:05:11,0,116,0,0,0,5004472320,2711744512,798203904,7882768384,7,18,1,7,2,8.944,3.230,87.826,0,0,25,15
1,0,8,83,12,13,82,5880,7316,23-03 14:05:12,0,113,0,0,0,5005443072,2710769664,798203904,7882772480,7,18,1,7,2,9.441,2.733,87.702,0.124,0,25,15
1,0,8,83,12,13,82,23415,13427,23-03 14:05:13,0,145,0,0,0,5006327808,2709884928,798203904,7882772480,7,18,1,8,2,8.842,3.736,87.422,0,0,25,15
4,0,0,83,12,13,82,6241,7644,23-03 14:05:14,0,154,0,0,0,5007228928,2709241856,798203904,7883018240,7,18,1,8,2,10.062,2.857,86.832,0.248,0,25,15
3,0,0,83,12,13,82,5750,6850,23-03 14:05:15,0,119,0,0,0,5007347712,2709114880,798216192,7883071488,7,18,1,8,2,9.582,2.948,86.732,0.737,0,25,15
1,0,0,83,12,13,82,5860,7544,23-03 14:05:16,0,119,0,0,0,5007765504,2708426752,798216192,7882809344,7,18,1,8,2,9.665,2.726,87.608,0,0,25,15
1,0,8,83,12,13,82,5880,7364,23-03 14:05:17,0,117,0,0,0,5003460608,2712866816,798216192,7882616832,7,18,1,8,2,8.875,3,88,0.125,0,25,15
6,0,8,83,12,13,82,6146,7243,23-03 14:05:18,0,121,0,0,0,5001904128,2714423296,798216192,7882616832,7,18,1,8,2,9.589,3.487,86.924,0,0,25,15
1,0,0,83,12,13,82,5934,7044,23-03 14:05:19,0,120,0,0,0,5002391552,2713784320,798216192,7882768384,7,18,1,8,2,8.081,2.020,89.773,0.126,0,25,15
2,0,1,83,12,13,82,5880,6850,23-03 14:05:20,0,153,0,0,0,5005127680,2711048192,798228480,7883087872,7,18,1,7,2,10.788,2.909,85.576,0.727,0,25,15
3,0,0,83,12,13,82,9477,18413,23-03 14:05:21,0,139,0,0,0,5029027840,2687135744,798228480,7883358208,7,18,1,7,2,9.630,3.086,87.160,0.123,0,25,15
4,0,8,83,12,13,82,6008,7262,23-03 14:05:22,0,120,0,0,0,5029183488,2686980096,798228480,7882825728,7,18,1,7,2,8.365,3.496,88.140,0,0,25,15
1,0,8,83,12,13,82,22789,14394,23-03 14:05:23,0,140,0,0,0,5029289984,2686861312,798228480,7882780672,7,19,2,8,1,10.657,3.222,85.998,0.124,0,25,15
4,0,0,83,12,13,82,23873,12613,23-03 14:05:24,0,145,0,0,0,5014474752,2701672448,798228480,7882784768,7,20,1,8,1,9.471,3.321,86.962,0.246,0,25,15
3,0,0,83,12,13,82,5880,6968,23-03 14:05:25,0,116,0,0,0,4997697536,2718109696,798228480,7883190272,7,20,1,8,1,9.271,3.214,86.774,0.742,0,25,15
3,0,0,83,12,13,82,5750,7414,23-03 14:05:26,0,156,0,0,0,4999077888,2716692480,798228480,7883751424,7,20,1,8,1,9.741,2.959,87.176,0.123,0,25,15
3,0,8,83,12,13,82,5938,7150,23-03 14:05:27,0,119,0,0,0,4997332992,2718420992,798228480,7883436032,7,20,1,8,1,9.518,2.967,87.515,0,0,25,15
5,0,8,83,12,13,82,8244,11744,23-03 14:05:28,0,131,0,0,0,4998152192,2717601792,798228480,7883177984,7,22,1,8,1,9.348,3.813,86.716,0.123,0,25,15
3,0,0,83,12,13,82,17811,12509,23-03 14:05:29,0,137,0,0,0,4995784704,2719940608,798240768,7883427840,7,20,1,8,1,11.946,3.448,84.360,0.246,0,25,14
4,0,0,83,12,13,82,5957,7042,23-03 14:05:30,0,116,0,0,0,4965249024,2755813376,798240768,7877922816,7,20,1,7,1,10.475,4.263,85.262,0,0,25,14
3,0,0,83,12,13,82,5880,6968,23-03 14:05:31,0,115,0,0,0,4966817792,2754273280,798248960,7877873664,7,20,0,7,1,10.307,3.436,86.135,0.123,0,25,14
5,0,9,83,12,13,82,23007,14046,23-03 14:05:32,0,183,0,0,0,4951576576,2769469440,798248960,7878443008,7,20,0,8,1,10.383,3.585,85.909,0.124,0,25,14
4,0,8,83,12,13,82,5917,7174,23-03 14:05:33,0,121,0,0,0,4955529216,2765406208,798248960,7878221824,7,20,0,8,1,10.989,4.029,84.982,0,0,25,14
1,0,0,83,12,13,82,21766,12348,23-03 14:05:34,0,138,0,0,0,4956078080,2764816384,798248960,7878004736,7,20,0,9,1,10.037,3.346,86.493,0.124,0,25,14
4,0,0,83,12,13,82,7344,8008,23-03 14:05:35,0,126,0,0,0,4957704192,2763190272,798248960,7878070272,7,20,0,9,1,8.979,4.059,86.593,0.369,0,25,14
3,0,0,83,12,13,82,6052,7062,23-03 14:05:36,0,120,0,0,0,4957462528,2763599872,798253056,7878074368,7,20,0,9,1,9.606,3.448,86.823,0.123,0,25,14
3,0,8,83,12,13,82,5860,7921,23-03 14:05:37,0,124,0,0,0,4958175232,2762883072,798253056,7878279168,7,20,0,9,1,9.646,3.297,87.057,0,0,25,14
5,0,8,83,12,13,82,6313,7087,23-03 14:05:38,0,155,0,0,0,4960055296,2760990720,798253056,7878549504,7,20,0,9,1,10.319,3.808,85.749,0.123,0,25,14
2,0,0,83,12,13,82,5750,6850,23-03 14:05:39,0,116,0,0,0,4974907392,2740948992,798253056,7883472896,7,20,0,9,1,10.487,3.246,86.267,0,0,25,14
2,0,0,83,12,13,82,5860,7186,23-03 14:05:40,0,118,0,0,0,4979384320,2736472064,798253056,7883280384,7,20,0,8,1,10.404,3.672,85.802,0.122,0,25,14
5,0,0,83,12,13,82,5750,6968,23-03 14:05:41,0,115,0,0,0,4982124544,2733584384,798261248,7883419648,7,20,0,8,1,9.348,3.567,86.962,0.123,0,25,14
1,0,8,83,12,13,82,5954,7208,23-03 14:05:42,0,116,0,0,0,4983054336,2732642304,798261248,7883431936,7,20,0,8,1,9.238,3.246,87.516,0,0,25,14
2,0,8,83,12,13,82,5860,7044,23-03 14:05:43,0,117,0,0,0,4984311808,2731384832,798261248,7883632640,7,20,0,8,1,9.268,3.902,86.707,0.122,0,25,14
1,0,1,83,12,13,82,6706,9599,23-03 14:05:44,0,166,0,0,0,4985106432,2730582016,798261248,7883898880,7,19,1,8,2,9.901,3.218,86.881,0,0,25,14
5,0,0,83,12,13,82,39850,18047,23-03 14:05:45,0,165,0,0,0,4985978880,2729705472,798261248,7883702272,7,20,0,10,1,10.481,3.576,85.820,0.123,0,25,14
4,0,0,83,12,13,82,5836,7235,23-03 14:05:46,0,117,0,0,0,4986028032,2729611264,798265344,7883485184,7,20,0,10,1,9.214,3.317,87.101,0.369,0,25,14
2,0,4,83,12,13,82,5750,6850,23-03 14:05:47,0,116,0,0,0,4985909248,2729631744,798265344,7883583488,7,20,0,10,1,9.506,3.704,86.790,0,0,25,14
3,0,12,83,12,13,82,6072,7623,23-03 14:05:48,0,123,0,0,0,5007511552,2708172800,798265344,7883440128,7,20,0,10,1,9.436,4.412,86.029,0.123,0,25,14
3,0,18,83,12,13,82,6992,8128,23-03 14:05:49,0,129,0,0,0,5025714176,2689957888,798265344,7902478336,7,20,0,10,1,11.837,3.576,84.587,0,0,25,14
2,0,0,83,12,13,82,5900,7181,23-03 14:05:50,0,157,0,0,0,5026402304,2689269760,798265344,7902248960,7,20,0,10,1,9.606,2.709,87.562,0.123,0,25,14
1,0,0,83,12,13,82,7761,13937,23-03 14:05:51,0,127,0,0,0,5053079552,2662588416,798269440,7899230208,7,20,0,10,1,9.877,2.963,86.790,0.370,0,25,14
4,0,0,83,12,13,82,7403,10416,23-03 14:05:52,0,132,0,0,0,5048455168,2667204608,798273536,7895945216,7,20,0,9,1,9.180,4.039,86.659,0.122,0,25,14
1,0,16,83,12,13,82,36399,10448,23-03 14:05:53,0,136,0,0,0,5047754752,2667864064,798273536,7895986176,7,20,0,9,1,8.933,3.598,87.345,0.124,0,25,14
2,0,0,83,12,13,82,6029,7332,23-03 14:05:54,0,118,0,0,0,5008121856,2707390464,798273536,7887306752,7,20,0,9,1,10.024,3.667,86.308,0,0,25,14
1,0,0,83,12,13,82,17858,100064,23-03 14:05:55,0,154,0,0,0,5025230848,2690355200,798273536,7887298560,7,19,1,9,2,9.877,3.704,86.296,0.123,0,25,15
3,0,40,84,12,13,83,29395,17437,23-03 14:05:56,0,198,0,0,0,5059371008,2655961088,798285824,7893524480,7,20,0,10,1,13.268,5.897,80.590,0.246,0,25,16
1,0,3,84,12,13,83,17949,21014,23-03 14:05:57,0,158,0,0,0,5079146496,2635354112,798511104,7893270528,7,20,0,10,1,17.466,3.936,77.983,0.615,0,25,17
1,0,16,84,12,13,83,6686,8282,23-03 14:05:58,0,130,0,0,0,5075451904,2639577088,798511104,7894142976,7,20,0,10,1,8.776,4.326,86.774,0.124,0,25,17
1,0,0,84,12,13,83,6008,7337,23-03 14:05:59,0,125,0,0,0,5073104896,2641801216,798539776,7894020096,7,20,0,10,1,9.914,3.672,86.169,0.245,0,25,17
2,0,1,84,12,13,83,51343,9876,23-03 14:06:00,0,149,0,0,0,5082320896,2632364032,798625792,7892615168,7,20,0,10,1,14.112,4.136,81.509,0.243,0,25,17
2,0,0,84,12,13,83,5860,7025,23-03 14:06:01,0,114,0,0,0,5061496832,2653188096,798633984,7892869120,7,20,0,9,1,10.745,3.053,86.081,0.122,0,25,17
1,0,8,84,12,13,83,5750,6850,23-03 14:06:02,0,158,0,0,0,5062406144,2652176384,798633984,7892639744,7,20,0,9,1,9.951,4.854,85.073,0.121,0,25,17
6,0,16,84,12,13,83,5750,7129,23-03 14:06:03,0,115,0,0,0,5065347072,2649100288,798633984,7892516864,7,20,0,8,1,10.049,4.412,85.539,0,0,25,17
5,0,0,84,12,13,83,6343,8313,23-03 14:06:04,0,121,0,0,0,5065977856,2648469504,798633984,7892516864,7,20,0,8,1,9.314,4.412,86.152,0.123,0,28,17
3,0,0,84,12,13,83,5750,7911,23-03 14:06:05,0,116,0,0,0,5066928128,2647511040,798633984,7892656128,7,20,0,8,1,8.642,3.457,87.901,0,0,28,17
1,0,0,84,12,13,83,21811,13126,23-03 14:06:06,0,138,0,0,0,4934094848,2785665024,798650368,7887843328,7,20,0,9,1,10.358,3.946,85.327,0.370,0,28,17
3,0,0,84,12,13,83,7950,8920,23-03 14:06:07,0,123,0,0,0,4935249920,2784600064,798650368,7887355904,7,20,0,9,1,9.448,3.681,86.871,0,0,28,17
0,0,16,84,12,13,83,5750,6831,23-03 14:06:08,0,150,0,0,0,4935118848,2784727040,798650368,7887101952,7,20,0,9,1,8.128,4.557,87.192,0.123,0,28,17
3,0,1,84,12,13,83,6027,7231,23-03 14:06:09,0,119,0,0,0,4933672960,2787766272,798650368,7885574144,7,20,0,9,1,9.524,3.663,86.813,0,0,25,17
1,0,0,84,12,13,83,5880,6850,23-03 14:06:10,0,118,0,0,0,4932759552,2786844672,798650368,7887409152,7,20,0,9,1,9.681,3.186,87.010,0.123,0,25,17
5,0,0,84,12,13,83,5750,6850,23-03 14:06:11,0,114,0,0,0,4933812224,2785792000,798662656,7887396864,7,20,0,9,1,9.494,3.946,86.436,0.123,0,25,17
1,0,0,84,12,13,83,5860,7044,23-03 14:06:12,0,116,0,0,0,4935057408,2784534528,798662656,7887867904,7,20,0,9,1,9.547,3.672,86.781,0,0,25,17
4,0,15,84,12,13,83,6023,7155,23-03 14:06:13,0,121,0,0,0,4936491008,2783080448,798662656,7887605760,7,20,0,9,1,9.302,5.018,85.557,0.122,0,25,17
3,0,1,84,12,13,83,6966,8247,23-03 14:06:14,0,168,0,0,0,4937306112,2782216192,798662656,7887462400,7,20,0,9,1,9.302,3.182,87.515,0,0,25,17
4,0,0,84,12,13,83,6852,7880,23-03 14:06:15,0,123,0,0,0,4920668160,2798845952,798662656,7885475840,7,20,0,8,1,10.417,4.044,85.417,0.123,0,25,17
1,0,0,84,12,13,83,8590,9671,23-03 14:06:16,0,123,0,0,0,4918431744,2801074176,798670848,7884910592,7,20,0,8,1,9.926,4.044,85.539,0.490,0,25,17
1,0,0,84,12,13,83,23081,13281,23-03 14:06:17,0,143,0,0,0,5054816256,2659516416,798670848,7890350080,7,20,0,9,1,10.247,4.568,85.185,0,0,25,17
2,0,8,84,12,13,83,6146,6900,23-03 14:06:18,0,118,0,0,0,5030572032,2683760640,798670848,7890608128,7,20,0,9,1,10.584,4.866,84.428,0.122,0,25,17
1,0,8,84,12,13,83,5828,6956,23-03 14:06:19,0,119,0,0,0,5027168256,2687016960,798683136,7888281600,7,20,0,9,1,9.705,4.054,86.118,0.123,0,25,17
1,0,0,84,12,13,83,5860,7323,23-03 14:06:20,0,147,0,0,0,5028020224,2686164992,798683136,7887925248,7,20,0,9,1,9.345,4.005,86.529,0.121,0,25,17
3,0,1,84,12,13,83,10350,17929,23-03 14:06:21,0,138,0,0,0,5050204160,2663673856,798703616,7888146432,7,20,0,9,1,9.804,3.799,86.275,0.123,0,25,17
1,0,0,84,12,13,83,5860,7044,23-03 14:06:22,0,115,0,0,0,5050372096,2663727104,798703616,7887908864,7,20,0,9,1,8.458,2.736,88.806,0,0,25,17
1,0,8,84,12,13,83,5750,6713,23-03 14:06:23,0,111,0,0,0,5032456192,2681630720,798703616,7888187392,7,20,0,9,1,8.902,4.512,86.463,0.122,0,25,17
1,0,8,84,12,13,83,6103,7450,23-03 14:06:24,0,116,0,0,0,5033816064,2680438784,798703616,7888343040,7,20,0,9,1,10.303,3.879,85.818,0,0,25,16
1,0,0,84,12,13,83,5860,7402,23-03 14:06:25,0,116,0,0,0,5052919808,2661429248,798703616,7887716352,7,20,0,8,1,9.618,3.083,87.176,0.123,0,25,15
1,0,1,84,12,13,83,5750,6850,23-03 14:06:26,0,143,0,0,0,5041930240,2672181248,798744576,7887855616,7,20,0,8,1,11.288,3.681,84.785,0.245,0,25,15
5,0,0,84,12,13,83,6178,8699,23-03 14:06:27,0,124,0,0,0,5008347136,2705756160,798744576,7887147008,7,19,1,8,2,11.580,4.463,83.836,0.121,0,25,15
1,0,8,84,12,13,83,22825,11529,23-03 14:06:28,0,141,0,0,0,5009616896,2704437248,798744576,7887196160,7,20,0,9,1,9.429,3.350,87.221,0,0,25,15
3,0,8,84,12,13,83,7207,12154,23-03 14:06:29,0,119,0,0,0,5008863232,2705190912,798744576,7887851520,7,20,0,9,1,9.471,3.936,86.470,0.123,0,25,14
7,0,0,84,12,13,83,5946,7402,23-03 14:06:30,0,118,0,0,0,4989173760,2724868096,798744576,7885205504,7,20,0,9,1,10.269,4.401,85.330,0,0,25,14
5,0,0,84,12,13,83,5922,7093,23-03 14:06:31,0,119,0,0,0,4988874752,2725163008,798752768,7884582912,7,20,0,9,1,10.122,3.171,86.341,0.366,0,25,14
1,0,0,83,12,13,82,5750,6713,23-03 14:06:32,0,157,0,0,0,4983689216,2731954176,798752768,7882977280,7,20,0,9,1,10.307,2.945,86.626,0.123,0,25,14
3,0,9,83,12,13,82,6157,7368,23-03 14:06:33,0,119,0,0,0,4989587456,2724241408,798752768,7884791808,7,20,0,8,1,9.559,4.167,86.275,0,0,25,14
2,0,8,83,12,13,82,6029,7455,23-03 14:06:34,0,116,0,0,0,4979113984,2734297088,798752768,7885541376,7,20,0,8,1,9.383,3.704,86.790,0.123,0,25,14
1,0,0,83,12,13,82,7913,7214,23-03 14:06:35,0,119,0,0,0,4980088832,2733547520,798752768,7885574144,7,20,0,7,1,8.889,2.840,88.272,0,0,25,14
1,0,0,83,12,13,82,5990,7402,23-03 14:06:36,0,119,0,0,0,4979179520,2734456832,798760960,7885234176,7,20,0,7,1,9.348,2.952,87.454,0.246,0,25,14
1,0,0,83,12,13,82,5917,7502,23-03 14:06:37,0,120,0,0,0,4979552256,2734059520,798760960,7885000704,7,20,0,7,1,9.013,4.019,86.845,0.122,0,25,15
1,0,8,83,12,13,82,24325,14255,23-03 14:06:38,0,188,0,0,0,4980289536,2733322240,798760960,7884767232,7,20,0,8,1,10.197,3.440,86.241,0.123,0,25,14
1,0,8,83,12,13,82,7956,8020,23-03 14:06:39,0,125,0,0,0,4980953088,2732560384,798765056,7885225984,7,20,0,8,1,8.834,4.049,86.994,0.123,0,25,14
5,0,0,83,12,13,82,5750,7110,23-03 14:06:40,0,116,0,0,0,4868136960,2845462528,798765056,7885406208,7,20,0,8,1,9.348,3.567,87.085,0,0,25,14
6,0,0,83,12,13,82,5860,7589,23-03 14:06:41,0,121,0,0,0,4867198976,2846183424,798765056,7885815808,7,20,0,8,1,9.975,3.325,86.576,0.123,0,25,14
5,0,0,83,12,13,82,5917,6850,23-03 14:06:42,0,113,0,0,0,4869308416,2844024832,798765056,7885533184,7,20,0,8,1,9.618,3.453,86.806,0.123,0,25,14
3,0,8,83,12,13,82,5750,6850,23-03 14:06:43,0,112,0,0,0,4869222400,2844110848,798765056,7885275136,7,20,0,8,1,9.494,3.822,86.683,0,0,25,14
1,0,8,83,12,13,82,6481,7899,23-03 14:06:44,0,163,0,0,0,4862242816,2856402944,798773248,7880019968,7,20,0,8,1,8.468,3.736,87.671,0.125,0,25,14
1,0,0,83,12,13,82,5750,6850,23-03 14:06:45,0,116,0,0,0,4863205376,2855600128,798773248,7879864320,7,20,0,8,1,9.559,3.186,87.132,0.123,0,25,14
4,0,1,83,12,13,82,5860,7539,23-03 14:06:46,0,121,0,0,0,4862881792,2855792640,798773248,7880454144,7,20,0,6,1,9.951,3.071,86.978,0,0,25,14
1,0,0,83,12,13,82,5824,6713,23-03 14:06:47,0,115,0,0,0,4825448448,2893131776,798773248,7880282112,7,20,0,6,1,10.025,3.837,86.015,0.124,0,25,14
4,0,8,83,12,13,82,5880,7247,23-03 14:06:48,0,119,0,0,0,4840906752,2877394944,798789632,7880282112,7,20,0,6,1,10.111,3.699,86.067,0.123,0,25,14
5,0,8,83,12,13,82,23263,13128,23-03 14:06:49,0,139,0,0,0,4840726528,2877640704,798789632,7880282112,7,20,0,7,1,9.889,4.203,85.909,0,0,25,14
1,0,0,83,12,13,82,6116,7102,23-03 14:06:50,0,161,0,0,0,4840779776,2877575168,798789632,7880294400,7,18,0,7,2,9.975,2.956,86.946,0.123,0,25,14
1,0,0,83,12,13,82,19409,21084,23-03 14:06:51,0,145,0,0,0,4863045632,2855305216,798789632,7880499200,7,18,0,7,2,9.701,2.612,87.687,0,0,25,14
3,0,0,83,12,13,82,8895,9541,23-03 14:06:52,0,130,0,0,0,4857696256,2860650496,798789632,7880994816,7,18,0,7,2,14.938,2.716,82.222,0.123,0,25,14
3,0,8,83,12,13,82,22206,14830,23-03 14:06:53,0,146,0,0,0,4858896384,2859450368,798793728,7880491008,7,18,0,8,2,9.901,3.465,86.510,0.124,0,25,14
2,0,8,83,12,13,82,8581,8618,23-03 14:06:54,0,122,0,0,0,4988739584,2729590784,798793728,7880314880,7,18,0,7,2,10.591,3.941,85.345,0.123,0,25,14
1,0,0,83,12,13,82,24101,10534,23-03 14:06:55,0,128,0,0,0,5003309056,2707959808,798793728,7887376384,7,18,0,7,2,9.729,3.079,87.192,0,0,25,15
1,0,0,83,12,13,82,13257,94255,23-03 14:06:56,0,164,0,0,0,5006209024,2706780160,798793728,7885590528,7,18,0,6,2,9.181,3.226,87.593,0,0,25,15
2,0,0,83,12,13,82,5860,7402,23-03 14:06:57,0,122,0,0,0,5009924096,2703056896,798793728,7885930496,7,18,0,6,2,9.337,3.317,87.101,0.246,0,25,15
1,0,9,83,12,13,82,6261,7433,23-03 14:06:58,0,125,0,0,0,5009891328,2703384576,798806016,7885815808,7,18,0,6,2,9.438,3.823,86.619,0.119,0,25,15
1,0,8,83,12,13,82,6088,8817,23-03 14:06:59,0,118,0,0,0,4997042176,2716205056,798822400,7885627392,7,17,1,6,3,9.799,3.643,86.432,0.126,0,25,15
1,0,0,83,12,13,82,22628,11100,23-03 14:07:00,0,134,0,0,0,4997914624,2715328512,798838784,7885357056,7,18,0,7,2,10.448,2.736,86.692,0.124,0,25,15
1,0,0,83,12,13,82,5750,6987,23-03 14:07:01,0,116,0,0,0,4997201920,2716012544,798846976,7885312000,7,18,0,7,2,8.489,2.747,88.639,0.125,0,25,15
1,0,8,83,12,13,82,5860,7265,23-03 14:07:02,0,157,0,0,0,4997177344,2715914240,798846976,7885434880,7,18,0,7,2,10.701,3.813,85.363,0.123,0,25,15
4,0,8,83,12,13,82,6092,6850,23-03 14:07:03,0,120,0,0,0,4990824448,2720628736,798846976,7887597568,7,18,0,7,2,10.636,3.667,85.697,0,0,25,15
3,0,10,83,12,13,82,6241,7611,23-03 14:07:04,0,121,0,0,0,4992651264,2720190464,798883840,7885971456,7,18,0,7,2,9.801,3.226,86.600,0.372,0,25,15
1,0,0,83,12,13,82,7373,11402,23-03 14:07:05,0,131,0,0,0,4993863680,2718998528,798883840,7885692928,7,20,0,7,1,9.753,3.086,87.037,0.123,0,25,15
1,0,0,83,12,13,82,21454,9162,23-03 14:07:06,0,130,0,0,0,4994277376,2718597120,798883840,7885615104,7,20,0,7,1,9.565,2.609,87.826,0,0,25,15
1,0,0,83,12,13,82,5924,7208,23-03 14:07:07,0,114,0,0,0,4994715648,2718150656,798883840,7885623296,7,20,0,7,1,8.765,2.963,88.148,0.123,0,25,15
