"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/net_fs_socket_proc_udp_io_page_swap_zones_vm.csv --net --fs --socket --proc --udp --io --page --swap --zones --vm 1 600",,,,"Date:","23 Mar 2023 14:04:41 -03"
"net/total",,"filesystem",,"sockets",,,,,"procs",,,"udp",,"io/total",,"paging",,"swap",,"zones memory",,,,"virtual memory",,,
5828,7093,14048,182381,1217,24,34,0,0,6,0,8,25,17,0,54,0,0,108527616,914878464,159767,3141,492988,22688,0,1483,2266,5094
5860,7186,14048,182390,1217,24,34,0,0,7,0,0,25,17,0,0,0,0,108527616,914878464,159767,3141,492707,22688,0,155,644,632
10350,17929,14048,182390,1217,24,34,0,0,1,0,1,25,17,0,48,0,0,108527616,914878464,159767,3141,487126,22688,0,7998,9187,1996
5860,7044,14048,182389,1217,24,34,0,0,2,0,0,25,17,2,542,0,0,108527616,914878464,159767,3141,487162,22688,0,70,1546,1579
5750,6850,14080,182389,1217,24,34,0,0,4,0,8,25,17,0,0,0,0,108527616,914878464,159767,3141,491726,22688,0,1427,1871,7344
6103,7450,14080,182340,1216,24,34,0,0,3,0,8,25,16,0,0,0,0,108527616,914878464,159767,3141,491309,22688,0,1466,2192,2784
5860,7402,14080,182339,1215,24,34,0,0,7,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,486668,22688,0,5869,7579,3012
5750,6850,14080,182337,1215,24,34,0,0,3,0,1,25,15,0,94,0,0,108527616,914878464,159767,3141,489293,22688,0,1324,2050,6508
6178,8142,14048,182347,1216,25,34,0,0,2,0,0,25,15,0,232,0,0,108527616,914878464,159767,3141,497490,22688,0,747,1809,10320
22825,12086,14048,182346,1215,24,34,0,0,1,0,8,25,15,0,0,0,0,108527616,914878464,159767,3141,497284,22688,0,1337,1918,1888
7207,12154,14016,182348,1214,24,34,0,0,2,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,497344,22688,0,1404,2636,2405
5946,7044,14016,182263,1206,24,34,0,0,11,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,502279,22688,0,193,591,5635
5922,7314,14016,182260,1206,24,34,0,0,3,0,0,25,14,0,14,0,0,108527616,914878464,159767,3141,502228,22688,0,297,721,849
5750,6987,13984,182224,1206,24,34,0,0,2,0,0,25,14,0,26,0,0,108527616,914878464,159767,3141,503896,22688,0,205,806,2768
6157,7231,14048,182270,1206,24,34,0,0,2,0,9,25,14,0,0,0,0,108527616,914878464,159767,3141,502003,22688,0,7148,8720,3428
6029,7455,14048,182291,1206,24,34,0,0,2,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,504908,22688,0,2117,2859,6356
7913,7077,14016,182292,1206,24,34,0,0,2,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,504275,22688,0,137,646,773
5990,7402,13984,182291,1206,24,34,0,0,1,0,0,25,14,0,32,0,0,108527616,914878464,159767,3141,504497,22688,0,663,1168,827
5917,7037,13984,182290,1206,24,34,0,0,2,0,0,25,14,0,174,0,0,108527616,914878464,159767,3141,504400,22688,0,42,1078,1217
10167,14331,14016,182291,1206,24,34,0,0,2,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,504343,22688,0,1616,2645,2747
22114,8546,13984,182302,1206,24,34,0,0,2,0,8,25,14,0,30,0,0,108527616,914878464,159767,3141,504034,22688,0,1693,2221,2377
5750,7110,14016,182302,1206,24,34,0,0,3,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,531598,22688,0,5853,7795,35057
5860,7402,14016,182312,1206,24,34,0,0,3,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,531704,22688,0,212,666,757
5917,7037,14016,182311,1206,24,34,0,0,2,0,0,25,14,0,38,0,0,108527616,914878464,159767,3141,531370,22688,0,81,977,1042
5750,6850,13984,182310,1206,24,34,0,0,2,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,531268,22688,0,1482,1863,1997
6481,7899,13984,181201,1206,24,34,0,0,2,0,8,25,14,0,22,0,0,108527616,914878464,159767,3141,534315,22688,0,1534,2241,5500
5750,6850,13984,181201,1206,24,34,0,0,4,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,534189,22688,0,67,505,481
5860,7539,13984,181201,1206,24,34,0,0,2,0,1,25,14,0,0,0,0,108527616,914878464,159767,3141,534227,22688,0,1072,1491,890
5824,6850,13952,181211,1206,24,34,0,0,1,0,0,25,14,0,1546,0,0,108527616,914878464,159767,3141,543041,22688,0,277,1967,12823
5880,6836,14016,181220,1206,24,34,0,0,2,0,8,25,14,0,28,0,0,108527616,914878464,159767,3141,539457,22688,0,8512,10630,3545
23197,13265,14048,181221,1206,24,34,0,0,2,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,539454,22688,0,1356,1997,1943
6182,6965,13984,181220,1205,23,34,0,0,4,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,539438,22688,0,62,514,907
19409,21221,13984,181219,1205,23,34,0,0,4,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,534127,22688,0,8298,9611,2342
8895,9541,13984,181220,1205,23,34,0,0,1,0,0,25,14,0,310,0,0,108527616,914878464,159767,3141,535306,22688,0,2101,3873,2560
22206,14967,14016,181220,1205,23,34,0,0,1,0,8,25,14,0,18,0,0,108527616,914878464,159767,3141,535013,22688,0,1361,2036,2521
8053,7880,15552,182285,1205,23,34,0,0,2,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,511181,22688,0,31198,51702,28908
24629,11272,14016,182347,1206,23,34,0,0,2,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,498028,22688,0,16073,18805,2020
13127,94255,14016,182300,1206,23,34,0,0,2,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,497740,22688,0,403,1381,1903
5990,7402,13984,182301,1206,23,34,0,0,1,0,0,25,15,0,286,0,0,108527616,914878464,159767,3141,496957,22688,0,32,1192,1168
6146,7296,13952,182242,1206,23,34,0,0,4,0,9,25,15,0,4,0,0,108527616,914878464,159767,3141,496721,22688,0,1965,2843,4657
6048,8126,13952,182242,1207,24,34,0,0,3,0,8,25,15,0,64,0,0,108527616,914878464,159767,3141,499971,22688,0,1485,2004,5392
22783,11928,13952,182242,1206,23,34,0,0,2,0,0,25,15,0,40,0,0,108527616,914878464,159767,3141,499762,22688,0,298,860,615
5750,6850,13952,182241,1206,23,34,0,0,4,0,0,25,15,0,14,0,0,108527616,914878464,159767,3141,499994,22688,0,80,593,1306
5860,7402,14016,182266,1208,23,34,0,0,4,0,8,25,15,0,0,0,0,108527616,914878464,159767,3141,500030,22688,1,1701,2046,2054
5986,6850,13984,182307,1206,23,34,0,0,1,0,8,25,15,0,4,0,0,108527616,914878464,159767,3141,501238,22688,0,6456,8225,7598
6347,7337,13984,182262,1206,23,34,0,0,2,0,10,25,15,0,350,0,0,108527616,914878464,159767,3141,501014,22688,0,1334,2213,2603
7373,11539,13984,182263,1207,24,34,0,0,3,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,500723,22688,0,41,550,661
21454,9162,13984,182251,1207,24,34,0,0,2,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,500625,22688,0,1066,1466,1375
5924,7208,14048,182251,1207,24,34,0,0,2,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,500516,22688,0,212,508,516
8005,8775,14016,182251,1207,24,34,0,0,1,0,8,25,15,0,106,0,0,108527616,914878464,159767,3141,500237,22688,0,1390,3084,3029
5750,6850,14016,182282,1207,24,34,0,0,3,0,8,25,15,0,0,0,0,108527616,914878464,159767,3141,499952,22688,0,1976,2838,2454
7646,11839,14048,182283,1207,24,34,0,0,1,0,1,25,15,0,24,0,0,108527616,914878464,159767,3141,495845,22688,0,6225,7672,2333
21426,8402,14016,182281,1207,24,34,0,0,2,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,495557,22688,0,291,588,667
5880,7208,13984,182281,1207,24,34,0,0,3,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,495389,22688,0,37,484,468
6027,7231,14016,182286,1207,24,34,0,0,4,0,4,25,15,0,74,0,0,108527616,914878464,159767,3141,495235,22688,0,685,1561,2255
6241,7587,14048,182281,1207,24,34,0,0,3,0,12,25,15,0,0,0,0,108527616,914878464,159767,3141,495205,22688,0,2086,2874,2995
5880,6992,14016,182282,1207,24,34,0,0,4,0,0,25,15,0,20,0,0,108527616,914878464,159767,3141,494845,22688,0,209,702,587
6113,7455,14016,182291,1207,24,34,0,0,2,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,495151,22688,0,786,1275,1588
5750,6850,14016,182300,1207,24,34,0,0,3,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,495103,22688,0,487,963,793
6256,7711,14048,182301,1207,24,34,0,0,5,0,0,25,15,0,56,0,0,108527616,914878464,159767,3141,492166,22688,0,3122,5003,2336
5880,7129,14016,182301,1207,24,34,0,0,2,0,16,25,15,0,0,0,0,108527616,914878464,159767,3141,494007,22688,0,2771,3233,6474
5750,6850,14016,182301,1207,24,34,0,0,4,0,0,25,15,0,0,0,0,108527616,914878464,159767,3141,493725,22688,0,31,643,894
27776,23940,13984,182302,1207,24,34,0,0,2,0,0,25,15,0,30,0,0,108527616,914878464,159767,3141,489677,22688,0,7530,9041,4808
5750,7179,14016,182301,1207,24,34,0,0,2,0,1,25,15,0,0,0,0,108527616,914878464,159767,3141,489693,22688,0,345,606,732
5917,7208,14016,182312,1207,24,34,0,0,3,0,0,25,15,0,2716,0,0,108527616,914878464,159767,3141,492287,22688,0,620,5192,7712
6139,7526,13984,181200,1206,24,34,0,0,3,0,16,25,14,0,0,0,0,108527616,914878464,159767,3141,535360,22688,0,2667,3519,46393
5880,6992,13984,181209,1206,24,34,0,0,4,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,540380,22688,0,5713,7435,10022
5860,7044,14016,181210,1206,24,34,0,0,2,0,0,25,14,0,50,0,0,108527616,914878464,159767,3141,539913,22688,0,717,1641,1170
5750,6968,13984,181210,1206,24,34,0,0,3,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,539549,22688,0,202,491,515
5856,7208,14016,181210,1206,24,34,0,0,3,0,0,25,14,0,4,0,0,108527616,914878464,159767,3141,541662,22688,0,262,932,2624
7358,10235,14048,181210,1206,24,34,0,0,4,0,16,25,14,0,0,0,0,108527616,914878464,159767,3141,541063,22688,0,3067,4188,3899
5880,6968,14016,181219,1206,24,34,0,0,1,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,540770,22688,0,287,740,557
6110,8060,14016,181219,1206,24,34,0,0,5,0,0,25,14,0,22,0,0,108527616,914878464,159767,3141,540658,22688,0,315,668,794
22891,11871,14048,182292,1206,24,34,0,0,2,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,504449,22688,0,39638,61545,24016
5917,7121,14048,182206,1206,24,34,0,0,5,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,504164,22688,0,132,690,1092
6139,7805,14016,182204,1206,24,34,0,0,2,0,16,25,14,0,40,0,0,108527616,914878464,159767,3141,503611,22688,0,2690,3650,3680
5864,6890,14016,182203,1206,24,34,0,0,3,0,1,25,14,0,0,0,0,108527616,914878464,159767,3141,503429,22688,0,635,607,685
5750,7110,14016,182203,1206,24,34,0,0,1,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,503205,22688,0,649,1090,712
5860,7044,14016,182214,1206,24,34,0,0,2,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,503205,22688,0,170,633,617
6276,7296,14016,182216,1206,24,34,0,0,3,0,0,25,14,0,40,0,0,108527616,914878464,159767,3141,502610,22688,0,476,1394,1901
6027,7589,14048,182223,1206,24,34,0,0,3,0,15,25,14,0,0,0,0,108527616,914878464,159767,3141,502442,22688,0,2660,2947,2788
5750,6992,14048,182187,1206,24,34,0,0,3,0,1,25,14,0,0,0,0,108527616,914878464,159767,3141,503638,22688,0,236,921,5112
5917,7037,14016,182187,1206,24,34,0,0,2,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,503567,22688,0,159,587,562
7439,11534,14016,182188,1206,24,34,0,0,2,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,503527,22688,0,111,573,754
21482,8338,13984,182190,1206,24,34,0,0,2,0,0,25,14,0,18,0,0,108527616,914878464,159767,3141,503492,22688,0,193,703,587
6241,7945,13984,182209,1206,24,34,0,0,3,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,505093,22688,0,2133,2868,4689
5860,7044,14048,182207,1206,24,34,0,0,4,0,8,25,14,0,0,0,0,108527616,914878464,159767,3141,504899,22688,0,1310,1861,2021
5750,7129,14016,182207,1206,24,34,0,0,1,0,0,25,14,0,0,0,0,108527616,914878464,159767,3141,504876,22688,0,668,1067,959
6265,7094,14016,182218,1206,24,34,0,0,1,0,1,25,14,0,0,0,0,108527616,914878464,159767,3141,504761,22688,0,6535,6759,4777
