"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/disk_aio_swap_fs_raw_vm.csv --disk --aio --swap --fs --raw --vm 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"dsk/total",,"async","swap",,"filesystem",,"raw","virtual memory",,,
0,0,0,1835008,1021571072,13152,344761,0,0,291,228,382
0,0,0,1835008,1021571072,13152,344760,0,0,81,185,299
0,1294336,0,1835008,1021571072,13152,344788,0,0,2630,3264,3880
0,0,0,1835008,1021571072,13152,344834,0,0,5411,6469,2209
0,0,0,1835008,1021571072,13152,344836,0,0,1530,1557,1439
0,450560,0,1835008,1021571072,13152,343716,0,0,71,230,2632
0,0,0,1835008,1021571072,13152,343726,0,0,558,777,561
0,3563520,0,1835008,1021571072,13152,343726,0,0,23,590,1329
0,0,0,1835008,1021571072,13152,343727,0,0,1550,1543,1401
0,0,0,1835008,1021571072,13152,343756,0,0,2111,2730,4009
0,0,0,1835008,1021571072,13152,343800,0,0,5292,6446,1296
0,1875968,0,1835008,1021571072,13152,343800,0,0,44,451,657
0,3309568,0,1835008,1021571072,13152,343800,0,0,385,744,581
8192,0,0,1835008,1021571072,13184,343818,0,1,4220,5144,4372
0,0,0,1835008,1021571072,13184,343819,0,0,1356,1810,1863
0,688128,0,1835008,1021571072,13184,343819,0,0,27,173,201
0,0,0,1835008,1021571072,13184,343847,0,0,1173,1391,7274
0,1015808,0,1835008,1021571072,13184,343847,0,0,182,442,328
0,0,0,1835008,1021571072,13184,343893,0,0,6870,7852,10350
0,0,0,1835008,1021571072,13184,343825,0,0,2244,1803,1981
0,0,0,1835008,1021571072,13184,343827,0,0,403,454,328
0,712704,0,1835008,1021571072,13184,343963,0,0,1276,2263,2140
0,6275072,0,1835008,1021571072,13184,343963,0,0,269,1199,1182
0,0,0,1835008,1021571072,13184,343983,0,0,4913,5052,5452
0,0,0,1835008,1021571072,13152,343978,0,0,1569,1381,1369
0,0,0,1835008,1021571072,13152,344025,0,0,5136,6233,6610
0,786432,0,1835008,1021571072,13152,344024,0,0,9,181,204
0,4349952,0,1835008,1021571072,13152,344029,0,0,26,1658,1186
0,0,0,1835008,1021571072,13152,344037,0,0,1796,1652,1759
0,0,0,1835008,1021571072,13152,344037,0,0,1345,1348,1343
0,0,0,1835008,1021571072,13152,344068,0,0,811,1535,1084
0,0,0,1835008,1021571072,13152,344069,0,0,56,146,171
0,1851392,0,1835008,1021571072,13152,344069,0,0,253,501,5255
0,0,0,1835008,1021571072,13184,344113,0,0,7141,7862,2389
0,0,0,1835008,1021571072,13184,344114,0,0,1274,1652,2344
0,0,0,1835008,1021571072,13184,344112,0,0,24,325,1600
0,0,0,1835008,1021571072,13184,344122,0,0,639,509,434
0,360448,0,1835008,1021571072,13184,344150,0,0,1061,1734,871
0,2293760,0,1835008,1021571072,13184,344150,0,0,1299,1796,1906
0,0,0,1835008,1021571072,13184,344150,0,0,1291,1356,1375
0,0,0,1835008,1021571072,13184,344196,0,0,5886,6997,1361
0,0,0,1835008,1021571072,13184,344195,0,0,72,107,469
0,0,0,1835008,1021571072,13184,344196,0,0,34,320,426
16384,3784704,0,1835008,1021571072,13184,344195,0,0,1315,1854,2223
0,0,0,1835008,1021571072,13216,344233,0,0,3180,3655,3681
0,0,0,1835008,1021571072,13216,344233,0,0,395,247,219
0,0,0,1835008,1021571072,13216,344233,0,0,6,227,352
0,0,0,1835008,1021571072,13216,344233,0,0,23,80,98
24576,4677632,0,1835008,1021571072,13216,344278,0,0,2290,3997,2850
0,0,0,1835008,1021571072,13216,344280,0,0,1349,1439,1640
0,0,0,1835008,1021571072,13216,343162,0,0,4332,3816,5494
0,0,0,1835008,1021571072,13216,343210,0,0,2702,4337,5070
0,0,0,1835008,1021571072,13216,343210,0,0,6,85,79
0,2039808,0,1835008,1021571072,13216,343209,0,0,1608,1696,1690
0,0,0,1835008,1021571072,13216,343141,0,0,1378,1462,1596
0,0,0,1835008,1021571072,13216,343100,0,0,6003,7160,4440
0,0,0,1835008,1021571072,13216,343099,0,0,250,352,363
0,0,0,1835008,1021571072,13216,343099,0,0,467,245,214
8192,7168000,0,1835008,1021571072,13216,343127,0,0,2096,3275,4893
0,0,0,1835008,1021571072,13184,343137,0,0,2067,2229,2650
0,0,0,1835008,1021571072,13184,343136,0,0,396,535,518
0,0,0,1835008,1021571072,13184,343136,0,0,3485,2743,2732
0,0,0,1835008,1021571072,13184,343136,0,0,5,78,73
0,4341760,0,1835008,1021571072,13184,343182,0,0,6596,8300,6019
0,0,0,1835008,1021571072,13184,343181,0,0,1276,1499,1515
0,0,0,1835008,1021571072,13184,343209,0,0,1773,1217,2482
0,655360,0,1835008,1021571072,13184,343366,0,0,12980,12737,3801
0,6635520,0,1835008,1021571072,13184,343379,0,0,36437,40547,32488
0,5668864,0,1835008,1021571072,13184,343392,0,0,12080,16543,15879
0,0,0,1835008,1021571072,13184,343397,0,0,731,620,782
0,3964928,0,1835008,1021571072,13216,343435,0,0,31555,34578,33355
0,0,0,1835008,1021571072,13216,343439,0,0,28,150,196
0,0,0,1835008,1021571072,13216,343464,0,0,1465,1880,2170
0,2097152,0,1835008,1021571072,13248,343464,0,0,2858,2853,3317
0,0,0,1835008,1021571072,13248,343474,0,0,205,310,336
0,0,0,1835008,1021571072,13248,343474,0,0,1298,1435,1460
0,1220608,0,1835008,1021571072,13248,343473,0,0,225,553,4954
0,0,0,1835008,1021571072,13248,343473,0,0,247,107,293
0,0,0,1835008,1021571072,13248,343520,0,0,6824,8012,5237
0,3629056,0,1835008,1021571072,13248,343547,0,0,287,1131,1767
0,0,0,1835008,1021571072,13248,343548,0,0,1278,1398,1379
0,827392,0,1835008,1021571072,13216,343549,0,0,2866,2288,2720
0,0,0,1835008,1021571072,13216,343548,0,0,349,305,544
0,0,0,1835008,1021571072,13216,343547,0,0,1485,1635,1673
0,1646592,0,1835008,1021571072,13216,343547,0,0,185,508,477
0,0,0,1835008,1021571072,13248,343525,0,0,7602,8245,5402
0,589824,0,1835008,1021571072,13216,343466,0,0,2159,2895,10554
0,0,0,1835008,1021571072,13216,343462,0,0,2331,1862,2848
0,1138688,0,1835008,1021571072,13216,343470,0,0,2960,3366,2399
0,3407872,0,1835008,1021571072,13216,343490,0,0,1005,2800,2126
0,0,0,1835008,1021571072,13216,343413,0,0,3597,3143,3987
0,909312,0,1835008,1021571072,13216,343412,0,0,21,210,489
0,0,0,1835008,1021571072,13216,343412,0,0,123,197,216
0,0,0,1835008,1021571072,13184,343486,0,0,7163,8386,3537
0,5390336,0,1835008,1021571072,13184,342366,0,0,385,1107,5036
0,0,0,1835008,1021571072,13184,342366,0,0,2171,1741,1756
0,2023424,0,1835008,1021571072,13184,342375,0,0,1171,1031,1405
0,147456,0,1835008,1021571072,13184,342375,0,0,318,339,351
0,0,0,1835008,1021571072,13184,342375,0,0,1336,1461,1445
0,1851392,0,1835008,1021571072,13184,342374,0,0,24,400,422
0,0,0,1835008,1021571072,13184,342445,0,0,5612,6816,9832
0,0,0,1835008,1021571072,13184,342446,0,0,307,195,204
0,581632,0,1835008,1021571072,13184,342446,0,0,160,356,333
0,0,0,1835008,1021571072,13184,342448,0,0,6821,5382,4867
0,4481024,0,1835008,1021571072,13184,342488,0,0,2049,2731,1762
0,0,0,1835008,1021571072,13184,342492,0,0,1523,1432,1664
0,0,0,1835008,1021571072,13184,342495,0,0,6,475,112
0,409600,0,1835008,1021571072,13184,342521,0,0,1661,1843,2168
0,0,0,1835008,1021571072,13184,342560,0,0,5733,6893,7387
0,2187264,0,1835008,1021571072,13184,342560,0,0,318,379,374
0,0,0,1835008,1021571072,13184,342560,0,0,1267,1368,1355
0,0,0,1835008,1021571072,13184,342569,0,0,185,264,312
0,655360,0,1835008,1021571072,13184,342569,0,0,3,167,161
0,0,0,1835008,1021571072,13216,342572,0,0,1613,1846,1443
0,1449984,0,1835008,1021571072,13216,342599,0,0,1853,2493,3234
0,0,0,1835008,1021571072,13248,342644,0,0,2328,3453,6759
0,0,0,1835008,1021571072,13248,342644,0,0,18,258,253
0,0,0,1835008,1021571072,13248,342646,0,0,352,612,183
0,409600,0,1835008,1021571072,13248,342644,0,0,81,395,499
0,0,0,1835008,1021571072,13248,342655,0,0,2120,2287,2736
0,3784704,0,1835008,1021571072,13248,342656,0,0,1308,2332,2033
0,0,0,1835008,1021571072,13248,342682,0,0,1269,1423,1106
0,0,0,1835008,1021571072,13248,342682,0,0,8,214,266
0,0,0,1835008,1021571072,13248,342730,0,0,5272,6822,1206
0,638976,0,1835008,1021571072,13248,342730,0,0,1299,1572,1562
0,3235840,0,1835008,1021571072,13248,342730,0,0,1589,2357,2356
0,0,0,1835008,1021571072,13248,342682,0,0,2033,3640,9995
0,0,0,1835008,1021571072,13248,342680,0,0,15,150,528
0,0,0,1835008,1021571072,13248,342707,0,0,404,908,496
0,0,0,1835008,1021571072,13248,342710,0,0,1644,2035,5673
0,4014080,0,1835008,1021571072,13248,342754,0,0,2389,4118,3189
0,0,0,1835008,1021571072,13248,342755,0,0,457,819,471
0,0,0,1835008,1021571072,13248,342755,0,0,120,308,172
0,0,0,1835008,1021571072,13248,342757,0,0,2297,1724,1967
0,0,0,1835008,1021571072,13248,342762,0,0,1455,1558,1558
0,4014080,0,1835008,1021571072,13248,342785,0,0,1301,2119,2806
0,0,0,1835008,1021571072,13216,342790,0,0,19,236,119
0,0,0,1835008,1021571072,13216,342790,0,0,320,98,90
0,0,0,1835008,1021571072,13216,342836,0,0,5292,6425,1500
0,0,0,1835008,1021571072,13216,341718,0,0,1307,1836,6362
0,4890624,0,1835008,1021571072,13216,341715,0,0,1295,2021,2477
0,2048000,0,1835008,1021571072,13216,341715,0,0,385,384,398
0,0,0,1835008,1021571072,13216,341749,0,0,963,1379,1010
0,0,0,1835008,1021571072,13216,341756,0,0,478,387,250
0,0,0,1835008,1021571072,13216,341753,0,0,1344,1412,1429
0,3391488,0,1835008,1021571072,13216,341713,0,0,7005,8236,6215
0,753664,0,1835008,1021571072,13216,341716,0,0,11,618,204
0,0,0,1835008,1021571072,13216,341715,0,0,13,95,218
0,0,0,1835008,1021571072,13216,341714,0,0,14,108,380
0,0,0,1835008,1021571072,13216,341750,0,0,3010,3027,4887
0,499712,0,1835008,1021571072,13184,341722,0,0,3620,3429,4246
0,0,0,1835008,1021571072,13184,341723,0,0,18,1363,741
0,0,0,1835008,1021571072,13184,341724,0,0,32,376,335
0,622592,0,1835008,1021571072,13184,341769,0,0,2227,3119,1320
0,0,0,1835008,1021571072,13184,341768,0,0,1297,1505,1660
24576,3244032,0,1835008,1021571072,13184,341765,0,0,1285,1774,1757
0,0,0,1835008,1021571072,13184,341788,0,0,1486,1872,610
0,0,0,1835008,1021571072,13184,341801,0,0,507,432,602
0,0,0,1835008,1021571072,13184,341804,0,0,6,233,169
0,475136,0,1835008,1021571072,13184,341803,0,0,1309,1695,1560
16384,4726784,0,1835008,1021571072,13216,341848,0,0,6608,8528,3007
0,1671168,0,1835008,1021571072,13216,341781,0,0,334,224,459
0,0,0,1835008,1021571072,13216,341782,0,0,34,395,110
0,0,0,1835008,1021571072,13216,341803,0,0,104,403,1548
0,745472,0,1835008,1021571072,13184,341828,0,0,2516,4411,7982
0,0,0,1835008,1021571072,13184,341836,0,0,1453,1252,889
8192,1802240,0,1835008,1021571072,13184,341830,0,0,222,947,1131
0,0,0,1835008,1021571072,13184,341829,0,0,14,104,230
0,630784,0,1835008,1021571072,13184,341874,0,0,5731,6783,6508
0,0,0,1835008,1021571072,13184,341874,0,0,1612,1507,1390
0,0,0,1835008,1021571072,13184,341898,0,0,1192,1807,1159
0,2080768,0,1835008,1021571072,13184,341924,0,0,1376,3119,3014
0,0,0,1835008,1021571072,13184,341934,0,0,120,1006,895
0,0,0,1835008,1021571072,13184,341933,0,0,319,911,1035
0,417792,0,1835008,1021571072,13184,341926,0,0,1327,2517,2210
0,0,0,1835008,1021571072,13184,341974,0,0,4978,7264,9590
0,4538368,0,1835008,1021571072,13184,341968,0,0,1289,2764,2893
0,0,0,1835008,1021571072,13184,341992,0,0,1235,2302,3743
0,0,0,1835008,1021571072,13184,341997,0,0,225,1374,902
0,0,0,1835008,1021571072,13216,342006,0,0,1468,2344,2494
0,720896,0,1835008,1021571072,13216,342005,0,0,514,1203,3630
8192,1523712,0,1835008,1021571072,13216,342005,0,0,1589,2618,2363
0,0,0,1835008,1021571072,13216,342006,0,0,7,1025,1134
0,0,0,1835008,1021571072,13216,342052,0,0,5068,6952,2915
0,0,0,1835008,1021571072,13216,342014,0,0,2294,3658,4043
0,663552,0,1835008,1021571072,13216,342020,0,0,584,1424,1651
24576,2457600,0,1835008,1021571072,13216,342019,0,0,1305,2651,3442
0,0,0,1835008,1021571072,13216,342029,0,0,1252,2151,1139
0,0,0,1835008,1021571072,13216,342029,0,0,19,1122,1014
0,0,0,1835008,1021571072,13216,342030,0,0,1632,2206,2170
0,417792,0,1835008,1021571072,13216,342076,0,0,3139,5231,2904
16384,3547136,0,1835008,1021571072,13216,342095,0,0,2255,3450,10789
0,0,0,1835008,1021571072,13216,342100,0,0,623,880,450
0,0,0,1835008,1021571072,13248,342104,0,0,1775,1429,1293
0,0,0,1835008,1021571072,13248,342110,0,0,1514,1605,1643
0,753664,0,1835008,1021571072,13248,342042,0,0,14,259,544
0,3563520,0,1835008,1021571072,13248,342042,0,0,1290,2137,1949
0,0,0,1835008,1021571072,13248,342042,0,0,319,233,826
0,0,0,1835008,1021571072,13248,342111,0,0,6603,7935,6310
0,0,0,1835008,1021571072,13216,342115,0,0,1726,1945,1799
0,0,0,1835008,1021571072,13216,342116,0,0,16,369,130
0,3932160,0,1835008,1021571072,13184,342115,0,0,1628,2031,2146
0,0,0,1835008,1021571072,13184,342135,0,0,2173,3810,3731
0,0,0,1835008,1021571072,13184,342137,0,0,18,400,230
0,0,0,1835008,1021571072,13184,342140,0,0,1344,1639,1635
0,0,0,1835008,1021571072,13184,342206,0,0,6224,7322,3040
0,0,0,1835008,1021571072,13184,342211,0,0,1395,1543,1371
0,3006464,0,1835008,1021571072,13184,342212,0,0,31,798,662
0,0,0,1835008,1021571072,13184,342212,0,0,24,234,2413
0,0,0,1835008,1021571072,13184,342220,0,0,2064,1950,1983
0,0,0,1835008,1021571072,13184,342220,0,0,96,403,242
0,0,0,1835008,1021571072,13184,342219,0,0,1281,1381,1630
0,2809856,0,1835008,1021571072,13184,342243,0,0,923,1714,5247
0,0,0,1835008,1021571072,13152,342295,0,0,1401,2639,994
0,0,0,1835008,1021571072,13152,342297,0,0,1359,1386,1600
0,0,0,1835008,1021571072,13152,342295,0,0,5,82,350
0,0,0,1835008,1021571072,13152,342296,0,0,1320,1529,1398
0,4087808,0,1835008,1021571072,13152,342306,0,0,1086,1451,2585
0,0,0,1835008,1021571072,13152,342309,0,0,100,182,156
0,0,0,1835008,1021571072,13152,342330,0,0,2128,2435,2910
0,0,0,1835008,1021571072,13152,342382,0,0,5604,6969,1930
0,0,0,1835008,1021571072,13152,342381,0,0,1277,1639,4724
0,3956736,0,1835008,1021571072,13152,342320,0,0,346,611,1199
0,0,0,1835008,1021571072,13152,342320,0,0,23,259,326
0,0,0,1835008,1021571072,13152,342335,0,0,704,636,1690
0,0,0,1835008,1021571072,13152,342330,0,0,718,1228,1435
0,0,0,1835008,1021571072,13184,342353,0,0,2324,2475,1936
0,1212416,0,1835008,1021571072,13184,342356,0,0,465,827,376
0,0,0,1835008,1021571072,13184,342358,0,0,5055,6430,5065
0,0,0,1835008,1021571072,13184,342359,0,0,334,286,290
0,0,0,1835008,1021571072,13152,342358,0,0,1616,1519,1643
0,0,0,1835008,1021571072,13152,342289,0,0,1282,1387,1977
0,5980160,0,1835008,1021571072,13152,342300,0,0,768,1895,1751
0,0,0,1835008,1021571072,13152,342323,0,0,533,897,5152
0,0,0,1835008,1021571072,13152,342328,0,0,531,561,340
0,0,0,1835008,1021571072,13152,342373,0,0,5987,7078,2452
0,0,0,1835008,1021571072,13152,342328,0,0,1293,1700,1714
0,4022272,0,1835008,1021571072,13152,342328,0,0,30,745,604
0,0,0,1835008,1021571072,13152,342328,0,0,322,119,353
0,0,0,1835008,1021571072,13152,342342,0,0,1100,2313,3363
0,0,0,1835008,1021571072,13152,342372,0,0,2436,3420,2086
0,0,0,1835008,1021571072,13152,342376,0,0,2272,2507,3220
0,876544,0,1835008,1021571072,13152,342330,0,0,318,212,452
0,0,0,1835008,1021571072,13184,342376,0,0,5012,6437,5939
0,0,0,1835008,1021571072,13184,342376,0,0,21,88,108
0,0,0,1835008,1021571072,13184,342376,0,0,1300,1495,1635
0,0,0,1835008,1021571072,13184,342376,0,0,1619,1404,1366
0,0,0,1835008,1021571072,13184,342388,0,0,1038,1517,3113
0,5054464,0,1835008,1021571072,13184,342414,0,0,752,1868,1973
0,0,0,1835008,1021571072,13184,342413,0,0,32,105,90
0,0,0,1835008,1021571072,13184,342459,0,0,6899,7955,2815
0,0,0,1835008,1021571072,13184,342413,0,0,1277,1451,1693
0,0,0,1835008,1021571072,13184,342413,0,0,161,307,416
0,4620288,0,1835008,1021571072,13184,342416,0,0,1458,1885,1861
0,98304,0,1835008,1021571072,13184,342426,0,0,949,715,384
0,401408,0,1835008,1021571072,13184,342451,0,0,3064,3552,3203
0,0,0,1835008,1021571072,13184,342451,0,0,1292,1523,2300
0,0,0,1835008,1021571072,13184,342406,0,0,4,353,338
0,3473408,0,1835008,1021571072,13184,342451,0,0,5298,6517,3874
0,0,0,1835008,1021571072,13184,342450,0,0,5,102,350
0,0,0,1835008,1021571072,13184,342451,0,0,1311,1505,1408
0,581632,0,1835008,1021571072,13184,342391,0,0,1309,1763,2141
0,0,0,1835008,1021571072,13184,342429,0,0,1945,2127,5925
0,761856,0,1835008,1021571072,13184,342429,0,0,5,240,496
0,0,0,1835008,1021571072,13184,342429,0,0,65,253,141
0,0,0,1835008,1021571072,13184,342360,0,0,6509,7868,3134
0,778240,0,1835008,1021571072,13184,342360,0,0,1915,1618,1643
0,0,0,1835008,1021571072,13184,342360,0,0,6,221,346
16384,4956160,0,1835008,1021571072,13184,342361,0,0,22,976,1113
0,0,0,1835008,1021571072,13152,342388,0,0,1148,1576,968
0,0,0,1835008,1021571072,13152,342401,0,0,1832,1660,1913
0,0,0,1835008,1021571072,13152,342402,0,0,1276,1496,1375
0,425984,0,1835008,1021571072,13152,342357,0,0,23,409,412
16384,3751936,0,1835008,1021571072,13152,342400,0,0,3291,4878,6448
0,0,0,1835008,1021571072,13152,342402,0,0,351,281,171
0,0,0,1835008,1021571072,13152,342399,0,0,1306,1663,1408
0,0,0,1835008,1021571072,13120,342427,0,0,2102,2564,1984
0,761856,0,1835008,1021571072,13120,342447,0,0,1879,3690,2358
0,1490944,0,1835008,1021571072,13120,342448,0,0,631,438,417
0,0,0,1835008,1021571072,13120,342447,0,0,6,80,206
0,0,0,1835008,1021571072,13152,342447,0,0,6491,7859,5406
0,0,0,1835008,1021571072,13152,342448,0,0,716,924,1022
0,589824,0,1835008,1021571072,13152,342447,0,0,914,779,770
0,3268608,0,1835008,1021571072,13152,342475,0,0,138,1249,1187
0,0,0,1835008,1021571072,13152,342475,0,0,22,90,107
0,0,0,1835008,1021571072,13152,342486,0,0,1530,1826,1725
0,0,0,1835008,1021571072,13152,342486,0,0,318,106,109
0,0,0,1835008,1021571072,13152,342485,0,0,1275,1636,1501
0,4595712,0,1835008,1021571072,13184,342484,0,0,4886,6626,4465
0,0,0,1835008,1021571072,13184,342485,0,0,5,220,87
0,0,0,1835008,1021571072,13152,342512,0,0,3378,3213,7401
0,0,0,1835008,1021571072,13152,342513,0,0,8,365,101
0,0,0,1835008,1021571072,13152,342522,0,0,1619,1858,2010
0,0,0,1835008,1021571072,13152,342522,0,0,2,77,70
0,1908736,0,1835008,1021571072,13152,342522,0,0,334,600,670
0,0,0,1835008,1021571072,13152,342522,0,0,2531,3627,3294
0,0,0,1835008,1021571072,13152,342524,0,0,23,298,431
0,0,0,1835008,1021571072,13152,342551,0,0,1676,2224,3932
0,0,0,1835008,1021571072,13152,342550,0,0,343,384,236
0,4055040,0,1835008,1021571072,13152,341430,0,0,10,625,4144
0,0,0,1835008,1021571072,13152,341440,0,0,1831,2094,2159
0,0,0,1835008,1021571072,13152,341372,0,0,33,115,257
0,0,0,1835008,1021571072,13152,341372,0,0,1588,1627,1499
0,0,0,1835008,1021571072,13152,341331,0,0,5537,6477,1922
0,6938624,0,1835008,1021571072,13152,341368,0,0,1640,3141,1960
0,0,0,1835008,1021571072,13152,341368,0,0,1299,1640,1379
0,0,0,1835008,1021571072,13152,341367,0,0,322,98,219
