"Dstat 0.8.0 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","PC-000442",,,,"User:","rodolfo-oliveira"
"Cmdline:","dstat --output dstat/data/csv/dstat/sys_proc_mem.csv --sys --proc --mem 1 600",,,,"Date:","22 Mar 2023 22:13:13 -03"
"system",,"procs",,,"memory usage",,,
1370,22027,2,0,8,3259101184,2072584192,195371008,10604052480
621,1236,2,0,0,3259834368,2071826432,195371008,10604294144
814,2520,0,0,8,3260334080,2071310336,195387392,10605092864
649,1255,0,0,0,3261034496,2070605824,195387392,10604814336
906,1837,0,0,1,3262947328,2067628032,195403776,10605072384
801,2389,1,0,8,3263373312,2067169280,195403776,10605314048
745,1556,1,0,0,3262234624,2068303872,195403776,10606100480
1136,2743,0,0,8,3260346368,2069594112,195403776,10605707264
1508,2738,5,0,0,3261513728,2068332544,195403776,10606141440
1530,2675,0,0,0,3261493248,2068348928,195403776,10605613056
1881,4135,2,0,8,3262734336,2067099648,195411968,10606669824
2248,6003,1,0,0,3253309440,2075680768,195411968,10607239168
1856,4284,1,0,8,3254804480,2073980928,195416064,10606989312
1765,3114,1,0,0,3248091136,2080673792,195416064,10607550464
1555,2926,0,0,0,3248996352,2079178752,195416064,10608390144
1720,3830,1,0,8,3249147904,2078937088,195416064,10608140288
1646,3064,0,0,1,3250618368,2077454336,195424256,10607628288
1825,4143,0,0,8,3246645248,2081398784,195428352,10608443392
1527,2779,0,0,0,3247611904,2080428032,195428352,10608115712
1607,3110,2,0,0,3262234624,2064760832,195428352,10608967680
1757,4243,1,0,8,3257806848,2069725184,195428352,10607898624
1595,3664,2,0,0,3259420672,2067501056,195440640,10609487872
2035,4317,0,0,8,3261042688,2065866752,195452928,10609213440
1542,2739,0,0,0,3261079552,2065739776,195452928,10609053696
1448,2580,3,0,0,3260416000,2066399232,195452928,10608791552
1721,3943,0,0,8,3261607936,2065207296,195452928,10609582080
1606,3160,1,0,0,3270643712,2055307264,195461120,10610229248
1476,3532,1,0,8,3231961088,2093735936,195469312,10610229248
701,1439,0,0,0,3232641024,2092515328,195469312,10611236864
884,3405,0,0,9,3233370112,2091782144,195469312,10611232768
730,2257,1,0,8,3234816000,2090233856,195469312,10611060736
686,1495,1,0,0,3235958784,2089746432,195481600,10609876992
1295,4215,0,0,8,3234574336,2091122688,195481600,10610425856
701,1234,0,0,0,3236089856,2089607168,195481600,10609811456
940,1839,1,0,0,3231711232,2092978176,195481600,10610835456
771,2417,5,0,8,3232841728,2091212800,195481600,10611462144
583,1077,0,0,0,3232796672,2091257856,195481600,10612318208
884,2790,0,0,8,3233443840,2090565632,195506176,10611535872
944,19922,0,0,0,3228000256,2095804416,195506176,10611949568
587,1058,0,0,0,3230265344,2093522944,195506176,10612764672
1061,2858,1,0,8,3230752768,2093035520,195506176,10612621312
918,1944,2,0,1,3246415872,2076315648,195506176,10613145600
848,2566,1,0,8,3246649344,2075492352,195506176,10613743616
973,2548,0,0,0,3248156672,2073968640,195518464,10614530048
682,1111,0,0,0,3240640512,2081476608,195518464,10613481472
769,2335,0,0,8,3241308160,2080706560,195518464,10613600256
708,1438,1,0,0,3243585536,2078425088,195518464,10614579200
827,2208,1,0,8,3243560960,2078437376,195518464,10613534720
827,1883,1,0,1,3222310912,2099679232,195526656,10613551104
757,1791,4,0,0,3226386432,2094260224,195526656,10615693312
706,2211,0,0,8,3227607040,2092740608,195526656,10616233984
570,1022,0,0,0,3227594752,2092752896,195526656,10614910976
808,2389,0,0,8,3227811840,2092523520,195526656,10615398400
819,1493,1,0,1,3228155904,2092077056,195534848,10616274944
782,1928,0,0,0,3228401664,2091831296,195534848,10616016896
751,1787,6,0,7,3228323840,2091909120,195534848,10615349248
943,2443,0,0,1,3246796800,2071777280,195534848,10617278464
829,2354,0,0,8,3238490112,2080083968,195534848,10617794560
857,1664,2,0,0,3238670336,2080432128,195547136,10616397824
654,1175,0,0,0,3238895616,2080186368,195547136,10616434688
579,1105,0,0,0,3234091008,2084986880,195547136,10616696832
794,2451,0,0,8,3234156544,2084921344,195547136,10617479168
937,2598,1,0,8,3233746944,2085236736,195547136,10617040896
745,1533,0,0,0,3233378304,2085011456,195555328,10616844288
748,1628,0,0,0,3236847616,2081484800,195555328,10617892864
776,1933,0,0,1,3236003840,2082328576,195555328,10617892864
882,2331,0,0,8,3236941824,2081382400,195555328,10617692160
938,2217,0,0,8,3237363712,2081640448,195555328,10616295424
838,1787,0,0,0,3234103296,2084794368,195567616,10617380864
554,1188,1,0,0,3212931072,2105946112,195567616,10617401344
748,1423,0,0,0,3213217792,2105073664,195567616,10617712640
858,2798,2,0,8,3231772672,2085466112,195567616,10618249216
1044,3313,0,0,8,3233996800,2084241408,195567616,10618040320
741,1511,0,0,0,3234693120,2083520512,195579904,10618052608
587,1045,0,0,0,3233095680,2085117952,195579904,10617712640
567,1203,1,0,0,3230908416,2087211008,195579904,10617356288
1454,20274,2,0,8,3232100352,2085888000,195579904,10618294272
969,2931,0,0,8,3232989184,2084409344,195579904,10618593280
738,1425,0,0,1,3234193408,2084188160,195592192,10617348096
845,1698,3,0,0,3238662144,2078666752,195592192,10619183104
580,1027,0,0,0,3238617088,2078703616,195592192,10618933248
830,2298,0,0,8,3239342080,2077978624,195592192,10618400768
859,2448,1,0,8,3238711296,2078597120,195592192,10618421248
659,1110,0,0,0,3238023168,2079195136,195592192,10619293696
932,2176,0,0,0,3234418688,2082197504,195600384,10618830848
594,1047,0,0,0,3234152448,2082463744,195600384,10619105280
1007,2800,0,0,8,3247263744,2068279296,195600384,10619846656
1088,3284,2,0,8,3248533504,2068021248,195600384,10619625472
752,1245,0,0,0,3248988160,2067562496,195600384,10618580992
1034,3816,2,0,10,3248939008,2067587072,195637248,10619092992
648,1156,1,0,1,3249168384,2067329024,195645440,10619637760
1008,3060,2,0,8,3246321664,2069520384,195661824,10620276736
912,2402,1,0,8,3246551040,2069237760,195661824,10619797504
661,1148,2,0,0,3247837184,2068992000,195661824,10618798080
858,1850,0,0,0,3260334080,2055655424,195661824,10620420096
588,1039,0,0,0,3260108800,2055655424,195661824,10619588608
823,2298,0,0,8,3260579840,2055184384,195661824,10619854848
802,2453,0,0,8,3260485632,2055811072,195674112,10620166144
783,1614,0,0,0,3241160704,2074447872,195674112,10620596224
720,1960,0,0,0,3239530496,2076078080,195674112,10619797504
705,1253,0,0,0,3240013824,2075574272,195674112,10620092416
926,2803,4,0,8,3259400192,2056867840,195674112,10620162048
968,2522,0,0,9,3259600896,2056650752,195686400,10619908096
705,1280,0,0,0,3259781120,2056466432,195686400,10619379712
715,1588,1,0,0,3258572800,2057666560,195694592,10619129856
737,1554,3,0,0,3256442880,2059190272,195694592,10620776448
936,2698,0,0,8,3255808000,2059735040,195694592,10619809792
689,2299,0,0,8,3256520704,2059014144,195694592,10619899904
729,1274,0,0,0,3256225792,2060341248,195702784,10620198912
898,1919,2,0,0,3251523584,2063978496,195715072,10619654144
856,2138,0,0,0,3251765248,2063724544,195715072,10619625472
844,2456,0,0,8,3252269056,2063220736,195715072,10620149760
838,2671,0,0,8,3252903936,2061971456,195715072,10621546496
880,19679,1,0,0,3257782272,2056855552,195727360,10620780544
713,1221,0,0,1,3257491456,2057146368,195727360,10621120512
621,1131,0,0,0,3257421824,2057207808,195727360,10620862464
964,2730,2,0,8,3261784064,2052829184,195727360,10621419520
602,1099,1,0,0,3261992960,2052583424,195727360,10621108224
845,2529,0,1,8,3263500288,2051067904,195735552,10621116416
771,1856,0,0,0,3262050304,2051911680,195743744,10621448192
660,1104,0,0,0,3263569920,2050375680,195743744,10622255104
904,3384,4,0,8,3263963136,2049888256,195743744,10621816832
753,1295,1,0,0,3263959040,2049888256,195743744,10621829120
885,2261,0,0,8,3264962560,2048884736,195743744,10622611456
822,1775,0,0,0,3275046912,2038751232,195772416,10621308928
659,1310,0,0,0,3274993664,2038763520,195772416,10621890560
945,2769,2,0,8,3257622528,2055540736,195772416,10622218240
691,1244,1,0,1,3258114048,2055041024,195772416,10623016960
859,2354,2,0,8,3258355712,2054799360,195772416,10621952000
520,980,2,0,0,3258499072,2054553600,195772416,10622529536
654,1268,0,0,0,3259760640,2053287936,195780608,10623057920
857,2787,2,0,8,3261960192,2051067904,195780608,10623102976
775,2026,0,0,0,3261915136,2051108864,195780608,10622840832
1184,3888,2,0,8,3252998144,2059419648,195780608,10623254528
597,1048,0,0,0,3252920320,2059460608,195780608,10623557632
681,1340,1,0,0,3248353280,2070839296,195792896,10617040896
842,2547,2,0,8,3247595520,2071506944,195792896,10616856576
687,1201,0,0,0,3248381952,2071441408,195792896,10615918592
920,2457,3,0,8,3248353280,2071470080,195792896,10616451072
839,1683,0,0,1,3261722624,2058199040,195792896,10615545856
866,2167,0,0,0,3263418368,2055892992,195805184,10616426496
900,2482,0,0,8,3264671744,2054627328,195805184,10617425920
730,1196,4,0,0,3264671744,2054627328,195805184,10617409536
1198,3556,0,0,8,3263746048,2055450624,195805184,10616455168
644,1120,2,0,0,3263995904,2055196672,195805184,10616733696
656,1220,0,0,0,3263451136,2055729152,195817472,10617516032
947,2749,3,0,8,3270086656,2048045056,195817472,10617241600
758,1587,0,0,0,3269713920,2047799296,195817472,10618101760
881,2414,0,0,8,3270213632,2047299584,195817472,10618101760
942,3361,0,0,8,3265024000,2052485120,195817472,10618880000
702,1372,0,0,0,3264176128,2053312512,195837952,10617815040
1284,21331,1,0,9,3256283136,2060828672,195837952,10618417152
617,1118,0,0,0,3257032704,2060079104,195837952,10619723776
903,2424,2,0,8,3257802752,2059309056,195837952,10619191296
1066,2881,1,0,0,3258175488,2057269248,195837952,10619793408
672,1311,0,0,0,3260702720,2054733824,195850240,10620272640
758,2248,0,0,8,3261722624,2053701632,195850240,10621132800
810,1404,2,0,0,3261968384,2053455872,195850240,10620076032
895,2629,2,0,8,3258228736,2057084928,195866624,10620444672
592,981,0,0,0,3258699776,2056609792,195866624,10621231104
825,2323,0,0,0,3256856576,2058452992,195866624,10620973056
1056,3428,0,0,8,3256483840,2057150464,195866624,10621583360
670,1142,2,0,0,3259027456,2054606848,195866624,10623107072
967,2517,0,0,9,3259023360,2054606848,195874816,10622836736
563,1083,0,0,0,3257831424,2055778304,195874816,10621800448
807,2206,1,0,0,3258294272,2055315456,195874816,10622140416
909,2592,0,0,8,3258880000,2054635520,195874816,10622767104
678,1191,2,0,0,3259564032,2053939200,195874816,10622771200
1002,2927,0,0,8,3259404288,2053488640,195874816,10622840832
750,1635,2,0,0,3266478080,2045353984,195883008,10623578112
575,1039,0,0,0,3266674688,2045153280,195883008,10624122880
682,1398,1,0,1,3267899392,2043928576,195883008,10624438272
818,2205,0,0,7,3266510848,2045837312,195883008,10623643648
885,2503,0,0,8,3267141632,2045108224,195883008,10622959616
615,1151,1,0,0,3267317760,2044919808,195895296,10623950848
763,1617,1,0,0,3255296000,2056339456,195895296,10624344064
1018,2868,3,0,1,3272773632,2037809152,195895296,10625146880
803,2321,0,0,8,3272470528,2038099968,195895296,10625875968
976,2493,2,0,8,3272728576,2037841920,195895296,10625617920
542,1049,1,0,0,3268780032,2042318848,195895296,10624815104
596,1100,2,0,0,3259891712,2051723264,195907584,10624102400
647,1296,1,0,0,3261104128,2050408448,195907584,10624729088
817,3015,2,0,8,3256033280,2054873088,195907584,10625335296
906,2397,0,0,8,3258245120,2052653056,195907584,10625069056
850,1579,3,0,0,3279351808,2030489600,195907584,10625609728
581,1056,2,0,0,3280318464,2029498368,195919872,10626412544
653,1282,0,0,0,3280465920,2030043136,195928064,10624913408
886,2329,1,0,8,3281461248,2029047808,195928064,10625187840
